text,time,votes,replies
"Que vitória do América-MG! O Coelho vai conseguir vaga na Libertadores?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,76,21
Última vitória do América mg fora de casa casa no brasileirão série a,há 9 meses,0,
"Esse goleiro do Bragantino entregou uns 2 gols, certeza que foi ele o envolvido no esquema de manipulação",há 1 ano,0,
Bragantino tbm jogou muito,há 1 ano,0,
América-MG tem feito um dos melhores trabalhos do Brasil. Finalmente conseguiu subir e não cair para Seria B de volta e de quebra conseguiu uma na Libertadores. Agora neste ano está fazendo uma campanha ainda melhor e acredito que ira conseguir uma vaga direta para fase de grupo da Libertadores e todos lembram como a Pre-Libertadores atrapalhou o início de temporada do América-MG principalmente no Campeonato Mineiro.,há 1 ano,1,
Mim da gosto d ver esse América jogando  mais um ano maravilhoso parabéns pela vaga na libertadores 👏👏,há 1 ano,0,
Coelhooooooooo!,há 1 ano,0,
Agora meu Coelhão tá dando orgulho!,há 1 ano,1,
"Sinceramente, se o bragantino n comprar um goleiro pra próxima temporada, será rebaixado",há 1 ano,0,
"O Bragantino só tem o nome de foda, tirando isso o time é uma merda.",há 1 ano,0,
Cavichioli monstro,há 1 ano,0,
Juninho joga muito .,há 1 ano,0,
"Que mulher comentarista do jogo do América com o Bragantino, comentário no mínimo bairrista, temeroso, imbecil de dizer que no lance do pênalti escândalo que o jogador do bragantino faz o pênalti no qual foi muito acintosso e claro, está incompetente desta comentarista falar que o jogador do América se jogou, é de uma ignorância e idiotice descumunal, se eu fosse a produção deste programa esportivo era pra ser uma demissão sumária e jacaré nesta repórter de meia tigela!!!...",há 1 ano,0,
"Dos não considerados grandes, o América é hoje, sem dúvidas, o melhor!",há 1 ano,0,
🎁,há 1 ano,0,
Clayton leva gol bobo todo jogo.,há 1 ano,0,
Grande jogo,há 1 ano,0,
Carai.... sou cruzeirense e tenho que admitir que esses jogos do América estão melhor que da libertadores e copa do Brasil.,há 1 ano,0,
América segunda força de Minas,há 1 ano,0,
2 dos melhores goleiros do Brasil vcs assistiram nesse jogo.  Estão entre os 10 melhores,há 1 ano,1,
Ninguém liga pra o América,há 1 ano,0,
simm,há 1 ano,2,
Vc liga ...tanto que se deu trabalho denvir comentar.kkkk,há 1 ano,2,
" @oiiiiwjeieuehegegegeheu  Nossa, com foto de Ituano Tbm KKKKKKKK",há 1 ano,0,
Com essa brilhante campanha SIM,há 1 ano,0,
Coooooeeeeellhhoooooooooo!!!!!!,há 1 ano,0,
e o mundial do palcadela?,há 1 ano,0,
América maior que o curica,há 1 ano,0,
 @Ian_Sep2003  ???,há 1 ano,0,
 @alessandro_de_jesus10  !!!,há 1 ano,0,
 @oiiiiwjeieuehegegegeheu  O América-MG vai pra libertadores e o Ituano vai pra Série A do ano que vem,há 1 ano,2,
Com ctz,há 1 ano,0,
Sim,há 1 ano,0,
A pior besteira foi o GE colocar esse cara pra falar besteira no final. Quem liga? Tira isso.,há 1 ano,0,
"Talvez sul americana, não é possível se não acreditar",há 1 ano,0,
"Não acho que consigam, vencer o Palmeiras em Allianz é bem difícil",há 1 ano,0,
Szazoxsmďm.d.d.d.dolďlďĺďĺd,há 1 ano,0,
Odeio o America mas se ficarem com a vaga das frangas esta otimo,há 1 ano,0,
América vai pra pré Libertadores,há 1 ano,0,
​ @renanag777 ,há 1 ano,0,
​ @psylmao9050 😂 GB,há 8 meses (editado),0,
Impressionante como o Juninho do America joga muito.,há 1 ano,0,
Que jogão,há 1 ano,0,
Oh lapada. 🤭😁,há 1 ano,0,
America ja e a segundo time de minas,há 1 ano,0,
Parabéns 🐰🇳🇬❤👏 América mineiro cada rodada mais pertinho de chegar enfim na próxima temporada da libertadores pronto falei,há 1 ano,2,
Parabéns ao meu coelhao brabo...2023 vamos estarmos melhor ainda....forca 🐇 coelhao tamos juntos.....bora ganhar do 🐖 porquinho campeão......,há 1 ano,0,
O América é um time bem redondinho com bons jogadores mas só precisam de uma torcida A+ e muito marketing em Minas Gerais pra alcançar certos objetivos,há 1 ano,0,1
