text,time,votes,replies
"Fala, galera! Será que o Santos consegue uma vaga no G-4?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,140,27
O jogo passa ao vivo aqui ?,há 1 ano,0,
Falar em santos.. Nilton neves  está com o remédio. O encaivo. Como não cair . Tenha serteza minha senhora . E como o Santos .. não cai.,há 1 ano,0,
Esses santistas de merda só aparecem quando a sardinha morta ganha. Pq quando perde n se vê um maldito hahahahaha vão leva outro chocolate do timão na volta hahahahahahahahahhaha chora mais viúvas do Pelé. Time sem torcida. Time nanico,há 2 anos,0,
"COPA AMÉRICA 2023
ATAQUE: 
GABGOL, NEYMAR, MARCOS LEONARDO, ANGELO.

SELESANTOSSSSS",há 2 anos,0,1
Vitória do DNA Competitivo!!!,há 2 anos,0,
Os meninos da Vila dando a vitória.,há 2 anos,0,
Marcos Leonardo futuro jogador do flamengo kkkkkk,há 2 anos,0,
Santos vai amassar os gambás na copa do Brasil e no brasileirão kkkkk,há 2 anos,1,
O TIME Da Virada 🏳🏴,há 2 anos,0,
Até Que Fim Santos Venceu Fora De Casa,há 2 anos,0,
"Esse Marcos Leonardo é bom de bola, parece que o time do Santos se acertou agora",há 2 anos,0,
Direção incompetente... mas não era o carné o culpado das derrotas???,há 2 anos (editado),0,
Meu Peixão🤩🤩,há 2 anos,0,
"MARCOS LEONARDO LEMBRA MUITO O ROMARIO, BELO JOGADOR.",há 2 anos,0,
"Merecido, em vários jogos o tinha um caminhão de gols perdidos ou anulados.

Espero que com a quebra de jejum, o  Santos volte a vencer tal como merece",há 2 anos,0,
"Assistam o lance da expulsão na velocidade 0.25. O jogador Yuri dá o carrinho, .. acerta primeiro a bola .. e na sequência acerta o jogador do Santos. Carrinho na bola .. e na sequência o jogador do Santos é atingido pq está atrás da bola. Segue o jogo.",há 2 anos,0,
"Santos futebol clube,incaivel",há 2 anos,1,
cesar goleiro dinosauro sem braço,há 2 anos,0,
MARCOS LEONARDO,há 2 anos,0,
"@Edilson santos é o time mais prejudicado pelo var e você vem com essa ,ta assistindo os jogos enzo??",há 2 anos (editado),24,
@Edilson pode Chorar,há 2 anos (editado),9,
"Santos vai brigar pelo título esse ano, o time está em construção mas vai chegar lá",há 2 anos,2,
@Edilson que ajuda de arbitragem maluco assistiu jogo ?? Santos e o time mas prejudicado pela arbitragem desse Brasileirão,há 2 anos (editado),5,
"@Edilson me fala onde teve erro? No lance do cartão vermelho? Claramente o cara chegou errado,o juiz não errou!",há 2 anos (editado),4,
"@Edilson kkk mano,assisti o jogo",há 2 anos (editado),0,
@Edilson não houve roubo,há 2 anos (editado),0,
Nao caindo ja ta bom,há 2 anos,0,
Consegue 👍,há 2 anos,0,
Na minha opinião o Santos não foi ajudado pela arbitragem pois foi expulsão claro em cima do jogador do Santos,há 2 anos,0,
"Tá muito embolado o campeonato, não dá pra saber ainda",há 2 anos,0,
Acredito que um g7 pq tem diversos times melhores e tipo tem hora que a arbitragem ajuda o Santos e sempre prejudica então acho pela arbitragem o Santos também fica em g7,há 2 anos,2,
@Edilson deve ser Corinthiano kkkkkkkkk,há 2 anos (editado),0,
Claro!!,há 2 anos,1,
Yyhyhhyhhhyý,há 2 anos,0,
Yyhyhhyhhhyý,há 2 anos,0,
Yyhyhhyhhhyý,há 2 anos,0,
"Claro sem duvidas, O SANTOS é gigante!!!",há 2 anos,0,
"Tem é mais que se cuidar pra não ir pra segundona, porque se for com esse time não volta mais",há 2 anos (editado),0,
Claro,há 2 anos,0,
O Santos vai brigar por títulos como sempre brigou,há 2 anos,1,
Eu acho que sim viu ge,há 2 anos,0,
não,há 2 anos,0,
Acho que não,há 2 anos,0,
 Patrocinadora do Palmeiras  kkkkk,há 2 anos,0,
"Briga por título pai, já era pra tar com 22 pontos junto com palmeiras, só quem assistiu todos os jogos sabe só que eu tô falando",há 2 anos,0,
Eu Acho que Sim,há 2 anos,0,
E RODRYGOOOO,há 2 anos,0,
"O técnico do Santos achou um jeito do time de jogar,e o time tá jogando muito!",há 2 anos,0,
JUVENTUDE 1X2 SANTOS,há 2 anos,0,
"O Juventude tem é que voltar pra série B q é o lugar dele, nada de futebol, só dando butinada.",há 2 anos,1,
Ô loco mano como num lance desse o juiz não dá nem falta ? Fica claro que tão usando esse var como amuleto mesmo,há 2 anos,1,
MARCOS LEONARDO TEM CHEIRO DO GOL. C /ELE NAO CONVERSA E BOLA NA REDE,há 2 anos,1,
Gramado até q tá bacana,há 2 anos,0,1
Essa porra do santos só tem atacante bom na base vtnnc toda HR e um,há 2 anos,0,
"Marcos Leonardo  é  uma joia infalível  , verdadeiro 9 , e muito veloz , quem é  gabii  perto dele , se sair  vai fazer falta ! 
Santos FC o Maior  do universo , Respeita !!!",há 2 anos,0,
"Marcos Leonardo a JOVEM MANDO UM ABRAÇO 
VIVA O SANTOS FC 🖕🥋⚽🦈🙏🙌💪🏽",há 2 anos,0,
Bruno Oliveira titular jAaaa,há 2 anos,0,
Santos 15/06/22,há 2 anos,0,
"Cara as vezes eu to pra reclamar dos erros de futebol do  Angelo, mas ai eu me lembro q só tem 17 anos, é foda, vai errar desse jeito mesmo
Marcos Leonardo mt bem, baita finalizador, espero que não se torne um Gabriel Barbosa da vida e estaguine o futebol",há 2 anos (editado),0,
Marcos Leonardo melhor que Gabriel Jesus,há 2 anos,0,
Pintou o campeão !!!,há 2 anos,0,
Sou Corinthians mais esse Marcos Leonardo e novo e já faz isso!,há 2 anos,0,
"Marcos Leonardo é embaçado, muita facilidade pra fazer gol!",há 2 anos,0,
Impressionante como fica nítida a narração tendenciosa em benefício de paulistas e cariocas mesmo o narrador não torcendo para o time que tendencia em todos os lances.,há 2 anos,1,
Santos que erra horivel bola área está.muito melhor,há 2 anos,0,
Esse Marcos Leonardo joga muito ele estava no banco da seleção sub20 o Brasil estava Brasil 0 x 0 Uruguai ele entrou fez 4 g ols e deu um de letra Parabéns Santos e que Deus abençoe a todos e esse Atleta muito Bom,há 2 anos,0,
Juventude escapou de cair ano passado. mais esse ano ele não escapa cai👎,há 2 anos,0,
Até começar a chover,há 2 anos,0,
"Não é oq sou santista não mais o Marcos Leonardo o homem tá jogando demais faz uns tempos.
É centroavante msm domina e chuta. Ver que ele não tem muita frescura não e ainda tem qualidade pra dar dribles. Muito bom msm. Que deus abençoe ele a chegar na seleção próximos anos",há 2 anos,0,1
