text,time,votes,replies
"O que acharam da partida? O gol do Robson foi bonito demais!
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,82,4
Obrigado meu deus Fortaleza ❤️💙 🦁🦁,há 3 meses,1,
Mutio bom 😘😘,há 1 ano,0,
Vai cuiaba,há 1 ano,0,
Esse garoto da base que está na zaga ótimo zagueiro,há 2 anos,0,
"Olhem na descrição do vídeo, tem um erro lá!",há 2 anos,1,
0:44 E esse pênalti do juiz???,há 2 anos,0,
esse cara no final é chato pra crlh,há 2 anos,0,
Fabrício  segurou  o Cuiabá.,há 2 anos,0,
Matheus várias  quase entrega um gol dando uma bola p Pepe sozinho.,há 2 anos,0,
Galhardo  colocou  romarinho  na cara do gol e ele perdeu.,há 2 anos,0,
Deus na frente sempre livrando de todo olho gordo Amém 🙌💙❤,há 2 anos,1,
Vlw Leão 🔵🔴⚪🦁🦁,há 2 anos,0,
Qual o nome desse narrador ele ótimo,há 2 anos,1,
"Esse Cuiabá se venho pra série A apenas pra compor vaga, porque futebol é lamentável, que time horrível.",há 2 anos (editado),0,
Gol do Robson foi igualzinho do Lucas pratto do Atlético MG sobre o Cruzeiro,há 2 anos,0,
"NÃO  tem  vaga pra vc  boec
Você   NÃO  e  bom em  bolas  por  Alto",há 2 anos,0,
Eu acredito!! 🙌🏿🦁❤️,há 2 anos,3,
Torco muito pela permanência heróica recuperação do Leão do pici🦁🇨🇵 e do papo🦜🇳🇬 mais está muito difícil sobreviver essa degola do rebaixamento a espera de um milagre prós 2 si salvar😔,há 2 anos,4,
Eu fui assisti o JG na arena pantanal,há 2 anos,1,
Fortaleza time grande,há 2 anos,2,
Partida Legal e Golaço de Robson Fernandes do Fortaleza,há 2 anos,0,
1 🌍BBMP BBMP BBMP BBMP BBMP BBMP BBMP🌍 1,há 2 anos,1,
"De perto é fácil,esses jogadores do bostaleza são td pipoca😂😂😂😂🍿🍿🍿🍿",há 2 anos,0,
"bravo time do fortaleza ,a diretoria fez certo em manter vojvoda, o elenco do fortaleza é  bom ,não cai para à série b, avante time raçudo, aguerrido.",há 2 anos,4,
"Apesar de ser baiano, sou nordestino com muito orgulho  e desejo com toda sinceridade  que o Fortaleza permaneça  na série  A .
Desejo  o mesmo para o Ceará, pois somos todos nordestinos e quanto maior for o número  de times na primeira  divisão,  mais se fortalece o futebol  da região.
Gostaria  de poder ver em um futuro breve, não  só os dois times cearense,  mas também  o Bahia, vitória,  sport  náutico  e o Santa  Cruz.  Esses são  os maiores  times do nordeste e nunca  deveriam  ficar de fora da elite do futebol brasileiro. NORDESTINOS,  VAMOS  NOS UNIR  E NÃO  FICAR DESEJANDO QUE UM OU OUTRO TIME NÃO  RETORNE  PARA A ELITE DO FUTEBOL BRASILEIRO OU QUE OS QUE  ESTÃO  NA SÉRIE  A , CAÍAM  PARA A SEGUNDONA!",há 2 anos (editado),5,
Jogão⚽️,há 2 anos,3,
Narrador Ruim,há 2 anos,0,
"3:09 sempre a falta de atenção nos finais de partida 🤦🏽, desta vez não tomamos o gol 🙏🏽",há 2 anos,0,
Eu tava rezando MUITO pra  nois  ganhar esse jogo 🙏🙏🇫🇷🇫🇷,há 2 anos,4,
Nois não vai cair 💪💪🇫🇷🇫🇷,há 2 anos,1,
"UMA VERGONHA   !       Cuiabá perder para Fortaleza já motivo de DISPENSAR O ELENCO TOTAL. Um  Time que tem uma FOLHA carissima ficar fazendo essa PALHAÇADA, ali terá de mandar esse Tecnico XUPAR MANGA EM OUTRO LUGAR. Não vou mais assistir esse time de PALHAÇOS..........!",há 2 anos,1,
Rumo a permanência. Bora Leão!,há 2 anos,1,
Parabéns ao Fortaleza pela Vitória 👏👏👏,há 2 anos,3,
"No primeiro turno, o Cuiabá achou bom, né?
O Fortaleza vai ganhar as três partidas no Centro-oeste.",há 2 anos,0,
Torcendo pro Fortaleza sair dessa situação,há 2 anos,1,
"Fernando Miguel titular incontestável do gol, jogou muito",há 2 anos (editado),0,
O jogo que me fez perder 1 milhão,há 2 anos,0,
Fernando Miguel perdeu o medo de se jogar na bola.pronto não sai mais do gol kkkk,há 2 anos,0,
Forte,há 2 anos,0,
Até que enfim colocaram um goleiro de verdade,há 2 anos,2,
Romarinho sempre buscando um drible a mais desnecessario,há 2 anos,0,
Vamor leão saudaçoes flamenguista ♥️🖤,há 2 anos,3,
Vamos Fortaleza sou Mengão mais adimiro o trabalho desse grande clube.,há 2 anos,10,
Golaço que valeu por goleada!,há 2 anos,0,
Vc so escuta o nome do Fernanda Miguel  na narração  eita goleiro bom da gota,há 2 anos,2,
Vamos sair dessa eu acredito,há 2 anos,0,
"Leão sofreu riscos desnecessários no segundo tempo. Vojvoda deixou a teimosia com o 352 de lado, até porque não temos as peças certas para jogar nesse esquema atualmente, mas demorou muito para mexer e chamou o Cuiabá pra cima. Precisa melhorar isso, armar os contra ataques quando tiver a vantagem no placar, pra incomodar o adversário e até mesmo matar o jogo. Parece que não aprenderam nada com aquele jogo contra o Atlético Mineiro.",há 2 anos,0,
O Leão voltará a rugir nesse brasileirão,há 2 anos,2,
🦁,há 2 anos,0,
Essa zaga do Fortaleza que é ridícula,há 2 anos,0,
Avante meu leão 🇫🇷❤️🙏,há 2 anos,6,
Pra cima 🦁,há 2 anos,0,
Leão ta vivo,há 2 anos,0,
Fortaleza está reagindo senhoras e senhores,há 2 anos,3,
"Sou Corinthians, mas tô torcendo muito pela recuperação do Fortaleza, não seria justo se eles caíssem pra segunda divisão, vou torcer até o final pra eles ficarem na elite!",há 2 anos,28,3
"O Fortaleza pode até ser Rebaixado mais ele vai lutar,. Tomara que não",há 2 anos,0,
o Fortaleza não cai!,há 2 anos,1,
🦁🦁🦁🇫🇷🇫🇷🇫🇷,há 2 anos,1,
🦁🦁🦁🇫🇷🇫🇷🇫🇷,há 2 anos,1,
🦁🦁🦁🇫🇷🇫🇷🇫🇷,há 2 anos,0,
"Força Cuiabá,n e fácil perder pra essa piada chamada Fortaleza ahahahaha",há 2 anos,1,1
Obrigado mãe Aparecida 🙌,há 2 anos,2,
problema do Fortaleza e continua com esse goleiro  nao colocar mas o frangueiro do Boeck goleiro ruin véi,há 2 anos,1,
eu também vou torcer pro Fortaleza permanecer na elite,há 2 anos,3,
"Tmjj, vamos pra cimaa 🇨🇵🇨🇵🇨🇵",há 2 anos,0,
"Ta dando certo galera, Fortaleza ganhou 5 seguidas, jaja ta brigando pelo G6",há 1 ano,0,
Piada es tu mesmo.,há 2 anos,0,
"Jogaram bem, parabéns meu Leão querido ❤🤍💙",há 2 anos,4,
O árbitro trombando com o atacante do Cuiabá sksksksksksksksks,há 2 anos,0,
➕3️⃣✔👊🏼🦁🇲🇫🔝,há 2 anos,0,
O Fortaleza vai puxar o Cuiabá e inverter a posição !!! Kkkkk,há 2 anos,2,
Que gramado horrível,há 2 anos,1,
O jogo foi bom.,há 2 anos,0,
Vamos sair dessa situação si quiser leão 🦁 smp,há 2 anos,3,
É a melhora da morte,há 2 anos,0,1
Emoção do narrador hora do gol 💙❤️,há 2 anos,5,
Fortaleza é um timaço... Começa pelo Fernando Miguel... Que goleiraço esse rapaz... Gallardo é outro...Robson deve ir pra RJ/SP já já... O Vou de Vodka é um senhor treinador... Sorte Leâo!!!,há 2 anos,13,1
Esse Rodriguinho perde muito gol. Vôte!,há 2 anos,0,
"esse romarinho é horrivel,nos pes do moises era caixa com certeza",há 2 anos,0,
"Cada jogo é uma final, pra cima!",há 2 anos,3,
É Leão 🦁🦁🦁,há 2 anos,3,
"Parabens pela Vitória, Fortaleza. Desejo que continue crescendo, mas acho que o Fortaleza deve ser mais violento no mercado. Fazer uma megacontratação. O Fortaleza voltar a serie b seria um retrocesso muito grande. O time esta incrivel.",há 2 anos,31,
