text,time,votes,replies
"Olha tô achando que alguém a mais sem ser o torcedor fez alguma aposta esportiva aí, bah 2 penalty",há 1 ano,1,
ALCiEDS,há 1 ano,1,
quero muito que o Avaí permaneça,há 2 anos,0,
aVARi,há 2 anos,0,
"Como é mesmo, Avaí no G4 ??? Kkkkkkkkkk",há 2 anos,0,
"""Olha, chegou pelo alto, Muriqui, lá dentrooo NÃUM, ELA BATEU NA TRAVE E SAIU""

- Dandan, 2022",há 2 anos,0,
Virou creche os comentarios? Só vejo chororo,há 2 anos,0,
"Como torcedor do Coritiba vejo o seguinte,  Avaí se preparou melhor mentalmente, se impôs bem mais fisicamente,  inclusive pela segunda bola , aplicou a criptonita com os 3 atacantes deles de Pitbull na saida de bola nossa, pois é onde começa toda a engrenagem no Coritiba,  engana -se quem acha que é do meio pra frente. Até agora ninguém impôs essa pressão na nossa saída de bola e surpreenderam. Entraram como final mesmo e não só na conversa fiada de que toda partida e final. Se aproveitaram que uma vez o Coritiba  surpreendido e arroxado em seu modo de jogar , e perdido por assim dizer, se imporam taticamente em Boa parte da partida. Mereceram ganhar e o Avaí tem tudo para ter um temporada sem grandes sustos para permanecer na A. Coritiba entrou com a cabeça meia lá e meia cá. Quando foi ver passou o bonde.",há 2 anos,6,
"Boa vitória do Avaí, tomara que faça uma boa campanha e pare de ser gangorra no Brasil",há 2 anos,1,
Viu como é bom ter um juiz caseiro Coritiba?,há 2 anos,0,
"esse narrador é bom heim ,monstro",há 2 anos,1,
O barroquismo está instalado na ressacada 🙅🏻💙,há 2 anos,0,
"Muito bom ver o avaí jogando com essa qualidade, elenco muito bem encaixado é um ótimo trabalho do barroca, VAMOS LEÃO 🦁💙",há 2 anos,1,
Acharam dois pênaltis um duvidoso.sempre o da casa sera favorecido,há 2 anos,0,
Coxa roubado 2 pênalti não existiu não,há 2 anos,0,
É muito fácil bater pênalti com o Muralha no gol😅,há 2 anos,0,
Tá bem o Avaí heim,há 2 anos,0,
Esse 2 pênalti foi muito tosco kkk que ladrao esse sr juiz,há 2 anos,0,
"Ótimo começo, mas precisa manter a pegada e o fôlego, para chegar a 45-46 pontos e daí o que vier, é lucro !!!!!! Avante Leão da Ilha!!!!",há 2 anos,1,
Misericórdia...o coxa foi muito melhor...que pena.,há 2 anos,0,1
"Muito melhor = menos posse, menos chutes, menos passes, menos passes certos, menos vontade, menos tudo",há 2 anos,0,
"O coxa que entrou nesse jogo foi um coxa comprindo tabela, ja iniciaram com fabricio, leo gamalho, e robinho e egidio se o morigino tivesse querendo vencer ele colocaria leo gamalho, alef mangá e igor paixão, deixando robinho e fabricio e egidio pro segundo tempo, mas parece que ele ta de olho no jogo da copa, mas perdemos por dois erros de zagueiros, henrique e egidio...   mas é isso ae até o atletico mineiro perdeu pro america kkkk",há 2 anos,1,
Que virada do Avaí.,há 2 anos,1,
AVAÍ 2X1 CORITIBA,há 2 anos,0,
Bissoli destruiu o coxinha kkkkkkkkkk,há 2 anos,0,
"Coxa teve uma semana e um dia pra se preparar pra esse jogo. Nosso treinador deveria ter entrado com o time que vinha atuando nas últimas partidas, mas resolveu polpar três jogadores visando o jogo contra o Santos. Achei muito errado, deveria ter começado com força máxima e colocado os reservas imediatos no decorrer da partida...
Coxa não jogou como vinha atuando e o Avaí que não tinha nada a ver jogou na base da raça. 
Fui no jogo e o clima amistoso entre as torcidas lá fora foi muito legal.
Bebi lá no bar toca do Leão!",há 2 anos,1,
Coxa time de merda,há 2 anos,0,
Time de sorte 2 pênalti kkkk,há 2 anos,0,
"No segundo pênalti, não foi pênalti, o cara do Avaí se joga",há 2 anos,0,
Coritiba segue firme de volta a série b,há 2 anos,0,
Que Ataque De Respeito.  Muriqui e Morato.,há 2 anos,1,
"Sou de Itajaí, SC, sempre na torcida pelos catarinenses na elite 🙅‍♂️",há 2 anos,3,
Excelente ver o avai fazendo boa campanha,há 2 anos,2,
Rumo ao título,há 2 anos,1,
Incrivel o Avaí estar tão bem com esses jogadores ruins e o barroca como técnico kkkk esse Kevin no Botafogo cruzava em média 20 bolas por jogo e não acertava 1 cruzamento se quer kkkkkkk,há 2 anos,2,
Jogão.. Duas Equipes que estão fazendo um Grande Início de Campeonato! 👏🏽⚽,há 2 anos,10,
"Os coxa dizendo que o time não jogou bem!! Na verdade, o Avai",há 2 anos,1,
VAI ENTRANDO. LÁ DENTROOOOOOOO,há 2 anos,1,
Urra leão,há 2 anos,0,
"Time que tem Muralha no gol, fica complicado, esse daí é chama gol.",há 2 anos,2,
Ýtþþŕ⁴³vçŕs22ďiŕ,há 2 anos,0,
Falta de atenção deixar o avai virar o jogo com dois pênaltis,há 2 anos,1,
Boa vitoria do Avai,há 2 anos,2,
"0:56 Ataque com o freio de mão puxado, que lerdeza kkk",há 2 anos,0,
Egídio e Muralha pede pra sair e não voltem mais obrigado,há 2 anos,0,
O coxinha  perdeu porque so sabe jogar com falta dentro  da área estavam  apelando,há 2 anos,0,
"contra ataque lindo do avai no primeiro jogo. foi puxado pelo cortes que roubou a bola, eu assisti o jogo o cortes ta muito pesadao em",há 2 anos,1,
mesmo com os dois penaltis pro avai foi a pior partida do ano do coxa,há 2 anos,0,
Roubaram o Coritiba⚽️⚽️⚽️,há 2 anos,0,
"Ó os cara ""Avaí vai fazer história"" e bla bla bla

Falaram a mesma coisa do Coxa (sou torcedor) e a gente sabe que é mentira
Parem de se empolgar com 5 rodadas de campeonato, cambada de emocionado",há 2 anos,1,1
"Gostei da vitória do Avaí... faz com que o Coxa não vá embalado pra Vila Belmiro quinta
Mas o Peixão vai embaladão!!!",há 2 anos,0,
Avai começou beeeeem eeeemm,há 2 anos,1,
Mas boa avai,há 2 anos,1,
Aqui é inter,há 2 anos,0,
É não  deu para o coxinha começou  a decadencia agora o Santos  elimina eles na copa do Brasil  e o américa enterra eles no couto Pereira,há 2 anos,0,
"Bissoli, meu garoto, finalmente dando alegria ao CAP!",há 2 anos,6,
"Simpatizo muito com o Havaí, espero que façam uma boa campanha e fiquem na série A",há 2 anos,3,
"Isso foi pênalti mesmo?? Não mostrou replay, fiquei na dúvida!",há 2 anos,0,
"Tenho ranço de goleiro q advinha canto,fora muralha!!! Meu verdao ñ precisa de vc!!!",há 2 anos,0,
Se n fosse eeeee pênalti o avai n ganhava nunca do coritiba,há 2 anos,0,
"Muito Merecido Essa Vitória, Parabéns Avaí,""👏👏.",há 2 anos,1,
"Cara..nós torcedores do avai não estamos felizes por disputar vaga na liberta e sim por fazer um bom começo. Esse começo vai fazer diferença la no final pra fugir do rebaixamento, sabemos que nossa briga não é pela liberta. Pés no chão sempre!",há 2 anos,3,
murica Muriciriqui  caixa caixa,há 2 anos,0,
Grande vitoria do Avai,há 2 anos,4,
Jogo de série B,há 2 anos,0,
Que bom ver o Coritiba perdendo o Santos fica feliz kkkk,há 2 anos,0,
"Aeeeeee ""Guga""!!!!!
Deve tá feliz com seu Avai, hein?
É isso aí!!!",há 2 anos,0,
Parabéns  ao avai pela boa,há 2 anos,1,
"jogão de serie B, ainda segunda feira a noite kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",há 2 anos,0,
"Gosto muito desse narrador, bom e engraçado kkkkkk",há 2 anos,1,
Coritiba foi  roubado na cara dura !!,há 2 anos,1,
"vi o Avaí quando perdeu pro Corinthians, e joga bem não é um time ruim , que muitos disseram que o Corinthians ganhou porque o Avaí é fraco, não é, está jogando melhor que o próprio Corinthians e merce está nessa posição",há 2 anos (editado),3,1
O avai ta muito bem,há 2 anos,0,
Bissoli Alegrias isso ai Parabéns Avai ganhou quem tem menos série B. coxa não faz 30 pontos.,há 2 anos,0,
"Sou cap de coração ❤️
Vejo Com essas defesas do muralha o coxa não merecia perder.
Lamentável jogo foi ingrato.",há 2 anos,2,2
"Kkk rindo até agora
Temos que fazer três gols para ficar em segundo lugar
Q ridículo time dos polaco pensa que é só jogar e fazer gol",há 2 anos,0,
Bem feito seus coxas vocês ganharam do fluzao na roubalheira do juiz Klaus 😠😠😠😠,há 2 anos,0,
Lance do penalty?nao foi o primeiro,há 2 anos,0,
"Garfou o. Coritiba isso e pênalti,o cara caio de mole",há 2 anos,0,
Até parece que o Mufalha foge da bola na hora dos pênaltis. Kkkk,há 2 anos,0,
Resultado merecido. Primeiro tempo só deu Muralha,há 2 anos,0,
Coritiba tava se achando kkkk,há 2 anos,0,
Problrma contra o corinthians foi n aproveitar as chances q arranjaram,há 2 anos,0,
Como não merecia perder? O avai engoliu o coxa..,há 2 anos,2,
" @bryangil6758  engoliu é muito forte quando se tem 2 gols na partida, e os dois de pênalti, mas avai mereceu mesmo a vitoria",há 2 anos,1,
"Matheus Alexandre é muito ruim não sabe o que fazer com a bola e no gol de empate do Avaí ficou parado esperando a bola chegar deu Chance pro contra ataque .o jogo tava na mão , mas  dois pênaltis meio suspeito o primeiro o cara tava em cima da linha da grande área e o segundo bom . Boa sorte pro time do Avaí que tbm é bem fraquinho",há 2 anos,0,
"O Coritiba foi passear em Floripa 
O técnico deveria ter mexido no intervalo . visto que no primeiro tempo o time tava muito mal .",há 2 anos,0,
espero que o coxa volte pra série b,há 2 anos,0,
Egidio enterrou o time cometendo esse penalti infantil 😡,há 2 anos,1,
Dois pênaltis discutíveis...o juiz tava louco de vontade de marcar... garfaram o coxa !!!,há 2 anos,2,1
robaro o Coritiba,há 2 anos,0,
Parabéns Avaí pela vitória,há 2 anos,3,
Boa Avaí 💙💙💙bora finalmente se manter na séria A,há 2 anos,2,
"Ótimo ver esse início fantástico do Avaí 👏🏻🔥acho que a maioria imaginava o time já na lanterna do campeonato...
Tomara que termine o campeonato na séria A e se puder uma vaga na Sul americana não seria tão ruim não",há 2 anos,6,
Serie A equlibrada demais em,há 2 anos,0,
Dois foi pouco muralha fechou gol,há 2 anos,0,
jogo de serie B,há 2 anos,0,
