text,time,votes,replies
"E pensar que em 1 ano e meio, o Botafogo comprou o Matheus Martins por 60 milhões. Justo ele que fez 2 gols pelo fluminense contra o Botafogo. 
O mundo capota 
🖤🤍⚽️🏁🔥🌟🙏",há 8 dias,0,
"Vim do futuro para dizer que Matheus Martins eh do Glorioso!! Agora eh LH , MM e já já Jefinho volta para revezar!",há 11 dias,0,
Quem diria que em 2024 o Matheus Martins estaria vindo pro Botafogo por 10 milhões de euros justamente pra disputar posição com o Jeffinho.,há 2 semanas,1,
"SÓ NÃO DA PRA. OUVIR ESSE BOCA MOLE , ESSE  BORDAO SABE DE QUEM  É MUITO FORÇADO...FALA O TEMPO TODO..",há 2 semanas,0,
Tá faltando a raça e vibração de Mateus Martins no fluzao hj em dia. 😢😢,há 1 mês,0,
Fluzão,há 2 meses,0,
Esse ano ocorrera nossa vingança vamos Botafogo! Amem 🙏,há 10 meses,2,
"Eduardo
Jeffinho

Ganso
Matheus Martins",há 1 ano,4,
Jogaço,há 1 ano,0,
"O Gatito abraçou o Ganso, eu ficaria puto se fosse meu time kkkkkk tnc, ali é guerra porra.",há 1 ano,0,
AE FOGÃO GANHEMO ESSA RODADA,há 1 ano,0,
Eu tava nesse jogo,há 1 ano,0,
FLUZÃO ATÉ MORRER COM MUITO ORGULHO 😍💚❤🌟🏆🇮🇹👏👏😍💪✌,há 1 ano,2,1
jeffinho tem muito talento,há 1 ano,3,
"Só eu que gosto dessa vinheta? Eu me amarro nela, tem uma pegada de futebol brasileiro, samba e alegria.",há 1 ano,0,
Botafogo glorioso a onde,há 1 ano,0,
O Botafogo deu mole,há 1 ano,0,
Fogo olê olê,há 1 ano,0,
"Penaltizinho mandrake, não mostraram nem replay aqui pra não dar brecha, mas foi muito mandrake.",há 1 ano,0,
Cano doiminou na mão no lance do gol.,há 1 ano,0,
Fluminense até o fim☺,há 1 ano,0,
Esse Jeffinho é muito liso grande jogador que o Botafogo tá formando e esse Matheus Martins entrou e mudou tudo ambos os garotos tem muito futuro espero que tomem decisões certas na carreira,há 1 ano,3,
O cano ajeitou a bola com a mão e o juíz e a imprensa quieta estraga um jogo onde o Botafogo fez dois gols bonitos se calam fora o pênalti duvidoso,há 1 ano,0,
"Quem elaborou os melhores momentos,  das duas, uma: ou tem preguiça ou não gosta do Fluminense,  pois logo inicio Arias ficou livre na frente do Gatito e chutou com perigo.",há 1 ano,1,
"Porque vocês cortam, na hora que Luís Roberto fala, ""Mateus Martins é o nome da emoção!""?! Sifuu",há 1 ano,1,
Que melhores momentos é esse que não teve nem a bola na trave?,há 1 ano,1,
Ganso só faz gol de pênalti pqp,há 1 ano,1,1
"Pq bota juiz fraco em um jogo grande? Se aql foi pênalti pro Fluminense..queria saber se ia dar pênalti se fosse favor ao Botafogo  ia ter até VAR, quando o Botafogo entra em campo entra contra 2 adversário, arbitragem e os Times...",há 1 ano,0,
"Em campo
Mundial: 0
Libertadores: 0
Recopa : 0
Sul-americana: 0
Resumindo,dois timecos",há 1 ano,1,2
Penalty roubado,há 1 ano,0,
Vamos FLUZAO,há 1 ano,0,
A cobrança do pênalti do ganso foi aulas tmlc kkkk,há 1 ano,2,
Luiz Roberto agora grita guuuuol kkkkk,há 1 ano,1,
JOGÃO,há 1 ano,0,
O bahia é mais rico do que os 2 kkkkk,há 1 ano,0,
Por que o juiz não  olhou o var ?,há 1 ano,0,
esses árbitros do  Brasil e esse VAR que não existe é uma vergonha pro futebol brasileiro....,há 1 ano,0,
Lindo vê meu fogão em evolução lembrando que se for pra libertadores o TEXTOR vai contratar jogadores de nível gigante,há 1 ano,0,
"Se isso é penalti eu sou o homem aranha, pow! Cadê o VAR? Como diria o Tio Ben: ""Com grandes poderes vem grandes responsabilidades""",há 1 ano,0,
