text,time,votes,replies
"Fala, galera!! O que acharam da atuação do Flamengo?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,147,53
jogou muito Flamengo ❤️🖤,há 3 meses,1,
Obrigada Flamengo ❤🖤,há 1 ano,0,
Estava aí no Maracanã nesse dia,há 1 ano,0,
Eu fui nesse jogo com meu pai e nesse jogo eu torci pro flamengo,há 1 ano,1,1
Vai 😍😍,há 1 ano,2,
Flamengo 1x0 goias,há 1 ano,1,
"Goiás,fortaleza,Ceará,Bragantino,Atlético Paranaense,Avaí,São os times que mais dão trabalho pro flamengo vencer eles",há 1 ano,1,
Santos cresceu na frente do jogador do Goiás cara colocou bola pra fora do gou,há 1 ano,1,
O Flamengo venceu o Goiás na tarde de sábado,há 1 ano,1,
Como é ruim lembrar esse momento ruim,há 2 anos,1,
O maluco do Paulo Sousa faz jogo bom com Pedro e gabe mas ele não mantia o elenco,há 2 anos,1,
Gean.  E.  Nação. Flamengo.  E o Gean.,há 2 anos,1,
Essa falha do Flamengo com o Apodi foi bem semelhante a do Andreas na libertadores sorte que o Apodi perdeu o gol !,há 2 anos,1,
Que jogo,há 2 anos,1,
"a mesma coisa aconteceu hoje com o Goiás contra o Corinthians, martelou no segundo tempo mas não deu",há 2 anos,1,
Sem meu JJ eu n ganho nem estadual😭😭,há 2 anos,1,
Flamengo ladrão de oxigênio,há 2 anos,1,
Que passe do Gabigol 🤩❤🖤,há 2 anos,2,
Esse goleiro do Goiás meresse seleção,há 2 anos,1,
Flacheirinho só ganhou essa com apito amigo 👃👃👃👃,há 2 anos,14,
VAMOS MENGAO ❤🖤❤🖤,há 2 anos,10,
FLAMENGO CONTINUA SENDO O MAIS TEMIDO NANICADA SO CHORA,há 2 anos,12,
 @cruzeiro5848  chora menos kkkk,há 2 anos,12,
"O FlaCU ganhou roubado o brasileiro de 80 e a libertadores de 81, perdeu a copa união de 87, caiu em 95 mas precisou de uma manobra da CBF para se salvar. Foi durante anos o clube mais caloteiro do Brasil. Perdeu final de copa do Brasil para o Santo André. Saiu na fase de grupos da libertadores 3 vezes seguidas, tem a maior torcida terceirizada do Brasil, não tem estádio, reduziu a pensão das famílias dos garotos.",há 2 anos,9,
 @cruzeiro5848  O Flamengo não ganhou nada roubado hoje,há 2 anos,5,
"Flamengo-não tem estádio 
Corinthians-não pagou o estádio q tem 
São paulo-único tri mundial do Brasil 
Palmeiras-não tem mundial 51 é pinga",há 2 anos,1,
Que não tem para ninguém Corinthians campeão,há 2 anos,5,
Flanazista segue sem estádio e sem mundial,há 2 anos,0,
 @lucassousa5780  O Flamengo tem Mundial,há 2 anos,4,
 @cruzeiro5848  mkkkk chora menos série 🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️🅱️,há 2 anos,1,
" Biggest of South𓄂🇭🇳¹⁹²³  kkkkk tu é torcedor do nanico avai , menor de Santa Catarina",há 2 anos,1,
 @lucassousa5780  kkkkk flamengo tem mundial cara,há 2 anos,3,
 @quaer6578  mas o são Paulo e o único q não tem copa do Brasil,há 2 anos,2,
 @carluciodoamaralsuzuki8719  vc viu q nós melhores momentos o Goiás só chegou duas vezes o Flamengo dominou o jogo não foi a atuação fraca,há 2 anos,0,
"O placar não diz nada, o Flamengo pode jogar ruim e fazer 2 a 0 como foi contra o Sporting cristal",há 2 anos,1,
" @lucassousa5780  pô irmão olha os apelidos q tu dar,tua mãe não te deu educação, só lamento a mente suja! 🤷🏻",há 2 anos,1,
"O ceara não tem estádio tb nem o Fortaleza,nem o patético mineiro nem o cuzeiro",há 2 anos,0,
"Alguém sabe me informar se o canal ge significa globo esporte 
Só agora eu desconfiei",há 2 anos,1,
Vim parabenizar o Sport pelo título brasileiro de 87 👏👏👏,há 2 anos,7,
"Horrível, foi dominado quase o jogo todo, esse ano se bobear vão ser rebaixados, só ver o exemplo do Grêmio em 2021",há 2 anos,1,
 @tiktoklixu3654  Tmj amigo! 🦁🇩🇪🇧🇪,há 2 anos,2,
O Flamengo caiu no 2 tempo mais pelo menos nois ganhamos 3 pontos,há 2 anos,4,
uma bosta KKKKKKKKKKKKK,há 2 anos,0,
 @cruzeiro5848  vai ver sua série b animal,há 2 anos,2,
 @cruzeiro5848  chora série b,há 2 anos,1,
 @kaiparker3611  passou de duas linha eu não leio,há 2 anos,0,
 @marcelotavares4593  mão na grande área não e penalty ?,há 2 anos,1,
 @cruzeiro5848  que apito?,há 2 anos,1,
Goiás jogou muito bem!,há 2 anos,1,
Se o Goiás tivesse jogado por uma bola teria vencido o Flamengo.,há 2 anos,1,
Boa,há 2 anos,1,
Legal,há 2 anos,1,
Muito fracoooooo.....o cara errou o gol na cara levamos sorte hoje ❤️🖤❤️🖤❤️⚽🙌🙌🙌🙌🙌,há 2 anos,2,
 @cruzeiro5848  chora anti,há 2 anos,3,
vamo Flamengo🔴🔴🔴⚫⚫⚫,há 2 anos,3,
"Sou Mengão! 
Sendo realista, com esse treinador medíocre, ficaremos na fila em todos os campeonatos disputado.
E o culpado maior não é o treinador: é a Diretoria que é a fera em acumular dinheiro, e medíocre na gestão esportiva. Após a saída de JJ, jogaram um caminhão de dinheiro fora, na contratação de treinadores fraquíssimos.",há 2 anos,1,
" @lucassousa5780   Oh Sãopaulno se o Flamengo não tem Mundial, então o São Paulo tem 1 Mundial",há 2 anos,2,
