text,time,votes,replies
"Que jogo!!🔥⚽ 
Qual foi o gol mais bonito da partida?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,329,63
Alguém mais assistindo essa virada em 2024?,há 4 semanas,0,
Vim aqui matar a saudade.... Hoje tem!!!,há 1 mês,1,
"O time adversário, quando entrava em campo, só não sabia de quanto iria perder...",há 1 mês,0,
Voltando em 2024 pra ver esse time impressionante,há 1 mês,0,
"Isso foi em 7 Minutos no final do Primeiro tempo, agora imaginem se fosse no segundo tempo perdendo por 2x0 ?",há 2 meses,0,
Que saudades de ver um jogo assim do palmeiras! 😢,há 3 meses,0,
Palmeiras ligou o modo turbo por 7 minutos e marcou 4 gols ☠️,há 3 meses (editado),0,
Bem vindo de novo eu sei que a sua primeira vez,há 4 meses,0,
Esse time de 2022 💀,há 5 meses,0,
Esse time de 2022 era um rolo compressor...,há 6 meses,2,
💚👀,há 7 meses,0,
"Mais um jogo espetacular do palmeiras de Abel Ferreira 
👏👏👏👏👏👏👏💚",há 7 meses,0,
O terceiro gol não da pra explicar,há 8 meses (editado),0,
Quem está aqui depois da virada 4x3 encima do Botafogo?,há 9 meses,2,1
Melhor futebol do Brasil a 8 anos já. Espetacular memoravel❤,há 9 meses,0,
Saudades desse palmeiras... Leila Pereira destruiu um time incrível 😢,há 10 meses,2,
"Lembro como se fosse hoje, eu matando aula na Faculdade em BH, no buteco/churrascaria sozin comendo tira-gosto e bebendo cerveja, tava empolgadão ;) fazendo barulho rsrs, no final a galera me zuou bonit kkkkk... Eu era feliz e triste nessa época, aliás a galera q cresceu nessa época hoje não reclama de nada 🙏 Deus honrou a gente pq olha, foi cada time q vi entre 2003 e 2014 kkkkk MAIOR CAMPEÃO DO BRASIL, MAIOR BRASILEIRO NA LIBERTADORES, O MAIOR DO BRASIL PORRA 🐷💚",há 11 meses,1,
"estou aqui um ano depois pra dizer que ainda somos o time da virada, o time do amor!",há 1 ano,0,
Um ano hoje ! 🎉,há 1 ano,0,
O gol do Zé Rafael,há 2 anos,10,
Continua não tendo mundial.,há 2 anos (editado),4,
"Mano e muito palmeiras,e pal pra cá,e pal pra lá,e pal todo lado,Eu não aguento mais a cor verde.
Neto 2022",há 2 anos,4,
FORA LUAN,há 2 anos,2,
Professor retranca só faz gol com zagueiro,há 2 anos,1,
 @user-lb6xz9bd5s  E continuamos ganhando títulos!,há 2 anos,5,
 @user-lb6xz9bd5s  kkkkkkkkkkk o Palmeiras não tem mais rival!!!,há 2 anos,6,
"Ótima Vitória do Palmeiras 
Parabéns 👏👏👏👏👏👏",há 2 anos,3,
Palmeiras não tem mais rival rumo ao 11° título brasileiro,há 2 anos,1,
Só venha trikas,há 2 anos,0,
 @cruzeiro5848  série B 🤏🤏🤭,há 2 anos,1,
 @user-lb6xz9bd5s  Quem está falando de Mundial?,há 2 anos,1,
E o Luan como sempre  fazendo cagada!!! Puta que Pariu!!!!,há 2 anos,0,
Ímparavelmeiras já pode erguer a taça ou ainda é cedo?,há 2 anos,1,
O 2 gol de Ze Rafael do Palmeiras foi o gol mais Bonito da Partida ge,há 2 anos,1,
⛔Quero ver o REACT do Hugão corinthiano depois pra eu rir 🤣🤣🤣🤪!⛔,há 2 anos,1,
 @user-lb6xz9bd5s  problema teu!🤪,há 2 anos,1,
Kkk aproveita quando a fase tá boa depois já era sem mundial pegou só baba,há 2 anos,0,
De luan,há 2 anos,0,
o gol contra do Luan kkkkkk,há 2 anos,0,
O do Luan foi um golaço,há 2 anos,0,
Kskskskkskskksksks......e para rir ?,há 2 anos,0,
o golaço do luan 😂,há 2 anos,0,
Gol de voleio do Luan kkkkkkkkk,há 2 anos,0,
O contra!,há 2 anos,0,
o golaço do Luanel Pereira kkkkkk,há 2 anos,1,
"@ɴᴏʙʀᴇ
Fato",há 2 anos,1,
"@Mistério
Fica Luan 😂😂😂",há 2 anos,1,
"@Cruzeiro 🇮🇹
Concordo Marias mais aqui é série A não 🅱️ Kkkk",há 2 anos,1,
"@Mistério 
que títulos ?? de ser vice por 2 anos seguidos no mundial 😂😂😂",há 2 anos,1,
"@ Keven Lopez
Digo a mesma coisa e só cês olhar os números de nós contra a trikada e contra o viuvas cês Ainda pode esperar mais com a grande vantagem nos clássico posso dizer a msm coisa kkkk",há 2 anos,1,
"@Ruan Martins
Calma aí kkk tá achando que é tão fácil assim uma hora cês volta pra baixo kkkk",há 2 anos,1,
"@Arthur Fernandes
o cara né ele comentou primeiro",há 2 anos,1,
"@Ruan Martins
Ainda é cedo ano passado cês começaram bem e perderam 6 jogos seguidos Ainda é cedo",há 2 anos,1,
"@Selvagem Brasil
o ploblema e dele mesmo já que ele deve ter mundial cês não kkkkk",há 2 anos,1,
"@notlew
Né as mesma baba que todos os times estão pegando então eles aproveita msm",há 2 anos,1,
O Gol contra do Palmeiras,há 2 anos,0,
O miserável impediu eu de comprar uma moto zero apostei 4x1,há 2 anos,0,
"Palmeiras deixou o Atlético GO marcar o primeiro gol só para cantar a música que o Abel gosta

Meu Palmeiras é o time da virada
Meu Palmeiras é o time do amor
Lê Lê Lê Lê Lê Lê Lê....
Oh oh ohhhhh



Sigam o líder",há 2 anos,0,
 @user-lb6xz9bd5s  Aiai dou é risada.,há 2 anos,0,
