text,time,votes,replies
Obrigado meu deus Atlético-MG Hulk 🇧🇷🇧🇷,há 3 meses,1,
top amigo 🤩🤩,há 1 ano,1,
Galo ajuda os venezuelanos .... orgulho do savarino  🖤🤍🏆,há 1 ano (editado),0,
"0:27 alguem tem falar pro everson parar com essa merda, tomou um gol pro flamengo nessa mesma burrice....",há 1 ano,0,
"Galo jogou contra quem , mesmo 🤣🤣",há 1 ano,0,2
Contra o galo essa desgraça vira neuwer ai na proxima rodada toma 3 certeza fdp,há 1 ano,0,
Linda defesa de Fernando Miguel!,há 1 ano,3,
Fernando Miguel o herói do Fortaleza,há 1 ano,0,
"👊 Sem o tal tanajura, o Arana e o tal nacho os Patéticos mineiros e time comum , igual os outros por aí !!! A normalidade está voltando né kkkk , só daqui há 50 anos novamente pra levantarem o campeonato brasileiro novamente ✋✋✋ cenas dos próximos capítulos BY ED FLOYD 💎👊✋",há 1 ano,1,
FORTALEZA 0X0 ATLÉTICO-MG,há 1 ano,0,
O Atlético amassou o Leão kkk,há 1 ano,0,
Atleticano tem q ver jogo c calmante.os caras chega na area erra gol.bobagem s fazer gol bonito.chuta de bicuda qualquer jeito.mas faz o gol.nao domina a bola,há 1 ano,0,
ai credo,há 1 ano,0,
Defesassa do Fernando Miguel melhor lance do jogo !,há 1 ano,1,
Uma vergonha o papelão que o meu Galo está fazendo neste campeonato.,há 1 ano,0,
Fernando Miguel monstro agora foi uma falha goleiro do Atletico quase saindo da área para socar bola sendo que já estava em domínio o defensor do seu próprio time e por pouco não machuca seu companheiro!,há 1 ano,0,
Este ano já era.,há 1 ano,0,
Jogo ruim o Atletico não esta jogando nada.....Desta vez o Cuca fracassou..,há 1 ano,0,
Que defesa do FM,há 1 ano,0,
Patético Mineiro nanico do futebol mundial,há 1 ano,0,
Contra tua mãe,há 1 ano,0,
" @Moisesoficial2  tuamãe 🤔 , não conheço esse time..",há 1 ano,0,
Quem não assistiu esse jogo perdeu a oportunidade de pagar um monte de pecados !,há 1 ano,0,
"Já vi time ficar 15, 16 e 18 rodadas na liderança, ou ficar o campeonato todo na zona de rebaixamento, mais ficar 14 rodadas em sétimo lugar esperando os outros perderem e difícil.",há 1 ano,0,
"Sem pênalti ,ganha não",há 1 ano,0,
"O Fortaleza não se deu bem, assim como o deputado Davi Macedo ou Davi de Raimundão que é um dos denunciados junto com seu irmão Maurinho Macedo, pelo MPF por desvios de empréstimo junto ao BNB, do total de R$ 29,5 milhões, sendo os recursos desviados para o hotel e a torre comercial, não prevista no projeto anexado ao Shopping Juazeiro. Além disso, tentaram fazer novo financiamento com recursos federais, apresentando projeto com informações falsas sobre a obra.",há 1 ano,0,
Esse goleiro sempre fez papel de palhaço querendo aparecer toda vida que faz uma defesa isso já vem desde do tempo que ele jogava no ceara anti profissionalismo isso vc ver que ele sai do gol faz defesa e volta correndo pra trave faz outra defesa e cai no chão.detalhe sem o time tá ganhando ele faz essa palhaçada,há 1 ano,0,
