text,time,votes,replies
"Fala, torcedor do Furacão! 🌪 Gostou da contratação do Felipão?
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,51,10
Hhu,há 2 anos,0,
Hhuu,há 2 anos,0,
"Mesmo com o VAR ainda tiveram a ruindade de marcar um pênalti desse, é nítido que a ação de toque vem primeiro do jogador do Atlético, o zagueiro até recolhe a perna.",há 2 anos,0,
Ceará sempre bem representado no gol!👏🏻,há 2 anos,0,
"Tem muitos querendo resolver sozinho lá na frente. E só trabalhar em equipe que goelam qualquer time. O Vitinho teve duas oportunidades de deixar os companheiros na cara do gol e não fez, o técnico precisa trabalhar isso.",há 2 anos,0,
Boa vitoria do atlético Paranaense,há 2 anos,1,
Deu furacão,há 2 anos,1,
Ta loco pênalti escancarado,há 2 anos,0,
Olha série 🅱️🅱️👻👻👻👻,há 2 anos,1,
"Pq não tem narração, algum motivo contratual?",há 2 anos,1,2
Atlético PR 08/05/22,há 2 anos,1,
O time precisa toca mais a bola no último toque se toca pro meio tinha feito uns três gols ... Vitinho não toca uma,há 2 anos,1,
Podem anotar..esse ano o siará (Kanal) vai cair!!,há 2 anos,1,
narração daaaa,há 2 anos,0,
Quero esse narrador na copa do mundo.,há 2 anos,1,
"Esse juiz é péssimo, precisou do VAR para da esse pênalti",há 2 anos,0,
👆🏾,há 2 anos,0,
"PARABÉNS AO ATLÉTICO PARANAENSE, VITÓRIA MERECIDA, PORQUE JÁ ESTAVA DANDO MUITA TRISTEZA AOS SEUS TORCEDORES, CONTINUA ASSIM.",há 2 anos,2,
ATHLETICO-PR 1X0 CEARÁ,há 2 anos,0,
 🌀404 PAGE NOT FOUND🌀  boa noiteee!,há 2 anos,3,
"oii oii boa noite 🥰, só que não sou torcedora não desses time ruim 🤭",há 2 anos (editado),1,
" @MariaEduarda0610  boneca vc tá no canal errado, da pra ver que tu nem gosta de futebol",há 2 anos,0,
 @paulomartins3094  machista 🤔???,há 2 anos,0,
 @MariaEduarda0610  vá dormir guria,há 2 anos,0,
Boa noite ge 😪😪😪,há 2 anos (editado),0,
Muito! É o técnico brasileiro mais vencedor da história do Futebol. O Athletico precisa de um técnico como o Felipão para reabilitar o hoje abatido Terans. Vai dar certo! 🙏🙏🙏🙏🙏🙏,há 2 anos,0,
 @MariaEduarda0610   Time Que Ganhou Do Time Do Cheirinho kkkk,há 2 anos,0,
Sou tocedor do Botafogo e Brasil mais Gostei da Contrataçao de Felipao pro Atletico Paranaense,há 2 anos,1,
Cadê o estádio do flaesgoto ge?,há 2 anos,0,
"Lei do mandante, CAP fechou contrato com o canal do Casemiro na Twitch e os outros clubes com Premiere",há 2 anos,1,
" @miqueias3122  brabo, obrigado caro Miquéias!",há 2 anos,1,
Abner  no meu cartola foi que nem luva,há 2 anos,1,
Emocionante a narração...,há 2 anos,0,
"O ""Felipão"" era técnico do palmeiras quando percebeu que iria cair pra 2ª divisão, largou a batata quente e fugiu. a mesma coisa aconteceu no gremio. Adivinha o que vai acontecer com esse time ?????",há 2 anos,1,
Ufa né o podle ganhou uma kkkk,há 2 anos,1,
Jogo bom parabéns as equipes,há 2 anos,0,
cadê os créditos da transmissão pro Casimito?,há 2 anos,1,
Vamo furacão,há 2 anos,1,
Já esquerceram dos 5 time patético,há 2 anos,1,
