text,time,votes,replies
"E ai Torcedores!😎
O que acharam da partida? ⚽
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,49,19
esse jogo foi triste,há 1 ano,0,
🏠🏠🏠🏠🏠,há 1 ano,0,
Serio,há 1 ano,0,
Que jogo feio,há 2 anos,0,
"Não  sou santista,mas lisca vai fazer um ótimo trabalho no santos,ele ainda organizará o santos.",há 2 anos,0,4
desgraça de jogo ruim.,há 2 anos,0,
"Série B esperando o Fortaleza de braços abertos, seu lugar certo",há 2 anos,1,1
"A incrível historia do clube que só vendia nunca reforçava e trocava de técnicos a cada 4 mesês, hoje na sessão da tarde",há 2 anos,0,1
Depois dizem que o Fortaleza tem torcida!!,há 2 anos,1,
Sampaio Corrêa  torce pela recuperação do seu filho,há 2 anos (editado),0,2
Pici  Parangaba  Fortaleza Ceará  sede do Leão do pici,há 2 anos,1,
Julho de 2022,há 2 anos,1,
Corinthians  e cera quinta divisão em 2023,há 2 anos,1,
Fortaleza campeão brasileiro  de 2022,há 2 anos,1,
T G teu futebolzinhu é de b,há 2 anos,0,
Fortaleza já era serie b na certa,há 2 anos,0,1
O que acontece com o Fortaleza?,há 2 anos,0,
Infelizmente já temos o 1º Rebaixado,há 2 anos,0,1
Estou só esperando a volta do Fortaleza pra série b.,há 2 anos,0,1
Boa!!,há 2 anos,2,
"Horrível,sardinhas não sabe atacar",há 2 anos,5,
Kkkkk pensei que era o jogo do Corinthians,há 2 anos,2,
 Diego Santos  tambem reparei ksksksk,há 2 anos,1,
e essa thumb aí estagiário,há 2 anos,1,
Fortaleza merecia a vitória de qualquer jeito,há 2 anos,2,
Ninguém Fc nanico não consegue nem ganhar do Fortaleza,há 2 anos,6,
"Fabio Santos na thumb,ta doido estágiario ???",há 2 anos,2,
@Edilson ve thumb do vídeo,há 2 anos (editado),1,
jogo mais feio que eu,há 2 anos,0,
Sou Torcedor do Botafogo e do Brasil mais eu Gostei da Partida,há 2 anos,0,
Santos não ganhou de dó,há 2 anos,0,
Pior jogo da rodada,há 2 anos,1,
Jogo duro de se assistir!,há 2 anos,0,
As sereias são muito fracas não consegue ganha de time grande imagina de time pequeno😂😂,há 2 anos,1,
Boa partida,há 2 anos,1,
"""Lembrei, que tô rebaixado
É muita raiva misturada com tristeza
Olha eu chorando e dando porrada na mesa""
~😞🇳🇱 2022",há 2 anos,1,
Ninguém FC só empata kkkk,há 2 anos,1,
 @palzaoterrordananicada2395  Santos Empate Futebol Clube😂😂😂,há 2 anos,1,
Vdd,há 1 ano,0,
Vdd,há 1 ano,1,
 @raphaelrocha3191  kkk ele tá  no santos  ainda ? Kk,há 1 ano,0,
Verdade,há 1 ano,0,
Com ctz,há 1 ano,0,
"*A incrível história do clube que só vendia,e reforçava o banco com perebas.",há 2 anos,0,
Kkkkkk,há 1 ano,0,
Obrigado oh poderoso Pai🤣,há 1 ano,0,
Zikou,há 1 ano,1,
Zikou,há 1 ano,1,
