text,time,votes,replies
"Que jogão! Pra você, qual foi o destaque da partida?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,337,126
NEHDAGGEBGDANEANEANEL,há 12 dias,0,
Io,há 1 mês,1,
Que GOLAÇÇÇÇOOOOOOOO!!!,há 1 mês,0,
Parabéns ao time do Flamengo ❤🖤,há 3 meses,0,
Empate dnv no Brasileirão KKKKKKKK,há 3 meses,0,
01:48 Santos ☠️,há 7 meses,0,
Gustavo 🦅🦅💚💚💚🏆🏅🤫,há 10 meses,1,1
Sou flamengo mas que golaço do veiga,há 11 meses,0,
Flamengo 😀😀😀,há 1 ano,1,
A história se repetiu ontem..,há 1 ano,1,
AO VIVO REDE MANCHETE CANAL 06 SOCIEDADE ESPORTIVA PALMEIRAS US AIR SPACIAL DOS ESTADOS UNIDOS GENERAL casados morando na mesma chave de porta de casa 🏠 no aeroporto floriopolis Parnaíba pi FRANCISCO ALVES DOS SANTOS FILHO e MADALENA ❤❤ do bairro Borja Machado voltando pra o bairro Santa Luzia Pindorama aeroporto,há 1 ano,0,
Esse ano aconteceu de novo,há 1 ano,1,
"Não tem jeito a Leila Pereira vai ter que comprar reforço, Palmeiras com elenco que tem não ganha mais nada!!!!!",há 1 ano,1,5
"Que jogo hein! Os feras do futebol brasileiro nós temos jogadores no Brasil ótimos pra seleção brasileira, tá aí nos dois times palmeiras e flamengo",há 1 ano,1,
Narracão sabe de quem Luis Roberto de mucio e o nome da emoção galera,há 1 ano,1,
O que scarpa joga é um absurdo,há 1 ano,0,
Se o Flamengo tivesse com os titulares teria sido um massacre do Mengão,há 1 ano,1,
Sou palmeirense e eu dou parabéns também pro flamengo ❤,há 1 ano,0,
"O Flamengo oferece muito perigo ao Palmeiras dentro do Allianz.  Não é a toa que nos últimos  6 jogos lá , sao 2 vitórias  do Flamengo e  4 empates .",há 1 ano,2,
"Dois timecos que só ganham com ajuda do Var, 👃👃👃🌴🌎🚫",há 1 ano,13,
O Chiqueiro é nosso dês de 2017 não perdemos lá dentro kkkkkk,há 1 ano,17,
"Dudu, Ayrton Lucas e o Veiga pelos golaços (sim, estou contando o impedido porque aquela batida na bola foi sensacional)",há 1 ano,12,
Dudu e Murilo.,há 1 ano,8,
Mas que Jogaço,há 1 ano,8,
Airton lucas,há 1 ano,8,
"Ayrton Lucas e Dudu, e melhor PARTIDA da RODADA",há 1 ano,8,
Deyverson 👃,há 1 ano,4,
CHORA PALRETRANCA SO GANHOU POR O FLAMENGO NÃO ESTAVA COM OS TITULARES POR QUE SERIA HUMILHADO,há 1 ano,11,
ALO RAÇÃO LEMBLA DA NOÇA MUZICA É ACIM Ó: EM DIZEMBRU DI 81 COLOCAMU US ENGLEZES NA RODA 3 A 0 NU LIVEPUL FIKÓ MARCADU NA ISTORIA,há 1 ano,1,
" @kesoborghezan5473   HAVERTZ , GOL DO CHELSEA",há 1 ano,9,
Flamengo com Reservas no Primeiro Tempo até aos 36 deu conta contra o Palmeiras,há 1 ano,6,
Vao fica no cherinho 👃 👃 👃 de novo 😂,há 1 ano,4,
" @paraaprenderitaliano8364  Mas não conseguiu, golaço de Raphael Veiga e liderança segurada!",há 1 ano,3,
" @paraaprenderitaliano8364  Segue o vice 👃👃👃,
porque o líder disparou 😎",há 1 ano,2,
"Sou flamengo e fico me perguntando: como que pode uma torcidinha do estado mais rico e populoso do Brasil, ser engolida pela torcida do gigante flamengo no Uruguai? Como que pode um clube ter ganho 4 brasileiros da mamãe CBF, sem ter jogado 20 jogos no total? Como que pode um clube, ser alguma merda graças a crefisa e Parmalat? Como que pode um clube, dizer que tem estádio, mas quando os verdadeiros donos precisam tem que jogar em Barueri? Como que pode um clube ter ganho o campeonato brasileiro de 2016 roubado do flamengo? Como que pode um clube ter ganho a copa do Brasil roubada de 2015? Como que pode um clube ficar 20 anos sem ganhar um mísero título? Como que pode um clube dizer que tem academia, mas nunca formou ninguém? Como que pode um clube ser tão trambiqueiro assim?",há 1 ano,2,
Dudu,há 1 ano,1,
Cadê o penalti no Gomez???,há 1 ano,2,
" @neves6385  Outro que reclama mesmo o flamengo empatando, cada uma, cada uma.",há 1 ano,1,
" @neves6385  Não estamos no Vice, só que pior que vice",há 1 ano,2,
