text,time,votes,replies
"O que acharam da partida?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,25,8
Yay 🤩🤩,há 1 ano,0,
"O GOIÁS ganhou na Serria
Que milagre esse estádio ,tem pelo o menos umas 3 cabeça de burro enterrado nesse gramado
🙄🙄🙄🙄",há 2 anos,0,
Fazendo gol até falar chega,há 2 anos,1,
O Pedro Raul era ruim mas agora tá galeramdo,há 2 anos,1,
Pedro Raúl seria o jogador ideal pra jogar na falta do Calleri.,há 2 anos,0,
Cuiabá só pegou os resto dos resto kkk,há 2 anos,0,
GOIÁS 1X0 CUIABÁ,há 2 anos,0,
Goiás tem um bom time!,há 2 anos,0,
Jogaaço⚽️⚽️⚽️,há 2 anos,0,
Pedro raul e um bom atacante merecia um time de mas expressão,há 2 anos,1,
"O Cuiabá quase caiu pra segunda divisão ano passado , esse ano se continuar assim , desta vez não escapa",há 2 anos,1,
O homem não perdoa mesmo só precisou de um oportunidade grande atacante,há 2 anos,0,
Lucas ruan solteiro celular divina costa Macedo Pedro Afonso,há 2 anos,2,
Brunnno solteiro celular divina costa Macedo Pedro Afonso,há 2 anos,1,
Matheus sales solteiro celular divina costa Macedo Pedro Afonso,há 2 anos,2,
Vinucuis santos solteiro celular divina costa Macedo Pedro Afonso,há 2 anos,1,
Boa esmeraldino,há 2 anos,1,
Série b pra os dois,há 2 anos,0,
Golaço de Pedro Raul,há 2 anos,0,
"Quando esse técnico foi para o Cuiabá eu já sabia que ia dar merda, ano passado Cuiabá estava bem melhor do que neste ano, foi trocar de técnico, agora ano que vem Cuiabá vai pra série B se brincar no outro ano vai estar na série C, time joga nada, finaliza super mau! Técnico não sabe fazer uma estratégia de jogo!!",há 2 anos (editado),1,
Legal,há 2 anos,0,
"Ta numa Marra este Pedro Raul hein ¿ 
O MAIOR DO CENTRO OESTE venceu de novo !!!",há 2 anos,2,
Um bom resultado para o Goiás .,há 2 anos,1,
O Cuiabá cansou de perder gols e perdeu o jogo..,há 2 anos,2,
" @isaiasayres7757  O que vale é bola na rede, isto mostra que o Cuiabá não é bom, é ineficiente.",há 2 anos (editado),0,
