text,time,votes,replies
"Gostou do jogo, torcedor? As mães santistas ficaram ainda mais felizes neste domingão!

Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,168,36
Show de Bola Cuiabá 💚💚,há 3 meses,1,
aí quem mais sente falta do bapistao? jogava bem mais que o bagra,há 9 meses,0,
vai cair em cuiaba    saaaaaaaaaaaaantoooooooooooooooos,há 11 meses,0,
VINGANÇA KKKKKK,há 1 ano,1,1
"Quem ta aqui depois do cuiaba fazer três a zero no santos no brasileirão 2023 clicar aqui
👇",há 1 ano,1,1
não sei 🤩🤩,há 1 ano,1,
"Que voz irritante dessa comentarista, será que ela não se ouve.",há 1 ano,0,
Segue Santos vamos 🍭♥️♥️,há 1 ano,0,
Essa narradora é muito tosca,há 1 ano,0,
essa voz de narração é muito ruim,há 2 anos,0,
"é isso mesmo, 7 minutos de video? kkkkk",há 2 anos,0,
"Santos meu amor  ôôô

Narração bosta",há 2 anos,0,
Santos jogou de mais esta narradora espetacular,há 2 anos,0,
.,há 2 anos,0,
ML9❤,há 2 anos,0,
Que narração podre,há 2 anos,0,
"O Santos pela grandeza de sua história , tinha que ter um estadio maior de preferência aqui na capital aonde tem mais torcedores doque em Santos , como é que vai arrecadar verba com um estádio pequeno desses cade a diretoria pra pensar nessa hipótese , lamentavel ver meu Santos com um mini estádio, vergonha,,😔",há 2 anos (editado),2,
Tão deixando a gente sonhar !,há 2 anos,0,
Sempre santos🤍,há 2 anos,0,
"Contra Cuiabá é um leão KKKK no clássico fez nada, timeco",há 2 anos,3,
Jogaram demais! ⚪⚫👑,há 2 anos,1,
"Palmeiras e Santos gigantes, o resto é pequeno",há 2 anos,5,
Corinthians eterna segundinha,há 2 anos,2,
São Paulo bonecas,há 2 anos,1,
 @jonaspfc6331  ganharam no apito,há 2 anos,6,
"Só tem que tira essa narradora, tive que ver os melhores momentos, sem som, pois essa mulher narrando não dá ! Voz chata do krl kkk",há 2 anos,10,
"Se seu time não é o corinthians, parabéns, ele é gigante!👏👏👏",há 2 anos,1,
 @carlosalberto-jq1np  😂😂😂🤣🤣🤣🤣🤣🤣😂😂😂,há 2 anos,0,
