text,time,votes,replies
"Que jogo!!🔥🔥
E aí, Palmeiras vai continuar líder?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,146,46
Boa meu Palmeiras 💚💚 🏆🏆🏆🏆,há 3 meses,0,
😅❤😅❤😮❤😮😮😮❤😅❤😅😮😂😮😂😮😮😂😮🎉🎉😮😮😮😅😂😂😅😂😅😂😅😅😂😅❤😅😅😅😅❤,há 7 meses,0,
❤😅❤😅😮❤❤😅❤😅❤😅❤😅❤😊😊😊❤😊😊❤😅❤😮😂😂😮😂😮😮😂😮😅😅😅❤😊,há 7 meses,0,
😮❤😮❤😮❤😮❤😅❤😅❤😅😅😅❤😅😅😅😂😅🎉😅🎉😅🎉😅🎉😅🎉😅😅😂😅😂😂😂😅😂,há 7 meses,0,
😅❤❤😅😅😅❤😮❤😂😮😢😂😢😂😂🎉😂🎉😢❤😢❤😮❤❤❤😅😅😅😅❤,há 7 meses,0,
😅❤😅😅❤😅❤😮😮😂😮😢🎉😢🎉😮🎉😮😮😂😅😂😂😅😅😂❤😅😅❤😅😅❤😅❤,há 7 meses,0,
"Que jogo injusto, pqp",há 9 meses,0,
"Voltando aqui pra ver a diferença do lance do pênalti, com o lance do Richard no Everton Ribeiro...a única diferença que vi foi o apitador, certamente assombrado com a pressão da blogueirinha",há 1 ano,0,
Palmeiras vence hoje,há 1 ano,0,
Roubaram o santos esse dia,há 1 ano,0,
Roubaram o santos esse dia,há 1 ano,0,
"Palmeiras, o pai do Santinhos 🤣",há 1 ano,0,
[O PLANETA É AZUL E VERDE!!!],há 1 ano,1,
Vim do futuro pra dizer que o mesmo resultado aconteceu hoje.,há 1 ano,1,
Ultimamente lomba tá melhor que no Everton  dois  últimos gols do Everton  foi  furo dele,há 1 ano,0,
"2:02 esse pênalti foi idêntico ao pênalti que exatamente nessa area do campo, foi o marcos rocha q sofreu contra o Grêmio em 2021 que foi 3x1 pro palmeiras",há 1 ano,1,
Olá eu preciso saber porque o vídeo sempre quanpe quando eu estro mantenho o vídeo,há 2 anos,0,
"Hoje o mayke  fez uma falta igual essa do Batistão no gol anulado do santos ,essa arbitragem brasileira é uma putaria ,merda de juízes e merda de VAR ,isso é uma PUTARIA",há 2 anos,0,
