text,time,votes,replies
"Faaaaaaala, galera! O que achou da estreia do Endrick?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano (editado),230,91
😢😢😢Endrick obrigado por 2023❤😢😢😢,há 2 meses,0,
𝙿𝚊𝚕𝚖𝚎𝚒𝚛𝚊𝚜,há 3 meses,0,
Gustavo 💚🦅🦅🏅🏆,há 9 meses,1,
ARTHUR 😮😮😮😮😮,há 9 meses,0,
"Time sem vergonha, time que tá tendo mais tempo pra treinar, é muita falta de comprometimento",há 10 meses,0,
Vamos 🤩🤩,há 1 ano,2,
"E um privilégio de ver Milton leite narrar esses jogos,minha infância no PES",há 1 ano,0,
O dia que conheci o Allianz! Quero voltar muito mais vezes!,há 1 ano,0,
"Os times sofreram muito com essa bola aeria do Palmeiras, enquanto o sofrimento do Palmeiras foi com o VAR",há 1 ano,0,
Etwuwuwi38,há 1 ano,0,
Gjehfwjf,há 1 ano,0,
que jogo do palmeiras... se jogar assim contra o sp é goleada,há 1 ano,0,
Agora é ver em que rodada será campeão,há 1 ano,0,
Se não fosse o goleiro do Goiás seria uns 7,há 1 ano,0,
Isso continuem comemorando brasileirão como se fosse MUNDIAL CHUPAPALmeirenses,há 1 ano (editado),0,
"Meu verdão está imbatível este ano 😍💚, pena que somos muito prejudicados com a arbitragem",há 1 ano,0,
O que esse Breno Lopes joga também é brincadeira,há 1 ano,0,
Piquerez é ruim em,há 1 ano,0,
E campeão,há 1 ano,0,
"Quase marcou dois gols, o mlk vai voar em 2023",há 1 ano,14,
"Quase marcou dois gols, o mlk vai voar em 2023",há 1 ano,8,
Novo pelé !!!!!!,há 1 ano,6,
Boa,há 1 ano,5,
"Verdão maior das galáxias, massacra mais um nanico... 




Normal. Esse título já é nosso!",há 1 ano,6,
ESSE E O ENDRICK? OUTRO PEREBA ENGANAÇÃO NESSE TIMECO KKKKK,há 1 ano,11,
" @flamaquinarumoaotetradaame847  timeco são vcs que ñ vão ganhar nada, bando de sem Mundiais 😂😂😂",há 1 ano,10,
 @flamaquinarumoaotetradaame847  Flaputas com o cool doido do gol do Deyverson ainda,há 1 ano,3,
Foi bem pois faltou o gol,há 1 ano,2,
MT foda quase marca seu primeiro gol na sua estreia foi mt bom,há 1 ano,2,
 @flamaquinarumoaotetradaame847  sai pra lá flacheirinho e vcs que falaram que tinha a melhor base kkk seus urubu,há 1 ano,4,
"O garoto estava bem ansioso, uma bola frente a frente com o goleiro não concluiu em gol, um lance 3 contra 1 preferiu a individualidade que servir o companheiro. Oque é normal tratando-se de 16 anos . Não está pronto pra ser titular. Com respeito a quem tem essa ideia em mente.",há 1 ano,11,
Esse pé de rato vai ser um novo Vagner Love daqui a pouco troca de lado e vai pro Gambá,há 1 ano,0,
"Boa demais entrou em pouco minutos, e um pouco da da falta que scarpa e dudu nas entrosamento de passe pra levar a bola até finalizar é difícil.",há 1 ano,2,
Faxmeiras minúsculo não tem Mundial,há 1 ano,2,
@Edilson kmm1,há 1 ano (editado),0,
PALPITES DE AMANHÃ JÁ DISPONÍVEL NO NOSSO CANAL. COM BILHETES PRONTOS!!⚽️🔥,há 1 ano,0,
Normal,há 1 ano,1,
Segui o líder 💚💚,há 1 ano,0,
 @flamaquinarumoaotetradaame847  vcs queriam ele antes kkkkkkk que inveja,há 1 ano,0,
Obininha estreou contra time pequeno,há 1 ano,1,
Ótima estreia pena que não saiu o gol dele 👍🥶,há 1 ano,0,
"​​ @wesleyalexandre1843  😂😂😂😂😂 cacete, Vitor roque com essa idade já deu uma assistência magestral contra o Palmeiras q resultou na classificação do Athletico paranaense na final de libertadores, e ainda falam q o endrik e o futuro do Brasil!!! 😴😂😂😂🤦🏻 cacete",há 1 ano (editado),2,
"​ @BEC20k  cara oq tem nesse endrik? estão forçando muita coisa q não é!!! tipo o xavi, se n for revelação do cruzeiro ou do santos não!! não vai ser um jogador de potência mundial",há 1 ano,3,
"​ @flamaquinarumoaotetradaame847  tmb acho, se fosse o Vitor roque ou stenio do cruzeiro fazia esse gol q ele perdeu 😂😂😂😂🤦🏻🤦🏻😂😂",há 1 ano,1,
Tempo ao Tempo. O menino é ótimo e logo logo vai brilhar.,há 1 ano,0,
" @theuditz.com35  na base o menino amassou, só dá tempo Man, vamos ter paciência",há 1 ano,0,
" @BEC20k  maninho, base e base! Profissional e diferente, pq ninguém ficou nessa esperança toda quando o Vitor roque foi estréiar? Q e 1 milhão de vezes melhor do q ele? Só pq o Vitor roque era de MG??? Ou então tem q ser do eixo pra ser hipado?",há 1 ano,1,
" @BEC20k  o Brasil e uma merda pq só dá o cu prós jogadores do eixo, todos esquecem q o Pelé nasceu em minas gerais, estado q o Vitor roque nasceu, se pegassem todos os famosos de MG e tirassem do Brasil, o Brasil não seria nada 😂😂😂 são um bando de babão, e o pior q esse endrik nem tinha estreiado no profissional ainda, e todo mundo já baba ovo dele, e só mais um xavi igual eu falei",há 1 ano,0,
Volto novamente e pergunto qual a dificuldade de vcs deixarem passar a narração do gol toda? Minha opinião fica melhor revejam isso pfvr obrigado...,há 1 ano,0,
Nunca serão ímparavelmeiras nanicada,há 1 ano,0,
Palmeiras só tá cumprindo tabela pois não temos Rivais nesse país de micróbios,há 1 ano,0,
" @flamaquinarumoaotetradaame847  falou o cara que achou que ia ganhar tudo em 2022 , cheirinho está no ar 👃🏼",há 1 ano,0,
 @flamaquinarumoaotetradaame847  timeco é o teu 👃👃👃👃 tu viu os gols dele na base o que lê faz só boto o gol de bayke q tu vai morre e n vai fazer nunca o que ele fez seu acabado aqui e a melhor base do futebol 👃👃👃👃,há 1 ano (editado),0,
Não sei avaliar sem ver o lance em que ele puxou o contra-ataque,há 1 ano,0,
Ok,há 1 ano,0,
 @theuditz.com35  invejoso da porra tu man,há 1 ano,0,
 @_Erick7  Se ele não sofrer alguma lesão grave ele vai ser melhor que o Pelé.,há 1 ano,0,
"Está faltante lance aí, cadê a jogada do endrick que ele quase fez um golaço?",há 1 ano,0,
Ú,há 1 ano,0,
@Edilson ppup,há 1 ano (editado),0,
Pippppp,há 1 ano,0,
@Edilson ppu,há 1 ano (editado),0,
P,há 1 ano,0,
P,há 1 ano,0,
@Edilson pupu,há 1 ano (editado),0,
@Edilson pup,há 1 ano (editado),0,
Ppp,há 1 ano,0,
U,há 1 ano,0,
P,há 1 ano,0,
Nada de mais,há 1 ano,1,
 @_Erick7  😂😂😂😂😂,há 1 ano,0,
 @SubaruOrgulho  assisti a gente pela telinha pq vcs foram eliminados porraaaaaaa,há 1 ano,0,
"Atuação normal, se fosse o fenômeno com a idade dele tinha metido 2 gols nesse jogo.",há 1 ano,0,
Muito melhor que a narração do Milton Leite!,há 1 ano,0,
" @isaquemartins1110  Além de ser o primeiro Campeão Mundial interclubes, é o melhor brasileiro na Libertadores disparado com vários recordes, é o maior campeão do Brasil,com vários recordes no futebol brasileiro, campeão do século XX! E aí ,o que diz?",há 1 ano,0,
" @theuditz.com35  É muito inveja mesmo! Não se preocupe não, quando ele for pra Europa,ganhar os milhões dele,ele volta pra se aposentar no teu time!",há 1 ano,0,
 @SmileForNoCry  : Contra adversários semelhantes a ele quase sempre as coisas dão certo.,há 1 ano,0,
