text,time,votes,replies
23/06/2024. Domingo. 12:20.,há 1 mês,0,
Win Amém 🤩🤩,há 1 ano,1,
Jogo bom,há 1 ano,2,
Só o terans faz golaço de longe nesse Brasil senhor,há 1 ano,2,
Hu,há 1 ano,0,
Huu,há 1 ano,0,
GLOBO FELIZ...voltou o PT 💰💰💰💰💰💰💰💰💰💰💰💰💰💰💰💰,há 1 ano,0,
"Que narrador mais horroroso, tah Loco.",há 1 ano,0,
TERANS É VASCO!!,há 1 ano,1,
"ATLETICO GO AMASSOU, UMA PENA..",há 1 ano,3,
"Qual motivo o Vasco quer o Pedro Henrique ? tem que contratar o Bento e David Terans
 esses dois seria fundamental para o time do Vasco.Alô 777 a dica está aqui",há 1 ano,1,
Que golaço do terans,há 1 ano,5,
O Dragão jogou muito bem e merecia a vitória.,há 1 ano,3,
Atlético-GO se complicou de vez oque já tava complicado o rebaixamento é inevitável,há 1 ano,5,
Terans e Rato podem vim pro Vasco! 🖤🤍,há 1 ano,4,
"É incrível como o Fernandinho caiu muito desses anos pra cá,  o cara não acerta um passe",há 1 ano (editado),0,
Que resultado injusto pro dragao 😳😳😳 só os deuses do futebol  pra explicar isso.!!! Injusto o resultado!!! Tá rebaixado  o guerreiro dragao 🐓🐓🐓,há 1 ano,2,
Brugo..,há 1 ano,0,
Vem ser feliz no Vasco terans,há 1 ano,4,
"Porra véi 
Eu fiquei tão frustrado com um jogo quanto essa derrota do Atlético GO, esse empate foi decepção total. Olha que meu time é outro, e tá muito bem obg.
Sou FORTALEZA 🔵🔴⚪",há 1 ano,9,
"Jg horrível do athletico, sorte q só saiu cm o empate",há 1 ano,0,
ATLÉTICO-GO 1X1 ATHLETICO-PR,há 1 ano,1,
OQue esse therans joga bola ✌🏽,há 1 ano,9,
Por isso terans não é pra ser reserva,há 1 ano,0,
Bento,há 1 ano,0,
"Terans e Rato eu os convoco para o vasco 2023 parabéns,  pode se apresentar dia 8",há 1 ano,10,
"terans bento e Victor Roque sei não acho que vai ser vendido  

se o clube pretende ser campeão acredito que não deveria vender e sim se reforçar  para próxima temporada",há 1 ano,1,
DAVID TERANS É VASCO!,há 1 ano,4,
A Globo e a melhor transmissão. Mais pelo amor de Deus volta o hino dos clubes,há 1 ano,3,
cud,há 1 ano,0,
BENTO fez uma excelente temporada....jogou muito ontem !!,há 1 ano,19,
Vamos Furacão ☠️🌪,há 1 ano,2,
Furacão  morto no brasileirão  a no minimo 8 rodadas,há 1 ano,0,
"Ano que vem a série B estará bem competitiva. Ceará, Avai, Atletico Go, Sport. tem tb os clubes clássicos como Vitoria, Figueirense, Guarani, Ponte Preta. E pode aparecer surpresas, como o Sampaio Correa.",há 1 ano,12,2
Arerê,há 1 ano,0,
Like 🇧🇷,há 1 ano,1,
Patéticos na B😎😂,há 1 ano,0,
Dragão tem chance é só ganhar domingo e torcer pro Cuiabá perder os 2 jogos,há 1 ano,1,2
"Outro clube que não faz parte da grandeza na elite do futebol brasileiro. Voltou a seu devido lugar, série B. Boa segundona, Goianiense.",há 1 ano,1,5
O cuiabá-FC agradece,há 1 ano,9,1
"Figueirense não subiu, cabeção.",há 1 ano,2,
"Foi mal, achei que tinha subido.
Mas ainda assim será bem equilibrado a série B 2023",há 1 ano,2,
Tem que tirar um saldo de gols enorme de desvantagem.,há 1 ano,2,
