text,time,votes,replies
"Fala, galera! 🤙
O que acharam da partida?
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,49,20
Ué eu ganho não ganha c**** pô o que acontece por xingar não pode sair no gênio cara vou fazer outro,há 1 ano,0,
Quem é melhor dos dois times ?,há 1 ano,0,
Milagre o VAR não fez palhaçada,há 2 anos,0,
Marcos Leonardo joga muito 🐋🐋🤍🖤,há 2 anos,0,
ML crava demais mlk,há 2 anos,0,
Ai botei fé. Pegar o atlético na baixada e nao perder tem q jogar e muito...,há 2 anos,0,
A TORCIDA DO ATHLÉTICO ESTA CADA VEZ MAIS VAZIA .... E SEM CONTAR QUE ELES NAO CANTAM,há 2 anos,0,
Como sempre foi e será uma merda.,há 2 anos,0,
Impressionante os gritos racistas de alguns torcedores. Uma boa parte das pessoas do sul do Brasil precisam mudar essa mentalidade nojenta.,há 2 anos (editado),1,
Maior problema do athletico esse ano é zaga tirando o Nico hernandes parece uma mae,há 2 anos,0,
valeu Santastico,há 2 anos,1,
Jogão. Uma coisa que dá gosto de ver no CAP  é que esse time tenta muito marcar gols com chutes de fora da grande área,há 2 anos,0,
virou a ESPN? cadê a narração?,há 2 anos,0,
Cadê a narração  ? Aff sem Narrador ? 😑😑🤔🤔🤔🤬🤬🤬,há 2 anos (editado),0,
"Mwlhor jogo da rodada.
olho nesse Marcos Leonardo.
moleque bom de bola. mais um menino da Vila talentoso.",há 2 anos,1,
"Marcos Leonardo bom de bola.
Bonde bonde bonde bola...
Matador esse mlk",há 2 anos,1,
Esse moleque do Santos é foda todo jogo que ele faz gol fora de casa ele manda a torcida adversária calar a boca baita desumilde,há 2 anos,0,
"Esse Marcos Leonardo joga bem mas mta marra pra quem ainda nao ganhou porra nenhuma e ta começando ,se continuar assim n vai longe, vai acabar num oeste da vida.",há 2 anos,0,1
"A parem, vocês se empolgam demais, nunca aprendem. Os caras novinhos são sempre assim e dps flopam, cês tão ligado, nem vou dar exemplos... 

Gabigol
João Pedro
Reinier
David Neres
Everton

É a mesma coisa sempre e mesmo que o cara vire uma ""realidade"" é no máximo Gabriel Jesus e Richarlison kkkkkk seus empolgados, Marcos Leonardo nada demais.",há 2 anos,0,1
É pq 1 + 1 = 2,há 2 anos,1,
Uma ótima partida 👍,há 2 anos,3,
Um bom jogo.,há 2 anos,2,
Uma merda,há 2 anos,0,
 @Gatuno214  pequeno é o seu cérebro se é que você possui um,há 2 anos,0,
 @Gatuno214  Santos tem mais libertadores mundiais títulos continentais e torneios rio sp do que o teu flamerda sem estádio,há 2 anos,1,
Resultado Justo 2 Timinho fraco,há 2 anos,1,
 404 NOT FOUND  você sempre está aqui comentando meus Parabéns por ser fiel 👏👏👏👍,há 2 anos,0,
"Deviam só mostrar os gols do Santos, esse timeco dos poodles 🐩 não venderam os direitos dos jogos em casa, mas mesmo assim a Globo pagando pau...",há 2 anos,1,
 @palzaoterrordananicada2395  tu é só um Virgem que criou um fake pra ficar digitando asneiras na internet pra suprir sua inutilidade cresce seu inútil,há 2 anos,0,
Globo vc é o CÂNCER do futebol brasileiro seria bom se vcs não transmitissem nada.,há 2 anos,0,
"Bom jogo. 
Mas esse juiz aí, não pode apitar jogo do Atlético!",há 2 anos,0,
" @marcosstoco1  porcada: vivem de Atlético..
Não tiram o Atlético da cabeça.",há 2 anos,0,
Patético pr,há 2 anos,0,
Foi empate,há 2 anos,0,
Legal,há 2 anos,0,
