text,time,votes,replies
Luiz Carlos Jr Narrando Internacional X Corinthians,há 6 dias,0,
Boa meu Corinthians 🖤🖤,há 3 meses,1,
Vamos 🤩🤩,há 1 ano,1,
"So hoje eu percebi que esse primeiro gol do Inter ( que por sinal foi do Edenilson ) foi bem parecido com aquele gol anulado 
do EDENILSON na ultima rodada do Brasileirão de 2020

E foi contra o Corinthians",há 1 ano,0,
Grande rivalidade imaginar uma libertadores,há 1 ano,0,
Aí eu tava reando,há 1 ano,0,
"Jogaço no beira rio. Nos últimos 3 confrontos entre Internacioanl X Corinthians, todos saíram 2 x 2. Impressionante o Equilíbrio",há 1 ano,0,
"De Pena, Wanderson, Alemão e Maurício além do Edenilson e do Mano Menezes soa os destaques do Internacional nesse ano",há 1 ano,1,
Aparentemente jogamos melhor lá no Sul do que hoje em São Paulo infelizmente o Renato Augusto fez muita falta hoje o meio campo fica fraco sem ele.,há 1 ano,0,
"Jogão, agora vai ser diferente na 25 rodada do brasileiro Corinthians 2 a 0🔥",há 1 ano,0,2
Goleiro Cássio goleiro Daniel,há 1 ano,1,
Gol do Corinthians gol do Internacional,há 1 ano,1,
Se o inter não fosse tão cagao tinha ganho fácil.,há 2 anos,0,
"Até agora n provaram nada do Rafael Ramos, e ai, essa calúnia do Edenilson vai ficar por isso mesmo?, Imputar crime a alguém sem provas também é crimes sabia",há 2 anos,2,2
1:09,há 2 anos,0,
1:11,há 2 anos,0,
Vai Corinthians,há 2 anos,0,
Mantuan não tem condições! Erra tudo que tenta. Não entendo como o Vitor Pereira deixa o Mosquito no banco e coloca o Mantuan pra jogar,há 2 anos,0,
Juiz ordinário falta no goleiro o juiz validou o gol inter eu tiamo gambás ti odeio,há 2 anos,0,
que vergonha...só dentro da área...time pequeno,há 2 anos,0,
Kkkkkkkkk empatou de novo kkk,há 1 ano,0,
Nue kkkk,há 1 ano,0,
Gambá n fala,há 2 anos,0,
 @luisianafhemanyan993  calado,há 2 anos,0,
"Era o resultado que eu queria sendo Corintiano? Não.

Mas valeu ver esse jogão",há 2 anos,0,
Esse Cássio já era.,há 2 anos,0,
aceita que doi menos e segue o lider aqui e corinthians,há 2 anos,1,
esse estadio e bonito mas a torcida fica a kms de distancia do campo,há 2 anos,1,
