text,time,votes,replies
"Segue o líder! 😎 #Corinthians
Qual time merecia os 3 pontos?
🌟Assine o Premiere: https://bit.ly/3uuE0kN",há 2 anos (editado),278,142
❤❤,há 2 semanas,0,
fez gol,há 3 meses,0,
dois time,há 3 meses,0,
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂😂😂😂😂😂😂😂😂😂😂😂🎉🎉🎉🎉🎉🎉🎉🎉😢😢😢😢😮😮😮😅😅😅😊😊😊 Corinthians ganha do São Paulo na sua casa Cássio machuca goleiro Matheus donelli entrou no segundo tempo no lugar do Cássio,há 4 meses,1,
"Cara ,oq esse cassio encheu saco nesse jogo nao esta marcado na história",há 4 meses,0,
"O dia que o Cássio fez eu deixar de ganhar 32 mil reais na Bet, se o SP faz 2x0 ia pagar antecipado.😢 pena que o Cássio não deixou, só faltou esse jogo pra bater, coloquei vitória do SP e aos 35 do segundo tempo o Corinthians empatou. Que azar kkk",há 6 meses,0,
Quebramos o tabu!,há 6 meses,0,1
O São Paulo tem ganhado se não fosse o juiz ladrão né,há 9 meses,2,
Se não fosse Cássio era uns 4 a 1,há 9 meses,1,
"Corinthians da um sorte que eu vou te falar viu. 
São Paulo nesses últimos Brasileiros 2022 e 2023 sufoco questão de tempo pra ganhar lá",há 1 ano,0,4
Sao paulo 01x01 rogerio e corinthians,há 1 ano,0,
"Prejudicam trikas
Eles iam ganhar kkkkk 
De 2x1 eu acho 
Ai não vale",há 1 ano,0,
"Já faz um bom tempo que o São Paulo não sente demais em jogar na arena do Corinthians, a quebra do Tabu é questão de tempo e detalhe.",há 1 ano (editado),2,1
"Faz tempo que nao assisto futebol e isso não me faz a menor falta, assisti o primeiro tempo desta vez e infelizmente o corinthians ainda tem o apoio da mídia, não pelo fato do penalty, mas pq o primeiro tempo que assisti, foi só dicas de como o Corinthians tinha que se comportar em campo, o corinthians precisa fazer isso, precisa fazer aquilo, como se o são paulo estivesse ali por estar, e que era o corinthians que tinha que fazer o seu papel, você pode ver essa preferencia ao visualizar a foto da capa desse vídeo do jogador do corinthians pulando de alegria parecendo que ganhou o jogo.",há 1 ano,0,
Esse Jogo Ta Identico Ao Jogo De Hj Corinthians X São Paulo,há 1 ano,0,
"2:06
""Carelli"" é ph0d4! 😂😂😂",há 1 ano,0,
cassio no final deve um infarto,há 1 ano,0,
Rogêrio mudou o time no intervalo por isso não  venceu,há 1 ano,0,
"""torcida que não para de cantar""
KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK",há 1 ano,0,3
CORINTHAINS TIME NANICO NAO CONSEGUE GANHAR CLASSICO KKKKKKKKK,há 2 anos,36,
"Jogo feio esse das trikas e dos gambas, típico de time pequeno",há 2 anos,13,
Venceu o time honesto.,há 2 anos,3,
"justo cada time levar 1 ponto,
primeiro tempo sp bem mlr ate poderia sair uma goleada se n fosse o Cássio.
no segundo o Corinthians jogou mt bem só n armou as jogadas",há 2 anos,16,
As Trikas,há 2 anos,0,
AI SE MINHA MARMITA FALA-SE,há 2 anos,5,
"@Wytuk
Guedes manda abraços 😂😂",há 2 anos,7,
"@Cruzeiro 🇮🇹
olha quem fala o série 🅱️ Querendo falar alguma coisas cbc volta pra segunda kkkkk",há 2 anos,5,
Corinthians (Segundo tempo),há 2 anos,4,
CURICA SEM VENCER NENHUM CLÁSSICO KKKKKKKKKKKK E ESSES EMOCIONADOS AINDA TÃO ACHANDO QUE VÃO GANHAR ESSE BR SENDO QUE É APENAS A 7° RODADA MDS KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK VASCO DE SP KKKKKKKKKKKKKK,há 2 anos,7,
 Diego Santos  VEIGA METEU 3 NA NANICADA KKKKKKK,há 2 anos,3,
"@Diego Santos
Né mano aquele gol do Jo era gol legal e arrumaram impedimento fora as faltas e cartões que não existiu",há 2 anos,4,
Parabéns São Paulo por ter incríveis 0 vitórias em Itaquera👏👏👏,há 2 anos,2,
 @jobson173   calado faminto sem mundial 😎🤙,há 2 anos,4,
"@pneu queimado 
Então podemos dizer que ganhamos já que fizemos o primeiro gol e anularam e fizemos mais um o retrospecto da partida era pra ser 2 a 1 vencemos na honestidade então",há 2 anos,2,
"@Diego Santos
né kkkk",há 2 anos,2,
"@Leandro Nascimento
Não foi Justo pq anularam um gol legal e no segundo tempo o árbitro foi muito pipoqueiro mais foi um jogão",há 2 anos,2,
 @cruzeiro5848  i ala o 2° divisão kkkk,há 2 anos,1,
Palmeiras desde 1951❤️🐷,há 2 anos,1,
Namoral precisa melhorar a arbitragem brasileiro o calleri ajeitou com a mão eo var ficou cego,há 2 anos,0,
VAI CORINTHIANS 😎🏁 CHORAR TRIKAS,há 2 anos,0,
 @coringaokg4976  Parabéns Corinthians para perder para todos os times paulistas 👏👏👏,há 2 anos,1,
 @jobson173  S.E.PIADA BI REBAIXADO SEM MUNDIAL TIMINHO 🐽😭 NANICO NUNCA SERÃO,há 2 anos,0,
Pelo primeiro tempo o São Paulo mereceu vencer o jogo mas no segundo tempo o Corinthians foi melhor então o empate foi justo 👍,há 2 anos,0,
 Diego Santos  onde mlk?,há 2 anos,0,
 @osdepreto8370  chorar  pq?,há 2 anos,0,
Calma que o verdão vai lhe pegar kkkkkk,há 2 anos,1,
"Olhando pro lado bom, os 2 times não são BI rebaixados e nem são piadas em Mundial 🤷",há 2 anos,3,
" @cauan4448  olha, acabaram mudando as regras, quando o Corinthians joga e termina 1x1 é derrota pro Corinthians, não sabia dessa não hein. Tá manjando bem de futebol 👏👏👏",há 2 anos (editado),0,
 @pauloCesar-vg8hf  vendade  kkkk,há 2 anos,0,
 Diego Santos  kkkk o cara vai falar coisa de 1 ano atrás nem sabe os 2 a 1 e o 3 a 0 que vcs tomaram kkkkk gambás,há 2 anos,0,
 @cruzeiro5848  É jogo e Serie A amigo... Nem lembra né kkk,há 2 anos,1,
 Diego Santos  mas o ultimo foi 3 x 0 pra porcada,há 2 anos,0,
"Só ver os melhores momentos mostra que mereceu vencer, um criou muitas chances outro achou 1 gpk",há 2 anos,0,
" @jobson173  pode crê, mó nanico, por isso que tá em primeiro, por ser nanico, imagina se não fosse, se não fosse teria mundial né, falaí",há 2 anos,0,
​ @jobson173  mundial e 51 😂😂,há 2 anos,0,
" kakashin平和🇺🇦  vcs passaram sufoco com o portuguesa, chora mais meu filho kkk",há 2 anos,0,
 @nelsosnt873  para de chorar de inveja kkk,há 2 anos,0,
 Diego Santos  veiga 3,há 2 anos,0,
😎😎,há 2 anos,0,
VAI CORINTHIANS,há 2 anos,0,
 @cruzeiro5848  disse o cruzeiro KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,há 2 anos,0,
segue o líder 😂😂😂 quero ver ficar em primeiro lugar até o campeonato acabar,há 2 anos,1,
" @cruzeiro5848  Ambos temos mundiais, já vcs, talvez nem ganhem a p* de uma série B.",há 2 anos,0,
 @jobson173  vcs não conseguem ganhar mundial e eu não falo nada.,há 2 anos,0,
