text,time,votes,replies
"Após derrota na Sul-Americana, Tricolor vence de virada!
O que mudou no trabalho do professor Ceni?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,111,22
"Miranda fez igual o Diego Swouza, contra o Botafogo, de frente pro, os goleiros se saíram melhores 🤧🤭😅 e vamo São Paulo........",há 1 mês,0,
E pensar que o Alisson estava com depressão nesse gol,há 10 meses,0,
Tava nesse jogo 😥,há 1 ano,0,
São Paulo jogou bem depois jogou mal mas o São Paulo venceu,há 1 ano,1,
"4 grandes jogos entre São Paulo e América-MG em 2022, 2 pelo Brasileiro e 2 pela Copa do Brasil.",há 1 ano,0,
"Ter que ouvir que o Benítez ""é o pensador, o organizador"" é muita falta de conhecimento desse jogador ruim da porra.",há 1 ano,0,
"Meu, na boa, olha a falha ridícula do Felipe Alves!!!!!! Olha o erro do Nestor naquela chance CLARA de gol em que ficou 1x1!!!!!!! Na boa, esse time tem MUITO a melhorar ainda.",há 1 ano,0,
Calleri fez o gol,há 1 ano,0,
Que absurdo anular o gol do Luciano... Mão totalmente junto ao corpo,há 1 ano,0,
Jogar com manto novo contra bosta fogo,há 1 ano,0,1
Agora não adianta nada,há 1 ano,0,
Agora não adianta nada time pipoqueiro,há 1 ano,0,
"Gol do São Paulo foi zicado desde que o Rogério saiu, plmds kkkkkk",há 1 ano (editado),0,
Se tivesse no meio do segundo turno o São Paulo ia ser campeão,há 1 ano,0,
O gol do Luciano tava impedido?,há 1 ano,0,
"Na sula q era pra ganhar ,fez bastante Nenhuma",há 1 ano,0,
"Esses narradores não acertam um nome de jogador kkkk
Impressionante!",há 1 ano,0,
Miranda mais uma vez vestindo a camisa do inacreditável futebol clube.,há 1 ano,0,
Rapaz!o América tá com um time bom viu,há 1 ano,0,
Talvez ceni deu uma xibatada   no caleri pra ele aprender a n erra gol,há 1 ano (editado),10,
É,há 1 ano,5,
Não me lembre dessa sul-americana 😭,há 1 ano,6,
 @freemelly862  bom dia amor da faculdade,há 1 ano,1,
🍿🤡,há 1 ano,4,
O time acordou.,há 1 ano,6,
PALPITES DE AMANHÃ JÁ DISPONÍVEL NO NOSSO CANAL. COM BILHETES PRONTOS!!⚽️🔥,há 1 ano,0,
 @Oincrivel785  podia ter feito isso nacional da Sula🍿🍿🤡🤡,há 1 ano,5,
O que mudou foi o país sabado foi em um e agora é no Brasil,há 1 ano,3,
 @alediojr7902  é mesmo vc tá certo,há 1 ano,2,
"Ceni é um bom técnico, por mim pode ficar por mais 10 anos, não é uma derrota em uma final que tira toda a dedicação e qualidade dele. E técnico não faz milagre tbm, tem que trabalhar com o que tem.",há 1 ano,2,
Que bela Vitória de Virada do São Paulo ❤,há 1 ano,1,
Não fizeram mais q obrigação,há 1 ano,1,
TODO SÃO PAULINO ALMOÇA E JANTA COM TALLERES DE PRATA E UM SUCO DEL VALLE COMO ACOMPANHAMENTO,há 1 ano,1,
"São puta tá fazendo hora extra na série A, uma hora cai esse timeco",há 1 ano,0,
" @gabrielhenrique3780  Sim, na final.",há 1 ano,2,
"Que triste ver uma potência mundial perder pra esse micróbio




força América Mg",há 1 ano,0,
