text,time,votes,replies
"Fala, torcedor! 🤙 Gostou do jogo?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,20,8
Não desmerecendo o Goiás não mais esse goleiro Tadeu agarra muito merece ir pra um time maior e tem vaga concerteza,há 1 ano,0,
"Dois goleiros que se tivessem oportunidades em times grandes, iam brilhar muito mais 🙅🏾‍♂️🔥",há 1 ano,0,
"Tadeu joga muito pqp, merecia estar na seleção.",há 1 ano,0,
"esse goleiro do goiás é absurdamente bom, qq é isso",há 1 ano,0,
Esmeraldino saiu no lucro com empate,há 1 ano,0,
"O presidente do Goiás reclamando do pênalti, aí vim aqui ver, mas foi pênalti, o zagueiro do Goiás foi burro demais, tá claro que ele não deixou o atacante do América pular, isso é falta em qualquer lugar do mundo, agora, só porque teve outros erros, tudo que é marcado contra o Goiás, é roubo.",há 1 ano,0,
"Esses jogadores do América são uns comediantes fizeram o 2o gol e foram fazer gracinha fora do campo fazendo fotos com celulares parecia comemoração de titulo, resultado desconcentraram praticamente na saída do Goiás tomaram o empate.",há 1 ano,0,
"Nossa que narração horrível.
Impossível ouvir uma carniça dessa narrando um jogo de primeira divisão",há 1 ano,0,
Excelente jogo,há 1 ano,0,
Jogaço,há 1 ano,0,
jogão,há 1 ano,0,
olha aí o Vinícius mostrando que se redimiu das contusões  existe até possibilidades dele e do Pedro Raul deixa essa equipe 👽👽👽👽,há 1 ano,0,
sssdfh,há 1 ano,0,
"Torcendo muito pro Goiás conseguir uma vaga em um torneio internacional, é um time muito organizado",há 1 ano,2,
"O goleiro Tadeu foi burro, era pra vim pro são paulo",há 1 ano,0,
Jogo sem importância,há 1 ano,0,
Incrível como o Pedro Raul não rende com gols jogando dentro de casa. Mas fora de casa ele sempre guarda.,há 1 ano,7,
"Agora pronto, é pênaltis abraçar os amigos na área. Td jogo prejudica meu verdao 🤦🏽",há 1 ano,0,
Meu Botafogo Agradece,há 1 ano,1,1
Dois timinhos nanicos que estão vindo da segunda divisão,há 1 ano,0,
Tive que fazer microscópio pra conseguir ver esse jogo de 2 átomos,há 1 ano (editado),0,
"Inter não acabou com a festa do Palmeiras, obrigado inter vou poder comemorar em casa perto da torcida da maior de São Paulo",há 1 ano,0,
" @internacional7741  Inter não acabou com a festa do Palmeiras, obrigado inter vou poder comemorar em casa perto da torcida da maior de São Paulo",há 1 ano,0,
 @carlosgoe182   vou,há 1 ano,0,
Jogão de dois átomos,há 1 ano,0,
​ @carlosgoe182  7,há 1 ano,0,
Dois Timinhos,há 1 ano,0,
Meu são paulo também hehe,há 1 ano,1,
Não entendo como Tadeu e João Paulo não são convocados para seleção. Esses caras fazem defesas incomum.,há 1 ano,7,1
jogaaço🥇🥇⚽️⚽️,há 1 ano,0,
o jogador abraçou o outro dentro da área foi pênalti a diretoria do goias chora demais esse presidentinho ai ta pegando o boi do goias permanecer na seria a este ano se nao fosse o Tadeu e o pedro raul.tava lá em baixo,há 1 ano,0,
GOIÁS 2X2 AMÉRICA-MG,há 1 ano,0,
"O juiz tinha q ter vergonha de marcar um pênalti desse...
Arbitragem brasileira é uma vergonha, sem critérios... o mesmo lance é falta ou não, depende apenas do time q tá sendo favorável",há 1 ano,2,
Tadeu busca todas tá lovo,há 1 ano,0,
Bom jogo!!!,há 1 ano,0,
Meu botafogo agradece,há 1 ano,2,1
Faltou o gol do pedro raul nosso artilheiro .,há 1 ano,1,
"Jogo competitivo, muito bom de se ver! América diminuiu as chances de libertadores e o Goiás praticamente zera as chances de cair ainda faltando 5 jogos.",há 1 ano,6,
"Como sempre o Tadeus fazendo grandes defesas. Sou fã demais desse baita goleiro, pra mim é top 5 melhores goleiro do campeonato.",há 1 ano,17,
Uma pintura o 1 gol do Goiás,há 1 ano,0,
🏴🏳️ Botafogo agradece Goiás 🥰,há 1 ano,2,1
"Que pintura esse gol do Vinicius! E detalhe, Goiás parece que divagava quando está perdendo.",há 1 ano,4,
Elenco horrível esse do Goiás 👍 tem que cair pra 2gundona e monta um elenco bom e volta em 2024,há 1 ano,0,1
Quem tá precisando de goleiro bom ?  Taí  2 excelentes opções pra time grande que precisa  de goleiro,há 1 ano,0,
q penalti mandrake pro América kkkkkkkk,há 1 ano,2,
