text,time,votes,replies
Esse time do inter era foda,há 7 dias,0,
Sdds do Maurício,há 7 dias,0,
Gustavo Villani Narrando Internacional X Atlético Mg,há 2 semanas,0,
Boa meu Atletico mineiro Hulk 🇧🇷🇧🇷,há 3 meses,1,
Parabéns  inter pela vitória  SRN,há 6 meses,1,
😅😂😅😅😂😂😅😂😅😂😅😂😅😂😅😂 0:44 😂 0:44 😂 0:45 😂 0:45 ❤😅😂😅😂😅😂😅😂😅❤😊❤😊❤😊,há 7 meses,0,
😅😂😅😅😂😂😅😂😅😂😅😂😅😂😅😂 0:44 😂 0:44 😂 0:45 😂 0:45 ❤😅😂😅😂😅😂😅😂😅❤😊❤😊❤😊,há 7 meses,0,
vamoooooooooooooooooooooo ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo golaçosooooooooooo maurisio,há 7 meses,0,
😂😂,há 9 meses,0,
O Atlético mineiro tava rebaixado entre 2012 e 2021,há 1 ano,0,
"0:04 Esse gol me valeu 1.120,00 .",há 1 ano,0,
Esse é o time medíocre chamado PATÉTICO MINEIRO que eu conheço lkkk,há 1 ano,0,
Verdao tem que fazer hoje igual o Inter na liberta,há 1 ano,0,
"Time mais rabudo que existe É esse do inter, atlético criou umas 6 chances e todas o daniel virava o neuer ou pegava na trave, agora aquela uva do Maurício que nunca acertou o gol na vida fez 2, ô time cagado",há 1 ano,0,
Acabou com as frangaskkkkk,há 2 anos,0,
"É o inter, maior do sul❤️",há 2 anos,0,
TROCAR O MAURÍCIO NO POTTKER FOI O PIOR NEGÓCIO QUE A DIRETORIA DO CRUZEIRO FEZ,há 2 anos,0,
Inter jogou demais,há 2 anos,0,
Atlético MG despencou geral,há 2 anos,0,
Sem meu penalti eu não consigo 😢,há 2 anos (editado),1,
Esse goleiro é uma bosta kkk,há 2 anos,0,
"Vai galo, aprende a respeitar um clube maior!",há 2 anos,0,
O galo teve bastante chance até,há 2 anos,0,
pqp que time feio esse do galo,há 2 anos,0,
Vamo Inter,há 2 anos,0,
"Final da libertadores:
Flamengo x Palmeiras.
Outra vez.",há 2 anos,0,
#45   falta 12,há 2 anos,0,
Patético voltou a normalidade de sempre. E os torcedores desse time parecem até fanático de político: só sabem repetir a mesma coisa.,há 2 anos,0,
Quero mandar um beijo para uma pessoa que eu conheço mc fã dele emergiu beijo,há 2 anos,2,
Inter 🇲🇨 🇲🇨,há 2 anos,0,
domingo fui pela primeira vez no beira rio ver o jogo do meu time do coração. dei pé quente,há 2 anos,0,
"Esse goleiro do Galo é muito fraco. Não está a altura do Atlético de Minas Gerais!!
Foi uma invenção do técnico argentino Sampaoli, por sinal um técnico meia boca!!!!",há 2 anos (editado),0,
Aí calica o gaylao ganhou mais 1 vez kkkkkkkkkkkkkk,há 2 anos,0,
Da em nada esse time do inter kkkkk,há 2 anos (editado),0,
TUDO NORMAL EM MINAS GERAIS,há 2 anos,0,
Atlético perdeu a potencia😂😂😂😂💔,há 2 anos,0,
O q tá acontecendo com o atlético 🤦🏽‍♂️😂,há 2 anos,0,
"Mauricio deixa para o torcedor as comemorações adicionais, foco nos treinos e sorte no jogo!",há 2 anos,0,
"Deu a lógica, quem tem mundial venceu! Essa foi pra vocês irmãos Cruzeirenses!",há 2 anos,0,
Boa vitória internacional ⚽️🏆,há 2 anos,0,
Obrigado internacional,há 2 anos,0,1
Benfeito trouxa 🤣🤣🤣,há 2 anos,0,
Aí credo o galim perdeu mais uma vez 😂😂😂,há 2 anos,0,
"Desde que o atlético perdeu em casa pro Corinthians, eles não são mais os mesmos",há 2 anos,0,
INTERNACIONAL TEVE MUITA SORTE NESSE JOGO GRAÇAS OU GOLEIRO A TRAVE E O GOLAÇO DO Mauricio,há 2 anos,0,1
Cadê o time do atlético Mineiro não foram pro jogo kkkkkkkkkkkkk,há 2 anos,0,
ESSES PIPOQUEIROS DO ATLÉTICO MINEIRO SÃO UMA VERDADEIRA ENGANAÇÃO AOS SEU POBRES TORCEDORES..,há 2 anos,0,
"Depois que o Atlético foi eliminado na copa do Brasil nunca mais foram o mesmo! 







Nota de Repúdio",há 2 anos,0,
Vamo vamo inter,há 2 anos,0,
Ex Jogadores do cruzeiro sendo carrasco das franga kkkk,há 2 anos,0,
Que merda,há 2 anos,0,
😪😪😪😪😪,há 2 anos,0,
Aí credo que humilhou o galo 🤣🤣🤣,há 2 anos,1,
Campeonato Brasileiro tá ficando a mesma porcaria de se ver igual a Copa do Brasil com essas placas de publicidade que é uma verdadeira poluição visual e atrapalha de ver os jogos na TV..... não compro dessas marcas,há 2 anos,0,
"Depois que o Atlético MG Conheceu o Inferno, Nunca mais foi o Mesmo. Kkkkkk",há 2 anos,1,
O Saci pegou o Cuca e amassou o galo 🐓!!!,há 2 anos,0,
Aiii creedddoooo o galão perdeu mais uma vez,há 2 anos,1,
O jogos    do inter Nacional    com   a atlético Mineiro   MG  foi um grande jogol    mesmos  quir  a e qui pé dor  à  tlético  MG  perdeu  o ojogo  mais     fpi um grande jogo  fauto sol abola em  tras    veja quir  os 37  minuto s  do segundo Têm pó  sol deu o galo,há 2 anos,0,
Credo galão ganhou de novo 🤣🤣🤣🤣🤣🤣,há 2 anos,0,
Uma das piores trocas que o cruzeiro fez foi a do Maurício pelo pottker 🤦🏽‍♂️ perdemos uma joia,há 2 anos,0,
⚽️🏆,há 2 anos,0,
"Não, se o Atlético convertesse o jogo era outro, Inter administrou o resultado",há 2 anos,0,
"Estranho esse tipo de marcação do Atlético, os zagueiros corre pra trás e dando muito espaço  pra chutes fora dá área",há 2 anos,0,
Fora Cuca,há 2 anos,0,
Galo usou uma tática nova: 4-0-2,há 2 anos,0,
Aii credo o galão perdeu mais uma vez 🤣,há 2 anos,0,
"Dizem que, nesse confronto, o melhor jogador foi Maurício devido aos 2 gols. Mas e o goleiro? Se não fosse ele, não seria 3 a ZERO !",há 2 anos (editado),0,
tadinho do galo despenado kkkk mais 50 anos pra ganhar alguma coisa😂😂😂,há 2 anos,0,
O cavalo paraguaio de minas voltando às origens...kkkkk,há 2 anos,0,
Cade os cara cade os cara kkkkkkkkkkkkkkkkkkkkkkkk,há 2 anos,0,
esse goleiro do inter é um mostro!!!,há 2 anos,1,
Nota de goleada,há 2 anos,0,
"um dos melhores narradores brasileiros hj, tem que estar na copa! Villani é mt bom 🔥",há 2 anos,7,1
Finalmente o inter venceu o galo ja estáva virando freguês,há 2 anos,0,1
"Ontem todos os jogadores do inter jogaram bem,mas Daniel e Maurício,que eu e a grande maioria da torcida criticamos,jogaram demais!!!!como é bom ver o Hulk chorando 😭😭😭😂😂",há 2 anos,2,
😂😂,há 2 anos,0,
"com a ajuda do var é facil esse timeco, sempre prefiri o gremio.",há 2 anos,1,2
"Sem meu pênalti eu não consigo ""galo""",há 2 anos,3,
Meu galo oque fizeram com ele ):,há 2 anos,0,
Galo cai no Beira-Rio e Carlos Depena,há 2 anos,3,
galo virando galinha,há 2 anos,1,
Parecia que o time do Atlético n queria jogar,há 2 anos,0,
Realmente esse cara narra muito meu,há 2 anos,1,
"A Última Vitória do Internacional sobre o Atlético foi há apenas 1 ano atrás, não exagera",há 2 anos (editado),0,
Chora.,há 2 anos,1,
 @guri4231  chorar oq eu sou flamenguista to fazendo papel de cruzeirenses e Corrinthianos tendeu?,há 2 anos,2,
Outro também que deveria meter o pé é o nacho pqp tem que ir rala no iFood a entrega de paçoca tá demais vsfd !,há 2 anos,1,
Galo voltando ao normal,há 2 anos,2,
"Claro que tem muitos jogadores que estão muito mal mesmo,mais o turco Mohamed deixou terra arrasada,o time defendia muito mal,agora cuca tem que barrar alguns jogadores como Júnior Alonso,Jair,Allan e nacho Fernandes que estão mal",há 2 anos,0,
"Duas coisas me deixaram intrigado, o tal de (P) não ter dado assistência pro galo hj, e o Hulk estar cumprindo suspensão, pq não lembro dele ter sido expulso",há 2 anos,0,
Sensacional o melhor futebol do Brasil,há 2 anos,2,
Aqui vocês que ter que tirar Edi juis  imqua estiver nos vamos dançar eu só atleticana,há 2 anos,1,
"Galo virou chacota pros adversários, virou galinha depoiis dakele jogo contra o Flamengo kkkk,",há 2 anos,1,
to  procurando  o  galo   até  hoje.,há 2 anos,0,
Mano menezes o terror das frangas,há 2 anos,0,
"Primeiro tempo só não foi mais pq o inter tirou o pé.
No segundo tempo o Galo não fez gol por falta de sorte.
Se fosse 3x2 ainda assim seria justo o placar",há 2 anos,0,
Sinceramente o Daniel deixa a gente confuso!  Kkkkkk,há 2 anos,0,
Tô vendo os comentários ngm tá elogiando o Daniel ele jogou demais fecho o gol,há 2 anos,1,
Esse narrador tem a voz muito chata ..... devia sempre narrar jogos pequenos.... quando é ele sempre procuro outro canal,há 2 anos,0,
Como é q isso bota 1.2.3gols depois entrega pros outros dominar isso deveria continuar tomando conta até o fim  e não deixar os outros. ..tem alguma coisa errada ai...,há 2 anos,0,
O Galão apanhou mais uma vez aí credo,há 2 anos,2,
"A Torcida do GALO não tem mais desengano o Atlético Mineiro é Campeão Brasileiro de 50 em 50 anos.
Vão ser Campeões Brasileiros agora só em 2071. E é se esse mundo ainda existir!",há 2 anos (editado),0,
"Que apagão do galão da maça, esse galo tá doido pra virar uma franga que isso ireconhecivel.",há 2 anos,0,
"Everson tá decaindo, irreconhecível",há 2 anos,0,
"Maurício que era cruzeiro que golaço,meu Deus,meus parabéns",há 2 anos,1,
"Bem feito , tomo 3 logo de cara kkkkkk , na estréia do cuca , e bom assim que com isso acaba a marra",há 2 anos,0,
🔥🇦🇹,há 2 anos,1,
Daniel jogou muito!!!,há 2 anos,0,
Ainda não tô acreditando nesse golaço do Maurício cara,há 2 anos,1,
Troquei o Maurício pelo Raúl do Bragantino minutos antes do mercado fechar no Cartola 💀,há 2 anos,0,
Era uma vez uma franga 🤣,há 2 anos,0,
O que a zaga do Galo tá vazada eu não tenho de vida,há 2 anos,0,
VOLTA TURCO,há 2 anos,0,
"ATENÇÃO!! 

QUEBRA DE ISONOMIA NO 1° TURNO DO BRSSILEIRAO.

JOGOS AGENDADOS E JOGADOS SEGUNDAS-FEIRAS - POR TIMES:

Juventude (I em casa)
Bragantino (I em casa) I fora
São Paulo (II em casa)
Santos (I em casa) I fora
Avai (I em casa) I fora
Coxa (I em casa) I fora
Inter (II em casa)
Atl go I fora
Botafogo (II em casa) I fora
Goias II fora
Palmeiras (I em casa) I fora 
América I fora
Cuiaba III fora
Fluminense I fora

Jogar segunda-feira é uma palhaçada com a torcida, com o clube e com os jogadores. Jogar segunda-feira acaba com o moral da equipe e torcida, esvazia estadios e nao permite que fans do interior do estado desfrutem do seu clube.

POR QUE os números NÃO contam com jogos do CORINTHIANS, FLAMENGO, ATL MG?? Por que eles não jogaram nas segundas-feiras no 1° turno.

PRECISAMOS AGIR, NOS UNIR CONTRA O MODELO QUE ESTA SENDO IMPOSTO PELA CBF, MARIONETE DA MIDIA.

PRECISAMOS QUE HORARIOS DE JOGOS SEJAM DOMINGOS 16h.

JOGOS DOMINGOS LOTAM ESTADIOS, INCENTIVAM A ECONOMIA LOCAL, TURISMO ETC.

CURTAM ESSE COMENTÁRIO",há 2 anos (editado),0,
internacional é isso tá sempre entre os primeiros colocados mais no final nao ganha nada,há 2 anos,0,
Ou namorar esse galo e uma galinha mesmo vai ser fácil pro paineiras ganhar dessa galinha,há 2 anos,0,
"Atlético cria chances, mas precisa arrumar essa defesa.",há 2 anos,0,
Que vergonha,há 2 anos,0,
"RESPEITEM O INTER  PAPAI , AQUI NENHUM VAI MANDA, SE VIM VAI TOMA SACODE, NENHUMA GALINHA VAI VIM E FAZER O Q QUER  PQ AQUI NOIS DEPENA AS GALINHAS  MORTAS",há 2 anos,0,
Essas frangas vão levar um sacode do palmeiras na libertadores kkkkkkkkkk,há 2 anos,0,
"Nao gosto de galinha, gosto depenar as galinhas, Glu glu🤭😡🐤",há 2 anos,1,
Show  de  Bola  do Internacional  Pra cima  do   Aclético  Mineiro⚽️🥇,há 2 anos,0,
Não sabia que o Nacho tinha jogado,há 2 anos,0,
"que golaço do mauricio, internacional foi fatal",há 2 anos,0,
"Prova nítida de que, a cada dia, o futebol brasileiro está mais forte! Dá vontade de assistir todo jogo!!",há 2 anos,7,
"Placar mentiroso. Inter não jogou nada. Quatro ataques e três gols. E não venham me dizer que o Inter não atacou mais porque não precisava. Todos sabem que esse Galo aí já fez três gols em 7 minutos de jogo. Inter não atacou mais porque o Cuca corrigiu o time e no segundo tempo o Galo amassou o Inter.
Isso nos trouxe uma esperança para quarta-feira.",há 2 anos,0,3
"Amassou o que ? Futebol é bola na rede , vai estudar futebol. Foram massacrado no primeiro tempo, e no segundo tempo o Inter só administrou e jogamos DESFALCADO, sem Alan Patr e sem Taison, imagina se tivéssemos completo igual vocês. Respeita",há 2 anos,0,
"Galinha não vou a cor da bola no Primeiro tempo e no segundo tempo , deixamos vcs com a bola , não sabiam oq fazer msm, e o tempo passando. 3 x 0",há 2 anos,0,
o Patético-MG dominou apenas no segundo tempo e mesmo assim não deu perigo algum pro Inter.,há 2 anos,0,
O Atlético mineiro pode botar o terno ele foi executado bem-vindo ao inferno,há 2 anos,0,
melhor narrador depois dos narradores da TNT (Gol de Video game) kkk legal quando ele fala isso!,há 2 anos,0,
Hulk tava em campo? Nem vi! 🤔,há 2 anos,0,
"Que jogo do Daniel, pegou muito! 🧤",há 2 anos,1,
Saudações celestes do maior de minas pra o maior do Sul  Parabéns ao internacional Maurício não gosta do gaylo KKK destroçou as frangas o gaylo perdeu mais uma vez aí credooo,há 2 anos,0,
Galo só vai ganhar outro Br daqui a 50 anos kk,há 2 anos,0,
Atlético mg em decadência!,há 2 anos,0,
Esse Galo tá mais pra um garnisé,há 2 anos,1,
Atlético VIRO saco de pancada,há 2 anos,0,
"Bom Jogo, Parabéns ao Time da Casa que Soube Aproveitar as Oportunidades!",há 2 anos,6,
Como é bom no mundo existir matador de galinha 😅🤣🤣,há 2 anos (editado),0,
Atlético é meu filho “mauricio”,há 2 anos,0,
Finalmente o editor do ge fez um vídeo que preste. Mostrou lances importantes e mais de um ângulo,há 2 anos,0,
Renê no inter?,há 2 anos,0,
"Mauricio jogou muito, podia ter metido o terceiro também pra ir pro fantastico pedir musica",há 2 anos,0,
"falam e falam do ataque do inter, mas quem ganhou esse jogo foi o Daniel... milagre atras de milagre!",há 2 anos,0,
"Em três anos o grande Atlético Mineiro ""abre as pernas"" QUEBRA! Gastos exorbitantes e jogadores acomodados. Galo vai inverter os papéis com a raposinha viciada!",há 2 anos,0,
As galinhas são freguesas,há 2 anos,0,
"Pra fazer tem q chutar e isso o Inter fez , venceu com méritos",há 2 anos,0,
DANIEL MONSTRO NO GOL PEGANDO TUDO AFF,há 2 anos,0,
Inter tá jogando bonito pq ganhar do galo de 3x0 não é fácil,há 2 anos,1,
Horrível essa musiquinha nós gols poderia voltar os hinos dos clubes são mais legais,há 2 anos,0,
O problema nunca foi o goleiro Daniel!,há 2 anos,0,
"Quando o time tá zicado, a bola ñ entra mesmo! 😊",há 2 anos,1,
Hulk:como posso ganhar um jogo sem que o juiz não marca um pênalti não teve golaço do homem não tem beijos pra vocês aí gredo o galão perdeu mais uma vez será que nesse vem o rebaixamento,há 2 anos,0,
"Saudações celeste, excelente vitória amassou as franga, colocou esse timeco pequeno no seu devido lugar, acabou o recreio ano que vem Cruzeiro tá voltando, esse é o Atlético que todo mundo conhece, sem meu pênalti não consigo! 🤣🤣🤣🤣🌽🌽🌽🌽",há 2 anos (editado),4,
o segundo gol do Inter foi macete de ps 🤣🤣🤣🤣,há 2 anos,0,
frangas sendo frangas 😂😂,há 2 anos,0,
Maurício cria do cruzeiro castigando o patético mineiro e esse Daniel é muito bom goleiro tem futuro.,há 2 anos,0,
"Inter jogou muito e definiu o jogo no primeiro tempo. Mas no 2º tempo só deu Atlético e o Inter teve muita sorte, bola na trave, goleiro fazendo milagre etc.",há 2 anos,6,2
"Internacional passou por cima do galo,Maurício jogou muito.",há 2 anos,0,
