text,time,votes,replies
Atlético amaço o coiaba😁😁,há 1 ano,0,
Esse jogo me marcou mtt pq foi o primeiro jogo do galo q fui... Saudades desse dia pq realizei meu sonho ❤,há 1 ano,1,
Que saudade do Nacho e do kenaldinho :(,há 1 ano,0,
O Atlético Mineiro joga muito,há 1 ano,0,
Bom dia GaLo,há 1 ano,0,
GaLo,há 1 ano,0,
GALOUCURA,há 1 ano,0,
"Nois já tem o bi da copa CONMEBOL, o bi da copa do Brasil e o bi do Brasileirão só faltar nois ter o bi da Libertadores.",há 1 ano,1,
Não adiantou Ganhar do Cuiabá e Corinthians na última Rodada se perdeu pro Modesto Botafogo,há 1 ano,0,
"E o prêmio ENGANAÇÃO de 2022 vai para o Galo.
Com esse time era pra ter feito mais.",há 1 ano,0,
Aqui é galo 🐓 🖤🤍,há 1 ano,0,
Melhoras Cuiabá estamos todos torcendo pela sua permanência,há 1 ano,0,
Esse pavon joga muito em,há 1 ano,0,
É só jogar com essa camisa todos os jogos que ganha. Essa camisa é bonita.,há 1 ano,0,
Eu vi um gol que foi bonito o resto foi cagada kk,há 1 ano,0,
Se não ganhar do Cuiabá pelo amor de deus kkkkkk,há 1 ano,0,
Galo ganhou nem acredito.,há 1 ano,1,
"Se não tivessem anulado aquele GOL legítimo contra o Botafogo talvez a história seria diferente hoje do Atlético, seria mais tranquila para as libertadores, tem que avaliar melhor este  pessoal do tal de  Var para o ano que vem!!!.Bom dia e que Deus abençoe a todos...",há 1 ano,0,
Me diz uma coisa como que vcs vão pagar 1 Bilhão em dividas heim?,há 1 ano,0,
Obrigada DEUS pela Vitória do meu Galão Querido,há 1 ano,0,
Maria série B,há 1 ano,0,
"tá na hora do cuca por o pavon pra joga, joga de mais drible curta difícil de parar.",há 1 ano,0,
"Cuiabá não merece cair tem um ótimo goleiro, o Walter",há 1 ano,0,
ATLÉTICO-MG 3X0 CUIABÁ,há 1 ano,0,
Boa noite pessoal  keno joga muito boa noite pessoal,há 1 ano,0,
Um de bebado  não  tem dono,há 1 ano,0,
"Parabéns pela vitória, PUTA do Cruzeiro 👏🤌🤣🤣🤣🤣🤣🤣",há 1 ano,0,
Galo de Ouro!,há 1 ano,1,
Impressionante como.o nacho parece que desaprendeu a jogar bola. Naovaleu o investimento que o átomo mineiro fez,há 1 ano,0,
Pavon joga de maisss,há 1 ano,0,
Jogo lindo,há 1 ano,0,
Gaalooooooooo,há 1 ano,0,
cadê o deiverson? 🤣,há 1 ano,0,
Pavon driblou o time do Cuiabá todo. Merecia esse gol de placa viu. Que craque de bola.👏👏👏,há 1 ano,9,
"Times grandes do Brasil, é Palmeiras e Flamengo,  o resto!! .. corre atrás .
Ano que vem, vai dar Palmeiras ou Mengo de novo, e o resto vai continuar correndo atrás.",há 1 ano,0,
"👊 Agora segurem os Patéticos mineiros vão conquistar tudo esse ano kkk, eu falei quando o tal tanajura, Arana e nacho não jogam as frangas enlouquecidas viram time comum e nada mais segue o fluxo, agora estão no lugar que sempre ocuparam ✋✋✋ Iludidos futebol clube nada mais BY ED FLOYD 💎👊✋",há 1 ano,1,
Êh Galo! Agora né? 😰,há 1 ano,0,
Gamhar do Cuiabá é o mesmo que bater em cachorro morto...kkkk,há 1 ano,0,
"É uma pena o galo não ter feito uma preparação correta no início da temporada, tem um timaço e os caras não desaprenderam tudo que mostraram em 2021.",há 1 ano,0,
6aylo não tem torcida.. só modinha..  somvao na boa,há 1 ano,0,
O que o Pavon vai jogar ano que vem.... cê ta maluco!,há 1 ano,0,
Nosso último jogo no Mineirão depois e na arena MRV,há 1 ano,0,1
"Dos últimos cinco jogos do galo, é o único que ele teria chance de vencer, infelizmente até agora acertei todos, o time de hoje é fraquissimo, se o Corinthians fizer igual o Flamengo ,colocar o sub 17, o Atlético mineiro fora de casa na vence, essa é nossa realidade.",há 1 ano,0,
ESSE PAVON VAI SER TITULAR ABSOLUTO EM 2023,há 1 ano,0,
"Vamos ser sincero, se o atlético não ganha esse jogo podia fechar as portas.",há 1 ano,0,
"Putz torci pro Pavon fazer este gol, mas o goleiro foi muito bem na bola.",há 1 ano,0,
O Atlético mineiro meteu logo 3 no Cu.,há 1 ano,1,
MEU TIME...UM BAITA ELENCO QUE TÁ EM MÁ FASE...7 LUGAR É DECEPCIONANTE..ACHO QUE TEM TER UMA REFORMULAÇÃO PONTUAL E OTAVIO E VARGAS DE 9...ESSE É O PADRÃO,há 1 ano,0,
Nesse segundo gol me pareceu que o jogador estava impedido.,há 1 ano,0,
Vamos galão Pavão quase fez um golaço ontem ele é muito bom,há 1 ano,0,
Até que enfim o galo venceu,há 1 ano,0,
"Demorou ,mas, ""e o Galo?""",há 1 ano,0,
