text,time,votes,replies
"Que bela partida!! O que acharam da 1ª rodada do Brasileirão 2022?

🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,92,23
Boa togão Juventude Série A 2024 Nenê 💚💚 🇳🇬🇳🇬,há 3 meses,1,
Tô na conta do meu primo mais torço pro bragantino,há 1 ano,0,
KKKKKK O TIME DA LINGUIÇA 🤣,há 1 ano,0,
Esse Oscar ruim n Bahia n fez nada.vai pó outra time já fez dóis,há 2 anos,0,
Se continuar assim! escreve o que estou falando:sul americana pro Juve,há 2 anos,0,
Estoy aca por el Chavo Fuks,há 2 anos,0,
"Muito bem treinado esse time do juventude, e com esse futebol rb não briga nem por libertadores.",há 2 anos,1,
Gostaria de saber quem teve essa ideia dessa linha no tempo do jogo coisa ridículo nada haver🤮🤮🤮🤮🤮,há 2 anos,0,
ainda com a porcaria da linha do tempo,há 2 anos,0,
Juventude em Caxias é pedreira,há 2 anos,0,
Resumindo Juventus vs Redbull salzburg,há 2 anos,0,
Essa linha do tempo no lado esquerdo da tela ficou horrivel,há 2 anos (editado),0,
Faltou só ligar o botão da neblina,há 2 anos,0,
Sorte no Azar e azar na sorte 🤣🤣🤣🤣🤡,há 2 anos,0,
Juventude 💚💚,há 2 anos (editado),0,
Duas grandes equipes juventude e Bragatino sempre duelaram nos anos 94.,há 2 anos,2,
JUVENTUDE 2X2 BRAGANTINO,há 2 anos,0,
"Meu pai amado, deixa o tempo lá em cima normal como sempre foi",há 2 anos,0,
Esse Paul mocelin foi muito bem no Sport.,há 2 anos,0,
O brasileirão da série A eu não achei nada por que meu time não está aí que é o Bahia já a série b eu gostei por que meu time ganhou por 2x0 encima do Cruzeiro,há 2 anos,5,
Legal,há 2 anos,3,
Caramba... tirem essa merda de barra azul da tela,há 2 anos,4,
 @fabricio2245  que barra azul?,há 2 anos,1,
Partida da união cada um fez um golzinho pra ajudar o próximo isso é união parabéns achei lindo 👏👏👏🤭🤭,há 2 anos,2,
 @SuperSonic44444  comentário de cérebro de minhoca kkkkkkk,há 2 anos,0,
 @SuperSonic44444  essa barra vertical no canto esquerdo que marca o tempo do jogo.,há 2 anos,1,
Deveriam tirar essas linhas horrível ninguém gostou dessa merda acho um desrespeito até pra quem paga pelo produto deveria pensar bem e tira isso não pegou bem todo mundo tá criticando,há 2 anos,1,
"Prenuncio de um belissimo brasileirao, que a cada ano melhora mais e se der liga com a liga rsrs sera melhor ainda😀😀😀😀",há 2 anos,0,
" @SuperSonic44444  a do tempo do jogo, novidade da tv, deve ser isso!!!",há 2 anos,0,
Tira essa linha do tempo ridícula da tela !,há 2 anos,2,
"Essa Linha do Tempo..
Melou o Pa* de bost@ 🤦‍♂️🤦‍♂️",há 2 anos,0,
"Pagar 29,90 ??
Kk
Quem tem SKY GATO VÊ DE GRAÇA",há 2 anos,0,
"TROQUEM A DROGA DESSA LINHA DO TEMPO, NINGUÉM AGUENTA MAIS SÓ VOCÊS DO MESMO GRUPO GLOBO ELOGIANDO E DIZENDO QUE MELHOROU... TA UMA MERDAAA!!!!",há 2 anos,1,
Tirem a porcaria dessa linha!!!!!!!!!,há 2 anos,1,
Pagar  com essa antena do lado da TV fora que é uma dificuldade pra ver o tempo corrido do jogo  e brincadeira,há 2 anos,1,
"Eu sei que o pessoal da Globo não vai ler meu comentário, mas:
Por favor tirem essa linha do tempo, deixeim como é na TV Gobo, com cronômetro Tradicional.

A regeição diz tudo.
É bom inovar de vez em quando, mas as vezes não dá certo.

Também poderiam tocar musica de gol no Sportv e no Premiere.",há 2 anos,3,
Where are all the other highlights? I only see the Sao Paolo match and this one,há 2 anos,1,
Coisa pavorosa essa tal linha do tempo.....GLOBO SENDO GLOBO!!!,há 2 anos,2,
"@Edilson tem copa do Brasil, aliás o Xupalo n tem.",há 2 anos (editado),0,
TIREM ESSA BOSTA DESSA LINHA DO TEMPO,há 2 anos,1,
"Tá, mais e quando o flaesgoto vai ter seu próprio estádio?",há 2 anos,0,
Legal,há 2 anos,0,
.,há 2 anos,0,
.,há 2 anos,0,
.,há 2 anos,0,
.,há 2 anos,0,
.,há 2 anos,0,
O,há 2 anos,0,
D,há 2 anos,0,
L,há 2 anos,0,
O,há 2 anos,0,
F,há 2 anos,0,
J,há 2 anos,0,
N sei,há 2 anos,0,
Kk,há 2 anos,0,
Kk,há 2 anos,0,
O Juventude amassou que empate amargo.,há 2 anos,0,
Braga jogou com time misto,há 2 anos,0,
😆😅,há 2 anos,0,
😆😅,há 2 anos,0,
TIREM ESSA DROGA DE LINHA DO TEMPO,há 2 anos,1,
porque o ge não postou melhores momentos de todos os jogos da primeira rodada?,há 2 anos,0,
Até o juventude tem um estádio bom e o Flamengo que se diz tão rico não tem kkkkk,há 2 anos,0,
Eu tô falando que o campeonato brasileiro tá cada vez mais acerrado os times pequenos não tem mais medo dos times grandes.,há 2 anos,0,
Esse jogo foi emocionante,há 2 anos,3,
"Esse é o RB Bragantino
Segundo Flávio Prado:  maior que o São Paulo  em  10 anos.",há 2 anos,0,
Espero que o Juve se mantenha na serie A  tenho um carinho especial ganharam a copa do br quando eu nasci,há 2 anos,1,
Tá,há 2 anos,0,
Essa juventude vai ser pedra no sapato dos grandes,há 2 anos,0,
"Jorge Jesus poderia ser contratado para ser o Diretor técnico do flamengo?
Controlar todo o futebol do Flamengo desde a Base até o futebol feminino? Com isso ele administraria até o Paulo Souza..... Acho que seria melhor forma de escapar até da Multa de 20 milhões do PS.",há 2 anos,0,
