text,time,votes,replies
Unico narrador bom que a globo teve hehe,há 1 mês,0,
São paulo 🦌🏳️‍🌈,há 2 meses,0,2
Parece que so o eder que joga,há 2 meses,0,
Boa meu Corinthians 🖤🖤,há 3 meses,1,
E aqui estamos 1 ano e meio depois e ele me pegou nesse gol.,há 6 meses,0,
😂😂😂,há 7 meses,0,
Não ganhou desses reservas ruim do São Paulo 😂😂😂😂😂😂,há 10 meses,0,
"Corinthians dominou o jogo,merecia ganhar este jogo.",há 1 ano,1,
Vai Corinthians estamos classificado pra quartas de final,há 1 ano,0,
São Paulo tava com o 3 time aí reserva,há 1 ano,0,
"São Paulo em 2007: bi campeão brasileiro
Corinthians em 2007: rebaixado para B",há 1 ano,0,2
Que Golaço,há 1 ano,0,
Do Talles e Cassio,há 1 ano,0,
Que defesa Nossa velho Vai Corinthians,há 1 ano,1,
C pausar no exato minuto 1:38 da pra ver claramente q o jogador do São Paulo invadiu a área antes da cobrança de pênalti.,há 1 ano,2,
Ganhou,há 1 ano,0,
Esse Cléber Machado fede hein.....põe aquela mulher da espn no lugar,há 1 ano,0,
"Não foi pênalti pro São Paulo. O Gil faz a falta antes da aérea, o cara vai dentro da área. A falta de ser marcada onde começa a jogada e não onde termina. Foi um roubo!!!",há 1 ano,0,
✌🏽✌🏽✌🏽✌🏽,há 1 ano,1,
1:35 Cássio não pegou pênalti nem do Éder no meio do gol e tem gente achando que ele pegava na copa kkkkkkk,há 1 ano,2,1
Eae amigão tudo bem com você?,há 2 meses,0,
​ @torcedor2737 tudo,há 2 meses,0,
"2010-2019
São Paulo 1 título 
Corinthians 10 títulos",há 1 ano,1,
Clb torcedor do gaylo galão da Márcia,há 11 meses,0,
O cara do trikas tava tão com medo q nem chutou no canto preferiu chutar no meio kkkkkkkkkkkk,há 1 ano,1,
Eu fui nesse jogo,há 1 ano,1,
Cala tua boca muleque burro,há 1 ano,1,1
O Fausto vera joga de mais,há 1 ano,0,
"jogo bom, dava pra ter perdido kkk",há 1 ano,1,
"Corinthians foi roubado, tanto no pênalti que foi fora da área, quanto na batida, que teve invasão do jogador do São Paulo!",há 1 ano,1,
