text,time,votes,replies
"Boa 🐰👏
Será que o Timão consegue voltar para o G-4?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,88,42
Ja caiu da Copa do Brasil 😂 vai sair no playoff da Sul-americana e vai pra serie B pra fechar com chave de ouro que time é esse ?,há 1 ano,0,
ESSE  TIME  DO  CORINTHIANS  .É   HORRÍVEL  ..DEFESA  RUIM   ..MEIO DE CAMPO  RUIM   .. NÃO  TEM  ATACANTES  .. SÓ  O ROGER GUEDES  .MAIS  NINGUÉM..,há 1 ano,0,
👏👏👏🇺🇸,há 1 ano,0,
"Será
Quem o Corinthians vai volta pó _g4",há 1 ano,0,
Vai América mg melhor time do mundooo,há 1 ano,2,
E não gostei Cássio não conseguiu defender né,há 1 ano,1,
Não gostei Corinthians,há 1 ano,0,
A torcida do Corinthians é igual lombrigas se sair da merda morre kkk,há 1 ano,0,1
Vamooo Mequinhaaaa,há 1 ano,0,
O coelho deu um fuc fuc na galinha.,há 1 ano,0,
Vamos jogar ate fazer o gol nesse timinho. Mineiro America.,há 1 ano,0,
"Xiiiiiiiimão!!!😂😂😂...
👉🐷👈",há 1 ano,0,
Robeson babu entregou o jogo de novo fora não serve pra jogar no Corinthians,há 1 ano,0,
Mais uma derrota do timinho,há 1 ano,0,
Juninho destruiu a defesa do corithians.,há 1 ano,0,
Jackson mcFAL,há 1 ano,0,
vitor pereira tem que sair do clube porque eles ponhe xavier enves do renato augusto,há 1 ano,0,
eles tem que ter vergonha na cara ate o roger guedes que ta perdeno  gol,há 1 ano,0,
corinthians volta sim,há 1 ano,0,
Bambu Entregou o Jogo 🤮🤮🤮🤮,há 1 ano (editado),7,
Os Cheirinho Também Perdeu kkkk Suave,há 1 ano (editado),7,
"Ganhou o maior, gamba timeco tem que pagar o estádio e as tias da marmita",há 1 ano,15,
 @matheussccp2023  Pelo menos não perdeu para o America mg kkk.,há 1 ano,6,
Sim,há 1 ano,2,
" @cruzeiro5848  KKKKKKKK VC TORCE PRO CRUZEIRO MLK KKKL QUER FALAR DA ELITE, SEU TIMECO TA NA SERIE B, VAI ASSISTIR OS JOGOS DE LA 🤣🤣🤣",há 1 ano,2,
CÚRTINAS É MINÚSCULO DMSSSS 🤣🤣🤣,há 1 ano,3,
 @matheussccp2023  vive de flamengo kk,há 1 ano,3,
MARMINTHIANS 🤣🤣🤣,há 1 ano,4,
"Consegui se parar de usar os reservas mais de vez enquanto tem que usar, infelizmente o Timão reserva é fraco, mas a campanha é boa",há 1 ano,1,
 @matheussccp2023  vencer esse Nanico é obrigação força América Mg 🤣🤣🤣,há 1 ano,9,
Sei não viu.,há 1 ano,1,
 @palzaoterrordananicada2395  e parmera continua sem mundial,há 1 ano,1,
Atomorinthians voltando ao normal amigo,há 1 ano,2,
As gayrinthians só se garante dentro de casa🤏🤏🤣🤣🤣,há 1 ano,1,
 @gabrielhenrique3780  vai jg teu fogo grátis kkkkkk,há 1 ano,2,
 @guilhermehenrique4399  ??,há 1 ano,1,
 @gabrielhenrique3780  não vou escrever de nv tu sabe lê,há 1 ano,1,
curintiha quarta força de sp 😂😂😂😂,há 1 ano,4,
 @guilhermehenrique4399  é sério não entendi o que vc escreveu,há 1 ano,1,
 @DanielmattOs5013  1 libertadores e dois 2 mundiais🤣🤣🤣,há 1 ano,1,
Sim,há 1 ano,2,
" @gabrielhenrique3780  vai jogar o seu fogo grátis 










































Eu tô zuando contigo eu já joguei Free fire ;-;",há 1 ano,1,
 @heitor4020  na Verdade ele ja subiu pra série A,há 1 ano,1,
 @guilhermehenrique4399  kkk tamo junto mano 😎,há 1 ano,1,
 @gabrielhenrique3780  e noix 😎,há 1 ano,1,
 @regisfreefire  ;-;,há 1 ano,1,
 @matheussccp2023  kkkkkkkkkk quem ?,há 1 ano,1,
 @guilhermehenrique4399  e seu tabo continua levando pal kkkkkk,há 1 ano,0,
 @regisfreefire  que isso boy,há 1 ano,1,
" @guilhermehenrique4399 !,",há 1 ano,1,
Não,há 1 ano,1,
 @palzaoterrordananicada2395  o cara que ter moral tem nem mundial,há 1 ano,1,
Tomará que não,há 1 ano,1,
Essa desgraça desse Bambu,há 1 ano,0,
SULA DE NOVO.SÉRIE B DA LIBERTA..E NEM ISSO GANHOU....ESSE CURICA NÃO PODE VER UM TIME VERDE E BRANCO QUE SE BORRA TODO....😄😄😄😄😄🐔🐔🐔🐔🤔,há 1 ano,1,
 @guilhermehenrique4399  campeão mundial só pra passar vergonha,há 1 ano,1,
 @gabrielhenrique3780  nem isso ...o verdão deita e rola lá...😄😄😄🐔🐔🐔,há 1 ano,1,
" @gabrielhenrique3780  e agora,só passa vergonha...😄😄😄🐔🐔🐔",há 1 ano,2,
 @Skullblood440  são muito naniquinhas 🤏🤏😂😂,há 1 ano,1,
 @Skullblood440  concordo😂😂,há 1 ano,1,
1123456880pgfzzxvbnmdd2643tu,há 1 ano,0,
"Sou daqui de MG e América. 
A melhor torcida é a do Corinthians,  e Coringão vai se classificar libertadores.",há 1 ano,0,
"Robson bambú é inimigo da zaga , impressionante ,sempre que ele é Xavier é rone , é píton jogam o Corinthians perde",há 1 ano,1,
Se não fosse o Casio  hen  !!,há 1 ano,0,
"Contra um time ruim o curintia consegue ser mais ruim ainda KAKAKAKKAAKAKAKKAKAJ impressionante, só passam vergonha",há 1 ano,0,1
"PENSA EM UM CARA BURRO, PRAZER VÍTOR PEREIRA",há 1 ano,0,
"O coelhão deve ta com a pata em dia, tem feito um otimo trabalho na serie A",há 1 ano,0,
Esse Bambu é um câncer !!!,há 1 ano,0,
"Parabéns América, que continue assim! Aí assim Minas Gerais será mais competitivo: Atlético , Cruzeiro e América!!!",há 1 ano,0,
😢🖤🤍,há 1 ano,0,
Com esse técnico português no comando Corinthians não vai ganhar nada durante um bom tempo.,há 1 ano,0,
Parabéns ao meu América pois jogaram muito....agora tem que começar jogando com benites e mastriane juntos.....cade indio ramires???,há 1 ano,1,
Que merda ! Porque o técnico  do Timão  colocou o Jonatas Cafu ? Ele ferrou o Timão  de novo.,há 1 ano,0,
Quando será q o Vitor Pereira vai entender q Robson bambu não é jogador mano entro dormindo,há 1 ano,0,
Guarani mereceu a vitória,há 1 ano,0,
A estratégia : Perder o brasileirão e passar vergonha contra o flamengo ! Quanta paciência com esse técnico limitado. Quando ele vai embora?,há 1 ano,0,
Cássio merecia uma copa do mundo mais um jogador injustiçado pela política da CBF,há 1 ano,0,
"Vitor Pereira poupando jogador é uma tiração esses caras deviam jogar todos os jogos ganham dinheiro pra crlh , só o Vitor Pereira que não sabe ainda que esse Corinthians não tem time reserva",há 1 ano,0,
"Bambu mais perdido que cachorro em mudança 😔
Como esse maluco vai parar no Corinthians plmd",há 1 ano,0,
Esse Vitor Pereira é um fanfarrão o Corinthians só joga dia 28 em casa poderia muito bem ter escalado força máxima esse português e muitoooo ruim sem chance com esse cara,há 1 ano,0,
