text,time,votes,replies
"Fernando Diniz está fazendo um bom trabalho no Fluminense?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,33,6
VAMOS PARAR E QUEIMAR TÉCNICO !!!!  DEIXA O CARA TRABALHAR !!! NÃO TEM TÉCNICO NO MERCADO . ..GRUPINHO CHATO .,há 2 anos,0,
Jogou bem o time do América,há 2 anos,0,
Vai levar uma taca quinta feira do Cruzeiro,há 2 anos,0,
Eu me pergunto como o atletico-mg conseguiu levar 5 desse time do Fluminense???,há 2 anos,0,
Fluminense não tem Mundial...😂😂,há 2 anos,1,
Se não faz retranca toma de 4.,há 2 anos,0,
"""melhores momentos""
 0x0 😑",há 2 anos,1,
AMÉRICA-MG 0X0 FLUMINENSE,há 2 anos,0,
Ganso é um mestre.,há 2 anos,0,
"O FluminenC e muito fraco ,só o Atlético mesmo para tomar 5 disso ai",há 2 anos,0,
Diniz sempre começa bem dps dizanda,há 2 anos,0,
2:29 é falta pra caralho.,há 2 anos,0,
Nunca vi isso na minha vida. Fluminense só faz coisas impossível.,há 2 anos,0,
Joga com fluminense hoje em dia é foda pra mim nunca teve importância mas parece q toda vez naquela merda de carioca ganha um tipo de sobre vida seila eles joga como se tivesse sido campeão ou no grito só pode o time alem de ser ruim e patético e ajudado,há 2 anos,0,
O fluminense enganou  muita gente com aquela  vitória  sobre o Atlético.,há 2 anos,0,
"O América com um a menos jogou melhor do que o Fluminense. 
Não sei como esse time ruim conseguiu fazer cinco gol no Atletico.
Tô achando que o Cruzeiro vai vencer os dois jogos",há 2 anos,0,
Esse narrador e foda porriso que passei a jogar FIFA por causa dele Gustavo vilane,há 2 anos,0,
Jogo Ruim,há 2 anos,1,
Dizinismo KKKK,há 2 anos,0,
Sim,há 2 anos,1,
Sim,há 2 anos,2,
Gigante fluminense,há 2 anos,1,
Não,há 2 anos,0,
Sim,há 2 anos,1,
Agora campeão da libertadores....,há 8 meses,0,
"Tem muito dinheiro envolvido,  mas vocês não estão preparados pra essa conversa.",há 2 anos,0,
Fhdydafj eu j,há 2 anos,0,
Depois os torcedor do flu bosta falam que o flamengo e ajudado foi pênalti claro para o América,há 2 anos,0,
"mengão venceu de virada!
engulam isso! 😂😂😂😂😂",há 2 anos,0,
Vamos Fluminense 🇭🇺,há 2 anos,0,
"Menores do Brasil:
Flamengo
Atlético mineiro
Fluminense 
Palmeiras",há 2 anos,0,
Se não mudar essa onda de ter candidato único para presidência da CBF as roubalheiras que tem no futebol brasileiro nunca irá acabar.,há 2 anos,0,
"empate merecido,os dois tiveram chances de fazer o gol",há 2 anos,0,
Cano ferrou com meu cartola,há 2 anos,0,
"Falei que esse time do Fluminense é horrível, pegou apenas um Atlético Mineiro sem vontade de ganhar e totalmente desorganizado e sem técnico.",há 2 anos,0,
"Se o Galo tivesse 1/5 da raça do America, ele estaria no G3 tranquilo.",há 2 anos,0,
