text,time,votes,replies
"Fora o baile... Palmeiras é o favorito no Brasileirão?

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,858,161
Somos porcos muito loucos os gambas fica puto eu n cheiro eu n gosto de brigar mentira ao a aoba  os porcos da porrada nos gamba,há 1 mês,0,
Palmeiras nao tem mundial,há 2 meses,0,
O Dudu foi o jogador mais injustiçado na época do Tite na seleção brasileira,há 5 meses,1,
❤❤❤❤❤❤❤❤❤❤,há 6 meses,1,
"Esse jogo foi monstro, Palmeiras amassou os dito cujo kkk",há 7 meses,0,
😂😂😂😂😂 Corinthians e,há 8 meses,0,
❤❤❤❤,há 8 meses,0,
Show,há 8 meses,0,
Eu tava no estádio em Barueri,há 11 meses,0,
Horroroso,há 1 ano,0,
Época boa,há 1 ano,2,1
8fiu88jn 89,há 1 ano,0,
"4,6k",há 1 ano,1,
jogaoooo kkk,há 1 ano,0,
Que passeio!,há 1 ano,0,
curica sempre foi fregues do palmeiras hahahahaa,há 1 ano,1,
PALMEIRAS é Gigante Joga Com Força de Vontade💚🤍💪,há 1 ano,2,
"CORINTHIANS BI CAMPEÃO MUNDIAL DE CLUBES FIFA, 51 É PINGA.",há 1 ano,0,
Ain mas sem meu mundial eu n consigo ainnn,há 1 ano,0,
"No duelo de Nanico X Átomo, venceu oque nao tem Mundial",há 2 anos,28,
"Porcada só joga na retranca, deu sorte de hoje ter enfrentando um time pequeno",há 2 anos,0,
"Palmeiras só joga na retranca, deu sorte de ter hoje ter enfrentado um time pequeno",há 2 anos,27,
nooop,há 2 anos,3,
Sim,há 2 anos,7,
Sim,há 2 anos,6,
Sim,há 2 anos,2,
"Primeira vitória em 4 jogos e os caras já tão assim, foda",há 2 anos,2,
 @cruzeiro5848  o cruzeiro é oq?,há 2 anos,5,
Palmeiras não tem elenco pra aguentar as três competições. Só olhar o nível de alguns reservas. Vai ter que administrar o BR pensando nas copas.,há 2 anos,6,
Sou palmeirense. Mais vou ser justo galo vai ser o NOSSO VICE,há 2 anos,9,
 @jonaspfc6331  Não ter mundial só é ruim por causa das gracinhas de torcedores infantis parecendo criança superior a outra criança por terem um brinquedinho a mais,há 2 anos,5,
 @cruzeiro5848  igual o seu time pequeno que nem tá na série a,há 2 anos,2,
 @jonaspfc6331  Quando o Palmeiras ganhar o primeiro mundial provavelmente será de goleada pra lavar a alma. Como foi em cima dos gambás (4x0 no paulistão de 1993) depois de 16 anos de fila... Como foi em cima das baleias (4x0) na conquista da primeira copinha... Como foi em cima dos trikas (4x0) na final do último paulistão depois de vários anos sem ganhar títulos em cima do São Paulo,há 2 anos,5,
QUE DELÍCIA UMA CANJA DE GALINHAS NO FINAL DE SEMANA 😋😋,há 2 anos,3,
 @jonaspfc6331  ambos tem Copa do Brasil 🤝🏻,há 2 anos,5,
"Flaputinha 0  - 1 ATHETICO PR
PALMEIRAS 3 - 0 CORINPUTINHA",há 2 anos,6,
NÃO. Palmeiras só brilha em jogo grande. Contra time pequeno que era pra golear tipo Goiás e Ceará parece que o Palmeiras entra desmotivado.,há 2 anos,2,
Quem foi o rei do baile,há 2 anos,2,
 Master Gamerツ  sou cruzeirense desculpa pelo outro estar falando mau do Palmeiras deve preocupar é com o Cruzeiro mesmo ele esquece que estamos na B somos grande mas essa B já manchou nos e muito ne atoa que o rival que se acha grande está aproveitando,há 2 anos,3,
 @cruzeiro5848  CUzeiro era pra ter perdido Tombense jogo melhor,há 2 anos,0,
" @cruzeiro5848   e aí filial, seu time tá voando neh. Joga na retranca aí pra ver se volta pra A.",há 2 anos,2,
 @jonaspfc6331  pow mano teu time levou de 4 e tomou uma virada histórica numa final e quer zoar os cara? Q moral hein,há 2 anos,6,
"Claro que não!!!! São os de sempre:
Mulambos e patético Mineiro kkkkk",há 2 anos,2,
Sou corinthians mas o Palmeiras é favorito em todas as competições que disputa aqui na América Latina.,há 2 anos,5,
 @cruzeiro5848   ksksksks o time grande e o Flamengo e o Cruzeiro ne 🤣🤣🤣🤣,há 2 anos,1,
" @jonaspfc6331  Sua opinião não interessa saco de pancadas esmagador de linguiças.
Manda ofício.....",há 2 anos (editado),0,
 @kauateixeira2238   primeira Vitória justamente em clássico mais ver os jogos do Palmeiras na liberta,há 2 anos,2,
 @Comuna17  iae Corinthiano lembra dos 8x0 kkk,há 2 anos,3,
 @XXXjc93XXX   skskksksks 2020 e 2021 foi a mesma coisa kkk e ganhou tudo 👍👍💚💚💚💚💚🔥 o Flamengo tem elenco bom e só ganhou títulos em 2019 🤣🤣🤣,há 2 anos,1,
 @cruzeiro5848  Palmeiras só joga na retranca? O senhor provavelmente deve ter amnésia pra já ter se esquecido da final do último paulistão. Tinha que ser comentário de série B mesmo,há 2 anos,5,
 @Horusfxxx  Pois é antigamente diziam que só o Palmeiras pra estar ganhando de 3x0 e perder uma final de 4x3 pro Vasco na Mercosul de 2000... Recentemente começaram ganhando de 3x0 e perderam de 5x3 fora o baile,há 2 anos,2,
"Não, galão vai amassar",há 2 anos,2,
 @jonaspfc6331  invejoso são Paulino freguês do palmeiras tbm falam tanto de mundial mais isso não ajuda ganhar do palmeiras né mimi inveja mata viu..,há 2 anos,4,
 @cruzeiro5848  como se o Cruzeiro fosse grande,há 2 anos,2,
Favorito no Brasileirão tá zoando só pode ... E baile ? Olha com o qual time vc tá escrevendo ok timão sempre,há 2 anos,2,
 @cruzeiro5848  time pequeno kkkkk falou o Cruzeiro série B,há 2 anos,2,
 @XXXjc93XXX  ta com inveja,há 2 anos,2,
 @kauateixeira2238  Flamengo mesma bost@,há 2 anos,1,
Rapaz Zé Rafael er um jogador sensacional,há 2 anos,1,
 @tensoestrifasicas4903  sem mundial,há 2 anos,1,
