text,time,votes,replies
Yes!!!! 🤩🤩,há 1 ano,0,
E esse 2021 na thumb ein?,há 1 ano,0,
O ge errou o ano do campeonato kkkk vê na thumb,há 2 anos,0,1
"10 anos de fluminese e só fez 199 gols, é um sacrilégio chamar de artilheiro",há 2 anos,0,
Eu fui pro jogo,há 2 anos,0,
0:59 melhor parte do jogo não foi gol mas foi uma arte quem acha que foi uma arte da like👇🤩🤩,há 2 anos (editado),0,
"caramba , torcida grande a do fluminense.",há 2 anos,0,
"Kkkk...depois falam que o Fluminense não tem torcida. Porra, torcida foda pra caralho.

• Não consegui ir na despedida do Fred....nem ver o jogo. Quem trabalha/estuda é foda.",há 2 anos,0,
O Fred vai te pegar 🎵,há 2 anos,1,
Em matéria de fazer festa espetacular ..a torcida do flu é única...porra é muito bonito ..acho que as cores ajudam ..fica muito muito foda,há 2 anos,0,
"GE vocês são uma vergonha, totalmente parcial. UMA VERGONHA!!!",há 2 anos,0,
"Meu Deus...
Esse goleiro do Fluminense é magnífico.",há 2 anos,0,
Toma Ronaldo deixa o Fábio ir embora,há 2 anos,0,
"Essa tumb aí, o campeonato é 2022 não 2021",há 2 anos,0,
Palmeiras campeão brasileiro 2022!,há 2 anos,0,
"O q esse Jhon Árias joga, não é brincadeira.",há 2 anos,0,
"Obrigado Fred por tudo que realizou no Fluminense, seja feliz !",há 2 anos,1,
"Otimo jogo, os jogadores honraram novamente a gloriosa camisa tricolor com dedicacao e garra.
Bela e justa homenagem ao nosso eterno camisa nove Fred !",há 2 anos (editado),0,
"ALÉM de ARTILHEIRO, Fred foi o MAIOR PIVÔ que vi jogar no BRASIL... 👏🏽👏👍🏾🤟🏽👊🇧🇷👏🙌❤️🤍💚",há 2 anos,1,
Esse time do flumonense tem de para de fica tocando a bola no lado esquerdo do ataque junta 5 ou 6 jogadores do fluminense e fica tocando a bola como se tivesse brincando tem que  aprender a virar o jogo lancar a bola chutar fora da area e colocar o pe na forma fazendo isso quem sabe pode ate ser campeao.,há 2 anos (editado),1,
"E errou tbm o tamanho do placar, em 2022 os placares de thumb do ge ficaram menores",há 3 meses,0,
FLU!,há 2 anos,0,
Frederico Guerreiro. Nosso capitão.,há 2 anos,0,
🇮🇹👏🏻,há 2 anos,0,
Sou Power Rangers e o Fred jogou MT .,há 2 anos,1,
tava no estádio e queria rever o jogo. alguém tem link?,há 2 anos,0,
Fred tem mais história e Gol do que o criança Ney,há 2 anos,2,
E aí galera o Fábio merece ou não a seleção ! Um Monstro no gol ! Sempre honrou o cruzeiro . Vasco e agora o Fluminense !,há 2 anos,1,
Apesar da linda homenagem ao Fred o que German Cano joga é brincadeira.,há 2 anos,3,
O Fábio catou pra Caralho,há 2 anos,0,
Fábio melhor goleiro do Brasil,há 2 anos,0,
Parabéns Ceará. De empate em empate você chegou aonde queria. Achou mesmo que iria manter a invencibilidade com mais um empate contra o fluminense? Vai resolver vencer ou vai ficar o campeonato todo só empatando?,há 2 anos,0,
"O Fábio fez duas defesas espetaculares, o que garantiu a vitória.",há 2 anos,0,
goleiro do flu pegou muita bola!,há 2 anos,1,
"Infelizmente, Mais Uma LENDA Do Futebol Está Se Despedindo. Obrigado Por Tudo, Fred. ST ❤ 💚",há 2 anos,0,
"FRED ETERN9!
FLUZÃO RUMO AO PENTA, VAMOS JOGO A JOGO 🙏🏼🇭🇺",há 2 anos,0,
"brasileirão 2021? ué kkkkl
tá errada a thumb",há 2 anos,0,
Faltou só o gol do Fred na sua despedida.,há 2 anos,1,
"Presença de área do cano é absurda, tá em todo lance pqp",há 2 anos,1,
Ceará merecia o menos um empate.,há 2 anos,1,
"Na thumb está está dizendo ""2021""",há 2 anos,0,
Fluzão malvadão,há 2 anos,0,
"Minha família é toda atleticana, minha família é toda cruzeirense kkk",há 2 anos,0,
Esse maluco no final do vídeo e muito chato,há 2 anos,0,
FRED ETERNO 🇭🇺,há 2 anos,1,
Bela partida do Fluminense,há 2 anos,1,
Fábio bem demais.,há 2 anos,0,
"Vei
Esse Fabio ne normal nao 
Quando saudade tenho dele no meu Cruzeiro 😢
E injustificavel ele nao ter sido goleiro da seleçao 
Pelo que ele fez e faz pelo futebol .
Eterno melhor goleiro do Brasil!!!",há 2 anos,1,
"Parabéns pra quem editou, cortou o começo da jogada do segundo gol que foi muito bonita. Pqp.",há 2 anos (editado),1,
"Tudo bem,mais i os dez milhões Fred, paga o galo sem vergonha",há 2 anos,0,
Brasileiro 2022 certo,há 2 anos,0,
Fábio é titular em qualquer time da série A,há 2 anos,0,
Festa ? Fala sério... isso o flamengo faz todos os jogos. Fred ídolo de 2 títulos kkkkk,há 2 anos,0,
"Hi, I'm keeping an eye on the comments, any infraction for not following our guidelines, will be considered a hostile person.",há 2 anos,0,
Faltou Concentração Dos Jogadores Do Vozão Nas Finalizações!,há 2 anos,1,
Jogou MT o Fred 🇧🇷🙅,há 2 anos,1,
Fred sempre será lembrado pela derrota pra Alemanha por 7 X 1,há 2 anos,0,
Não tem defesa nem ataque está merda,há 2 anos,0,
Quero saber se esse time vai descer com o fortaleza toma vergonha Ceará time fulerage não tô gostando,há 2 anos,0,
Time do ceara sem-vergonha já tá na zona de rebaixamento uma vergonha,há 2 anos,0,
Sou corinthiano mas velho que festa de torcida em não sou muito fan do fred mas oque ele fez pelo fluminense não tá escrito Dale fluzao 🦅⚪⚫⚪⚫,há 2 anos,1,
Jogão!,há 2 anos,0,
Essas defesas do Fábio não são novidades pra quem conviveu de perto com elas. Pega muito.,há 2 anos,1,
