text,time,votes,replies
Boa meu Série B 2024 Ceará 🖤🖤,há 3 meses,1,
Y,há 1 ano,0,
Hhh,há 1 ano,0,
Huhuu,há 1 ano,0,
Huiiuuuu,há 1 ano,0,
Huuuiuuu,há 1 ano,0,
Pode tira esse vina ingual o jael,há 1 ano,0,
"Parabéns COXA! É isso aí família Coxa! Manga ""P a r a b e n s  Especialmente para você, querido irmão Manga. O pode não ter sido exatamente você quem marcou o gooollll, mas sem você não aconteceria. Entenda! A tua justiça e a dos teus irmãos de clube vem de Deus e é feita no campo de jogo, tenha a certeza que ajudar o irmão, melhor posicionado para marcar, as vezes é muito melhor que marcar. Continua no caminho. Que  importa é marcar em jogos decisivos. Fazer gols decisivos. Deus, na forma do universo vai retribuir todo Amor que você compartilha com teus irmãos e á grande família Coxa. Plantado felicidades em forma de gooolllls e assistência dos gooolllls essa felicidade nunca vai faltar. E você nunca passará por grandes períodos sem fazer gooolllls",há 1 ano,0,
"Guto ferreira , no seu terceiro jogo  no couto pereira , 100% de aproveitamento",há 1 ano (editado),0,
O time nunca briga por nada . Só entra na competição pra passar vergonha . Vtnc,há 1 ano,0,
"VAR marcou impedimento do gol do Ceará utilizando a base visual porque não tinha a base das linhas. Se isso não é ser tendencioso...fora o pênalti sobre o Lucas Ribeiro antes do toque do Jô, no lance do mesmo gol. O Coritiba não tem nada a ver com isso, já o VAR roubou!!! Nosso VAR é uma vergonha.",há 1 ano,0,
"Ganhando dos fracos da ZR, em casa, e perdendo pra Deus e o Mundo fora .... Talvez o coxinha ganhe do Juventude fora, mas vai ser por acaso....🤣🤣🤣🤣 Se esse ano tá difícil imagine ano que vem ....",há 1 ano,0,4
E o coxa em casa bem.,há 1 ano,0,
Qur vergonha Ceará logo para o Coritiba ai e foda aff,há 1 ano,0,
Cuiabá tá chegando em Vozão 👀,há 1 ano,0,
O Ceará merece se reavaliação,há 1 ano,2,
Gordiola e os reforços da janela ajudaram muito o Coxa,há 1 ano,0,
Bom goleiro esse do Coritiba.,há 1 ano,0,
Ceará tem que ganhar do americá se não vai ser rebaixado Força vozão. abraços do tricolor,há 1 ano,0,
Coritiba tinha que vencer no Couto Pereira o confronto direto contra o rebaixamento,há 1 ano,0,
"Coxa tem a 4° melhor campanha como mandante, se tivesse um aproveitamento um pouco melhor fora estaria brigando por libertadores",há 1 ano,0,
" @carlosdanielribeiro6386  DÉCIMO QUINTO... BATEU NOS MAIS FRACOS EM CASA, OBVIO..... E NAO GANHOU NENHUMA FORA ...",há 1 ano,0,
 @carlosdanielribeiro6386  :elbowcough:LIBERTADORES ........🤣,há 1 ano,0,
" @invisibletoeverybody646  sim por isso disse, em jogos fora de casa tem um aproveitamento horrível, mais em casa a quarta melhor campanha
Em casa venceu 
Fluminense, Goiás, Avaí, Botafogo, América MG, Atlético GO, Ceará, Fortaleza e Cuiaba, 9 times, ou seja falta só um pra interar a metade dos adversários vencidos em casa, não seja clubista em desmerecer as vitórias de um time só porque só ganha em casa!",há 1 ano,0,
"CEARÁ Ressuscitando defunto, PARABÉNS AOS ENVOLVIDOS!!!",há 1 ano,2,1
Coritiba,há 1 ano,1,
Apesar da vitoria o Coritiba precisa melhorar. SempreCoritiba a maior torcida do Pr,há 1 ano,2,
O Ceará não jogou nada mereceu perder,há 1 ano,0,
Bruno quem viu ..no Vasco nada joga .Andrei está também...outro e Galarza,há 1 ano,0,
