text,time,votes,replies
"Timão firme no G-4!
O que acharam da partida?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,296,28
😂😅😂😅😂😅😂😅😅❤😅❤😅❤😅😅😅😂😂😅😂😅😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😅😂😂😅😂😅😅😂😅😂😂😅😂😅😅😂😂😅😂😅😂😅😂😅😂😅😅😂😅😂😅😂😅😂,há 7 meses,0,
❤❤😅❤😅😅❤❤😅😅❤❤😅❤😅❤😅❤😅😅🎉😅🎉😅🎉😅🎉😅😅😂😅😂😂😅😂😅😅,há 7 meses,0,
Saudades da minha loira que foi pro qatar,há 7 meses,3,
Saudades calvo guedes,há 8 meses,5,
Saudades do corinthians assim..,há 8 meses,4,
"E a gente pensando que o time de 2022 estava jogando mal, depois de ver o de 2023, dá uma saudade absurda desse time kkkkk",há 9 meses,1,
0:25 ehehehe a ❤,há 9 meses,0,
Calvo abandonou nois 😰😰,há 1 ano,0,
Goo pra fora,há 1 ano,0,
Volta Corinthians o time tá horrível tá perdendo ou impatando e nem se fale a freguesia,há 1 ano,0,
Jogaço,há 1 ano,0,
Sou flamenguista mais o Roger Guedes joga muito👏👏,há 1 ano,0,
Eu tava nesse jogo,há 1 ano,1,
"O que eu lembro no gol do Roger guedes:
Ankara Messi Messi Messi...",há 1 ano,1,
Fica Yuri 🖤🤍🦅,há 1 ano,0,
James Rodrigues vem ou não,há 1 ano,0,
"Sou são paulino , mais pqp o que o roger Guedes joga é brincadeira craque dms",há 1 ano,1,
Tem que agradecer a Deus só de estar acordado amém🙏❤️,há 1 ano,0,
"Eu nao sou corintiano, mas o que joga o menino Róger Guedes é um absurdo",há 1 ano,1,
Eu acho que o timeco tem que pagar as marmitas isso sim,há 1 ano,4,
 @cruzeiro5848  Calado Ladrão,há 1 ano,0,
 @cruzeiro5848  Quando as Maria voltar pra serie A agente conversa,há 1 ano,3,
Eu acho que o curica tem que pagar o estádio e as marmitas,há 1 ano,1,
Graças a Deus o Timão tá se entrosando é criando mais chances de gols,há 1 ano,3,
 @cruzeiro5848  cuida da série b Marias juninas e vote com consciência amanhã na eleição,há 1 ano,1,
 @cruzeiro5848  agente ja tá pagando e vocês precisam do Ronaldo fenômeno para compra marmita que 2019 2020 2021 era insesistente,há 1 ano,3,
" @joazin8555  Já estão na série a, ops, já caiu dnv",há 1 ano,1,
 @flamengo4730  Acho que o Flamengo deve chorar mais pela derrota,há 1 ano,1,
Gamba tem que pagar marmita,há 1 ano,1,
 @flamengo4730  flamengo nem estádio tem Zé ruela,há 1 ano,0,
 @cruzeiro5848  queria aí o série b . Único grande a ficar dois ano seguidos na segundona,há 1 ano,1,
"O time tá cada vez evoluindo, jogo por jogo, e a nossa meta é logo ale...",há 1 ano,1,
Gol legítimo do Cuiabá anulado contra curintia??? Normal e segue o jogo,há 1 ano,1,
O VAR É MEU PASTOR E NADA ME FALARÁS CURICA DEVEDOR DE MARMITAS,há 1 ano,0,
Ótima vitória do Timão com Golaço do Róger Guedes,há 1 ano,2,
 @cruzeiro5848  meu piru,há 1 ano,1,
Pq sabotaram a publicidade eletrônica???,há 1 ano,1,
 @nilsonmassa699  tava impedido,há 1 ano,1,
" @gremio2268  e o grêmio tem que pensar primeiro em subir, e depois pagar as dívidas tbm esse não vai descer dnv pra série B.",há 1 ano,1,
 @gremio2268  vai cuidar da série b também,há 1 ano,1,
