text,time,votes,replies
"Fala, torcedor! Vítor Pereira está fazendo um bom trabalho no Corinthians?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,112,74
Roubado é mais gostoso,há 8 dias,0,
Era lindo quando o Pedro Raul estava longe do Corinthians,há 1 mês,0,
Cadê o pênalti do Goiás,há 7 meses,0,
Vamos 🤩🤩,há 1 ano,1,
"Mano que capacidade essa do tio chico em bater pênaltis , é milagre se homi erra",há 1 ano,0,
"Engraçado que em 2021 ,contra o Inter no beira rio não é pênalti,. Pelo brasileiro
Lance muito parecido
Lá foi mão de apoio
Neste é mão da arbitragem.",há 1 ano,0,
"Não acredito que isso aí é pênalti,caído no chão, lá atrás dois jogadores  do Goiás. Não tinha perigo de gol. Amadorismo dos Árbitros.",há 1 ano,0,
O Corinthians e o melhor de todos,há 1 ano,0,
"Contra o Goiás é fácil dar pênalti, difícil é contra o Flamengo.",há 1 ano,0,
"O MLKS Q NAO ENTENDEM DE FUTEBOL, QUANDO A MAO DE UM JOGADOR ADVERSARIO ATRAPALHA NO GOL DE UM JOGADOR, É PENALTI, SIMPLES. VOCES NAO ENTENDEM DE FUTEBOL E FICAM FALANDO MERDA",há 2 anos,0,1
VAMOS..,há 2 anos,0,
agora se o var deixou isso acontecer ai o corinthians comprou a partida,há 2 anos,0,
e o mas dificil é a pergunta cade o var nessas horas ?,há 2 anos,0,
Esse jogo teve apito amigo uma  vergonha,há 2 anos,0,
Que roubo,há 2 anos,0,
Esse jogo foi um roubo! Só isso a dizer,há 2 anos,1,
"O cara vai e pinguim pra ficar de braço fechado, como ele vai apoiar no carrinho se não abrir os braços, pênalti plmds, teve hr que nem o juíz soube pq parou o jogo é de quem era a bola",há 2 anos,0,
"Kkkkkkkkkkkkkkkkkkkkkk Pra quem diz que isso foi pênalti, no próximo jogo, será ao contrário, vai sofrer do mesmo erro, o cara dá o carrinho, a bola bate no peito e vai no braço de apoio! Esse VAR brasileiro serve só pra assistir o jogo! Isso tudo pra não deixar o Palmeiras distanciar kkkkkkkkkkkkksjsjsjskshdjskajs",há 2 anos,1,
"Foi muito pênalti, o zagueiro se pulou na bola como um goleiro.",há 2 anos (editado),4,
Sim,há 2 anos,9,
"VP não sei, mas o juiz hj hein 👍🏿🤗😂",há 2 anos,10,
"Precisando de apito amigo para vencer o Goiás, eu teria vergonha de comemorar esse jogo",há 2 anos,10,
ROUBADO,há 2 anos,5,
GAMBAS VÃO FALIR ESTÁDIO COM DINHEIRO PÚBLICO TIME PEQUENO AMIGO,há 2 anos,6,
VAI CORINTHIANS 🏁😎,há 2 anos,7,
 @osdepreto8370  GAMBAS VÃO FALIR ESTÁDIO COM DINHEIRO PÚBLICO TIME PEQUENO AMIGO,há 2 anos,2,
​ @jonaspfc6331  CHORAR TRIKAS,há 2 anos,6,
​ @cruzeiro5848  CHORA Marias da série B,há 2 anos,9,
 @cruzeiro5848  Chora Marias A Série B É O Lugar De vcs,há 2 anos,8,
