text,time,votes,replies
"O que acharam do jogo?

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,213,75
Parabéns ao time do Flamengo ❤️🖤,há 3 meses,1,
Yes!!! 😍😍,há 1 ano,1,
Felipe Neto assas horas: AAAAAAAH FDP!,há 1 ano,0,
Bota fogo meu time do coração,há 1 ano,0,
O jogo vira pae,há 1 ano,0,
Flamengo vence o Botafogo por 1 a 0 goleiro Gatito Fernandez tomou o gol,há 1 ano,1,
"ão ão ão, o Pedro é seleção!! 🟥⬛🟥⬛ >> 🟡🟢BR",há 1 ano,0,
Botafogo tomar um gol besta desse,há 1 ano,0,
Kkk Quero ver quando Bruno Henrique voltar !Pedro o gabi pra quem vai sobrar!,há 1 ano,0,
Espero que o Flamengo não manda Rodnei embora ele está jogando um futebol gue nenhum lateral jogol não manda Rodnei embora ele é emportate para o clube estou com ele sou Rogério Fernandes do Espírito Santo beleza,há 1 ano,0,
Parabéns,há 1 ano,0,
Aqui é flamengo,há 1 ano,0,
Bota choro 😢,há 1 ano,0,
Botafogo 🖤🤍 até morrer pra sempre,há 1 ano,1,
Lindo,há 1 ano,0,
"Fico imaginando se fosse o ""muralha "" kakkakakakakakakkak

Quem imaginou a mesma coisa deixa o like !",há 1 ano,1,
Que time esse flamengo.,há 1 ano,0,
"Mano estou começando a ficar preocupada com o flamengo ! Porque o pedro da uma machete na bola e não é ✋  dentro da área , Vidal da um golpe MMA no Gomes ( no pescoço nada marcado nada de pênalti  , nunca e nada sempre mesma história que não viram e muita sacanagem em três jogos dois dois erros crucial equipamente a 4 pontos nas costa dos árbitros , depois o time e demais , jogar com 12 e mole .",há 1 ano (editado),0,
"Se Rodinei tivesse jogado, acredito que o estresse de nós flamenguistas não seria tanto, é aquele velho jargão cruel de psicologia social, você pode acertar em quase todo campeonato, porém comete um erro grave, já era: ""O Flamengo é excelente, más perdeu pro Botafogo... (caso ocorresse)""; O Atlético Paranaense está fazendo uma excelente campanha,  más tomou de 5 do Flamengo. Esclareço que o Atlético é um time de muito respeito graças ao seu trabalho e que o Botafogo fez um jogaço, somente teve muita dificuldade em achar o caminho do gol graças a zaga e ao goleiro que são muito diferenciados.",há 1 ano (editado),0,
FLAMENGO NÃO TEM ESTÁDIO,há 1 ano (editado),9,
JOGAÇO FLAMENGO DEITAVA O BOTAFOGO DEFENDIA,há 1 ano (editado),8,
CONTRA O BOTAFOGO É FÁCIL QUERO VER GANHA DO CORINTHIANS,há 1 ano,9,
Cheirinho como sempre no apito amigo 👃👃👃👃👃👃,há 1 ano,6,
"Botafogo é minúsculo amigos, esses fracotes contra o Flamengo dão a vida.",há 1 ano,5,
 @matheussccp2023  ah mano para,há 1 ano,4,
flaputaria já parou de ser espancado pelo deyverson?,há 1 ano,7,
ESSE FLAMENGO É OUTRO NIVEL.,há 1 ano,6,
O CORINTHIANO VC ESQUECEU QUE FLAMENGO VENCEU O CORINTHIANS DE 2 X 0 FORA DE CASA E EM CASA 1 X 0 CORINTHIANS É MUITO RUIM NEM ERA PRA ELE TA NA LIBERTADORES,há 1 ano,4,
 @jobson173  olha o respeito,há 1 ano,0,
" @matheussccp2023  eles já ganharam mano, inclusive eliminaram vocês da competição continental AKAKAKAKAKAKKAK",há 1 ano,4,
Ótimo jogo,há 1 ano,0,
 @matheussccp2023  De novo?,há 1 ano,1,
 @matheussccp2023  Arena Caixa Econômica é do povo então Corinthians tbm não tem,há 1 ano,2,
 @matheussccp2023  meteu essa,há 1 ano,0,
Flapiranha sem estádio não fez isso com o Palmeiras não amigo,há 1 ano,2,
 @palzaoterrordananicada2395  E o que vocês fizerem com a gente?  Kkkkk seus retraqueiros!,há 1 ano (editado),2,
 @matheussccp2023  e Corinthians não tem libertadores,há 1 ano,0,
 @matheussccp2023  ganhar do varinthias e muito facil🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😢,há 1 ano,1,
 @matheussccp2023  Flamengo eliminou o Corinthians seu burro,há 1 ano,0,
 @palzaoterrordananicada2395  mundial?,há 1 ano,2,
Derrota bem Ruim pro Botafogo,há 1 ano,0,
 @matheussccp2023  só assistir os dois jogos das quartas da Liberdades kkkkkkkk,há 1 ano,0,
"Jesus está voltando !
Buscai ao Senhor enquanto se pode achar, invocai-o enquanto está perto. Isaías 55:6
Amém !",há 1 ano,3,
Normal 😅,há 1 ano,0,
 @matheussccp2023  2 a 0 na liberta,há 1 ano,1,
 @cruzeiro5848  BBBBBBBBB,há 1 ano,1,
"Jogo ruim, viuvas do Wright x viuvas do Garrincha",há 1 ano,1,
 @gremio2268  b,há 1 ano,1,
 @gremio2268  b,há 1 ano,1,
 @matheussccp2023  cara daqui a 4 anos no máximo se vc ainda estiver vivo vc vai ver o maior estádio do mundo vc e  outras torcidas invejosas vão se cagar de inveja,há 1 ano (editado),2,
Com gol impedido é facil,há 1 ano,0,
 @eu0777  gol impedido aonde deixa falar merda,há 1 ano,0,
"UÉ, QUE HOUVE? O TIME QUE GANHA DE 7, NÃO CONSEGUIRAM BOTA FOGO HOJE? KKKKK",há 1 ano,0,
" @matheussccp2023  3x0 na libertadores, esqueceu?",há 1 ano,1,
 @matheussccp2023  igual na libertadores?,há 1 ano,1,
O Cruzeiro rei de copas tá voltando,há 1 ano,0,
"Botafogo não tem tradição x Flamengo não tem estádio, um clássico insignificante",há 1 ano,0,
 @matheussccp2023  será vice do Brasileiro e Bivice da libertadores,há 1 ano,0,
 @matheussccp2023  Corinthians não ganha do  Fla,há 1 ano,1,
 @eu0777  ulha sai dai mano para que tá feio já,há 1 ano,0,
" @palzaoterrordananicada2395  sem mundial, BI rebaixado kkkkk",há 1 ano,1,
 @matheussccp2023  so ganhou a uma do flamengo  gol contra do RODINEY.  George Guedes  sofre com zaga do flamengo  corre de um lado PRA outro nada de roubar a bola nao recebe nem uma bola na frente,há 1 ano,1,
 @realdrey  respeita Mengão melhor time do  Brasil,há 1 ano,1,
 @marcosabnael6748  amem,há 1 ano,1,
 @realdrey  Não vê nem os jogos do próprio time kkkk,há 1 ano,0,
O empate era mais justo pelo que o Botafogo produziu no primeiro tempo,há 1 ano,0,
 @matheussccp2023  Tá sem tv ?,há 1 ano,0,
6E⁶5e66666w67r,há 1 ano,0,
 @matheussccp2023  E os gambás mesmo com estádio não foi capaz de parar o Mengão na Liberta! Que coisa não?!!!,há 1 ano,1,
" @matheussccp2023  vish, esqueceu-se da partida no estádio dos remédios pela Libertadores? heheheheh Foi facinho facinho",há 1 ano,1,
" @palzaoterrordananicada2395  pior é o parmeras empatar com o time 'b' do Flamengo! Que coisa não?! Só digo que fará falta pra porcalhada os dois pontos perdidos contra o Mengão, e ainda ontem contra o Fluminense no Maraca, onde o time alvi verde por pouco não perde heheheh",há 1 ano,1,
Flamengo tava ruim hoje porra,há 1 ano,0,
 @cruzeiro5848  melhor ficar no cheirinho do que ficar pra sempre na série b,há 1 ano,1,
