text,time,votes,replies
"E aí, pessoal! 😎 Estão gostando do Fluminense do Diniz?
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,131,29
Vamos Fluminense ❤💚,há 1 ano,0,
Na época que o torcedor era feliz 😢,há 1 ano,0,
"Este cano é indecente,joga muito craque",há 1 ano,0,
Aulas de cano Desde sempre!,há 1 ano,0,
"Aqui é  furacão Respeita, esse  time de advogados  deve  duas  série B.",há 1 ano,0,
Hyyy,há 2 anos,0,
Huu,há 2 anos,0,
Huu,há 2 anos,0,
"1:38 ""Abner empurra a bola no Cuello"" 😈😈😈😈😈😈😈😈😈😈😈😈😈 Que que é isso Narrador",há 2 anos,0,
Faz o L nação tricolor,há 2 anos,0,
❤💚,há 2 anos,0,
fluminense com  Kano arrebenta,há 2 anos,0,
"no dia que Luiz Henrique e Ganso revolvem jogar não tem para ninguém ...
Melhor jogo do brasileirão e  não vai ter outro jogo melhor que este em 2022 - Petkovitch, comentarista, levantou pra aplaudir...
Desta vez , o futebol sulamericano causou inveja no europeu - esse jogo entra para a história!!!
FLU 5X3 ATLÉTICO (8/6/2022)😂😂😂",há 2 anos,0,
O cano tá arrebentando no Fluminense,há 2 anos,0,
Fluzaoo,há 2 anos,0,
Cano e William bigode dupla muito boua,há 2 anos,0,
Boa noite O cano e muito bom centroavante ele e muito inteligente fais gol sem chuta muito forte,há 2 anos,0,
O German Cano é matador,há 2 anos,0,
O são Paulo queria o Cano,há 2 anos,0,
"Fluminense é time pequeno que caiu pra serie C e foi direto pra A... Patético Paraguaiense pensa que é time grande mas todos sabem que é um atomo, é uma cópia mal feita. todos sabemos que o maior Atlético e o original é o Mineiro. pq esse Patético Paraguaiense e o Fumo Goiano não passam de cópias mal feitas kkkkkkkk.",há 2 anos,2,
" @ganhamosroubadoem81somosti80  fds, passou de 2 linhas n leio",há 2 anos,14,
 @ganhamosroubadoem81somosti80  fds,há 2 anos,9,
 @ganhamosroubadoem81somosti80   fds,há 2 anos,11,
 @ganhamosroubadoem81somosti80  cala boca,há 2 anos,4,
" @d3cario_shaw : não aguenta A verdade, né????",há 2 anos,0,
 @ganhamosroubadoem81somosti80  ateltioc mg e nanico também kkk,há 2 anos,2,
"Estou gostando, muito bom o começo do Diniz 👏👏👏👍😉",há 2 anos,1,
"Dois gols do cano ,o primeiro foi bonito o chute e forte e o segundo um golaço, cano matou no peito e chutou de primeira sem deixar cair no ângulo, foi no ângulo pessoal????",há 2 anos,2,
