text,time,votes,replies
"Jogão! Craque da partida, galera?😎
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,105,20
Fortaleza 🤝 botafogo torço os dois,há 8 meses,0,
Que quinta-feira 23/11/2023 seja assim novamente!,há 8 meses,0,
Faz um ano hoje 😎,há 11 meses,0,
Parabéns Botafogo 🤩🤩,há 1 ano,0,
Msm com essa derrota me emociona essa narração no gol do Moisés...,há 1 ano,0,
Guuuuooooooool,há 1 ano,0,
Botafogo sempre 😎,há 1 ano,1,
السوبر ادواردو احس انه يبيها من قبل 😂💙,há 1 ano,0,
Jogaço.,há 1 ano,0,
Depois desse jogo que o botafogo tomou vergonha na cara.,há 1 ano,0,
🔥🔥🔥🔥🔥🔥,há 1 ano,0,
Assistência de almanaque de jeffinho 🧔🇧🇷🦶⚽🔥🔥🔥🔥🧔🇵🇹🦅 da lhe fogão  vitória sensacional Eduardo gastou a bola nesse jogo .,há 1 ano,0,
FOOOOOooooo,há 1 ano,0,
Eu sou Botafogo,há 1 ano,0,
😊,há 1 ano,0,
Cgtgyyygy de Lima Silva e te aviso 😉 que Deus te proteja com vc já está em cima de vc e a gente o ryrwrtw que Deus o meu amor de oi amor da sua casa 🏠🏠🏡 uma pessoa ou uma,há 1 ano,0,
mas e o golaço do Marçal fiquei sem palavras,há 1 ano,1,
OK 👍👍👍,há 1 ano,0,
Tchê Tchê ta mais solto agora... jogando muito e dando passes colocados,há 1 ano,0,
Que zebra né ge,há 1 ano,2,
Fortaleza só tomando 3,há 1 ano,0,
BOTAFOGO MAIOR DO RIO ⚫⚪🔥,há 1 ano,10,
" RED  E eu queria assistir a do Fortaleza x Botafogo, + passou foi é o jogo do Corinthians x Internacional.",há 1 ano (editado),3,
" @Jalinarrobei   
Correção:  1ª do rio flamengo
                      2ª Vasco
                       3ª botafogo
                        4ªfluminense",há 1 ano,4,
Ta errado isso o flamengo e em 4°,há 1 ano,1,
"Jogão la e cá, diferente de outros jogos mornos e sem graça no mesmo horário",há 1 ano,0,
" @Sanici_20  fato, fluminenC em 4º que é o mesmo número de rebaixamentos (um no tapetão e outro pulando a B) e foi pra série C, nenhum título internacional ou história de craques. Só e relevante mesmo a base que ajuda a seleção e os terrenos super valiosos, fora isso não salva nada",há 1 ano,3,
MARÇAL,há 1 ano,0,
Fortaleza e Botafogo duelo de minúsculos,há 1 ano,0,
" @Sanici_20  claro q não mn se tu pensar direito o Botafogo tem um elenco no msm nível ou até melhor que do fortaleza, e falando a vdd foi um puta de um jogaço!!!",há 1 ano,1,
Que GOLAÇO Absurdo de Marçal,há 1 ano,2,
Sou Glorioso Sou Botafogo!!!,há 1 ano,1,
 @Sanici_20  errado fladrão deveria estar em último,há 1 ano,0,
Eduardo crack da partida,há 1 ano,0,
Marçal,há 1 ano,0,
EDUARDO,há 1 ano,0,
"Perder pra esse Nanico? 



Força Fortaleza",há 1 ano,0,
"Em times nordestinos não se pode depositar total confiança, eles sempre são assim: como azarões se dão muito bem mais quando os olhares se voltam pra eles, pipocam!!. A culpa de tudo isso são de diretorias com pensamento pequeno, medíocre, sem personalidade que acabar refletindo nos jogadores. Times nordestinos só vao ser grandes quando tiverem pessoas no comando de personalidade forte, jogadores de personalidade forte, que entendam que o céu é o limite e não os obstáculos e a camisa do adversários sulistas principalmente. Com o grupo City, espero ver o meu BAHIA com pensamento de vencedor e não de um simples coadjuvante como essas diretorias medíocres determinou nos últimos 32 anos.",há 1 ano,0,
" @palzaoterrordananicada2395  palmeiras, menor de sp.",há 1 ano,0,
"O que o Fortaleza tomou gol por falha de marcação nessa partida não tá escrito, azarento perdeu o pênalti, deu tudo errado pro leão.",há 1 ano,0,
Jogaço!!!,há 1 ano,0,
O Botafogo jogou super bem mais a Zaga tem que ficar mais ligada no jogo. E Júnior Santos pelo amor do futebol mano gols que vc perde vai fazer diferença lá na frente aqui não é Japão.Japa vc é bom jogador mais tem que melhorar a pontaria que dentro da área mano não se perde... e Tiquinho entrou bem.,há 1 ano (editado),0,
"parabéns Botafogo erra dia de vcs, Leão n jogou bem entrou em campo cm salto alto",há 1 ano (editado),0,
Zé Welison não achou nada na chegada de Eduardo 🔥🔥🤪,há 1 ano,0,
Que jogo dos dois times!!!,há 1 ano,0,
Boa botafogo,há 1 ano,1,
🔥🔥🔥🔥🔥🔥,há 1 ano,0,
