text,time,votes,replies
"Fogão na Liberta!
O que acharam da partida?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,241,47
irmaos achavam que iam ganhar alguma coisa 😭😭😭😭,há 2 meses,0,
"Respeitem o Santos, tá achando que é colônia de férias seus pernas!!!!",há 9 meses,0,
3x0,há 9 meses,0,
"LUCAS FERNANDES
LUCAS FERNANDES
TIQUINHO",há 11 meses,1,
"Esse ano
Fogão campeão
Santos
Série B",há 11 meses,0,1
Estava nesse jogo hahaha,há 1 ano,1,
T . M J. LAGUNA. SC,há 1 ano,1,
"Saudades quando Lucas Fernandes tava jogando essa bola toda, tá numa má fase do caralho, pqp, cara de bode não acerta uma hoje em dia",há 1 ano,0,
eu vendo isso 6 meses dps com meu fogao lider isolado do brasileirão,há 1 ano,2,1
Alguém vendo o jogo de novo após o caso do zagueiro Eduardo B ?,há 1 ano,0,1
"Momentos em que o Bauermann tentou levar um amarelo:
0:25
1:11
2:12
2:48
Quando ver um jogador dando muitos desses carrinhos sem sentido, pode suspeitar...",há 1 ano (editado),3,1
Vim de 2023 avisar que Bauerman foi expulso nesse jogo por causa do mercado de apostas,há 1 ano,1,
Ganhou graças a máfia das apostas kkkk,há 1 ano,1,2
Quem veio ver o bauermann expulso? kl],há 1 ano,2,
Quem veio ver o jogo pra ver os lances do Bauermann? Kkkkkk,há 1 ano,1,
Vim ver os melhores momentos após o escândalo do Bauerman,há 1 ano,2,
Ou seja! Perdemo de 3 pq o zagueirao lá tava querendo fazer carrinho toda hora pra ser expulso e furou todas e que se fudeu foi o Santos,há 1 ano,3,
"Reparem em 2:48
O bauermann desesperado pra tomar o cartão por causa da aposta, então dá um carrinho violento diretamente no cara do Botafogo, que por sorte escapou. O camisa 44 do Santos foi lá falar com ele em seguida provavelmente brigando por ele ter feito aquilo ali. Revoltante, estão acabando com o futebol.",há 1 ano,9,1
Bauermann é tão burro que tentou ser expulso umas tres vezes e não conseguiu nenhuma,há 1 ano,1,
