text,time,votes,replies
O juiz roubo não foi pênalti na quele lance,há 2 dias,0,
"pó mano, porque ninguém falou desse pênalti cara? Que roubado kkkkkkkkkk",há 6 dias,1,
Parabéns ao time do Flamengo ❤🖤,há 3 meses,2,
Roubadasso,há 8 meses,0,
Gol de pênalti até eu faço,há 1 ano,0,
Eu não 😍😍,há 1 ano,0,
"unico jogo q o Cap o fla em 2022
os q importava o flamengo ganhou",há 1 ano,0,
Queria assistir esse jogo completo,há 1 ano,0,
"Imagina ser torcedor poodle e olhar pra esse jogo e ter falado, esse ano a gente acaba com o Flamengo kkkkkkkk poodles nunca aprendem",há 1 ano,1,
a minha reação foi assim 1 gol vamo furacão ganha o Brasileirão e a maior torcida do Brasil e quem fica parado vai tomar um tá ligado e quem fica parado vai tomar um ta ligado ooo,há 1 ano,0,
"Obrigado pelo título da Libertadores em 2022! Mengão, o único Rubro Negro do Brasil. Chora!",há 1 ano,1,
Flamengo campeao do libertadores 2022 🤩,há 1 ano,1,
"Vim aqui pra agradecer ao Atlhetico que foi um dos times que fizeram a diretoria mandar aquele professor pardal embora e mudar a estrutura do time, pena que foi logo em cima de vocês kkkkk mas enfim, o Flamengo agora é outro!!!⚫️🔴 Saudações RN para o maior do Sul!",há 1 ano,0,
"Senhor Felipe Scollari ,  RETRANQUEIRO QUE JOGA COM 3 ZAGUEIROS + 3 VOLANTES - preste um favor ao Brasil , se aposente (como você prometeu fazer até o fim do ano!)

Seu futebol é uma vergonha .. *Você nem joga nem deixa ninguém jogar*, SEU RETRANQUEIRO! Tomou de 5 a 0 para ficar esperto e agora tomou de 1x0, seu idiota!

O TORCEDOR QUE PAGA CARO NO INGRESSO ELE QUER VER ESPETÁCULO QUERO VER DRIBLE QUER VER ATAQUE,QUER VER GOL...BOTA ISSO NA SUA CABEÇA CARECA E RETRÓGRADA - respeita o ingresso do torcedor, pois é ele que paga o seu salário! 😡😡😡",há 1 ano,0,
Alguém aqui vindo de bike?,há 1 ano,1,
Jogador atravessou o campo todo pra chutar a bola pra lateral KKKKKKKKKKKkkkkkkkkkkkkkk,há 1 ano,0,
Tomaram uma taca😂,há 1 ano,0,
Pênalti roubado,há 1 ano,1,
Aonde que isso foi pênalti eu sou o prato de cocada esses foi pênalti eu sou um prato eu sou um dinossauro Será que foi pênalti eu sou um dinossauro só que não foi pênalti eu sou um dinossauro se foi pênalti voz ele era uma Várzea,há 1 ano,0,
Vim aqui só pra ver como foi jogar contra eles se perdemos de pênalti com esse time imagina agora q tamo uma Seleção vai ser fácil ganhar deles aqui dentro,há 2 anos,3,
Hyy7,há 2 anos,0,
Hhuu,há 2 anos,0,
Amanhã eles vão ter o que merece,há 2 anos,0,3
Isso não foi nem pênalti ainda dizem que e o varmengo,há 2 anos,0,
"Pq dizem que flamengo é freguês do furacão ?.
Realmente perderam já alguns jogos e foram eliminados parece duas vezes .
Mas ,quantas vezes foram vice um do outro ?
Flamengo ganhou duas taças em cima do furacão ,e o furacão quantas vezes ganhou uma final do flamengo ? .
Cara não se compara a história do flamengo com a do furacão .
Furacão é um time novo se comparando ao centenário de um clube mais tradicional do Brasil.
É muito clubismo que se cria , pois o Flamengo com um bom técnico e um time bem motivado fica difícil perder ,que diga os 3×O que o Atlético PR tomou na supercopa ,nem viu cor da bola ,ou vcs esqueceram ?
Só lembram dos dias bons e os dias que perderam ,esqueceram ? .",há 2 anos,0,2
