text,time,votes,replies
"E aí, torcedor, alguém merecia os 3 pontos?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,98,42
Obknkbjhkkvp,há 1 ano,0,
Nesse duelo passou o time grande,há 2 anos,0,
"Palmeiras é um time que não joga nada , time cagão . Tecnicamente limitado e mesmo assim o time do Atlético mineiro conseguiu ser eliminado com dois jogadores a mais ! Impressionante como esse time é pipoqueiro . Palmeiras jogo feio , jogo amarrado mas tem foco . Atlético mineiro time de verão. Voltou a realidade. Um clube meia sola .  O único time do brasil que vai pra dentro de todo mundo é o flamengo mesmo . Palmeiras com esse futebol feio e burocrático pra mim está na final . Teremos replay do ano passado . Só que dessa vez o Andreas pereira não estará lá pra entregar título de bandeja . Pq o Palmeiras não jogou nada , fez um gol cagado e ficou o jogo inteiro com o time dentro da área defensiva . Horroroso .",há 2 anos,0,
Eu fui eu tava💚,há 2 anos,0,
Eu aposto que o Palmeiras x Atletico Mg pegam na quartas de final na Libertadores.... Eu aposto........ concerteza,há 2 anos,0,
So não entendi pq o Palmeiras estava com meião cinza,há 2 anos,0,
O Palmeiras continua jogando de maneira reativa e bola na área e falam como estivessem jogando um futebol super ofensivo.,há 2 anos,0,
peppazinha quando joga contra times grande se retranca,há 2 anos,0,
Se o galo tivesse pegando o time titular teria sido outro resultado,há 2 anos,0,
Venceu quem tem mundial,há 2 anos,0,
Rafael Nãovaigol e Rony papaléguas  aí tá difícil desse jeito.,há 2 anos,0,
"Como pode os atacantes serem tão bem pagos pra errar tantos gols, cara-a-cara com os goleiros ?",há 2 anos,0,
"As 9;50 do Segundo tempo GOLEIRO DO ATLÉTICO COVARDE VAI EM CIMA DO JOGADOR DO PALMEIRAS.... ELE FEZ ISSO NO EDU QUÊ SAÍU DE AMBULÂNCIA....TEVE OUTRO JOGO DIAS ATRÁS ELE FEZ MESMA COISA, CONTRA O AVAÍ SE NÃO ME ENGANO",há 2 anos,0,
sou corintianamas pelo meu fillo hoje sou palmeiraskkkk❤❤❤❤😇😇😇,há 2 anos,0,
"Galo está bem, parem de fazer crise onde não tem. Vamos crescendo a cada jogo. Temos tudo para chegar no objetivo",há 2 anos,0,
O gol que o Navarro errou tá de brincadeira,há 2 anos,0,
palmeiras,há 2 anos,0,
Segue o líder dois sem mundial,há 2 anos,0,
Dois nanicos nunca serão Cruzeiro e Santos,há 2 anos,0,
não pode encostar nas pepas que o juiz da falta,há 2 anos (editado),5,
"Dois times pequenos, palretranca e penalgaylo",há 2 anos,4,
CORINTHIANS PAULISTA 😎🏁SEGUE LIDER,há 2 anos,1,
Galo jogou mais,há 2 anos,1,
 @cruzeiro5848  kd teu flamerdinha?,há 2 anos,0,
 @cruzeiro5848  vai caçar seu canto 🅱️🅱️🅱️🅱️🅱️🅱️🍿🍿🍿🍿🍿🍿🍿🍿,há 2 anos,1,
"Não, um empate já foi de bom tamanho para esta partida ,até porque eu assisti querendo o empate 🙃",há 2 anos (editado),0,
Nenhum mereceu a Vitória e o empate foi justo e que gol perdeu o navaro no fim do primeiro tempo,há 2 anos,2,
"Assisti o jogo quase entrando na TV pra eu fazer gols.
Q raiva d jogo 😠
Á pra mim, não gostei do jogo ,eu queri os 3 pontos, na dor ,na luta,na disputa,q os 3 pontos viesse na alegria d sair VITORIOSO👍✌",há 2 anos,0,
Galo deu sorte hj do navarro perder aquele gol,há 2 anos,2,
 @cruzeiro5848  cadê o Cruzeiro na série A?,há 2 anos,2,
 @filhodosergioramus  agradece ao navarro,há 2 anos,2,
 @cruzeiro5848  Falou o melhor do mundo,há 2 anos,0,
" @cruzeiro5848  o dia que vcs conseguir subir para serie a , gente conversa",há 2 anos,2,
 @palzaoterrordananicada2395  Doente estamos Comentando o jogo de Palmeiras e Atlético . Sou Palmeiras . Mais em mg o Cruzeiro e maior que o galo .,há 2 anos,0,
"COMENTARISTAS CERTO PRA JOGOS DO PALMEIRAS, NORIEGA , LOUZETE  , PAULO NUNES, AÍ VOCÊS MIM METEM RICHARLISON , SÓ PODEM ESTÁ DE PIADA COM O PALMEIRENSE , ELE TEM QUE COMENTAR JOGOS DO SÃO PAULO QUE TEM TUDO A VER COM ELE EM TODOS OS ASPECTOS",há 2 anos (editado),2,
O Atlético foi melhor jogando fora de casa,há 2 anos,0,
 @PedroFernandes-ep2lt  fds,há 2 anos,0,
"Rony e Navarro, brincandeira.",há 2 anos,0,
 @filhodosergioramus  KALAKEU de maio que o Palmeiras também não ia ter uma E E o que eu queria fazer um dia eu parasse com ele não sabia o time do Palmeiras é ao vivo e a gente E a gente E NÃO É RARO E o meu gato 🐱🐱 não vai pra escola 🏫 E não vai porque a minha brincadeira e de Davi tá com as crianças que eu,há 2 anos,0,
@Edilson a gente e o que E o que eu tenho pra aula amanhã cedo eu te mando mensagem e não ganhou nenhuma E NÃO VAI FAZER nada E E E o E NÃO É O E O E E E E E E a sua é o time Brasileiro que mais participou da EE e não e e nem,há 2 anos (editado),0,
 404 NOT FOUND  KABOKA PRETA,há 2 anos,0,
 @cruzeiro5848  SEU MELANCIA 🍉,há 2 anos,0,
 Patrocinadora do Palmeiras  NÃO,há 2 anos,0,
 @wsvkazuma7179  VAMOS NAMORAR,há 2 anos,1,
 @cuecacurtaeazulescuraSPFC  VAMOS JUNTOS COMER MACUNHA,há 2 anos,2,
 @neguinhomelancia2276  eu heim sai fora kkkkkk👍,há 2 anos,0,
 @neguinhomelancia2276  muito obrigado 👍,há 2 anos,0,
 @cruzeiro5848  Tú é muito burr* kKkkKkK,há 2 anos,0,
 @cruzeiro5848  bbbbbbbb,há 2 anos,0,
Que jogo horroroso,há 2 anos,0,
" @cruzeiro5848   Com essa arrogância sua, seu time nem vai subir",há 2 anos,1,
O verdão concerteza,há 2 anos,0,
SEGUE LIDER 😎🏁 BI REBAIXADO SEM MUNDIAL 😭🐽,há 2 anos,1,
 @palzaoterrordananicada2395  e o gol que o ademir perdeu...né,há 2 anos,0,
Sou tocedor do Botafogo e Brasil mais quem merecia os 3 Pontos era o Palmeiras,há 2 anos,0,
 @clientecliente5659  ...GALO NA CABEÇA,há 2 anos,0,
Meu Palmeiras Merecia Sim Os 3 Pontos Justo Por Ter Criado Mais Chances Claras De Gol Do Que o Atlético !,há 2 anos,0,
 Samuel Filipe Almeida  Tmj💚💚💚,há 2 anos,0,
Os dois mereciam ter perdido.,há 2 anos,0,
Sou Tocedor do Botafogo e Brasil mais quem merecia os 3 Pontos era o Palmeiras,há 2 anos,0,
Vdd mano um dia o juiz levanto  o jogador  do  palmeiras  e depois ele  encostou dois deos e o jogador do palmeiras  caiu,há 2 anos,0,
"Como sempre o camisa 9 fazendo falta ao Palmeiras, as chances do Palmeiras foram mais claras, poderia ter matado o jogo e seria 6 pontos, pelo adversário e pela quantidade de desfalques",há 2 anos,0,2
"etaaaaaaaaaaaaaaaaa RAFAEL NA FARRA ai não ai não vichiiiii é ruim de mais , ainda bem que compramos o LOPES EL MATADOR UFAAAAAAAAAA",há 2 anos,0,
DEIXARAM O CORINGAO CHEGAR KKKKKKKKKKKKK AGORA AGUENTEM PEPPAS E GALINHAS MINEIRAS!!!!😂😂,há 2 anos,0,
Venceu quem tem mundial kkkkkkk,há 2 anos,0,
Contra o Palmeiras o hulck pipoca,há 2 anos,1,
"Ruck não achou a bola ,, que piadaaaaa kkkkkk",há 2 anos,0,
Macros Rocha volta  pro meu  Galão 😭,há 2 anos,0,
"Palmeiras jogou bem, alias a melhor chance foi com o Navarro, que se fosse mais frio ali, teria fintado o goleiro e a,meaçado esperado goleiro cair e fazer o gol, porque estava totalmente sozinho.",há 2 anos,0,
Jogo Ruim,há 2 anos,1,
Galooo,há 2 anos,0,
"Eu tenho duas certezas na vida, uma é a morte e a outra é o gol q o navarro perdeu vai fazer falta na briga direta pelo título.",há 2 anos,0,
Pelo amor de Deus! Vende ou devolve esse navarro caneludo,há 2 anos,0,
Ôh pelaaaaada!!!  A franga até só pegou time de série B( como dizem uns comentaristas só pra zuar os cruzeirenses)até agora e quando pegou o super Palmeiras deu essa merda de UFC !  KKKKKKKKKKKK,há 2 anos,0,
GANHOU O QUE TEM MUNDIAL,há 2 anos,0,
O flamidia perdeu pro lanterna do campeonato brasileiro misericórdia 🤣🤣🤣🤣🤣🙈🙈🙈🙈🤣🤣🙈🙈,há 2 anos,0,
O flamidia perdeu pro lanterna do campeonato brasileiro misericórdia 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,há 2 anos,0,
9Rmil,há 2 anos,0,
10  mil,há 2 anos,0,
47 mom,há 2 anos,0,
senesa bg mom,há 2 anos,0,
"Eu vi mais chances claras para o Atlético, principalmente de contra ataque, do que pro Palmeiras kkkk a melhor chance do Palmeiras foi a bola do Navarro e que também saiu num erro de passe do Rubens(substituto do Arana na lateral).",há 2 anos,0,
" @luamoliveira3467  Opinião, aceito! Porém, pelos lances nesse vídeo o Atlético teve 3 chances CLARAS se for contar com a bike do sasha, 1 chute do Ademir no segundo tempo e o último lance (O resto eu não considero chance clara)... Palmeiras teve o lance do Navarro, aquele chute do Dudu no segundo tempo que se não fosse o jogador que bloqueou o chute era gol de certeza, teve aquela merda que o Rony faz quando recebe um passe de Scarpa... Mas se for considerar apenas CHANCES obviamente o Galo teve mais.",há 2 anos,0,
suto mom4,há 2 anos,0,
fomilia,há 2 anos,0,
joes,há 2 anos,0,
bd terraf,há 2 anos,0,
vende limpo,há 2 anos,0,
ama meia casa,há 2 anos,0,
f,há 2 anos,0,
9000000000,há 2 anos,0,
Time pequeno vs um mediano,há 2 anos,0,
Que porra de meia cinza horrorosa é essa? Tava parecendo o uniforme 2 do Botafogo  kkkkkkk a meia verde fica bem melhor!,há 2 anos (editado),0,1
"Sou Atleticano, mas dizer que tem time no Brasil em condições de disputar com a Europa é uma piada o jogo lá tá num nível muito acima, nem o Flamengo de Jesus com aquele time super entrosado aguentou o mundial de clubes, a europa sobra. Já foi o tempo que os times da europa jogavam contra brasileiros com medo, perdiam até para a portuguesa e os brasileiros iam disputar amistosos lá e ganhavam todos os jogos.",há 2 anos,1,
"Claramente os dois melhores times do Brasil.
Quem discorda é muito clubista.",há 2 anos,6,
"Boa Galão!

E Palmeiras, não fuja do confronto da Liberta. Lá veremos quem é o mais forte.",há 2 anos,1,6
02:12 Crlh Ademir,há 2 anos (editado),0,
Kkkk. Se o Roni marcasse 10% dos gols o Palmeiras seria imbatível.,há 2 anos,0,
Rony e Navarro do ataque é de doer em ?! 2  grosso!,há 2 anos,0,
por esses melhores lance o jogo deve ter sido uma chatice de se ver ambas as equipes se estudando kkk.,há 2 anos,0,
PALMEIRAS 0X0 ATLÉTICO-MG,há 2 anos,0,
Jogão!,há 2 anos,0,
Incrível como os caras falam que a torcida do Flamengo não canta e não ouvi a torcida do palmeiras em nenhum momento nesse vídeo,há 2 anos,1,2
E mesmo muito feia mesmo,há 2 anos,0,
"Por esse jogo meio q ja deu para ver, palmeiras foi superior, e so não ganhou porque temos bagres como centroavante.",há 2 anos (editado),0,
 @recebaoverdao6471  Miguel merentinel vai mudar as coisas,há 2 anos,0,
" @recebaoverdao6471  comediante.
palmeiras jogando em casa com torcida quase perde ainda e vem falar que jogou melhor kkkk",há 2 anos,0,
