text,time,votes,replies
"Fala, galera! O que acharam da partida?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,139,44
Boa meu Corinthians 🖤🖤,há 3 meses,1,
corinthians tem um péssimo retrospecto contra times daqui de MT kkk,há 6 meses,0,
Cuiabá vai ganhar de novo faz o L agora GALINHADA,há 9 meses,0,
Literalmente nessa época o Cuiabá tava mais forte e o Corinthians muito ocilante .,há 1 ano,0,
Tomi di bósta,há 1 ano,0,
Grande Everaldo Marques 😉😉,há 2 anos,0,
Valeu Cuiabá,há 2 anos,0,
Dourado 💚💛💚💛💚💛,há 2 anos,0,
Alguém vendo dps da notiçia do Jô flagrado no pagode no meio desse jogo,há 2 anos,0,
KKKKKKKKKKKKKKKKKK,há 2 anos,0,
"Vamos cuiaba!! Ustedes les ganaron a chorintians, les ganaran a flamengo! Vamos por esos puntos importantes",há 2 anos,0,
Goleiro Alfássio em grande forma kkkkkkk,há 2 anos,0,
Não aguenta ver um uniforme verde kk,há 2 anos,0,
"Galinhas tomando um frango..
Cú rintia tomo no Cúiabá",há 2 anos (editado),0,
NDVMP,há 2 anos,0,
Goool do Cuiabá 🟢🟡🟢🟡,há 2 anos (editado),1,
Ficar deitado no chão na barreira eu nunca havia visto.,há 2 anos,0,
"JO E OS GALINHAS, ESTÃO NO MESMO NÍVEL, SÓ LUXOSSSS",há 2 anos,0,
Com esse treinador de merda tá difícil  VP Vito Porqueira. Volta Lázaro,há 2 anos (editado),0,
As galinhas tavam iludidas demais 😂,há 2 anos,8,
Os gambás cadê?,há 2 anos,7,
Como q esse time tá na liderança?kkkkkkk,há 2 anos,6,
Ganhou o Maior,há 2 anos,5,
Corinthians vai ser eliminado da copa do Brasil 🤣🤣🤣🤣🤣🤣🤣🤣🤣,há 2 anos,9,
palmeiras não tem mundial bi-rebaixado não tem mundial 🐷🤮🐷🤮🐷🤮🐷🤮🐷🤮🐷🤮,há 2 anos,11,
LÍDER CAFÉ COM LEITE KKKKKKKKKKKK,há 2 anos,5,
Tudo normal o grande ganhou do nanico,há 2 anos,5,
Ruim!,há 2 anos,4,
Corinthians muito fraco 😎🍷,há 2 anos,6,
 @_jimin_3libertadores2mundi72  o prantos pior ainda museu FC perde pra qualquer um KK,há 2 anos,6,
 @fftk5779  51 é pinga,há 2 anos,4,
Otimo jogo ñ é smp q vai ter o var pra passar a mão no jogo.,há 2 anos,2,
 @_jimin_3libertadores2mundi72  PRANTOS NAO TEM NEM 5 MILHOES DE TORCEDORES EU ACHO KKK,há 2 anos,2,
 @Isaacpereiradesouza1234  tchau liderança 👋👋👋👋,há 2 anos,1,
Péssima para o Corinthians e ótima para o Cuiabá 👍,há 2 anos,0,
 @fftk5779  PELO MENOS EU TENHO MUNDIAL 🏆🏆 😎,há 2 anos,2,
TIMECO MINÚSCULO ESSE MARMIRINTHINS,há 2 anos,3,
"Kkkkk 😭😆é esse elenco de merda que muitos de vocês estão falando que vai ser campeão? Um Elenco Desse Que Não Consegui Consegui Ganhar de Time Pequeno, e só está na liderança porque tem muitos elencos ruims pelo amor de Deus e o Palmeiras que é o favorito não está focado no ""Brasileirão"", CORINTHIANS ESTÁ LONGE DE ESTAR NUMA FASE COMO DO PALMEIRAS, PRIMEIRAMENTE TEM QUE TER UM BOM MOMENTO FINANCEIRO E CONTRATAR JOGADORES QUE VALEM A PENA E MUITOS DESSES JOGADORES FDP SÓ JOGA COM VONTADE QUANDO O TIME TÁ BEM FINANCEIRAMENTE",há 2 anos,0,
"PATÉTICO ESSE CAMPEONATO DE MERDA, QUE TEM MUITOS JOGADORES DE VÁRZEA, CLUBES SEM OBJETIVO. E ESSE ELENCO CORINTHIANO VAI SER CAMPEÃO DE NADA NOVAMENTE TENHO CERTEZA",há 2 anos,1,
"SAIA POR FAVOR JOÃO VICTOR, JÔ, DU QUEIRÓZ, ENTRE OUTROS, PREFERIA MUITO MAIS O MEU CLUBE CORINTHIANS SEM JOGAR DO QUE OLHAR ESSES FDP🤬 JOGANDO😭. NÃO PRECISAMOS DE VOCÊS, POR QUE JOGARZINHO COMO VOCÊS TEM ATÉ NO NORDESTE E PARA FINALIZAR ESSE CAMPEONATO DE VÁRZEA NUNCA VAI SER COMO À ANOS ATRÁS",há 2 anos,0,
"Vou contar uma piada pra vcs 




Corinthians kkkk",há 2 anos,2,
 @_jimin_3libertadores2mundi72  Chora,há 2 anos,0,
CORINTHIANS PAULISTA 😎🏁,há 2 anos,0,
 @jonaspfc6331  eterno FREGUÊS 😎🏁,há 2 anos,1,
 @_jimin_3libertadores2mundi72  Santos vai caiu pra série b,há 2 anos,1,
Melhor impossível🤣🤣🤣,há 2 anos,1,
Vou toma um alambique com mel e pula fogueira pra tira esse Cassio desse time,há 2 anos,1,
"vendo esse jogo, dá pra ver q o peixe passa fácil do Corinthians nas oitavas.",há 2 anos,0,
Legal,há 2 anos,0,
Xii tadim dos gamba levou fumo de novo kkkkk mais esse time do Corinthians é uma galinha morta e'rum de mais torcer pro gamba é só pra passar vergonha kkkkk o timinho horroroso esse curintia kkkkk daqui pra frente não vai ganhar mais de ninguém acabou a mama tá jogadores só o Cassio e mais três o resto é pé de rato o Renato Augusto kkkkk esqueceu de tirar a calça jeans e o bambu kkkkk ele não sabe de que lado joga mais pros adversários ele é bom demais kkkkk vai curintia kkkkk,há 2 anos,1,
Oq será que o Jô achou da partida kkkkkk?,há 2 anos,1,
Legal,há 2 anos,0,
Top,há 2 anos,1,
 @_jimin_3libertadores2mundi72  santos não ganha mais nada!,há 2 anos,1,
 @Isaacpereiradesouza1234  😂,há 2 anos,1,
 @_jimin_3libertadores2mundi72  time de vocês não tem nem torcida,há 2 anos,1,
 @cuecacurtaeazulescuraSPFC  ruim para os dois.,há 2 anos,2,
 @_jimin_3libertadores2mundi72  mundial de 1962?,há 2 anos,1,
O que o diabos o Edu primitivo foi fazer no jogo do Corinthians?,há 2 anos (editado),0,
 @_jimin_3libertadores2mundi72  por quem?? Pelas sardinhas?kkk,há 2 anos,0,
 @_jimin_3libertadores2mundi72  sardinha nosso freguês!kkk,há 2 anos,0,
 @_jimin_3libertadores2mundi72 Quem vive de passado é museu amigo!kkk,há 2 anos,0,
"Ganhou o time com mais camisa


Normal",há 2 anos,0,
"Parece que o título do Corinthians tá partindo de mala e CUIA
CUIA-BÁ kkkk",há 2 anos,0,
"Parabéns Corinthians, dependia apenas de si mesmo para ficar em primeiro e fracassou miseravelmente 👏👏👏👏👏👏👏👏",há 2 anos,0,
"Somos lides do campeonato, finalmente o gigante retorna ao seu lugar de direito

Vascainos e Corintianos iludidos 2020/2022",há 2 anos,0,
Não vejo a hora de ver o Cross PUTAÇO no Décimo 14,há 2 anos,0,
Obg por ter segurado a liderança pra nós avante palestra😁😁😎😎,há 2 anos,0,
Vai Corinthians,há 2 anos,0,
Segue o vice kkkkkkk perdeu pro cuiabayern,há 2 anos,0,
Obrigado palmeiras lider,há 2 anos,0,
Gol estilo futevôlei,há 2 anos,0,
vai curintia.,há 2 anos,0,
Corinthians Jogou muito mal. Precisa melhorar o desempenho nos jogos e consequentemente fazer gols para obter os resultados. Pra cima Timão nunca irei te abandonar!,há 2 anos,0,
Corinthians no último minuto mesmo já derrotado a arbitragem da um jeito de entrar em cena a favor dos gambá.,há 2 anos,0,
Qualquer gol é bonito se for contra o Corinthians cê é loko 😂😂 kkk,há 2 anos,1,
Um gol com Corinthians mal escalado e depois mais nada,há 2 anos,0,
É isso aí Cuiabá e q gol foi um gol muito lindo gol de crak mesmo,há 2 anos,0,
Parabéns  Cuiabá agora é só vitória tem alguns dizendo como que o Corinthians perde para este time? Mas este time é o Cuiabá e ele chegou na seria para ganhar e não foi por a caso. E sabemos que temos grande jogadores e todos competentes e vei para ficar e ser mais que vencedores,há 2 anos,0,
CÚ RINTINHA TEM MEDO DE UNIFORME VERDE,há 2 anos,1,
Cássio . goleiro de seleção,há 2 anos,0,
"Tá difícil ser corinthiano, viu! 🤦🏽",há 2 anos,0,
"Agora só falta dizer: ah o Cuiabá não tem mundial..
 Cuiabá/MT está de parabéns. 👏👏",há 2 anos,0,
Kkkk toma Corinthians,há 2 anos,0,
"CORINTHIANS VACILOU,DAVA DE O SCCP GANHAR SE TIVESSE COLOCADO OS JOGADORES PRINCIPAIS LOGO NO PRIMEIRO TEMPO!",há 2 anos,0,
Podemos ver como um mundial muda o time. Cuiabá pqp kkkkk,há 2 anos,0,
Çöp vitor vasıfsız vitor,há 2 anos,0,
Que golaço por sinal,há 2 anos,0,
1 a 0 foi POICO em ...merecia goleada,há 2 anos,0,
SLC...Cássio aceitou esse chute Fraco??credo,há 2 anos,0,
Quando eu penso que meu Timão vai engrenar os caras fazem isso 🤦🏻‍♂️,há 2 anos,0,
se o palmeiras ganhar ele fica na liderança?,há 2 anos,0,
Cadê o Curintias?... kkkkk... líder....kkkkkk... pegou um time BOM  o Curintias perde.. kkkkkk,há 2 anos,1,
parabens flamengo pelo seus 1x0 perdendo pro bragantino,há 2 anos,0,
Se Cássio não tomar gol de fora da área não é o Cássio. Kkkkkkk,há 2 anos,0,
Deu a lógica.🥱😴,há 2 anos,0,
Robson bambu tem que sair da zaga do Corinthians,há 2 anos,0,
Gamba sumiram todos kkkkkkkk eterno serie B kkkkkk.,há 2 anos,0,
"Cuiabá é fogo de palha. Logo, logo vai começar a tomar seus cacetinhos. Tem hoje 8.6.22 11 ´pontos já está na zona de rebaixamento.",há 2 anos,0,
"Meus amigos kkk que golaço hein kk
Curica pega um time de verde e peida na farofa pq tem trauma do Palmeiras kk",há 2 anos,1,
Enquanto isso Jô,há 2 anos,0,
"Pqp empatar com esse time aí,vai ganhar de quem???? Affff, vai Corinthians",há 2 anos,0,
CUiaba meteu no KUrintia,há 2 anos,0,
"esse bambu e muito ruim mds.. e que mania safada de tudo recuar, joga pra frente, e jó vaza!! pagodeiro dos infernos, ja deu",há 2 anos,0,
Time da praça é nossa tomou um chocolate 🍫😃🤪 Cássio só entrega 🤡🤣,há 2 anos,0,
Podia jogar muito mais em cuabá,há 2 anos,1,
O var fez a parte dele mais u curitiã num intedeu kkkkkkkkk,há 2 anos,0,
CUIABÁ 1X0 CORINTHIANS,há 2 anos,0,
"Corinthians só está em uma má fase, mas eu acredito que ele vai voltar as suas origens, Vai Timão!!!!!!!!",há 2 anos,0,
Como os caras gostam de ajudar o Corinthians  o Fagner faz o jogo inteiro pior que o Valdivia e no máximo amarelo  se o árbitro não for do conchavo se for nem vê o que ele faz,há 2 anos,0,
O curintia achou que era o parmera kkkkk,há 2 anos,0,
Com todo respeito com Cuiabá mais esse era jogo pra 3 pontos,há 2 anos,0,
KKKKKKKKKKKKK,há 2 anos,0,
"Perdeu para o América e ganhou do líder, que campeonato doído",há 2 anos,0,
Timão é o caramba,há 2 anos,0,
Quero saber pq timão,há 2 anos,0,
Deu Dourado.,há 2 anos,0,
Que jogo horrível do Corinthians,há 2 anos,0,
