text,time,votes,replies
"E aí, o que acharam da estreia do Atlético-MG e do Internacional no Brasileirão? 
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,259,57
Cléber Machado Narrando Atlético Mg X Internacional,há 3 semanas,0,
🐓🐓,há 4 meses,0,
E o zagueiro do internacional lmllkk,há 1 ano,0,
O inter deu o troco em casa tbm 🤟,há 1 ano,1,1
Estavo vendo os melhores momentos desse jogo joga muito esse tl de Hulk parabéns Hulk vc e o cara  são vcs jogadores jogão muito,há 1 ano,0,
Bota No DVD 👍🏿😎,há 1 ano,0,
Vim do futuro para dizer que o inter vai fazer 3x0 no galo,há 2 anos,3,1
DANlEL           Ol😀😀😀😀😀😀😀😀😀,há 2 anos,0,
Top,há 2 anos,1,
Meu galo tá cansado de bater nesse Saci com o próprio cachimbo ksksksksks,há 2 anos,1,6
Olha série 🅱️🅱️🅱️👻👻👻👻🤣🤣🤣🤣🤣🤣,há 2 anos,1,
Ut6,há 2 anos,1,
"Sem clubismos, Hulk e veiga são os melhores jogadores do Br",há 2 anos,2,
"será que fica nervoso na frente do goleiro, o hulk? kkkkk seloko...",há 2 anos,0,
"Se vocês prestarem atenção quando o zagueiro do inter vai na jogada inocente, no pé de ferro Hulk pisa no pé do zagueiro, que fica preso no chão, inocente se machucou, se sou eu chego pegando bola e jogador, é melhor fazer pênalti , mas dava uma trombada com o atacante que é forte e vai se impor, agora tá machucado e o atacante dando risada.",há 2 anos,0,
A GLOBO SECANDO EM 3 2 1 😂,há 2 anos,0,
Não entendo como Hulk n tá na seleção ainda... Tem que levar pra copa,há 2 anos,0,
Flamengo tem que contratar o Homem,há 2 anos,0,
"🐓 joga demais , sou santista só dei minha opinião",há 2 anos,0,
Hulk joga demais,há 2 anos,22,
"Galão tem melhora 
  Galooo ⚫🐓⚪",há 2 anos,3,
"EU SOU ATLETICANO FANÁTICO,  JÁ PODE ENTREGAR A TAÇA,  O ATLÉTICO-MG JÁ É O CAMPEÃO  BRASILEIRO  DE 2022 🏆🏆🏆",há 2 anos,6,
Flamengo sem estádio,há 2 anos,5,
2023 Internacional x Grêmio  na série B,há 2 anos,8,
Até que enfim uma narração masculina em estagiário 🤙,há 2 anos (editado),3,
Primeiro jogo da temporada que não tem pênalti para as cocotas,há 2 anos,0,
 @gilbertorodrigues582  calma né pai ainda é cedo pra falar isso na 1 rodada,há 2 anos,3,
" @gilbertorodrigues582  Galoooo 
Calma irmão o torneio só ta começando 
⚫🐓⚪✌🏾",há 2 anos,3,
"VOLTEM COM A PORRA DO MEDIDOR DE TEMPO NORMAL, NÃO ESSA BOSTA AÍ !!!",há 2 anos,1,
GABIGOL TEM LIBERTADORES ESSE BOMBADO CHEIO DE ASTEROIDES TEM ?,há 2 anos,4,
" @gilbertorodrigues582  
SÓ SE FOR COM PÊNALTI TODO JOGO
IGUAL 2021 KKKKKK",há 2 anos,1,
 @cruzeiro5848  JACARÉ VAI TE PEGA 🅱️🦊🅱️🐊🐊🐊🐊🐊🐊🐊😛😛😛,há 2 anos,5,
E O GALO 🐓 ?  O GALO GANHOU !!!  AI CREDO O GALÃO GANHOU MAIS UMA VEZ 😂😂🤣🤣,há 2 anos,5,
"Ai credo, o galão ganhou mais uma vez!",há 2 anos,4,
