text,time,votes,replies
"E aí, o que achou da partida? 
Assine o Premiere:  https://bityli.com/uoAvUu",há 2 anos,39,18
"""Mas Deus lhe disse: Louco! esta noite te pedirão a tua alma; e o que tens preparado, para quem será?"" - Lucas 12:20

-Só estou passando aqui para lembrar a você, que ainda não recebeu a Cristo como único Senhor e Salvador de sua vida, que ainda há tempo. Portanto, faça um compromisso consigo mesmo e busque obter um contato mais profundo com as Escrituras Sagradas ao longo de alguns dias (se quiser uma sugestão, comece pelo Evangelho de Marcos). Estamos falando de algo testado e comprovado - centenas de vezes e em diversas esferas - ao longo dos últimos três mil e trezentos anos (no mínimo). Portanto, pare de viver como se não houvesse amanhã, porquê há. E, quando esse amanhã chegar, caso ele seja aquilo que a Bíblia - e não o reencarnacionismo, o purgatório, o ateísmo ou seja lá o que for - determina, você estará em péssimos lençóis. Se me permite dar um spoiler: o inferno existe.",há 1 ano,0,
"o Cortez ta me surpreendendo, no grêmio ele tinha parado de jogar e no Avaí ta bem",há 2 anos,0,
muito top todas essas finalizações do inter e a torcida gritando uhh,há 2 anos,0,
esses Wanderson é bom de bola,há 2 anos,0,
"Ainda desmereceram a vitória do corinthians, mais é o Inter em N ganhou pq tava com os reservas?",há 2 anos,0,
"""Bolas na trave não alteram placar!"".",há 2 anos,0,
"Único que não ajudou muito depois das alterações foi o Estevão, mas é novo, não dá para queimar o guri apesar da torcida já ter pego no pé dele",há 2 anos,0,
Não,há 2 anos,0,
INTERNACIONAL 0X0 AVAÍ,há 2 anos,0,
"Pelos lances jogou mto bem ,antes o adversário ficava toda HR no mano a mano ,hj se fica mano a mano é pq tavamos agressivo no ataque,aí justifica",há 2 anos,0,
Só faltou o gol  mesmo...pouco mais jogando junto deve melhorar,há 2 anos,0,
"Binter = forte candidato a cair pra B 😂😂
Se cuidem Moranguinhas kkkkk",há 2 anos,0,
"O Inter foi melhor, concluiu muitas vezes, algumas com perigo, mas não criou nenhuma chance clara de gol.",há 2 anos,2,
"De um lado, um dos melhores times do sul do Brasil, do outro, o Inter. Infelizmente o colorado conseguiu tirar esses 2 pontos do Avaí, resultado ruim que vai fazer falta. A vitória do leão era obrigação contra esse timeco. Mas vamo que vamo",há 2 anos,1,
"O Inter  tá bem encaixado mais tem que finalizar melhor , amassou o Avaí mais o gol não saiu",há 2 anos,3,
Era pra ser uns 5 a 0 pro Inter. Só deu colorado no jogo!,há 2 anos,0,
Quando e contra o mengao  eles quase se mata parece copa,há 2 anos,0,
Crise no Avaí,há 2 anos,0,
O inter ganho por causa do Maurício.,há 2 anos,0,
Partida ruim,há 2 anos,3,
"Flamengo-não tem estádio 
Corinthians-não pagou o estádio q tem 
São paulo-único tri mundial do Brasil 
Palmeiras-não tem mundial 51 é pinga",há 2 anos,1,
 @RoyaleMarocaineFRMF  time q joga a série b não tem moral pra opinar na elite,há 2 anos,0,
 @RoyaleMarocaineFRMF  boa segundona aí mano paz,há 2 anos,0,
 @RoyaleMarocaineFRMF  é apenas um fantoche na série A próximo ano vai jogar a série b,há 2 anos,0,
 @RoyaleMarocaineFRMF  Confronto de 2 times pequenos!,há 2 anos,0,
" GUILHERME GAME8  Eu até podia debater com você, mas depois que eu vi esse ""GAMES"" pqp até desisti kkkk...",há 2 anos,0,
"O Avaí só não perdeu por sorte, se o Inter tivesse trazido o Mano antes o Inter ainda estaria muito melhor que agora",há 2 anos,0,
 @RoyaleMarocaineFRMF  cade os grebbbista achei uma gazela aqui,há 2 anos,0,
 @RoyaleMarocaineFRMF  eu sei n disse de vc so respondi seu comentario alias uma boa segunda pra vc,há 2 anos,0,
 @RoyaleMarocaineFRMF  boa segunda pra vc tipo sem zueira,há 2 anos,0,
URRA LEÃO 💙🤍💪🦁,há 2 anos,2,
 @RoyaleMarocaineFRMF  Engraçado mesmo na série B meu time continua maior do que o seu...,há 2 anos,0,
" @RoyaleMarocaineFRMF  Avaí é time de bairro, time nanico.",há 2 anos,0,
"binter já volto pra realidade, só esse alemão aí q é bom memo",há 2 anos,1,
"Jogo não foi ruim só não teve, gol Avaí agradeçe esse potinho quem diria que Avaí iria começar tão bem Brasíleiro!",há 2 anos,1,
Partida de várzea,há 2 anos,1,
"""Mas Deus lhe disse: Louco! esta noite te pedirão a tua alma; e o que tens preparado, para quem será?"" - Lucas 12:20

-Só estou passando aqui para lembrar a você, que ainda não recebeu a Cristo como único Senhor e Salvador de sua vida, que ainda há tempo. Portanto, faça um compromisso consigo mesmo e busque obter um contato mais profundo com as Escrituras Sagradas ao longo de alguns dias (se quiser uma sugestão, comece pelo Evangelho de Marcos). Estamos falando de algo testado e comprovado - centenas de vezes e em diversas esferas - ao longo dos últimos três mil e trezentos anos (no mínimo). Portanto, pare de viver como se não houvesse amanhã, porquê há. E, quando esse amanhã chegar, caso ele seja aquilo que a Bíblia - e não o reencarnacionismo, o purgatório, o ateísmo ou seja lá o que for - determina, você estará em péssimos lençóis. Se me permite dar um spoiler: o inferno existe.",há 1 ano,0,
"Times não integrantes do chamado grupo de elite, montam elenco só para se garantir na série A,nos seus estaduaisinhos ,elenco de MERDA , perdem até para time de masters.",há 2 anos,0,
Avai jogando pra empatar esse ano vai cair...tem que festejar empate mesmo...,há 2 anos,0,
"Avaí , jogou muito entrada dos jogadores no segundo tempo melhorou demais inter teve sorte Avaí mandou muito",há 2 anos,5,
"Avaí nem vou a cor da bola, infelizmente não era o dia de entrar a bola na rede!",há 2 anos,0,
"Rômulo entrou e jogou bem 
Que é isso rapaz",há 2 anos,0,
"Acostumem-se com Mano Menezes, colorados. Não importa se o time vai jogar bem ou mal, no final o jogo vai terminar empatado.",há 2 anos,0,
😅😅😅😅😅 time pior do mundo esse essas moragadas😅😅😅,há 2 anos,0,
Fudeu meu cartola,há 2 anos,0,
"Esse jogo foi uma bosta completa, avaí veio pra cair, e inter veio pra ser vergonha de novo... Em jogos assim vc devolve o dinheiro do ingresso, e paga quem assistiu",há 2 anos (editado),0,
Se fosse um cachorro jogando no lugar desse Dentinho o Havai ganhava o jogo kkkkk bote ruim,há 2 anos,0,
É incrível um time grande enpatar com um pequeno vamos em frente avai kkk,há 2 anos (editado),0,1
"Maiores feitos do flamengo

1-ser vice na liberta

2-vice no Carioca

3-vice na supercopa

4-vicr na taça Guanabara

5-vice no Brasileirão

Isso é Flamengo kkkkk",há 2 anos,0,2
"O inter jogou bem so faltou o gol mesmo.
Já o Avai e triste ver como os jogadores , comissão técnica e o clube tem um pensamento pequeno , um pensamento de perdedores que abdicam de atacar e comemoram empate como uma vitória em copa do mundo. Enquanto pequenos clubes estiverem estratégias pequenas e fracassadas , tais clubes apenas vão brigar para não cair.",há 2 anos,1,4
"Falto o Avaí caprichar nós contra ataques, os morango tão iludido com esse retranquero do mano, logo vão cai na real",há 2 anos,2,1
A bola não quis entrar no gol pra nenhum dos lados.,há 2 anos,0,
Jogão,há 2 anos,0,
"placar muito injusto, era pro Inter ter ganho essa partida, Avaí teve muita sorte",há 2 anos,3,
Super inter tá demais kkkk,há 2 anos,0,
"O Inter jogou bem ,  só faltou finalizar.",há 2 anos,1,
Coza linda ixtepô,há 2 anos,0,
Só diz teu time ra cmc de conversa,há 2 anos,1,
Eterno fds,há 2 anos,0,
 @gulanogames97  eterno foda si tu?,há 2 anos,0,
"Então tais vendo outro Avaí, o Avaí sempre marca saida de bola, abafando deixando adv sem opção, acompanha os jogos antes de falar besteira",há 2 anos,0,
" @fabiodenys7715  Marca saída de bola?? Tô vendo que tu entende bem de futebol!! Ficar com 2 atacantes parados na frente dos zagueiros não e marcar saída de bola. O inter saiu jogando com a bola nos pés em todos lances praticamente ao invés de dar balão. Se marca todos saída de bola afoga o time e saem no balão.
Avai joga com todos atrás da linha do meio campo amigo. E apenas sai em velocidade em poucas jogadas construídas.",há 2 anos,0,
