text,time,votes,replies
Qual o impacto dessa vitória do Fortaleza? América-MG e Fortaleza ainda podem sonhar com Libertadores?,há 1 ano,239,43
Eiita Nesse Tempo aí Nois tava arrebentando Or🦁🇫🇷 Agora  Se Nois Se Adapta Mó Fii Vamos Passa Or Trem🇫🇷,há 1 ano,0,
Semana Passada Foi a Narração Estranha e Assustadora de Jaime Junior no Feriado de Dia dos Professores,há 1 ano,0,
o segundo gol do fortaleza não estava em empedimento?,há 1 ano,0,
O América vai lá amassa os paulista e perde pra um time fraco.,há 1 ano,0,1
Que arrancada do Fortaleza nesse segundo turno.,há 1 ano (editado),1,
Esse tipo de gol anulado é uma vergonha.,há 1 ano,0,
"Não precisa jogar bonito, basta ganhar e garantir os 3 pontos... esquecer o primeiro turno, agora e libertadores 🦁💪",há 1 ano,0,
Esse Thiago Galhardo é muito goleador,há 1 ano,1,
2:17 Namoral  anular por isso é foda,há 1 ano,1,2
"Fortaleza MAIOR do que São Paulo, Santos , Botafogo e Grêmio!Fato.",há 1 ano,1,1
"Gallardo estava impedido e ninguém disse nada, América  não chiou!!",há 1 ano (editado),0,
Que time espetacular esse fortaleza!!! ❤,há 1 ano,2,
🦁🦁🦁pura emoção 😊,há 1 ano,2,
A torcida do América cabe numa combi taloco,há 1 ano,0,
Wellington Paulista e nosso tbm,há 1 ano,0,
Esse weliton paulista puxo pro Ney foi kkkk,há 1 ano,0,
"Aí é fei pra bater pênalti, esse Wellington Paulista...""ôh menino lindo""...",há 1 ano,0,
Se estiver um prêmio pra cobrança de pênalti mais esquisita welligton Paulista ganhar 😂😂😂😂😂😂,há 1 ano,0,
"Grande campanha do Fortaleza, demonstrou mais uma vez que permanecerá na elite do futebol brasileiro, Thiago Galhardo é  um mala, mas é bom jogador.",há 1 ano,1,
Sim,há 1 ano,7,
"ferraram meu cartola esses pé de rato, AGR vou ter que esperar o Palmeiras amassar as trikas amanhã, pra eu me dar bem",há 1 ano,2,
 @AnaJulia-ry7vw  vc é a princesa mais linda que eu já vi,há 1 ano,0,
Sim,há 1 ano,0,
 @emanuel4259  DEVE SER TROLL MANO😂🤣,há 1 ano,2,
Vojvoda monstro 💙❤🤍🦁,há 1 ano,5,
Thiago galhardo é matador ❤🤍💙🦁🙏,há 1 ano,7,
Sim,há 1 ano,1,
Os dois sim,há 1 ano,1,
 @wendelbezzera7604  eu não,há 1 ano,2,
" @AnaJulia-ry7vw  FALA A VERDADE,DEVE SER TROLL😂🤣😂UM TROLL SEMPRE BOTA A FOTO DE UMA MINA LINDA",há 1 ano,3,
Sim,há 1 ano,0,
 @wendelbezzera7604  pesquisa o significado de troll,há 1 ano,0,
 @emanuel4259  gado,há 1 ano,0,
 @AnaJulia-ry7vw  troll,há 1 ano,0,
 @AnaJulia-ry7vw  PROVOCADOR(A),há 1 ano,1,
Com certeza! Vamos conseguir,há 1 ano,1,
 @kayk36  😔,há 1 ano,0,
" @wendelbezzera7604  eu não estou provocando ninguém, eu apenas comentei",há 1 ano,0,
" @AnaJulia-ry7vw  me refiro ao cara,sobre alerta",há 1 ano,1,
 @AnaJulia-ry7vw  dever ser uma velho com uma ak 47,há 1 ano,0,
Ainda dá tempo só continua com humildade do jeito que vao,há 1 ano,1,
 @emanuel4259  confia,há 1 ano,0,
Bora leão!!!,há 1 ano,0,
"Mancine escalou mal a culps da derrota e  toda credto a a
Mancinecine, que ele aprenda com este erro",há 1 ano,0,
" @emanuel4259  Esse n é gado, é o rebanho inteiro KKKKKKK",há 1 ano,0,
 @AnaJulia-ry7vw  😂😂😂😂😂,há 1 ano,0,
Segunda vez indo pra libertadores,há 1 ano,0,
Com certeza,há 1 ano,0,
💙❤️ que time,há 1 ano,0,
Que time! ❤️💙,há 1 ano,0,
 @Jonathan-1990-  sai daí calça froxa,há 1 ano,0,
Sim,há 1 ano,0,
O Fortaleza tem o melhor técnico do futebol brasileiro atualmente. Tem tudo para ir para a libertadores de novo.,há 1 ano,0,
" @AnaJulia-ry7vw  
você esta afirmando ou perguntando nessa mensagem",há 1 ano,0,
"ge
o que você esta querendo dizer com essas perguntas",há 1 ano,0,
 @AnaJulia-ry7vw  tem Instagram linda?,há 1 ano,0,
"Boa noite, acho mais fácil o fortaleza FC ir para libertadores do que o América-MG, o primeiro time ainda tem chances de ir para vaga direto se continuarem neste rítimo, já o segundo: só vai conseguir pegar uma pré-libertadores por enquanto.",há 1 ano,1,
" @denylsonlimadantas9688  
o que você esta querendo dizer com essa mensagem",há 1 ano,0,
" @moisesdossantos5314  Que o Fortaleza FC tem mais chances de conseguir ir a libertadores do que o América-MG. O America-MG se conseguir, vai ser primeiramente a pré libertadores.",há 1 ano,0,
Comentei com a outra conta agora.,há 1 ano,0,
Essa foi a vitória que colocou a gente na Libertadores,há 1 ano,0,
" @leonardomelo8949  
você esta afirmando ou perguntando nessa mensagem",há 1 ano,0,
"Hoje tem Fortaleza e América de novo. Será que o América ganha do time fraco? Times maiores que o América tão perdendo, então vamos ver no que dá.",há 1 ano,0,
Regra é regra amigo,há 1 ano,0,
" @luanaraujo6842  é, mas pô, pareceu muito aquele gol lá do CR7 que tiraram dele kkkk mó sacanagem",há 1 ano,1,
Botafogo concordo,há 1 ano,0,
"Não entendi meu América,  ganha do Fluminense dentro do Maracanã,  e perde do Fortaleza dentro de casa.

Mais valeu Fortaleza.",há 1 ano,2,
"Vitória ESPETÁCULAR contra o bom time do América em BH! Fortaleza entra de vez na briga pela pré libertadores, o desempenho no returno é excelente! Quem diria, de lanterna, virtual rebaixado para 9° lugar! Isso é FORTALEZA 🦁",há 1 ano,1,
Primeiro gol do Galhardo foi a La Bebeto em 94.  FEliz por el estar jogando bem no Fortaleza!,há 1 ano,1,
"Torcida do América lotou 2 Kombi 😁😁😁😁 chega ser ridícula  essa torcida , como   q pode estar na primeira divisao , o futuro e certo  vai ladeira a baixo como todo time pequeno . Uma pena um time muito querido por todos , tomara estar errado E a torcida crescer rápido",há 1 ano,1,
Esse é meu Laion 👉🇫🇷🦁🇫🇷🦁 valeu Fortaleza por mais uma Vitória no Brasileirão  e nós sempre 🤙🤙🤙,há 1 ano,0,
"Rpz,pela primeira vez eu assisti um melhores momentos aqui no canal da globo sem eles ter cortado na melhor parte que é do gol e da narração,gostei👏",há 1 ano,0,
"A verdade é que o Fortaleza não tem elenco pra disputar 3 campeonatos, agora que focamos no brasileirão, estamos quase classificados para uma pré libertadores.",há 1 ano,1,
O leão mais temido do Brasil,há 1 ano,0,
Fortaleza voltou a jogar bem,há 1 ano,0,
Joga muito!!,há 1 ano,0,
não teve impedimento no segundo gol do fortaleza?,há 1 ano,0,
Um técnico medíocre alem de barrar Tiago no Vasco ainda ajudou a queimar o cara. Quem jogou e conhece futebol não entendia isso. Até hoje o Vasco não teve um jogador do nivel dele. Joga muito!,há 1 ano,0,
"Ao final do primeiro turno, já era dado com certo o rebaixamento do Fortaleza. Que arrancada. Vojvoda é um grande treinador. Fiquem de olho aí times do Sul/Sudeste.",há 1 ano,0,
O narrador tá falando fraco tadinho 🥺,há 1 ano,0,1
"Alguém me fala aí. Para mim, no segundo gol do Fortaleza estava impedido. Bem fácil de analisar. Já o terceiro que é muito difícil de analisar foi anulado.",há 1 ano,0,3
Que narrador e esse todo desanimado,há 1 ano,0,
