text,time,votes,replies
Qual o futuro do Vozão e do Cuiabá no Brasileirão?,há 1 ano,104,38
Bom JOGO! 🤩🤩,há 1 ano,1,
Nao era pra torcida do ceara ter feito isso o ceara ia virar o jogo na hora que empatou e ia estar na serie a 2023,há 1 ano,0,
Vamos 🤩🤩,há 1 ano,1,
Jogo manipulado,há 1 ano,0,
Esse elenco de merda fez de tudo pra rebaixar o Ceará,há 1 ano,0,
deyverson sempre causa alguma coisa kkkk,há 1 ano,0,
Goleiro do Cuiabá Moscou no gol em...,há 1 ano,0,
É cada narrador M... Pqp mano sem sal e sem açúcar...,há 1 ano,0,
narrador ruim do krlh,há 1 ano,0,
Que narração precária,há 1 ano,0,
MANO OLHA ESSE LANCE 1;51 POR POUCO O JOGADOR DO CUIABA NÃO SAI NUMA PIOR O JOGADOR AINDA CHEGA A TOCA NA TRAVE,há 1 ano,0,1
Vá c lasca presidente de merdaaa...,há 1 ano,0,
"Parece que o Jaime tá triste, ele não narrava assim",há 1 ano,0,
Teve foi sorte de n ter perdido 😂,há 1 ano,0,
A narração desse cara é horrível,há 1 ano,1,
"Quem é esse narrador ?
Q cara ruim",há 1 ano,1,
E que vacilo do goleiro do Cuiabá. Ficar parado vendo o lance seguir.,há 1 ano,0,
Ceará tá com CARA de rebaixado. Se cuidem.,há 1 ano,0,
"Deyverson com uns 3cm a frente do jogador do Cuiába, aonde que 3cm é vantagem? Futebol virou uma PALHAÇADA.",há 1 ano,0,
E quem disse que o flamidia tem estádio?,há 1 ano,3,
Série b essa praga 🤬🤬,há 1 ano,3,
 @todomundo2241  E qm disse q o palmeiras tem mundial,há 1 ano,4,
Arereee o Cuiabá e Ceará vai jogar a serie b,há 1 ano,3,
Cuiabayern fica e o Siará vai fazer intercâmbio na série B,há 1 ano,1,
"Cuiabayem sul americana
Ceará rebaixado",há 1 ano,2,
Briga è uma vergonha coitado das crianças tudo chorando eu tava no estádio os caras queriam bater nós jogadores,há 1 ano,2,
 @internacional7741  QUEM disse que o Inter a 50 anos não ganha o brasileiro KKK,há 1 ano,1,
e quem disse que o são paulo é tri mundial se a FIFA tirou dois titulos 😂😂😂,há 1 ano (editado),1,
Siara rebaixamento,há 1 ano,2,
Siara vai jogar a Série 🅱️,há 1 ano,1,
 @BEC20k  quem diz que todo ano é roubado,há 1 ano,1,
Ceará merece ser rebaixado time ruim de torcida varzeana,há 1 ano,1,
Série B e depois série C kkkkk,há 1 ano,2,
Vozao não cai,há 1 ano,2,
 @catrevagen  kkkkkkkkkkkk,há 1 ano,2,
NEYMAR NÃO É DE NADA É PURA MARMELADA NUNCA VAI SER MELHOR DO MUNDO QUEM TÁ ESPERANDO O HEXA VAI ESPERAR SENTADO 😎😎😎😎😎,há 1 ano,2,
 @catrevagen  praga e tu,há 1 ano,0,
 @internacional7741  e o internacional uma Sul americana,há 1 ano,1,
 @voltaiko  intercâmbio e tu,há 1 ano,1,
 @jojumasan  e tirou o teu conhecimento,há 1 ano,1,
 Samuel Filipe Almeida  kkkkkkk,há 1 ano,1,
Nenhum,há 1 ano,1,
"Que fique bem claro, não foi a torcida do Ceará, foram os omissos da Torcida Organizada",há 1 ano,1,
Ceará   tem   que   ser  rebaixado    e  perder   ponto,há 1 ano,2,
Cuiabá   já   não   sei,há 1 ano,2,
" @futebolbrasileiro4090  kkkkkk aí pescoço, é doente mesmo. O assunto é Ceará X Cuiabá,  e tu tendo desejo pelo Neymar, tem vergonha cara, vai trabalhar 🤣🤣🤣🤣🤣",há 1 ano,1,
"Pêa, muita chibata",há 1 ano,1,
"Pq vcs do GE não colocam a narração do jogo toda? Caramba todo vídeo comento sobre isso e nunca recebo resposta 🙄🙄 melhorem isso, as vezes nem sabemos quem fez o gol pq vcs cortam a narração..",há 1 ano,1,
REBAIXAMENTO DO CEARA NÃO MERECE FICAR NA SERIE A COM ESSE FUTEBOLZINHO RIDICULO,há 1 ano,1,
Segunda divisão,há 1 ano,1,
Série b kkkk,há 1 ano,1,
