text,time,votes,replies
"Fala, pessoal! 😎 E aí, o que acharam da partida?
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,31,3
Boa meu Amêrica-MG 💚💚,há 3 meses,1,
Muralha pega muita bola Jailson salvor.o América de tomar no mínimo 4 Gols,há 2 anos,1,
Parabéns ao América! Fez um grande jogo e souberam se fechar bem.,há 2 anos,0,
SempreCoritiba a maior torcida do Pr,há 2 anos,2,
Coritiba a maior torcida do Pr,há 2 anos,2,
"Andrei naquele timinho do Vasco era um dos piores jogadores do elenco, agora em um time mais competitivo, ele tá jogando bem, o cara tá fazendo até gol.  Diga-se de passagem, Jaílson é um monstro no gol.",há 2 anos,1,
Esse Jailson é um Goleiraço,há 2 anos,1,
CORITIBA 1X0 AMÉRICA-MG,há 2 anos,0,
Corinthians tá com sorte de campeão kk,há 2 anos,0,
Esse ano o brasileirão está muito disputado slk,há 2 anos,1,
"O clã do egidinho tá chato, tá?",há 2 anos,0,
Jogaço⚽️⚽️⚽️,há 2 anos,3,
"Valeu coxa. Parabéns, esse América está achando time grande. O lugar dele é série B.",há 2 anos,0,
Parabéns coxa por ter um estádio 👏👏👏👏👏,há 2 anos,8,
Jailson fechou o gol!!!,há 2 anos,1,
Venceu o maior e normal,há 2 anos,0,
"Esse editor é um preguiçoso, pqp",há 2 anos,0,
Coelho está bem,há 2 anos,0,
Boa Vitoria do Curitiba,há 2 anos,2,
COXAAAA 🇳🇬💚,há 2 anos,1,
Legal,há 2 anos,1,
Top,há 2 anos,1,
Se não fosse o Jailson seria goleada,há 2 anos,1,
"Coxa tá bem demais mais parece q é perseguido kkk, primeiro João Paulo do Santos e agr o Jailson, os goleiros gostam d mostrar serviço contra o coxa.",há 2 anos,7,
Esses times que não são favoritos ao  título  são chatinhos e valentes,há 2 anos,0,
"Em todo tempo que o Egídio passou no Cruzeiro, ele nunca acertou esse tipo de cruzamento kkkkk kkkkk
Azar do América!",há 2 anos,1,
"Igor Paixão fez muita falta, ontem ele teria deitado no mano a mano. Por sorte o Andrey nos salvou, jogo chato... América veio bem fechado e o Jailson pegando tudo!",há 2 anos,4,
Jailson ta agarrando muuuuitooo,há 2 anos,1,
Coritiba muito bem nesse início do campeonato,há 2 anos,1,
América está bem de goleiro em! Fora o Jailson tem o Cavichioli na reserva que pega demais,há 2 anos,1,
Boa vitória do coxa,há 2 anos,1,
