text,time,votes,replies
"Rebaixados, o que deve ser aproveitado de 2022 para Ceará e Juventude terem sucesso em 2023?",há 1 ano,96,32
foi apenas o quarto triunfo do ceará em casa no Brasileirão.,há 1 ano,0,
"1-0
1-1
2-1
2-2
2-3",há 1 ano,1,
"Rony
Flaco
Endrick
Richard rios
Piquerez



Raniele
Deyverson",há 1 ano,1,
"Richard
Buiu
Mateus Vargas
David Ricardo
Bruno Pacheco
Richardson
Geovane
Erick
Fernando Sobral
Leo Rafael
Cleber
Ruan
Vitor Gabriel
Onitlasi junior de Moraes Rodrigues
Yuri
Gabriel
Pará
Dudu
Taylor kelven
Vitor Mendes
Rodrigo Alves
Jose Guilherme",há 1 ano,0,
Jose Luís.pro Miroslav klose ele toca no meio Pelé removeu klose golaaaaacooooooooooo. Goooooooooooooooooooooooooooooooooooool éeeeee do cearaaaaaa,há 1 ano,0,
Marcos pegou de novo e é de cabeça voltou wandinha gooooooooooooooooooooooooooooooooooooooolllllllllllllllll do cearaaaaaaaaaaaa 3 chutes a gol wandinha wandinha é do cearaaaaaaaa,há 1 ano,0,
Jogo da tristeza!!,há 1 ano,0,
Esse  time  horrível   só  ganhou   pq  time  e ruim    graças   a  deus  saiu  td  do  time  td  novo,há 1 ano,0,
CEARAMOR + MOFI + MANCHA VERDE,há 1 ano,0,
Porque foi sem torcida esse jogo?,há 1 ano,0,
No RJ eu Sou Botafoguense 🖤🤍 mas eu tô te Torcendo pelo Vozão 🖤🤍 que em 2023 volte pra Série A em 2024,há 1 ano,1,
"ta explicado por que o sobral conseguiu fazer um gol de fora da area, errou o tempo de bola e ela raspou na parte lateral do pé, se tivesse acertado em cheio via parar aqui na minha casa essa bola ai",há 1 ano,0,
"Ceará tem q trazer reforços nivel serie b

Dudu (Atlético Go)
Gabriel Poveda (Sampaio Correa)
Jamerson (Guarani)
Léo Gamalho (Coxa)
Vitinho (Avaí)
Pepê (Cuiabá)
Breno Lopes (Palmeiras)
Miguel (Bragantino)
Wellington Rato (Atlético go)
Hayner (Atlético go)
Caetano (Corinthians)
Luis Otávio (Bahia)
Mikael (Internacional)
Jean Carlos (Náutico)
Tiago Pagnussat
Thaciano (Grêmio)
Davó (Corinthians)
e mais alguns,jogadores níveis série b e série a

Tchau 
Jô
Zé Roberto
Matheus Peixoto 
Castillo
Mendoza
Jhon Vazquez
Lima
Guilherme Castilho
Richard
Dentinho
Lindoso
Michel Macedo
Messias
Victor Luís 
Nino Paraíba 
Lucas Ribeiro 
David Ricardo
Erick
Cléber 
Vina
Buiu 
Geovane",há 1 ano (editado),3,2
Morreram os dois abraçados!😆,há 1 ano,0,
"Uma vitória dessa é mais pra chorar duque pra comemorar, um time que perde todas as chances de permanecer na serie A devia limpar tudo deixar só o Club e contratar jogadores de base em vez de gastar dinheiro com pernas de pau.",há 1 ano,0,
