text,time,votes,replies
Parabéns Ceará 🤩🤩,há 1 ano,2,
Vamos 🤩🤩,há 1 ano,2,
Tem time de fora eu jogo pra fazer gol,há 1 ano,0,
Tédio - O Jogo,há 2 anos,0,
Joguinho meia boca...Na quarta feira tem que arrebentar!!,há 2 anos,3,
Queria ver o Cuiabá na série A 2023 mas com esse jogo fraco ta difícil  😭😭😭,há 2 anos,4,
Esses dois times só jogam algo quando pega alguém grande é incrível,há 2 anos,3,
Sem Mendoza não da😠,há 2 anos,1,
"Placar moral Cuiabá 1x3 Ceará, Vozaum merecia vencer",há 2 anos,1,2
Que jogo foi esse Ceará? Meus olhos estão com Câimbra até agora... 🙄,há 2 anos,2,
CUIABÁ 0X0 CEARÁ,há 2 anos,2,
KANAL RUMO A SÉRIE B,há 2 anos,0,
CEARAGAY RUMO A SÉRIE B,há 2 anos,0,
"Se Ceará continuar desse jeito só empatando é série B na certa..
Com esse ataque,
Iury 
Cleber 
Erick não vai pra lugar nenhum..
Se depender desse Cleber é série B na certa..",há 2 anos,2,
Jogo  Ruim,há 2 anos,0,
3 mil,há 2 anos,1,
"Realmente esse time é Mendoza + 10, pq o resto pelo amor de deus! 🤦🏻‍♂️",há 2 anos,1,
"Cearamor...rsrsrs 
Jogaço!",há 2 anos,2,
Jogão de bola! Digno de uma champions league.,há 2 anos,4,
🤢,há 2 anos,0,
Não kkkkkkk jogo com cara de 0x0,há 2 anos,1,
" @petxecomaxixe7415  respeito a sua opinião,mas tenho a minha e não abro mão",há 2 anos,0,
Acho vergonhoso não fazerem gols,há 2 anos,2,
Que jogo ruim,há 2 anos,0,
"1° Tempo foi 50 Segundos do Vídeo..
Realmente 2° Tempo foi outro Jogo",há 2 anos,5,
"Jogo foi tão ruim, mas tão ruim..
Que o Vídeo tem SÓ 2 MINUTOS E 40 SEGUNDOS KKK",há 2 anos,1,
Volta dorival,há 2 anos,0,
Ke jogo feio credo esses times não presta,há 2 anos,0,
Fortaleza campeão  brasileiro  de 2022,há 2 anos,1,1
Ceará quinta divisão em 2023,há 2 anos,1,
"Nunca vi uma ironia tão grande quanto essa ""melhores momentos, CuritibaxCeará"" que melhores momentos, jogo ruim demais kkk",há 2 anos,0,
Quem aposta nos jogos esportivos ficaram como com esse empate? Kkkkkk,há 2 anos,2,
⚽⚽⚽,há 2 anos,1,
EMPATE JUSTO!,há 2 anos,8,
BOM JOGO!,há 2 anos,7,
Eita canal tá difícil né 😂😂🤣,há 2 anos,0,
