text,time,votes,replies
"O homem está IMPARÁVEL! Mande o seu L aqui no comentário imediatamente!
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,101,16
Saudades tenho desse fluminense não o de agora de 2024,há 1 mês,0,
Ganso Joga Pra Caralho,há 1 ano,0,
Narração sem emoção desse jogo,há 1 ano,0,
Vai fluminense,há 1 ano,0,
"Pelo que a mídia estava falando, estava esperando um encontro de real madrid com Bayern...",há 2 anos,0,
FLU!,há 2 anos,0,
"Quer saber as estatísticas do 1° turno do campeonato brasileiro? Acesse o canal e veja em qual posição seu time está nos números dessa primeira parte do campeonato, qual foi seu desempenho. Muito obrigado pela atenção.",há 2 anos,0,
a mina que narra parece que vai desmaiar kkk,há 2 anos,0,
"Será que não tinha outro narrador pra esse jogo?
Meu Deus, é uma tristeza escutar isso",há 2 anos,1,
Esse ataque não para a cada jogo que passa tá melhor que nunca belas transições do Fluzão sempre tendo opções de continuar os contra ataques Cuiabá ainda chegou a sentir os primeiros contatos com essa defesa do flu mas o Fluminense Não deixou nenhuma brechinha para eles rematarem  a gol tava muito difícil danificar essa defesa do Fluminense,há 2 anos,0,
Narração merda do caralho KKKKKKKKKK vai toma no cu KKKKKKKKKK,há 2 anos,2,
"Cara, eu sou flamenguista, mt mesmo. Mas esse toque de bola e o futebol q o fluminense ta jgando, ta bonito de ver.
 Próximo fla x flu, vai ser sinistro demais, já acredito q vai ser o jgo mais incrível do brasileirão nesse ano.",há 2 anos,0,
"Não foi uma partida perfeita mas ao menos ganhamos. Cris Silva tem que ser titular apesar de ser extremamente limitado, impressionante como o Felipe Melo caiu de rendimento nesse brasileiro, desde um jogo contra o Flamengo no carioca que eu não lembro de uma boa partida dele, está muito mal fisicamente.",há 2 anos,0,
"O Fluminense está jogando um belo futebol...
Tudo está dando certo e o time está ancaixado. 
Pena a narração ser uma Bosta !!!",há 2 anos,1,
Cano é o jogador que mais marcou gols no mundo no ano de 2022 até agr são 30 gols. Joga muito.,há 2 anos,0,
Eu só tricolor de coração gostei muito de mais do fluminense é eu de Seabra Bahia 👍,há 2 anos,0,
Tá fácil pro Fluminense este Br! ST 🇮🇹🇮🇹🇮🇹,há 2 anos,1,
Eita mulher da voz irritante transmitindo jogo,há 2 anos,2,
Pq não mostraram o pênalti que o ganso fez??,há 2 anos,0,
L,há 2 anos,2,
Pra mim o melhor jogador do campeonato é o cano,há 2 anos,1,
L,há 2 anos,1,
L,há 2 anos,1,
L,há 2 anos,0,
L,há 2 anos,1,
L L L L,há 2 anos,0,
Boa Vitória do Fluminense,há 2 anos,0,
L de Lulinha a alma mais honesta,há 2 anos,0,
L,há 2 anos,0,
Eu só tricolor de coração gostei muito de mais do fluminense é eu de Seabra Bahia 👍,há 2 anos,0,
L,há 2 anos,0,
 @cruzeiro3383  qlqr time ele mete hol meu Chapa. Olha a inveja,há 2 anos,0,
L,há 1 ano,0,
😇😇😇😀😀🤟😃😃,há 1 ano,0,
WESLEY,há 1 ano,0,
Meteram a mão no Cuiabá,há 2 anos,0,3
Ótima narradora.,há 2 anos,1,
FAÇA O L’ louco da cabeça,há 2 anos,0,
"Urgente! O jogador de futebol cano, centroavante do Fluminense,está diagnosticado com doença terrível! O atacante recebeu nessa semana um diagnóstico de várias doenças,sendo elas: Golnorreia,GOLIABETES e ebola",há 2 anos,0,
Olha o chitttiiii,há 2 anos,0,
Flu ta levando sufoco todo jogo como vai ganhar do flamengo e do palmeiras?,há 2 anos (editado),1,
Vamos Fluzão,há 2 anos,0,
Credo que narração horrível,há 2 anos,1,
Gadao dirão que Cano é Lulista.,há 2 anos,1,1
pelo vídeo.... só uma chance do cuiabá... que nasceu dos pés do Felipe Mello... grande Felipe Mello,há 2 anos,0,
Dinizismo Ta On,há 2 anos,0,
Como Gostoso ver a Renata Silveira narrar,há 2 anos,1,
Mulher narrando jogo de homem affff..... ruim demais,há 2 anos,2,
Agonia ouvir essa mulher narrando!,há 2 anos,2,
Goleiro todo mal posicionado na hora do gol!,há 2 anos,0,
Oque mata e ver esse xarope no final do vídeo achando que ele e engraçado.,há 2 anos,0,1
Essa mulher e só vê o lance no replay kkk,há 2 anos,0,
Mulher narrando ainda não me acostumei.,há 2 anos,0,
Q passe foi esse d ganso,há 2 anos,0,
que narração horrorosa pqp o jeito é assitir no mudo,há 2 anos (editado),1,
??,há 1 ano,0,
 @eduardocordeirodeoliveira8908  ganso fez um pênalti claro,há 1 ano,0,
 @LF600rr  que pênalti? 🤔,há 1 ano,0,
Bolsopetismo,há 2 anos,0,
"Uoouuu, mas você pode comer a pizza toda ....",há 2 anos,0,
Sou fã desse Cano viu,há 2 anos,0,
"Ganso MÁGICO  tirou lá do fundo da cartola essa assistência! Melhor camisa 10 do Brasil 🇧🇷 na atualidade, tite chama o ganso pra seleção. Que esse ano o Hexa vem 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 ALÔ TITE GANSO NA SELEÇÃO 🇧🇷",há 2 anos,2,
Mulher narrando jogo 😲,há 2 anos,2,
"Impressionante o amadorismo dos clubes brasileiros. 

Esse Pepe hoje é 10x melhor que o Diego Ribas. Mas o Flamengo preferiu renovar 500x com o Diego doq manter o mlk que poderia se valorizar e ainda gerar algum caixa pro clube. (Não estou falando q seria titular. Mas para compor elenco. Hj seria qs uma quinta opção) ...",há 2 anos,0,
Cano o maior artilheiro do mundo!,há 2 anos,1,
Assistindo no mudo,há 2 anos,1,
"Tá de sacanagem essa mulher narrando os jogos do flu , pq quando é o Flamengo na globo quem narra é o Luís ? aff",há 2 anos,3,
Mais uma assistência do ganso,há 2 anos,2,1
Pela amor de deus deixa felipe melo pra sempre no banco,há 2 anos,0,
63 segundos pro Fluminense vencer a partida 🙂,há 2 anos,0,
Mulher narrando é horrivel,há 2 anos,2,
Cana e sinistro tá doido,há 2 anos,0,
O tempo passou e eu já me acostumei com a narração dessa mulher... no mudo 🔇  fica ótimo 👍,há 2 anos,3,
Essa mulher narrou? Ainda bem que eu fui p estádio KKKKKKKKKKKKKKKKKKKKKKK,há 2 anos,3,
"Não sou Tricolor, mas o flu tem hj o melhor futebol do Brasil, Fluzao merece esse momento mágico depois de tantos anos de sofrimento e sua torcida idem. É bom para o futebol brasileiro q se prova cada dia mais potencializado na América do Sul. Quero ver muito esse clube lá em cima de novo forte e temido, deveria ser mais falado na grande mídia televisiva, acham q só existe o Flamengo no Rio...deveriam dar mais ênfase aos outros 3 cariocas.",há 2 anos (editado),6,
"Cano está muito a frente de hulk, Gabigol e calleri atualmente",há 2 anos,4,1
Fluzão crl!,há 2 anos,0,
ESSA NARRAÇÃO,há 2 anos,2,
Flu 🇮🇹,há 2 anos,1,
Narraçao horrorosa meu deus,há 2 anos,3,
Quem faz os atacantes é o  ganso tirando Neymar. Quando vão pra outros times apagan. Pois não tem uma assistência igual a do Paulo Henrique ganso!,há 2 anos,0,
Sim,há 1 ano,0,
LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,há 2 anos,0,
narração horrível!,há 2 anos,3,
Será q não tem nem um apresentador pra meter o pau nessa globo pra tirar essa narradora ruim do cacete,há 2 anos,1,
Essa mulher dando uma d narrador ninguém merece,há 2 anos,3,
Essa narração é muito broxante,há 2 anos,3,
Q passe do GANSO,há 2 anos,3,
Essa narradora é mto ruim pqp,há 2 anos,2,
Pra mim é tudo um babaca falar que o ganso não é o melhor 10 do Brasil e pra começar vcs nem de futebol entende seus pobres ganso é maestro seus galinhas mortas do crl,há 2 anos,0,
Faz o L,há 2 anos,1,1
Boa Vitória do Fluminense,há 2 anos,2,
Pelo amor de deus nao coloqurm essa mulher pra narrar os jogos do flusao... Ela nao passa emoçao alguma 🤬😠🤬😠😠😠😠,há 2 anos,3,
O gramado só tá lindo por causa do fla flumininha!,há 2 anos,0,
"Puta que pariu 
Mulher narrando jogo de futebol é horrível",há 2 anos,1,
Assistir no mudo da mais emoção...,há 2 anos,8,
Parecia o flamengo de 2019 se eu não me engano. Sqn,há 2 anos,0,
Põe no mute.,há 2 anos,2,
"Boa Fluzão! Esse argentino joga pra caramba!

Jogo duro! Cuiabá deu trabalho, mas o importante são os três pontos! Que continue assim!

Agora que o Fluminense perde muitos gols não tá no gibi. Gostei da partida do Cris Silva, entrou bem.",há 2 anos (editado),0,
Que narração horrível,há 2 anos,2,
Fluminense,há 2 anos,0,
A pior narração que eu ja ouvir,há 2 anos,1,
Lulanaro,há 2 anos,0,
Por que o Cano comemora fazendo L com a mão?,há 2 anos,0,1
"Que volte logo o caio, pineida infelizmente não dá",há 2 anos,0,
Enquanto os concorrentes  tiverem criticando o Fluzão seguinifica que o Flu esta no caminho certo,há 2 anos,1,
"O Cano é letal, que centroavante!!!",há 2 anos,0,
🇭🇺🇭🇺🇭🇺🇭🇺🇭🇺,há 2 anos,0,
Rodriguinho no auge jogou mais que o arrascaeta 😂😂😂,há 2 anos,0,
Que narração bosta tnc,há 2 anos,1,
Diniz deu uma indentidade de vitorias com um time que roda bola toque de bola rapido Time do Fluminense vai longe vai Briga de igual pra igual com outros,há 2 anos,2,
Essa narradora é tosca mano,há 2 anos,2,
"DÁ-LHE FLUZÃO!
L!",há 2 anos,0,
"O cano chegou pra meter gol
Faz o L faz o L",há 2 anos,0,1
Kano parece um sucessor de alto nível para o fred,há 2 anos,0,
Menguim fica como ?,há 2 anos,0,
A pior narração é dessa mulher. Acaba com o quadro de comentarista da globo. Mulher não era para narrar jogo de futebol!,há 2 anos,2,
Essa assistência do cano me Lembra aquela na final do paulista 2010,há 2 anos,2,
Ainda bem que fui no Maracanã...não precisei assistir o jogo com essa narração ridícula,há 2 anos,2,
Cano desse jeito vai terminar com uns 100 gols na temporada todo jogo esse cara faz gol.,há 2 anos,1,
Quer jogar a segundona ano que vem? Só basta contratar RODRIGUINHO.,há 2 anos,1,
Ganso jogando muito...,há 2 anos,1,
"Sou Madureira e esse Fluminense é um time para pederastas sem sombra de dúvidas.

Só existe um caminho macho, e esse caminho se chama Madureira.",há 2 anos,0,
Homenagem ao filho dele que se chama Lorenzo,há 2 anos,1,
Pq ele faz o L,há 2 anos,0,
Com essa narração  não  dá,há 2 anos,1,
"Cuiabá time flácido , pepe morto em campo já algum tempo , alguém avisa ele que punhet4 mat4",há 2 anos,0,
Nossa... mulher narrando não transmite emoção alguma!,há 2 anos,4,
O Fluzão tá insano 😲,há 2 anos,0,
a voz desta narradora é irritante,há 2 anos,3,
Ninguém merece essa  narração.,há 2 anos,3,
Fluminense tetra campeão brasileiro.,há 2 anos,0,
Cano diferenciado demais que pena que não tinha quem ajudasse ele no meu vasco,há 2 anos,1,
narraçao q quebrou,há 2 anos,2,
"Falaram que fluminense ia brigar esse ano, g3",há 2 anos,0,
FLU 07/08/22,há 2 anos,0,
cano o maior artilheiro da temporada mundial 2022 ate então,há 2 anos,0,
"Que narração bosta. 
Pensei que ninguém podia ser pior que o Escobar, não em um campeonato brasileiro, no horário nobre do futebol.",há 2 anos,1,
"Narração fraca, não passa emoção nenhuma",há 2 anos,4,1
Ganso gênio,há 2 anos,3,
Mulher narrando é dose em!,há 2 anos,2,
Essa mulher parece que está narrando corrida de cavalo. Que coisa horrível!,há 2 anos,6,
Sempre uma narração pão doce pro meu Flu...,há 2 anos,5,1
Sou flamenguista mas o ganso tá de sacanagem com uma assistência dessas aí tá louco,há 2 anos,7,1
L,há 2 anos,0,
Ninguém gosta dessa mulher narrando,há 2 anos,0,
e o pior ela e tricolo kkkk ela parece q ta narrando rodeio,há 2 anos,0,
Merece seleção,há 2 anos,0,
FLU,há 2 anos,0,
Pelo amor de Deus alguém coloca um narrador!!! Mulher narrando não da certo 🤦🏻🤦🏻🤦🏻🤦🏻🤦🏻,há 2 anos,6,
Esta mulher é muito ruim narrando...,há 2 anos,4,
Cris Silva é um jogador promissor,há 2 anos,3,1
"Se o fluminense não fizesse gol teríamos empatado

- Cuiabá",há 2 anos,2,
Obg por ajuda o Fortaleza 🦁🇨🇵🇨🇵🇨🇵🇨🇵🇨🇵🇨🇵🇨🇵🇨🇵🇨🇵,há 2 anos,3,
"Depois falam que o Diniz e um péssimo técnico , cara e bom só não tem título, infelizmente ele tá no Virgens da América.",há 2 anos,1,
Fluminense 🇭🇺👏🏻👏🏻👏🏻,há 2 anos,2,
"Apesar do triunfo, o time jogou menos do que podia.",há 2 anos,2,
Pra cima Fluzão!,há 2 anos,0,
Fluminense sempre Fluminense vais o L gol do homem german canogol e nois,há 2 anos,2,
"Acabei de chegar do Maracanã, bom jogo, a torcida colorado fez uma festa!!",há 2 anos,6,
Parece que alguém aqui que apostou uma caixa de cerveja que o Cano vai fazer mais gols que o Calleri na temporada vai acabar ganhando a aposta 🍺,há 2 anos,8,
Sou vascaino mais  fico feliz ver o cano balançando as redes não tem muita técnica mais faro de gol e raça,há 2 anos,50,
fez o L,há 2 anos,4,
Parabéns 🎩🇹🇯 flu mais uma Vitória espetacular magnífica lindíssima dalhe german cano 😍👏🏽,há 2 anos,11,
"Só ganha por causa do Cano, time pequeno sem tradição na libertadores",há 2 anos,0,43
Narração horrível! ainda bem que teve como assistir pelo premiere,há 2 anos,5,
"Sou parmera, mas esse time do flu joga o fino",há 2 anos,13,
QUE NARRAÇÃO HORRÍVEL!!! Ainda bem que dá para baixar o som da TV e ouvir a narração pelo rádio,há 2 anos,8,
"Aí não né 😭 , meus olhos sangram lendo isso , o cara tem quase 30 anos e foi jogar um pouquinho na Moldávia.",há 2 anos,1,
E teu time se salva por causa da arbitragem e do var kkkkkkkkkkkk,há 2 anos,1,
😭😭😭,há 2 anos,0,
"E vcs se acham grandes e não tem Dna de campeão, saudações palestinas",há 2 anos,1,
 @hshsS   kkkk se salva por ter um time de vdd e muito mais história q o florminenCe,há 2 anos,0,
 @brunoaugusto3856  Flamengo tem história por causa do var e da arbitragem,há 2 anos,1,
 @hshsS   kkkk vdd foi tudo roubado 😓,há 2 anos,0,
Se não fosse por isso o Fluminense teria feito 3 gols fácil no Cuiabá teu time que não presta,há 1 ano,0,
" @showman3575  vc respondendo meu comentário dnv, seu time tem Dna de série c",há 1 ano,0,
" @eduardocordeirodeoliveira8908   kkk imagina se prestasse então,  estando em todas as competições e diga-se de passagem muito forte,  quando jogamos contra seu time nanico Virgem de libertadores e time de serie C tínhamos aquela merda de técnico,  agora a história é outra",há 1 ano,0,
 @brunoaugusto3856  aquela época o fluminense era bem ruim só que hoje em dia o time tá uma máquina,há 1 ano,0,
 @brunoaugusto3856  a é e o seu time tem quantos títulos hein?,há 1 ano,0,
" @eduardocordeirodeoliveira8908  tem dois , e provavelmente brigará pelo terceiro , e o seu briga pelo q ? g4? kkkkkk nanicos",há 1 ano,0,
 @brunoaugusto3856  o meu tem 4 e segue em busca pelo título na 3 posição,há 1 ano,0,
" @eduardocordeirodeoliveira8908  kkkk então vc não torce pra time brasileiro,  até porq não tem time brasileiro com 4 libertas kkkk q piada",há 1 ano,0,
 @brunoaugusto3856  tô falando que meu time tem 4 títulos do Brasileirão sonso 🤦🏻‍♂️😂 sabe nem o que tá dizendo,há 1 ano,0,
"@Eduardo Cordeiro de Oliveira   eu estava falando sobre libertadores seu burro, vc é analfabeto ou o q ? Aí vc me vem falar de brasileiro sem citar q está falando de brasileiro ? e o meu a proposito tem o DOBRO q o seu no brasileirão Kk o burrinho aqui é vc , mas esperar o q de alguém q torce pra um time de merda e sem história kkk",há 1 ano (editado),0,
@Bruno Augusto tô nem aí vcs que se lascem time medíocre 😂🤣😂 🙅🏻‍♂️🇮🇹,há 1 ano (editado),0,
@Bruno Augusto só quero ver a reação de vcs quando tomarem um sacote da gente hahaha hahahaaaaaahhahaha 🤣🤣🤣😂😂😂,há 1 ano (editado),0,
 @eduardocordeirodeoliveira8908   medíocre e jogar serie B e C e ser virgem da América kkkk,há 1 ano,0,
 @brunoaugusto3856  timinho modinha kkkk,há 1 ano,0,
 @brunoaugusto3856  o meu ainda joga a liberta e não caiu pra série b e aí? 😂😂😂 Sabe nem o que fala,há 1 ano,0,
" @brunoaugusto3856  calma lá emocionado, próximo jogo nós amassa 😂😂😂🇮🇹🙅🏻‍♂️",há 1 ano,0,
 @brunoaugusto3856  pelo menos meu time tá melhor do que o seu 🤣🤣😂,há 1 ano,0,
 @brunoaugusto3856  o que importa é o nível do time e não a divisão que ele tá jogando!,há 1 ano (editado),0,
" @eduardocordeirodeoliveira8908  melhor ? Não brigam por nada ha muitos anos, em três anos ganhamos títulos q o seu nem em duas décadas ganhou,  é cada uma viu kkkkk",há 1 ano,0,
 @brunoaugusto3856  só isso? Kkkk o meu tá em terceiro e o seu tá quinto cala essa sua boca 🤫🙅🏻‍♂️🇮🇹,há 1 ano,0,
" @eduardocordeirodeoliveira8908   kkkk o campeonato acabou ? q iludido de merda, no final a gente já sabe se pegar g4 é lucro, o meu briga POR TITULOS , dá pra entender a diferença? kkkkk",há 1 ano,0,
" @brunoaugusto3856  não briga? Esse cara só pode tá de brincadeira, de todas as edições que o fluminense disputou eles geralmente ficavam entre os primeiros e nessa temporada o fluzão tá indo em busca do seu 5 título do Brasileirão pode não ser maior do rio mais eles tem um elenco muito bom e mais forte do que esses times que atualmente tá brigando para não caí",há 1 ano,0,
" @brunoaugusto3856  no Brasileirão tá sim, e continua na frente de vcs",há 1 ano,0,
" @eduardocordeirodeoliveira8908   kkkkkkk vai comemorar igual o Vasco líder da quarta rodada no final vimos o q aconteceu, vcs não tem elenco pra se manter lá em cima , logo cai , e igual golfinho sobe faz uma graça e volta a descer kkkkk",há 1 ano (editado),0,
 @brunoaugusto3856  elenco tem sim o problema é o técnico que não organiza,há 1 ano,0,
 @brunoaugusto3856  veremos então kkkk,há 1 ano,0,
 @brunoaugusto3856  que q o Vasco tem haver com o Fluminense? 🤦🏻‍♂️ Vasco tá na série b e tu fica comparando com time que tá na elite aff,há 1 ano,0,
" @eduardocordeirodeoliveira8908   kkkkk vc além de burro não sabe interpretar texto , eu disse o q tem a ver , se não entende o problema deve ser vc , aliás viu o passeio do meu time agora pouco ?  Kkkkkkk",há 1 ano,0,
 @eduardocordeirodeoliveira8908   o q tá acontecendo com seu timinho na tabela? kkkkkkkk já começou o declínio,há 1 ano,0,
" @brunoaugusto3856  uai tava 11 jogos de invencibilidade só que acabou perdendo nessa rodada, mais calma que na próxima rodada a gente volta a vencer e sobe na tabela",há 1 ano (editado),0,
 @eduardocordeirodeoliveira8908   3? kkkkkkk,há 1 ano,0,
 @eduardocordeirodeoliveira8908   time modinha meteu 5 e o seu tomou 3 quem tá na frente de quem mesmo ? kkkkk chora,há 1 ano,0,
 @brunoaugusto3856 MDS eu tinha falado isso ontem e o cara vem responder isso hoje? Aff,há 1 ano,0,
" @brunoaugusto3856  nós só perdeu um jogo nesse segundo turno, mas na próxima rodada a gente se encontra na segunda posição e retoma esse 3 lugar",há 1 ano,0,
 @eduardocordeirodeoliveira8908   kkkk e daí q vc respondeu ontem ? Então eu tenho q responder no mesmo dia ? Tenho outras coisas pra fazer tipo ver meu time massacrando os adversários e ver o seu ser massacrado kkkkk,há 1 ano,0,
 @brunoaugusto3856  e o que eu tenho haver com isso? Tô nem ai pra esse timinho ridículo 🤣😂😂 logo logo vcs caem de novo kkk,há 1 ano,0,
" @eduardocordeirodeoliveira8908   cai mesmo , tem sido assim né,  não pera 🤔",há 1 ano,0,
"Fluminense não consegue colocar mais de 60 mil nem quando o time está jogando bem e em cima da tabela. Até o pequeno vasco na série B consegue passar dos 60 mil. Se o pequeno Vasco tivesse nessa fase boa do FluC, eles colocariam 60mil todo jogo. Bizarro isso.",há 2 anos,0,3
Walter e muito bom goleiro seguro d+,há 2 anos,1,
Que fase fo kano senhores.,há 2 anos,1,
"Jogando dentro de casa no maraca "" Flamengo vendo isso ""

Eu sou uma piada ? Kkkkkkkkkkk",há 2 anos,0,
Esse Cano é uma máquina de fazer gols,há 2 anos,13,
Ganso tá demais,há 2 anos,4,
e o the best vai pra quem? german canooo artilheiro do mundo!,há 2 anos,3,
É triste ver um jogão desses com uma narração dessas 🤮 🤮 🤮,há 2 anos,7,
Cano melhor que lautaro Martinez,há 2 anos,2,
Será que German cano já pediu o estátua no estádio do Fluminense kkkkkk,há 2 anos,3,
Tá doido bixo q narração ruim slk,há 2 anos,4,
ERA para o fluminense ganhar de 10 x 0 do Cuiabá,há 2 anos,1,1
Que JOGO HORRÍVEL,há 2 anos,0,
Este German Cano é goleador nato,há 2 anos,2,
"Quem não é dinizista hoje é maluquinho, tá?",há 2 anos,0,
Perder? Oque é isso?💚🤍❤,há 2 anos,0,
Faz o L👆💚🤍❤🇭🇺,há 2 anos,1,
SEGUIMOS💚🤍❤,há 2 anos,0,
Goleirão fez golpe de vista kkkk,há 2 anos,0,
CANO É BRABO FAZ Ó L SAUDADES DELE NO MEU VASCO 🇯🇲👏👏🤗😍🏳️‍🌈🏳️‍🌈🇫🇴🏅🏅,há 2 anos,41,7
😭😭😭,há 2 anos,1,
CUIDADO AMIGO A INVEJA KKK,há 2 anos,2,
"Coloca uma coisa na sua cabeça cara nós sómos a elite do rio não é povão igual os outros, 80 % dos torcedores do Fluminense são ricos",há 2 anos,0,
"Não sei como, 11 homens na retranca, uma bosta jogar com time pequeno",há 2 anos,0,
Sou vascaino mais sai com essa bandeira pra la nimguem quer militante aqui não,há 2 anos,5,
QUEIMA ESSA BANDEIRA É MUITO COLORIDA!,há 2 anos,2,
"Prefiro essa bandeira aq: 🏴‍☠️
Combina mais com o Vasco",há 2 anos,0,
Deve ser uma feminazi maconheira da CUT . 🤣🤣🤣🤣,há 2 anos,0,
Kkkkkkk a bandeira combina com o time mesmo,há 2 anos,0,
 @farahrafael KKKKKKKK,há 2 anos,0,
 @farahrafael  serie b,há 2 anos,0,
essa mulher tinha que parar de narrar jogos de futebol pqp ja me tirou dos nervos,há 2 anos,5,1
Q emoção de narração,há 2 anos,4,2
"Mesmo com uma atuação muito abaixo das outras,Diniz está fazendo um trabalho quase perfeito só será perfeito se levar o Brasileiro ou a Copa do Brasil.",há 2 anos,16,10
"Ainda bem que assisti no Premiere.
Narração terrível essa.",há 2 anos,7,
❤️💚,há 2 anos,0,
A primeira prova de fogo será no proximo domingo contra o Inter.,há 2 anos,1,
"NARRAÇÃO DESGRAÇA. 
Dá desgosto assistir jogo com essa forçação de barra.",há 2 anos,9,
"Flamengo Fluminense bem demais 
Só o Botafogo que não está bem",há 2 anos,4,3
Walter  goleiro gigante merece um time grande com TD respeito ao Cuiabá,há 2 anos,4,
Cano é matador,há 2 anos,5,
FLUMINENSE 1X0 CUIABÁ,há 2 anos,1,
Linda jogada !,há 2 anos,7,
Flu deveria ter colocado Bigode aos 30 e Também o marrony assim teríamos jogadores mais descansados,há 2 anos,2,1
"Nada pessoal, mas essa narração não rola... Não sei como a Globo e ESPN insistem tanto numa coisa com tanta desaprovação",há 2 anos,7,
O passe do ganso foi demais gênio !,há 2 anos,51,1
Paulo Henrique Ganso na seleção já.  É o meio campo que o Brasil precisa pra Copa 2022. Abre o olho Tite.,há 2 anos,30,2
"Ô narração medíocre do caralho. Mulher irritante, só a Globo mesmo pra deixar isso aí",há 2 anos,1,
Se não fosse a narração...,há 2 anos,5,
"Mais uma vitória, já são 13 gols de invencibilidade 🇮🇹",há 2 anos,70,1
"Que jogo feio, foi um clássico, a sorte é que fez um gol no começo do jogo pois só teve chutes de longe, deu sorte de novo.",há 2 anos,0,2
Não sei quem inventou essa desgraça. Narração mais lixenta e irritante que eu vi na vida.,há 2 anos,1,
emoção de você ficar surdo depois de um tempo,há 2 anos,0,
"Sport tv tava melhor, essa voz forçada acaba com o jogo.",há 2 anos,0,
