text,time,votes,replies
"Faaaaala, galera! 😎😎
O que achou da partida? 
obs: Já sei que vão elogiar a narração...HAHAHA
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano (editado),43,9
Boa meu Amêrica-MG 💚💚,há 3 meses,1,
"Que golaço, não tenhos palavra ""gol antológico""",há 1 ano,0,
Fazer Goool de Bicicleta virou Moda,há 1 ano,0,
Caraaa!!! Em 4 dias a nação atleticana tomou 2 gols de BIKE e na mesma trave!! 😮,há 1 ano,0,
Olha série b aí gente 🅱️🅱️🅱️👻👻👻👻😂😂😂😂,há 1 ano,0,
Gol do América estilo Pedro🚴 🖤❤️😂,há 1 ano (editado),1,
"Eu te agradeço, Senhor, pelo teu poder libertador e, no poderoso nome de Jesus, expulso de mim o maligno: espírito da depressão, de ódio, de medo, de auto-piedade, de opressão, de culpa, de falta de perdão e qualquer outra força negativa que tenha investido contra mim. Eu os expulso em nome de Jesus.",há 1 ano,0,
"Vergonha esse Athlético Paranaense! Kkkkkkkkkk Primeiro foi o Pedro dando uma bicicleta e eliminando o Athlético, agora é foi a vez do América. Kkkkk Putz, que vergonha meu!!!",há 1 ano,1,
O athletico paranaense está voltando,há 1 ano,0,
Na arena da baixada só vá se for de bicicleta viu,há 1 ano,0,
"Não sou esquerdista, mas no minuto 1:55 o pessoal tava imitando macac ? N é possível né",há 1 ano (editado),0,
Tô indo de bicicleta para a arena da baixada,há 1 ano,0,
A torcida do atlético Paraná    não suporta ver  uma bike !,há 1 ano,0,
"Se na chamada dos melhores momentos tem a foto do Pablo, então não houve melhores momentos.",há 1 ano,0,
"Que goleirao é esse do Américo, salvou o time diversas vezes, até quando o time falhou",há 1 ano,0,
urnas auditáveis urgente,há 1 ano,0,
"Jogadores do Atlético são muito fominha, vários jogadores livres para finalizar e eles arriscam o chute.. nossa..",há 1 ano (editado),1,
Jogar na baixada e sinal de gol de bicicleta do visitante kkkkk,há 1 ano,0,
"⚠️ Essa aí sim é a bicicleta 🚴 clássica, sou flamenguista mas a do Pedro foi uma puxeta",há 1 ano,0,
Narração melhor que de final de champions,há 1 ano,0,
Essa narração 🥶,há 1 ano,0,
Poize tá mas sem graça que piada de calvo,há 1 ano,1,
"@안토니오 ""자부르"" torcida gemendo oxi",há 1 ano (editado),0,
Melhor que o Galvão Bueno narrando final de copa 👍,há 1 ano,0,
Kkkkkkkkkkkkkkkk,há 1 ano,0,
