text,time,votes,replies
"O gol do Cebolinha foi bonito ou não foi?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,419,81
SUPER COPA DO BRASIL  TE  LEMBRA ALGO  MULAMBOS SEM ESTÁDIO 😂😂😂😂😂,há 4 meses,0,1
BOA EVERTON!!,há 10 meses,0,
Cruzeiro 🤍💙🤍💙🐐🐕🐐💙🐐💙🐐,há 1 ano,0,
"Tá vendo como santos era seguro...
Algo tá errado cm ele.",há 1 ano,0,1
O final é o melhor kkkk girafa de estimação  kkkk,há 1 ano,0,
Atletico Mineiro jogando como nunca é perdendo como sempre,há 1 ano,0,
Tô querendo ir na Sônia sem você você está pensando,há 1 ano,1,
O Flamengo é bom que nem o galo 🐓⚽️,há 1 ano,1,
"Gabigol x atlético mg
libertadores: 2x1
brasileirão: 2x2
copa do brasil: 1x2
KKKKKKKKKKKKKKKKKKKKKKKKKKKKK",há 1 ano (editado),0,3
Respeitem o malvadão..,há 1 ano,0,
Kkkkkkkkkkkkk isso aqui é flamengo porra 🖤❤️🖤❤️🖤❤️🖤❤️🖤,há 1 ano,0,
Vai Atlético Atlético flamengo tá demais o jogo hoje tô até bebendo refi e salgadinho com minha família inteira,há 1 ano,2,
"Será muito importante que os comentaristas de arbitragem ,passem a comentar sem protecionismo e corporativismo pois esse lance que sofreu o Ayrton Lucas foi no mínimo falta fora da área!",há 1 ano,0,
Galo virou galinha kkkkk,há 1 ano,6,
Flamengo batendo no Atlético como sempre,há 1 ano,0,
"A torcida do galo desapareceu, dps a torcida do Flamengo q é modinha, cade os anti??, Tô vendo nenhum.",há 1 ano,1,
Uma vez Flamengo...sempre flamengo...PARABÉNS! !!,há 1 ano,2,
"Que defesa do SANTOS 😍

Cebolinha 😍",há 1 ano (editado),1,
Bora biiiii8l,há 1 ano,0,
"Kkkkkkkkkkkkkkk nem com o time B as galinhas conseguem vencer do Flamengo


Só tenho uma coisa a dizer ""Eliminado""",há 1 ano,50,
ué cadê o Hulk? kkkkkkkkkkkkkkkkk chorão,há 1 ano,30,
"UMA VEZ VARMENGO, SEMPRE VARMENGO! O REI DAS ARBITRAGENS!",há 1 ano,25,
Oii,há 1 ano,6,
 @joaomarcelo933  Varinthians,há 1 ano,17,
 @joaomarcelo933  seis n paga nem a luz,há 1 ano,15,
bonito foi o roubo do flamengo,há 1 ano,6,
Foi bonito o Flamengo roubando a arbitragem,há 1 ano,10,
Sem ajuda da arbitragem não consegue,há 1 ano,8,
Gol normal de cabeça,há 1 ano,9,
VARmengo sempre assaltando o aliado da arbitragem,há 1 ano,4,
O choro e livre Corintiano sofredo,há 1 ano,7,
Gol bonito? 😲🤣🤣🤣,há 1 ano,5,
Só choro dos curintia,há 1 ano,5,
Ate o time Sub 10 e maior q o Patético Punheiro,há 1 ano,4,
Parabéns ao campeão Brasileiro,há 1 ano,1,
Cebixinha só faz gol contra time pequeno,há 1 ano,3,
O var como sempre ajudado o varmengo,há 1 ano,1,
" @cruzeiro3383  Como o CRUZEIRO, Atlético, São Paulo e etc",há 1 ano,0,
 @joaomarcelo933  salve o nanico!! o perdedo dos perdedo!!,há 1 ano,1,
 @cruzeiro3383  kkkkkkkk então ele vai meter gol num time nanico chamado cru🅱️zeiro,há 1 ano,1,
Não sei como time do Atlético toma um gol de un anão só pode esta de brincadeira,há 1 ano,0,
 @Jonathan-1990-  ganhou na camada de um gol de un anão  de cabeça,há 1 ano,0,
 @flamengo_online  não esquece que o Atlético foi campeão esse ano em cima do cheirinho,há 1 ano,1,
 @maxwelferreiradeoliveira1457  e hj em dia não vence nem do time B🗿🍷,há 1 ano,1,
 @CRF1895.  se eles subirem kkkkk,há 1 ano,0,
 @joaomarcelo933  chora não chorão aq no maraca vc6 vão ver. Diante 80 mil no.,há 1 ano,2,
