text,time,votes,replies
"Cala a boca seus otário
😡",há 2 meses,0,
😢😢,há 3 meses,0,
jogou muito Flamengo ❤️🖤,há 3 meses,1,
Bom demais 🤩🤩,há 1 ano,0,
O Águia ganha desse Goiás fácil fácil.,há 1 ano,0,
Yes!!! 😍😍,há 1 ano,1,
Zs0sssssedodds0swswosws0wswswewesoswspsddcmrwedxedkmspwdddeoeedsosecmrfowdedoereod3fr0rfrfo0eddccrdowded0dc9dcciedwpess0ssssss9ssssos,há 1 ano,0,
Soszzszznxe0x0qs ediw0dkxpswmdowxpapwmoid0wdked0dkxccjc9c0weke0q0sne0deod9eosdddedodcr0w0wdkerwdpedc mcdcicc0dxcrf0wdr9ce9dqdeoc0wodeceifecccwdefowdefefoefdocedwde9ds9dec0ddsodddsosdci20cwkxe0cwocw9dec9dc,há 1 ano,0,
A0aazwzpqsw0d2dpwzwxjpszzx9d0dxke0ddxndxoqse9xed0dekdpqswd0azmsdosxbxodsjxpasndodpxkxoz9sasssns9sowdxd9d0wd9qpqsmw92nd9qoams9w9seidd9sdajz2sosq0awjd9ssxdx9smwi9wie9se,há 1 ano,0,
Sowdspwxkwxoec0wxekecmwxwxpwpekxwcowxec wd9exxmozpskz0swoexpwkdapzeixwxazw0ssk expswspsxslaa0akzasozlzsmsodxoxoxdxis,há 1 ano,0,
um dos jogos que o Flamengo perdeu o título do Brasileirão de 2022...,há 1 ano,0,
Olha série 🅱️ 👻👻aí gente kkk tem jeito não os time pequeno vão cai,há 1 ano,0,
Oi,há 1 ano,0,
Brasileiro já era nação 🤡🤡🤡,há 1 ano,1,
vamos mengao,há 1 ano,0,
Vergonha do futebol até quando isso no futebol tem que ser na bola porraaaaaaa,há 1 ano,0,
Soerfowseerwskslss0zoapsowoqzkssa0aamsseoe0s0dei0wssesowsewsodrodrdrorfodd92r03eriroeowddieofoe9weodrfofroedo3ordf4oedpssodweoeedoddkoddrorwow9wwoe,há 1 ano,0,
"Só
Goiás  
Goiás 
Até 
Morrer",há 1 ano,0,
Wpzskswmsepxwnxiepxxkodkdpszdjdospsmwpsmxrckwkxecidoxrpw0dekxdlazdcirkqzoxfnvtdmc55rmgdnvd5spsekdoepswzopqaowhwowskaaow,há 1 ano,0,
Spsddoedsspesskedpaapekspssppssospssedpeks m uu8mvuvbtdnx5s.uc,há 1 ano,0,
Szpsxsdexe0wpszpws9w0sxs9wzpapk0xwsowzpwxxosx0wxjs9wox0szozsisx0wzxzkzpx0zxs0zps0zzksozsz0wzz0sxs0szzoszznxpospsoslszzosoosskzsozs9zw9zszsz9szs0zzoszpszzzzpzso0sszpsxks0zwozzjzpszlsopz0sk,há 1 ano,0,
Slzzsxlsxepqpsdldflwxazepecspzexd,há 1 ano,0,
Goiás 1x4 Atlético-GO,há 1 ano,0,
"Foi absolutamente NADA! Leo Pereira sequer toca no goleiro e sim na bola. O clubismo anti-Flamengo falando alto, qualquer coisinha interpretativa que seja a favor do Fla é sempre esse escândalo, aí quando tem erro contra a gente não falam porra nenhuma",há 1 ano (editado),0,
"VAR;  excelente muleta,  pra árbitro frouxo ....!!!!!",há 1 ano,0,
