text,time,votes,replies
"E Vai Corinthians! 💥Craque da partida, galera?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,282,74
Esse time do Corinthians era bom,há 3 semanas,1,
Vai Corinthians!!!!!!,há 2 meses,0,
Kassio foi o único goleiro até agora que nunca perdeu pro Coritiba.,há 6 meses,0,
"VENHO DO FUTURO PRA DIZER QUE O CORINTHIANS VENCEU DE NOVO O CORITIBA POR 3X1, A ÚNICA DIFERENÇA FOI QUE O RÓGER GUEDES E O WILIAN NÃO ESTÁ MAIS NO TIMÃO!👍🏻🙅🏻‍♂️🖤",há 11 meses,1,
E hj se repete 3 a 1 kkk meu freguês,há 11 meses,0,
🦅3x1💚,há 1 ano,0,
Adeus Roger 😓❤️,há 1 ano,0,
"00:14 Ai que susto pensei que ele ia falar palavrão Olha o susto pensei que ia falar ""vai tomar no cu"" não percebi isso que tinha acontecido",há 1 ano,0,
Bons tempos,há 1 ano,1,
O Curitiba simplesmente descontou esse resultado 😂,há 1 ano,0,
❤❤❤❤❤❤❤Corinthians,há 1 ano,0,
Coração que o Adson faz parece um crânio amassado,há 1 ano,0,
Eu fui eu tava😍,há 1 ano,0,
😁😁😁,há 1 ano,0,
"😏😏🙄😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏🙄😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏rbu5 vh556fh ht h  g6t5fy 6yutcgg55gfjvv7lk8n
 Tfhvuyüyvyuuybuybctnvnkpiy09987uti55444333 3422111wtvhhvcvhe5uti țytiu585i6j5
 Vc            ccc        cc                                                              htyghtuytht35edgbfrgrtuht bjvcjygtffuv755ftry7r5hgy7ir             ghtutuh   vthgythfyvg tdfb6f57ht ub                   g 6 bvgvyv7bvvmm9y tt jv9m.",há 1 ano,0,
Q temporada do gigante Cássio,há 1 ano,0,
COR [3] X [1] CFC,há 1 ano,0,
tinha até esquecido a raiva que esse jogo me fez passar,há 1 ano,0,
Que uniforme feio esse do coxa kkk. Parecia de amador,há 1 ano,0,
Corinthians time pequeno,há 2 anos,5,
