text,time,votes,replies
"Fala, torcedor! Defina a atuação do Tadeu em uma palavra!🟢⚪
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,40,8
Romero joga muito Série B 2024 Goiás 💚💚,há 3 meses (editado),1,
"ATLETICO-GO X GOIAS NA CAZE TV


NARRACOES E COMENTARIOS DE

BRUNO CANTARELLI
BELLE SUAREZ
GUILHERME BELTRAO
MONIQUE VILELA
ANDRE BASTOS",há 10 meses,0,
Aqui é Força Jovem,há 2 anos,2,
Tamo junto goias sempre 👏👏,há 2 anos,2,
Goiás perdeu 2 gols feito,há 2 anos,0,
"Futebol imprevisível. O Atlético vive um bom momento, é melhor, jogou com um jogador a mais quase o jogo inteiro, mas... clássico é clássico. Parabéns Goiás! Só achei um exagero o segundo amarelo do jogador do Goiás.",há 2 anos,2,
que gramado bonito,há 2 anos,1,
ATLÉTICO-GO 0X1 GOIÁS,há 2 anos,0,
kkkkk mano gramado de bomba patch bem limpo,há 2 anos,2,
Belo estadio simples e charmoso,há 2 anos,1,
Cara que gramado é esse esta um tapete !,há 2 anos,0,
"Atlético goianiese e Cuiabá são times muito jovens, uma ascensão que logo passa !",há 2 anos,1,2
Goias,há 2 anos,0,
Boa vitoria do Goiás,há 2 anos,1,
"Atlético massacrou o Goiás no começo ao fim, pô!",há 2 anos,0,1
Léo pereba Luis Fernando e churin vão ganhar de quem como ? Fala sério,há 2 anos,1,
MAIOR DO CENTRO OESTE BRASILEIRO,há 2 anos,1,
Goiás vice,há 2 anos,0,
O melhor gramado do Brasil cara parabéns. .,há 2 anos,3,3
Tadeus 👐,há 2 anos,3,
Sou tocedor do Botafogo e Brasil mais foi boa atuaçao de Tadeu do Goiás,há 2 anos,4,
 @carluciodoamaralsuzuki8719  já vem jogando bem há alguns anos!,há 2 anos,0,
 @rafaelsantanaferreira5997  tem sido muito importante pro Goiás!,há 2 anos,1,
 @clientecard6937  goleiraço!,há 2 anos,1,
