text,time,votes,replies
"Faaaaaala, galera! Qual o lance mais bonito da partida? obs: acho que já sei o que vão dizer...  ⚽⚽
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,92,28
Ceará time pequeno,há 10 meses,0,
"Toca no calleri que é gol, vamos São Paulo esse ano é nois na final ❤🤍🖤",há 11 meses,0,
quando saiu esse gol do calleri eu gritei mais do que tudo,há 1 ano,0,
Vamos 🤩🤩,há 1 ano,0,
🤔🤔🤔,há 1 ano,0,
"Tudo favoreceu o São Paulo aí, arbitragem, jogador a mais, está ganhando desde o 1° tempo e a má fase do ceará!",há 1 ano,0,
tome,há 1 ano,0,
Não deveríamos ir mas no estádio o clube é gigante mas hj esse time todos os 11 fizeram feio foi foda,há 1 ano,0,
"Dizia um velho deitado...
Quem rouba sempre perde kkkk",há 1 ano,0,
Arbitragem passou todo o jogo beneficiando o são Paulo. Pênalti claro pro Ceará não marcado.,há 1 ano,0,
"Sou corintiano mas o ataque do são paulo é forte,só precisa melhorar a defesa,que tomou muitos gols nesse brasileiro,com jogadas bobas...",há 1 ano,0,
NOÓS TODOÓS TRICOLOGUÊS DO MOGUMBAÁ ADOGAMOÓS OS BOFES MAGONBAÁS E OS BOFES DA SAÚDE,há 1 ano (editado),0,
"Luciano é engraçado vi-o o. Calleri fez tudo sozinho tem que finalizar mesmo.
Luciano reclama demais em horas que não tem porque.",há 1 ano,0,
o pablo maia chuta bem de fora da area ein,há 1 ano,0,
"Salve galerinha do bem
Convido todos a conhecerem o canal do Bob Navarro aqui no YouTube
Cristo já está entre nós 🙏❤️
A esperança vive ❤️🙏
Deus abençoe a todos 🙏❤️",há 1 ano,0,
Pq o são Paulo não compra o Diego do flamengo,há 1 ano,0,
São Paulo é pai do Ceará🤙🏼,há 1 ano,0,
"Através dos pôsteres um médico jovem aprende sobre extração forçada de órgãos
Um médico jovem que compareceu à exposição de pôsteres disse que certa vez leu um relatório sobre uma criança na China cuja córnea foi secretamente removida. A criança ficava perguntando por que sempre estava escuro. O médico ficou intrigado: ""Como algo assim pode acontecer?"". Ele tinha um dia de folga e o local da exposição de pôsteres era próximo, então ele decidiu visitá-la para saber mais sobre a extração forçada de órgãos na China.

Um praticante do Falun Gong que se ofereceu para explicar os pôsteres aos visitantes disse ao médico que a extração de órgãos é um negócio lucrativo na China e que os oficiais do PCC traíram suas consciências ao participarem desses crimes. Foi assim que a córnea da criança desapareceu.

O praticante também disse ao médico que muitos praticantes do Falun Gong, ao serem detidos, foram submetidos a exames para ver se o sangue e tipo de tecido correspondiam aos das pessoas que buscavam transplantes de órgãos. Os praticantes poderiam ser mortos a qualquer momento para atender à demanda e seus corpos seriam cremados enquanto ainda estavam vivos para destruir as evidências dos crimes.

O pôster que ganhou o prêmio de ouro retratava pontos cirúrgicos feitos às pressas. O médico disse: ""Esta não é uma operação normal e profissional. É como atropelar o corpo humano!"".

O médico já viu uma mãe e seu feto expostos em uma exposição corporal. Ele se perguntou quem consentiria que esses corpos fossem transformados em espécimes para exibição. Depois de ver os pôsteres, finalmente, ele entendeu que as partes do corpo dos prisioneiros na China foram extraídas à força.

Ele pegou algumas informações adicionais sobre a extração forçada de órgãos e disse que queria contar a seus amigos sobre isso.",há 1 ano,0,
Boa Igor Gomes isso aí,há 1 ano,1,
Concordo,há 1 ano,1,
O passe do Marcos Guilherme,há 1 ano,4,
" @gabrielhenrique3780  Vdd, Ceará jogou mais no UFC, só batia",há 1 ano,6,
 @gabrielhenrique3780  it is the life :),há 1 ano,1,
Sao paulo maior do brasil,há 1 ano,5,
O jogo mais rouba da história  do brasileirão,há 1 ano,2,
Ceará jogou mais o São Paulo ganhou na cagada,há 1 ano,1,
 @viniciuscarvalho8193  concordo é a vida mesmo,há 1 ano,1,
