text,time,votes,replies
Goiales,há 1 mês,0,
Romero joga muito Série B 2024 Goiás 💚💚,há 3 meses,1,
Pedro Raul jogava muito!,há 10 meses,1,
Parabéns jorginho você conseguiu,há 1 ano,1,
Dá-lhe verdão esmeraldino do centro oeste,há 1 ano,0,
esse estadio de bosta nao fica pronto nunca?,há 1 ano,0,
🇳🇬,há 1 ano,0,
Que lindo ver o verdão ajudando no rebaixamento das lagartixas 😂😂😂,há 1 ano,0,
Kkkkk esse atlético Go MERECE CAIR PARA SERIE B DEMITIU O TECNICO .,há 1 ano,0,
"v,   z,",há 1 ano,0,
Jorginho agora vai reclamar de quem pela demissão???? Treinador horroroso e quer criticar o trabalho dos outros...,há 1 ano,0,
"Marquinhos Gabriel chegou e arrumou o Goiás,como joga esse cidadão!😱😁👍",há 1 ano,2,
Bonito o gramado,há 1 ano,1,
Dois times ruins de bola meu Deus,há 1 ano,0,
F.j.g 😎🍀🇳🇬🚀,há 1 ano,1,
"Calanguinho ficou no lucro,era pra ficar no mínimo 4 a 1,juiz mais var anulou gol legítimo do Goiás do artilheiro Pedro Raul, estão anulando vários gols do Pedro Raul, será q não querem ele artilheiro?sei não, imprensa aq geral disseram q gol mal anulado,q foi legítimo,pra q tá servindo var,ele chamou o juiz o var,!qd marca o time do Atlético goianiense eles entregam tudo, não rendem,zaga a mãe do campeonato,Goiás das ostras vezes vacilou e não marcou,mas dessa vez marcou resultado 👍 6 pontos do calango na série A, ganhamos no campo deles e no nosso!",há 1 ano (editado),1,
"Jorginho se preocupa com o Abel ferreira,e afundou o time dele.",há 1 ano,0,
Jorginho o senhor dos rebaixamentos 🤫,há 1 ano,0,
Força jovem Goiás a maior torcida organizada do centro oeste  🇳🇬,há 1 ano,1,
Goiás o maior do centro oeste   🇳🇬,há 1 ano,0,
Atlético go vai apanhar do são Paulo em cs kkkk,há 1 ano,1,
Jogão⚽️🥇,há 1 ano,1,
Jorginho kd vc?,há 1 ano,0,
narrador filtragem,há 1 ano,0,
Como o Goiás está jogando bem nesse campeonato e vive grande momento para se escapar no rebaixamento pois o time vivia uma grande crise apesar também do salário financeiro para o time mas não podemos dizer que esse time está jogando demais e cada vez mais se afastamento na zona. Parabéns ao técnico que vive fazendo o grande trabalho para esse clube.,há 1 ano,3,
"QUE A CBF ACABE, FECHE AS PORTAS, que façam a liga independente, esse tipo de bode expiatório tem que acabar no futebol Brasileiro, AlÔ FIFA Nos Socorram! paralise esse campeonato imediatamente, estão sacaneando o Goiás jogo após jogo, todo jogo tem uma irregularidade gritante!",há 1 ano,0,
Marquinhos Gabriel á melhor contratação alviverde joga muito💚,há 1 ano,3,
Jorginho levou um pé na bunda. Não é técnico qualificado. . Tá demitido.,há 1 ano,1,
Goiás 💚,há 1 ano,1,
Estudiantes teve um gol anulado parecido com esse segundo,há 1 ano,0,
De vdd At. Goianiense vai cair.... Goiás jogando muito,há 1 ano (editado),2,
Vamo verdão,há 1 ano,1,
"E o Abel Ferreira foi um ótimo amigo, do Jorginho! Avisou o que ele tinha que fazer. Ele não quis dar ouvidos. Ora pois, está a ser demitido. Rsrsrsrs.",há 1 ano,2,
Goiás derrubou o jorginho,há 1 ano,2,
jorginho ficou bravo na entrevista porque ninguem perguntou do abel ferreira e fizeram so pergunta sobre o jogo,há 1 ano,1,
"Impedimento é o caralhо... Tiraram um gol legítimo do Pedro Raul. Mesma linha, vergonha!",há 1 ano,1,
Alguém saber ser o Atlético go jogou com reservas?,há 1 ano,1,1
E QUE HORA O JORGINHO FOI ALFINETAR O PALMEIRAS,há 1 ano,0,
