text,time,votes,replies
"Mais um jogão hoje! Ceará vai supreender no campeonato? Vai brigar pelo quê?
🌟Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,432,197
So vim por esse placar esquisito,há 2 semanas,0,
Boa meu Palmeiras 💚💚 🏆🏆🏆🏆,há 3 meses,0,
"Esse jogo me encheu de esperança, mais os problemas começavam a crescer e o Ceará caiu.",há 5 meses,0,
Que Saudade Desse Ceará O Time Ganhava Do Palmeiras E Até Mesmo Do Corinthians Pena Que Na Série B De 2023 Não Conseguiu O Acesso 😢,há 8 meses,3,
😢😢😢😢😢😢,há 8 meses,0,
"esse jogo foi so pra iludir no final foi Palmeiras campeao e Ceara rebaixado, é foda torcer pro ceara, pq o time nao só perde, ele perde te iludindo",há 9 meses,1,
Eu vendo esse vídeo em 2023 e constatando a desgraça que fizeram com o Ceará em menos de 1 ano.,há 10 meses (editado),3,
Obrigada 🤩🤩,há 1 ano,0,
Quem diria que Ceará seria rebaixado após ser abandonado pelo Dorival E Palmeiras campeão brasileiro desse campeonato,há 1 ano,4,
So quem ganha ai dentro eo vozao,há 1 ano,0,
Dorival pai do parmerda,há 1 ano,1,
UM FOI CAMPEÃO E O OUTRO FOI REBAIXADO,há 1 ano,0,
Saudades do Vozão na A,há 1 ano,2,
"mesmo depois da derrota de hoje , ceará foi o único que amassou o palmeiras dentro de casa , nesse dia aí o verdão teve sorte era pra ter tomado uns 5 ou mais , até nas estatísticas ceará foi superior.",há 1 ano,0,
"O Ceará só caiu por causa do esquema de aposta 😢😢😢 , esse time top o Fortaleza nem andava era só peia ,",há 1 ano,0,
Vai amo 🤩🤩,há 1 ano,1,
Advinha quem caiu pra serie b kkk,há 1 ano,0,
Cachaça ali oh na tela😒,há 1 ano,0,
"Vim do Futuro pra dizer que essa merda tá na série B,kkkkk",há 1 ano,1,
Libertadores,há 2 anos,19,
VARMEIRAS TIME MINÚSCULO LADRÃO TENTARAM GANHA ROUBANDO MESMO ASSIM FORA HUMILHADOS NANICOS😂😂😂😂😂😂😂😂😂😂😂😂,há 2 anos,0,
VARMEIRAS TIMECO MINÚSCULO SEM MUNDIAL 😹😹😹,há 2 anos,27,
NEM ROUBANDO ESSE TIMECO CONSEGUE 🤣🤣🤣🤣🤣🤣🤣,há 2 anos,32,
Liberta esse ano,há 2 anos,7,
Cara o juiz enrolou muito a gente uma das piores arbitragens que já vi deu um pênalti pro Palmeiras e não foi nada e também teve só cartão vermelho pro lado do ceara uma vergonha isso precisa melhorar muito os árbitros do Brasil,há 2 anos,21,
Eu já assinei ge,há 2 anos,9,
Vai ser campeão  da sula e acabar o brasileiro entre os 5 melhores......,há 2 anos,14,
"Libertadores, entre os 6 primeiros.",há 2 anos,9,
SEM MEU PÊNALTI EU NÃO CONSIGO 😭,há 2 anos,17,
nada,há 2 anos,4,
Se jogar assim forte candidato ao título da sul-americana,há 2 anos,9,
 @futebolbr9438  É uma vergonha esses juiz do Brasil podia deportar todos para Rússia,há 2 anos,4,
"Parece que os ""super-técnicos"" portugueses tão tendo dificuldades no ""campeonatozinho brasileiro""...",há 2 anos,8,
Campanha pra que o sportv/premiere tire esse placar horrivel,há 2 anos,8,
 @israelribeiro888  kkkkk concordo 😂,há 2 anos,5,
Esse jogo foi uma polêmica juiz ladrão,há 2 anos,6,
 @wellingtonpineda3559  vdd,há 2 anos,2,
" @RaidoNascimentosSilva  , meu amigo, seja sincero! e admita: o time do Ceará é casca grossa, e não é de hoje! O galo que se cuide! Já o menguinho, tem mesmo é que desmontar aquele clube de soberbos e formar uma nova equipe, com pelo menos metade de novos jogadores! Aquele gabigol, o bicho é besta demais!!!!",há 2 anos (editado),7,
Palcachorra era pra ter tomado 5,há 2 anos,2,
"NEM COM AJUDA DO VAR, O SEM MUNDIAL CONSEGUE VENCER 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂",há 2 anos,5,
"Tá cedo pra falar, foi só a primeira rodada kkkkk",há 2 anos,3,
 @BOLSONAROHEROIDOBRASIL  e o seu time? Deve ser muito ruim já que nem fala nele kkkkkk,há 2 anos,2,
" @coringaomilgrau9425  e o seu time? Vai lutar pra não cair esse ano, gambá kkkkk 😂😂😂",há 2 anos,3,
" @futebolbr9438  tú nasceu cego, comedor de farinha?",há 2 anos,0,
 @coringaomilgrau9425  é  o  cortinas  ?😂😂,há 2 anos,2,
 @BOLSONAROHEROIDOBRASIL  chora mas a gente é o time do Brasil,há 2 anos,2,
 @coringaomilgrau9425  timeco é seu time não ganhar nada,há 2 anos,2,
 @jariska6154  JÁ COMEÇOU A CRISE NAS PEPPAS KKKK RUMO AO TRI DA 🅱️😆,há 2 anos,3,
"O palmeiras nao tem rival
O palmeiras nao tem rival 
Kkkkkk",há 2 anos,3,
Vai brigar pra ir a libertadores,há 2 anos,3,
Meu time é meu time fodasse e nois kk,há 2 anos,2,
PQP! Tira essa Porra e Horrorosa Linha do Tempo da Tela Globo! Nem no Campeonato Indiano tem essa merda ai. Pensava que minha Tv tava com defeito!,há 2 anos,0,
Pra não cair,há 2 anos,2,
Brigar pelo Rebaixamento,há 2 anos,2,
pra nao cair,há 2 anos,2,
Famoso Z4 kkkkkkkk,há 2 anos,2,
"Time que gosta de retranca, qdo tem que sair pro jogo, se complica! Algumas vezes ganha na sorte!",há 2 anos,2,
Cruzeiro é un pau do cu,há 2 anos,0,
O PALMEIRAS NÃO TEM MUNDIAL 🟢,há 2 anos,3,
Esse placar aí não ficou legal não,há 2 anos,3,
Ou esses novos formatos de relógio do SporTV e do Premiere,há 2 anos,2,
Mundial,há 2 anos,2,
 @coringaomilgrau9425  qual time?,há 2 anos,2,
" Joao Paulo Alencar  Vdd, se o SPFC jogasse assim no Allianz, ia ganhar o título",há 2 anos,2,
" Joao Paulo Alencar  Desculpas.,João, eu não me expliquei direito! Estava falando do PARMESÃO! Do seu Abel retranqueiro! Foi um mal entendido!",há 2 anos,1,
" @rafaeljoecole8335  E pelo jeito, vai demorar um tempao pra ganhar um! KKK",há 2 anos,0,
Há antis fãs do verdão o Ceará jogou melhor que vcs. Iiii libertadores eu so tri brasileirão nem vou falar copinha eu ja ganhei nós estamos em outro patamar 2 títulos já,há 2 anos,0,
"É  MELHOR  GANHAR  FORA, DO QUE PERDER  EM CASA NÉ? TÁ COM INVEJA DA SELEÇÃO  DO CEARÁ  É? TRICOLOR!",há 2 anos,1,
"Nunca vão ter mundial, esse time sem alma que precisa de dinheiro da CREFISA",há 2 anos,0,
"Vai pagar as marmitas caloteiros invejosos. Vcs tem que ter respeito com o goleiro gigante de vcs, ô gambá kkkkkk",há 2 anos,0,
 @coringaomilgrau9425  yþtýtýttyyyy,há 2 anos,0,
"Tirem essa linha do tempo da tela, tá ridículo",há 2 anos,0,
O Ceará tá mais  rápido  do sinboldi,há 2 anos,0,
 @coringaomilgrau9425   cês vão lutar pra não cair kkk tá falando o quê gambá? kkkkkk,há 2 anos,0,
 @coringaomilgrau9425  o campeonato começou agora seu fumeiro kkkkkk,há 2 anos,0,
" @wagnerdeoliveira4568  cavalo paraguaio, daqui a pouco começa a perder as forças kkkkk",há 2 anos,0,
"Vai Brigar pra Ficar entre os 10 melhores do Brasileiro, VOZÃO TOC Cearamor👊👊👊",há 2 anos,1,
"Vocês fizeram uma cagada com essa linha ai, ta horrível, volta com o tempo clássico de mostrar os minutos, essa forma ta horroroso",há 2 anos,0,
Pior a torcida que lotou estádio achando que iria ganha kkkkkk,há 2 anos,0,
 @robertorocha1321  que Deus te ouça,há 2 anos,0,
 @wellingtonpineda3559  eu assino embaixo,há 2 anos,0,
Ceará vai supreder sim e vai brigar por vaga Na copa Sul Americana,há 2 anos,0,
Libertadores,há 2 anos,0,
Surpreender,há 2 anos,0,
ßmßs,há 2 anos,0,
Essa listra na tela ficou horrível,há 2 anos,1,
 @BOLSONAROHEROIDOBRASIL  bilionário que joga porra nenhuma (Palmeiras),há 2 anos,0,
" @etiehnenavarro7622  sabe de nada,vai ganhar porra nenhuma esse ano nem libertadores vai escapar!não vai passar das quartas de final",há 2 anos,1,
 @coringaomilgrau9425  não vai passar das quartas de final da libertadores!,há 2 anos,0,
com certeza depois de amassar a porcada G5 tranquilo kkkkk,há 2 anos,0,
