text,time,votes,replies
Manipulação q o Textor falou é esse apagão? Hahahahah foram no interruptor e acabaram com a partida então,há 5 meses,0,1
Botão de quem veio ver a manipulação -----------),há 5 meses,7,
Gol mal anulado,há 11 meses,1,
Eita,há 1 ano,0,
Pal 0-0 For😅,há 1 ano,1,
Nicolaa,há 2 anos,0,
"sou santista , mas esse zagueiro do palmeiras Luan é muito fraco , gomez não merece ter um parceiro de zaga como esse",há 2 anos,1,
44:12 esqueceram de pagar a conta de luz,há 2 anos,0,
Oxi do nd falta energia .kkkkkk,há 2 anos,1,
Parmalat só passa vergonha...,há 2 anos,0,
Liga a lanterna fortaleza,há 2 anos,0,
Esse goleiro do Fortaleza pega demais,há 2 anos,0,
não torso para o palmeiras e nem pro Fortaleza mais a lanterna do rebaixamento do Fortaleza não aguentou que se apagou kkkkkkkkkkkkk,há 2 anos,0,1
Lucas crispim joga muito,há 2 anos,0,
Jogo horrível!,há 2 anos,0,
2:03 caneta medonha do Rony no Abraão,há 2 anos,0,
fortaleza acende a lanterna ae,há 2 anos,0,
"Esse é o mesmo Fortaleza que perdeu de 3x0 na libertadores???
Ue na hora de decidir e fraco, mas qndo aparece um time grande , eles qrem fazer até de mais",há 2 anos,0,
Ooo ARAGÃO  KKKKK,há 2 anos,1,
"Breno Lopes pensa num jogadorzinho ruim , se não fosse aquele gol na final da libertadores já teria sido vendido pra um time sem expressão",há 2 anos,0,
"Deu explosão num transformador na rua, teve até filmagem, doidão. Textor não seria imbecil assim",há 4 semanas,1,
Se apagou tanto que o time fez o melhor segundo turno da história 😂,há 4 semanas,1,
Os cara não sabe fazer gol não não sabe tirar do goleiro finaliza de cabeça baixa na minha época o treinador mandava tirar o colete na hs,há 2 anos,0,
Só tem cearense achando que o jogo foi dos goleiros KKKKKKKKKKKKKKKKKK os cara perdem cada gol por isso só tem time pequeno la,há 2 anos,0,
"Esse time do fortaleza nao merece estar na serie A desse jeito. Pikachu faz de tudo pra manter eles vivos, mas esse gol perdido ao 1:04 é uma demonstração de insuficiência de elenco e treinador",há 2 anos,0,1
Jogaço⚽️,há 2 anos,2,
"O goleiro do Palmeiras mistura futebol com religião, acha que deus se envolve em futebol e ajuda ele.  Isso é uma vergonha num país onde  pastores se aproveitam da fé de idiotas e enriquecem negociando seus votos ou  vivem vidas de luxo as custas dos crentes imbecilizados.",há 2 anos,0,
"Roubaram o Fortaleza, é sempre assim contra os times do nordeste, tá difícil os ""árbitros"" favorecendo os clubes do Sul e Sudeste e os times de maior fama, depois vão disputar o mundial, onde não tem roubalheira e o timeco beneficiado pela arbitragem perde feio.",há 2 anos,0,
Palmeiras esta intregando o Brasileirão para o curintia.,há 2 anos,0,
"Esse jogo deve entrar pra história, co.o o jogo mais bizarro que teve. Um jogo que envolve o líder com o lanterna, aí acontece um apagão mas se era o jogo do lanterna, o pior que pode acontecer era a lanterna estar sem pilha, e foi isso que aconteceu. O mais absurdo é uma briga de torcidas organizadas, tanto na entrada como na saída do mesmo time(no caso do lanterna sem pilha)*, e os caras agridem e roubam os mesmos caras da mesma torcida, que vergonha isso, nunca tinha visto. Esse truquezinho de show pirotécnico é mosaico, no período do jogo, já virou arma do lanterna, pior que já tá manjado, e a CBF não toma uma atitude, isso é mais vergonhoso ainda.",há 2 anos,0,1
luan não dá mais,há 2 anos,0,
Agora temos um Goleiro deverdade,há 2 anos,0,
Breno Lopes MT bom,há 2 anos,0,
Moisés é fominha..,há 2 anos,0,
Essa Canhotinha do Scarpa é show joga demais,há 2 anos,0,
Kkkkkkkkkkkkkkkkkkkk,há 2 anos,0,
Esse jogo merecia gols.,há 2 anos,0,
O galo mais o palmeiras jogam combinado,há 2 anos,0,
o meu cartola agradece!,há 2 anos,0,
Outra derrota... esquece a liga...,há 2 anos,0,
SEGUE NOIZ 💚🍻🐖🐖🐖🍀,há 2 anos,0,
"Que partida horrível essa do Palmeiras, tá tirando o pé do brasileiro!!",há 2 anos,0,
Merece kkk,há 4 semanas,0,
Chooora,há 4 semanas,0,
fernando miguel nao pode ser reseva nesse time...,há 2 anos,0,
Vai perder gol assim lá na casa do c....,há 2 anos,0,
Weverton vem ser feliz no mengão,há 2 anos,1,
"Dois times pequeno do mesmo nível
Ótimo jogo, parabéns",há 2 anos,0,
"Vendo assim até parece que o jogo foi bom, que jogo horrível!",há 2 anos,0,
O Fortaleza amassou as Peppocas do Chelsinha...,há 2 anos,0,1
O Matheus Vargas é Tão Ruim que ainda tem o Azar da bola pegar na mão dele. Meu Deus.,há 2 anos,0,
Foi um golaço do zé welison  mas juís errou se não fosse o juiz Nois ganhava,há 2 anos,1,
Que assalto da porra kkkk essa porcada nao tem vergonha na cara msm,há 2 anos,0,
"Se quer ser campeão, não deveria perder dois pontos pra um time que vem bem mal na competição, nao pode palmeiras",há 2 anos,0,
Palmeiras tá flertando com o azar,há 2 anos,0,
"Melhor lance do jogo, quando a luz acaba!",há 2 anos,2,
Ll,há 2 anos,0,
Como tem jogador forminha não pensa na equipe só neles,há 2 anos,0,
Duelo de goleiros,há 2 anos,0,
Isto daí foi maior migué de desligarem a luz fizeram isto por que sabiam que se tivessem mais jogo iriam se complicar mais ainda 🤣🤣🤣,há 2 anos,0,
"Fortaleza maior exemplo que bom futebol não ganha, o que ganha no futebol é a competência!!!!",há 2 anos,0,
Roubaram o Fortaleza,há 2 anos,2,
"Gol mal anulado, já passou em vários locais q foi mal anulado, juízes estragando o futebol",há 2 anos,0,
Imagina o golaço que num seria do Breno Lopes se ele tivesse acertado,há 2 anos,2,
"Se tivesse amassado teria sido superior, ambos os times foram terríveis, inclusive o atual bicampeão da américa",há 2 anos,0,
"O melhor momento foi quando acabou a luz.
Abel tropeçou no fio da tomada para não passar mais vergonha.",há 2 anos,0,
fortaleza finaliza muito mas nao consegue fazer gol slc kkkk,há 2 anos,0,
O jogo foi tão bom que rolo choque que apogou a luz,há 2 anos,1,
Anulação do gol foi no minimo incompetencia do juizinho.,há 2 anos,1,
Se não fosse o toque de mão do Fortaleza o Fortaleza teria ganhado de 1 x 0 das porcas! ! !,há 2 anos,1,
