text,time,votes,replies
"Fala, pessoal! Conta aqui, o que acharam desse gol no final?⚽
🌟 Assine o Premiere por a partir de 12x 29,90: https://bit.ly/3uuE0kN",há 2 anos,52,2
FLUMINENSE SABE SER RUIM MISERICÓRDIA KKKKK,há 1 ano,0,
Vitória de suma importância,há 2 anos,0,
"""Cadê o troféu de craque do jogo?""
- Paulão",há 2 anos,0,
Esse jogo foi tão bom que os comentaristas começaram a falar da novela Pantanal ao vivo,há 2 anos,0,
Quem é esse inimigo do humor no fim do vídeo?,há 2 anos,0,
Qual o nome do narrador? Achei top,há 2 anos,0,
"Paulão sempre esquece de que é defensor e não atacante.
Esse é o preço de tê-lo no seu time.",há 2 anos,1,
Paulão humilde fez gol pro adversário,há 2 anos,0,
"3 pontos pro Flusão, poupou vários jogadores e ainda sim ganhou um time que vai ser difícil de ser batido jogando em casa, mas ainda falta muito pro Flu jogar um futebol digno do elenco que tem...",há 2 anos,0,
Esse jogo teve cara de série C ....conhecidencia?,há 2 anos,0,
"A jogada do gol foi trabalhada não foi gol cagado, pois tinha dois jogadores do Flu para fazer o gol, mas o jogo foi horrível, os jogadores do Flu tinham que ter vergonha, se está ruim está pra geral para o Bragantino, Atl. Mineiro, América MG etc.. todo mundo está viajando e jogando no meio e no fim de semana, porém o futebol de todos flui e evolui, mas o do Flu regride principalmente os dos laterais que estão sobrecarregados porque não sabem ser alas.
Marlon deveria jogar na esquerda, Pneida na direita e o Calegari deveria ir para a reserva dos volantes.",há 2 anos,0,
"Atacantes de velocidade urgente! Willian Bigode toda vez que é para puxar um contra ataque ele da uma de migué e corta para o meio ou para trás porque sabe que dua velocidade acabou isso é visível r a diretoria não consegue enxergar isso vão ser burro assim onde o gato perdeu as botas, um atacante de velocidade urgente que seja de 25 anos pra trás chega de velharia pelo amor de deus.",há 2 anos,0,
Presta atenção no serviso Paulão,há 2 anos,1,
Vai Corinthians,há 2 anos,1,
"PO CUIABA TEM QUE TIRAR ESSE ANDRE CACHACEIRO DO TIME CARA MORTO DA PORRA, SABE NEM FINALIZAR",há 2 anos,0,
"Kramba nem sabia que o Valdivia tava no Cuiabá, mlk bom de bola",há 2 anos,0,
Culpa do Paulão kk,há 2 anos,0,
Flu,há 2 anos,0,
Esse cara no final é muito sem graça...faz mais isso não GE....ele é muito ruim.👎🏽,há 2 anos (editado),0,
Que sufoco,há 2 anos,2,
Gol bizarro que paulao fez,há 2 anos,2,
"Gols dos cariocas no Brasileiro
Flamengo: 4
Botafogo: 4
Vasco: 2
Volta redonda: 2
Flumerda: KKKKKKKKKK OLÍMPIA",há 2 anos,1,1
Paulão sendo Paulão kkkk,há 2 anos,0,
Wow esse jogo foi tediante mais engraçado kkkkkkk,há 2 anos,0,
Teve n,há 2 anos,0,
Esa merda do var tá aí pra que,há 2 anos,0,
Pora será q vai continua o juiz roubar contra o Cuiabá que nem teve o ano passado,há 2 anos,0,
Villani cheio das melismas,há 2 anos,0,
"Vlw,Paulão!",há 2 anos,0,
Olha série 🅱️🅱️👻👻🤣😂🤣,há 2 anos,0,
"esse cara do filnal tenta ser engraçado coitado, mas acaba sendo um idiota!!!!",há 2 anos,0,
Que bobeira incrível do Cuiabá finalzinho esse ponto perdido .do Cuiabá .pode ser determinantes para o rebaixamento,há 2 anos,0,
Repararam que o Paulão sofreu falta e só por isso houve o gol contra?,há 2 anos,1,
2:09 foi penalty ou não???,há 2 anos,0,
"Parabéns meu segundo time Cuiabá,a vitória não  veio ,mais vejo um excelente time w só  tem a crescer...",há 2 anos,1,
Flu,há 2 anos,0,
"Que vacilo do zagueiraoo kk.. Fazer oq, é a vida e acontece  !!",há 2 anos,0,
Esse cara que pareceu no final tem deficiência  na fala ?,há 2 anos,0,
Torcedores do fluminense gozando com o pau do Paulão.,há 2 anos,0,
Como esse Paulão gosta de fazer gol contra kkkkkkkkk.,há 2 anos,0,
"Não existe gol cagado contra 
Existe o famoso Gol dado sem querer
Pela falha de posicionamento do zagueiro .
Esperto foi que ""chutou"" o cruzamento 
O famoso dá-lhe bicuda que bate em alguém que entra .
E pior que foi logo no finalzinho kkkkkk",há 2 anos,0,
Volta Redonda não está jogando o Campeonato Brasileiro,há 2 anos,0,
"Mesmo se o Paulão não bote na bola , tinha dois jogadores do Fluminense prontinho pra empurrar pra o gol",há 2 anos,1,
"gostei do nível desse jogo. era do campeonato peruano, né?",há 2 anos,0,
"Tô falando que esse time do Fluminense é só enganação , questão de tempo para ir para o G4 de baixo da tabela kkkkkk",há 2 anos,1,
"É só dar pro Paulão que ele entrega.
Não aei pra que contratam um cara desses.",há 2 anos,0,
"Esse time do Fluminense só iludiu o time com o título do carioca e da Guanabara, com aquela sequência de vitórias, perdeu para o Olímpia, perderam para o Júnior Barranquila",há 2 anos,1,
"""Jogo lindo"" 
Abel Braga 2022",há 2 anos (editado),1,
Paulão Ferrou com meu pitaco kkkkkkk,há 2 anos,0,
CUIABÁ 0X1 FLUMINENSE,há 2 anos,0,
Que uniforme é esse do Fluminense?kkkkkkk paulão fazendo gol contra é fd,há 2 anos,1,
"O Fortaleza perdeu pra esse Cuiabá? Pqp. Achei que seria um jogo mais difícil, fluminense com time misto e em má fase tomou nenhum susto isso com o Cuiabá jogando em casa",há 2 anos,2,1
Simplesmente o Maguire Brasileiro,há 2 anos,0,
"Paulão aposta na vitória do Fluminense no Sporting bet
Paulão nós acréscimos do segundo tempo : "" essa vai ser minha maior vigarice """,há 2 anos,0,
que joguinho feio,há 2 anos,1,
