text,time,votes,replies
Boa meu Corinthians Cássio 🖤🖤,há 3 meses,1,
Yes sir 🤩🤩,há 1 ano,1,
Isso é lei do retorno seu passado te condena.,há 1 ano,0,
"O árbitro tentou roubar de novo o Corinthians no jogo contra o Ceará, a bola bateu no braço e o juiz não deu pênalti mesmo assim a arbitragem não impediu do Yuri Alberto fazer o gol da vitória do Corinthians",há 1 ano,0,
"VAI CURINGÃO' ! ... . TIMÃO,CORINTHIAAANS""' ... .",há 1 ano,0,
Tá loco ..... como podemos ter sido prejudicado tanto deste jeito ..... é  contra o flamengo .... contra o Goiás...... este ano a arbitragem decepcionou muito seloko,há 1 ano,3,
Pelnatim roubado cm o flamerda eh agora isso kkkk o varmengo tá doidão,há 1 ano,0,
Deveriam acaba cm isso de impedimento nada ver,há 1 ano,0,
Simplesmente vergonhoso!!,há 1 ano,0,
Vivi pra ver arbitragem roubar a favor do Goiába kkkk,há 1 ano,0,
VAR???? VAR TOMA NO 👌🏻,há 1 ano,0,
"Sou Palmeirense,esse var é uma piada,o gol do Yuri Alberto tava na mesma linha,gol legal,traçaram a linha e tava legal e o juiz anulou,ridículo.",há 1 ano,0,
"Tanto lances perdidos sksksks e um impedimento nada haver, era pra ser uns 2 a 4 ai",há 1 ano,0,
"# BRASIL UM PAÍS SEM LEIS.
Vitor Pereira parabéns por te chegado na  final da copa do Brasil.
Mas ano que de 2023 não dá pra ser técnico do Corinthians, vai comando outro time menos o Corinthians.
Boa sorte no próximo time
Tchau.👍",há 1 ano,0,
Gente  no futibool  ta cheio ladrão  priscipalmente  no var e abisurdo  qui impedimento orrorozo  bando de ladrão e esses var basileiro,há 1 ano,0,
"Conseguiram a façanha de erra um impedimento com o VAR, isso é uma vergonha e má-fé.",há 1 ano,0,
Incrível o amadorismo desse VAR brasileiro. A cada rodada tem um escândalo diferente.,há 1 ano,4,
"Enquanto tiver jogos de apostas Onde milhões são investidos, e pessoas com influência no  meio disso. O futebol acabou.... Tem muita gente mamando grana com isso ...jogo de azar, não é, jogos de safados,  vagabundos etc .moramos no país, que nosso presidente é um ex presidiário ....",há 1 ano,0,
"Cheirinho de casas de apostas interferindo nos resultados..... Esse impedimento aí foi sacanagem, hein. E olha que nem sou corintiano",há 1 ano,0,
"GOIAS MERECEU MUITO GANHAR, PQ JOGOU MAIS. 😎🤙",há 1 ano,1,1
Não mereceu não a nanica mancha Verde de Goiás roubo bem roubado,há 1 ano,0,
A ainda tem gente que diz que o Corinthians é ajudado pela arbitragem,há 1 ano,1,
"Inacreditável essa arbitragem brasileira!!!!! Sinceramente, não espero mais nada do futebol brasileiro 👌
Erro contra o Corinthians
Erro contra o Atlético PR
E tudo com ajuda do VAR....famoso VarMengo",há 1 ano,0,
"Esquece o erro do VAR, time é  mal treinado, incompetente.
Sou Corintiano  mais quero o time  ganhando com futebol  bonito.
Não gosto  de vitórias  por pênalti ou erro de  VAR.
Time ultimamente  só  perde!!!!",há 1 ano,0,
"Sou Palmeirense e vi que o gol do Yuri Alberto foi legal, e houve erro na anulação do gol! Vergonhosa a atuação dos operadores do VAR e da arbitragem que não se impõe em campo! A bola, após o passe do Giovani atinge 3 metros de distância e o Yuri Alberto ainda está na mesma linha do defensor do Goiás, e quando a bola atinge um pouco mais da metade da trajetória, quase chegando no Yuri Alberto, é que ele dá uma arrancada, ultrapassa o defensor do Goiás, pega a bola e marca o gol!",há 1 ano,4,
O yuri Alberto não  tava impedido não  que juiz safado mesma linha ele tava que raiva 🙄😡😡😡,há 1 ano,0,
"O Corinthians reclamando de arbitragem chega a ser até engraçado
Um time que já ganhou tantos jogos e até títulos no roubo agora quer reclamar de um jogo
Não dá né
É reembolso 😂😂😂",há 1 ano,0,
"Igual ao jogo do Santos,teve um pênalti claríssimo e o juiz não deu,onde resultou gol do flamengo,roubaram o Santos em quase todas partidas,uma vergonha",há 1 ano,1,
"Deus é fiel 
Seus malditos",há 1 ano,0,
Como sempre o var sempre prejudicando o Corinthians,há 1 ano,0,
Triste,há 1 ano,0,
"Lance muito difícil de ser analisado por conta do posicionamento da câmera em relação ao campo! Não tem como saber se foi ou não impedimento! Se tivesse uma outra imagem mais ajustada, aí sim!",há 1 ano,4,
"Pelas imagens não dá pra saber se ouve ou não impedimento, por mais que traçam as linhas! Então, só resta interpretar!",há 1 ano,1,
"Pqp...

Roubado em",há 1 ano,0,
Futebol comprado! É fim! Corinthians pede anulação porra! Ou cai fora,há 1 ano,0,
"Roubaram dinovo o Corinthians!!! 
O var prejudica todo mundo! Todo jogo! 
Fora var! Não tem mais jeito!",há 1 ano,0,
O Corinthians foi roubado,há 1 ano,0,
Estão tentando derrubar o timão,há 1 ano,0,
"Justo. Corinthans sentiu 1% dq é ter enfrentado eles durante a história, lembro até hoje o gol de mão do Jô contra o Vasco, e em 2022 contra o SP Renato Augusto coloca a mão na bola propositalmente na área e o juiz não dá nada. Merecem ser roubados msm.",há 1 ano,1,
"Eu so precisava que o corinthians ganhasse pra eu ganhar 770 reais ontem, fui de flamengo e skt tbm.. o cara rouba a gente dando impedimento, fiquei maluco !",há 1 ano,0,
"Como já diria o poeta ... ""Ladrão rouba ladrão, cidadão é assaltado ...""",há 1 ano (editado),0,
Aonde viram impedimento ali ainda tou tentando encontrar me ajudam a encontrar,há 1 ano,0,
Corinthians time da praça é nossa só tem comediantes 🤣 Cássio entregadoooo 🐔,há 1 ano,1,
"Isso devia configurar crime, mentindo em rede aberta e o juíz passando o pano ainda",há 1 ano,0,
Vergonha var afff,há 1 ano,0,
"Esse lance ai do Corinthians foi igual o gol do Gabigol contra o Corinthians na final da  copa do brasil acho é pouco , e o troco do roubo do gol do flamengo que não ouve impedimento .",há 1 ano (editado),0,
"Os times paulistas tem q se unir e reclamar com a CBF, sinão vamos ficar sendo desfavorecidos e os outros 🔴times⚫ ajudados",há 1 ano (editado),1,
A quem interessa esses erros grotescos de arbitragem ? Está ficando estranho.,há 1 ano,0,
"ROGER GUEDES, VOLTA PRO PALMEIRAS...VAZA DO TIMÃO",há 1 ano,0,
"A ideia do Var é diminuir os erros.
Mas as pessoas que controlam não o fazem. Não tem o mínimo de competência. O que erram a favor do Flamengo é um absurdo.",há 1 ano,0,
Lembram de conhecer 2005 seus otários? Bem feito hahahahahahahhahaha 😂😂😂😂😂😂😂,há 1 ano,0,
"Há 10anos atrás Emerson sheik disse palavras muito bem ditas ""CBF você e uma vergonha "" toda rodada e isso o var veio para ajudar mais ficou foi pior com esse bando de inúteis, incompetêntes e nunca vai mudar isso é muita vergonha",há 1 ano,2,
ABSURDO.,há 1 ano,0,
"Como está difícil e vergonhoso já nos roubaram na copa do Brasil  , mais uma vez todo jogo erros grotesco e inaceitável assim como outros times paulista estão sendo prejudicado agora e foi bem nítido que CBF não quer que times paulista ganhe nada",há 1 ano (editado),0,
Reclama de roubo mas vai lá na cabine e vota num ladrão... não entendo 🤦‍♂️,há 1 ano,0,
O var está correto....,há 1 ano,0,
"VAR é uma máfia,  só beneficiam os times cariocas.  Cuidado Ituano para não serem roubados contra o Vasco",há 1 ano,0,
"Sou flamenguista... Porém, teve aquele pênalti do Santos, claríssimo.. não deram! Ontem o Corinthians.. amanhã pode ser o mesmo Flamengo.. VERGONHA DO BRASIL com essa arbitragem",há 1 ano,0,
Vergonha!!! e nada mais,há 1 ano,0,
O var é uma vergonha criminosa.,há 1 ano,0,
Tem q Rouba msm esse Corintians,há 1 ano,0,
"O futebol já era, com o VAR ficou mais fácil roubar",há 1 ano,0,
Futebol Brasileiro é uma vergonha,há 1 ano,1,
Ridículo esse impedimento no gol do Corinthians,há 1 ano,1,
O var ajudando o Goiás...depois dessa eu acredito até em papai Noel 🎅,há 1 ano,2,
Sem zueira mas foi gol nessa merda,há 1 ano,0,
Corinthians  fica só reclamando  de arbitragem .esses jogadores tem que tomar vergonha na cara para de arrumar  desculpa   são  ruins tá com má vontade  queria ver se na hora do pagamento  eles fica arrumando  desculpa..jogador tem que ganhar por produção,há 1 ano,0,
É já pode entregar a taça pros Porcos esse título já tá Pago faz tempo .,há 1 ano,0,
O Futebol Brasileiro tá uma Vergonha o VAR prejudicou o Corinthians no Primeiro jogo da final da copa do Brasil sendo mão legítima e não deram pênalti pro timão e agora essa palhaçada desse impedimento sendo que o gol foi legal.,há 1 ano,0,
Sem comentários,há 1 ano,0,
"parabéns Var, você consegue ser a coisa mais inutil inventada",há 1 ano,0,
"Hj as partidas são decididas em uma sala fechada, maracutaia ficou sofisticada, um vergonha, outro dia foi o jogo do Santos.",há 1 ano,1,
Essas casas de aposta acabaram com o futebol.,há 1 ano,0,
"triste ver um time grande desse, com tantos titulos, historia, empatar com um timeco nanico desses


FORÇA GOIÁS✊",há 1 ano,5,1
Não foi impedimento porcaria nenhuma compram o VAR,há 1 ano,1,1
"Não sou corintiano, mas o gol foi legal. Sinceramente isso vem acontecendo com os times do Brasil, muitos erros. Parece que o VAR só erra aqui no Brasil. Complicado a arbitragem brasileira. A CBF precisa refletir quanto a isso...",há 1 ano,4,
Só passando raiva com esses pé de rato enquanto a porcada e os urubu ganhando tudo,há 1 ano,0,
Roubo na cara dura!,há 1 ano,0,
Var vao tomar no c* robou o timao de novo,há 1 ano,0,
O time já é ruim e ainda por cima o var não dá um claro claro. Aí fica difícil.,há 1 ano,0,
"Estão tratando o Timão como time pequeno, a CBF fica no Rio de Janeiro, os chefes lá não conhecem a FIEL, ao invés de ir ao CT reclamar com o time, temos que ir para a sede da CBF para apreasentar a torcida aos cariocas da Arbitragem, até uma apresentadora de tv falta com respeito com o Corinthians, Não somos mais a FIEL? Estamos em decadência? Ou ainda tem sangue no olho? A coisa está muito errada contra a gente, foi o penalty contra o Flamengo e não fizemos nada, agora o benefício é para o Fluminense, outro CARIOCA, SE NÃO FIZERMOS NADA VAI CONTINUAR A FALTA DE RESPEITO E A ""CARIOCADA"" nos prejudicando... ACORDA FIEL! CORINTHIANS ATÉ A MORTE!!!",há 1 ano,0,
Sou São Paulino é muito revoltante ver seu time ser prejudicado pela arbitragem eu entendo os  torcedores do Corinthians,há 1 ano,0,
Verdade amigo também acho isso,há 1 ano,0,
"Impedimento claro.
Com o VAR não tem como errar.
Gol anulado corretamente.
Eu afirmo !!!",há 1 ano,0,1
Rapaz roubaram o Corinthians,há 1 ano,2,1
Bizarro esse impedimento,há 1 ano,1,1
Roubaram Nois na caruda slc... esse cara tinha q sair algemado da ai,há 1 ano,1,1
VARtomar vergonha CBF... concerta esse negócio aí!,há 1 ano,0,
VAR TA DE BRINCADEIRA,há 1 ano,2,1
Vai Corinthians fomos roubados mais tá tranquilo Like 🇧🇷🔥🔥,há 1 ano,6,1
"Como sempre os paulista sofrendo com o var, e o Palmeiras ,santos Corinthians",há 1 ano,4,3
"Os caras conseguem errar com Var, eles brigam com a imagem pqp",há 1 ano,0,
"Eu acho que o árbitro no Var dessa partida era vesgo só pode , não tem outra explicação 🤣🤣🤣🤣",há 1 ano,1,1
Goiás se vingou pelo roubo que houve no primeiro turno,há 1 ano,3,1
Roubaram o Corinthians,há 1 ano,0,
CBF    lixão,há 1 ano,0,
🤬🤬🤬🤬,há 1 ano,1,1
Vargonha é isso ae só faz 💩 e principalmente contra o Coringão💀,há 1 ano,1,1
Será que vp nesse 1 ano de Corinthians não consegue ver que Giuliano não é meia armador ? 🙄,há 1 ano,1,2
VAR FILHO DA PUTA,há 1 ano,0,
"É IRÔNICO pra não dizer CÔMICO, o CURINTIA, o FLAMARINHO e o TRIKAS reclamarem do FOGO AMIGO do APITO/VAR AMIGO kkkkkkk",há 1 ano,0,
"Obg var por ferra minha aposta, AGR vou ter vender minha casa",há 1 ano,0,
VARGONHA!,há 1 ano,0,
