text,time,votes,replies
"Deixe aqui seu parabéns ao América-MG pelos 110 anos de história! 👏🎉
Assine o Premiere: https://bityli.com/uoAvUu",há 2 anos,55,8
Que delícia tava doido pra chegar esse dia kkkkk o América precisar ganhar o jogo contra as frangas ....é hoje ...e agora ? Como os presidentes amigos irão resolver essa questão ? ...jogo de compadre ou pega pra capar ....que delícia de jogo kkkkkkkk,há 2 anos,0,
enquanto o Goias empata com o Atletico mineiro o furacao perde pro America o furacao  so perde  o coxa concegiebbons resultados o caro time do furacao nao decola,há 2 anos,0,
Vai furacão pra onde vc nunva deveria ter saido. Serie B!,há 2 anos,0,
Jailson ta pegando ate ventoooo,há 2 anos,1,
AMÉRICA-MG 1X0 ATHLETICO-PR,há 2 anos,0,
Jogaço⚽️⚽️⚽️,há 2 anos,1,
"Jailson  com 40 anos é  muito melhor que esses goleiros de 20, são poucos os goleiros na ativa que jogam tão bem quanto ele",há 2 anos,0,
"Sou palmeirense e torço p que o Jailson tenha muito sucesso pq além de ser um baita goleiro é um cara muito humilde, gente boa demais.👏👏👏👏👏",há 2 anos,5,
Tmc,há 2 anos,0,
"O juiz deveria ter dado pênalti naquele lance, mas errou feio. Se o zagueiro não vira o cotovelo a bola passaria ou entraria no gol. Suspenda a arbitragem para aprenderem.",há 2 anos,1,4
Chega na libertadores e peida !,há 2 anos,0,
"Como sempre o america faz um golzinho e o seu goleiro evita ele de tomar virada, e goleada. Time bom, mas precisa melhorar bastante se quiser se manter na série A. Nem sempre este goleiro vai salvar.",há 2 anos,1,
"Ué?? cadê o Vitorroki que saiu escondido/fugido do Cruzeiro pra ser estrela do futebol mundial?? kkkkk. Nunca vai ser ninguém na vida esse coitado. Praga de Cruzeirense é forte, Dr. Dedé que o diga.",há 2 anos,0,
"é muito bom ver o Jailsão da Massa dando alegrias e salvando outro time.....salvou tanto o nosso palmeiras e agora tá ajudando sempre o américa. Parabéns, Jaílson",há 2 anos,0,
Palmeiras trocou o Jailson pelo Lomba 🤡😂,há 2 anos,0,
Cadê o Vitor Roque esse Carille é um retranqueiro.,há 2 anos,0,
Aqui no horto só teve uma ventania...,há 2 anos,0,
Só assim o América vence o Atlético.,há 2 anos,0,
O atlético e uma merda só quer ganhar o Flamengo pra achar quem é o bozao,há 2 anos,0,
Boa Vitoria do america Mineiro,há 2 anos,3,
Parabéns América MG Pelos Seus 110 Anos E Pela Boa Vitória,há 2 anos,6,
Parabéns maior de minas,há 2 anos,3,
"O importante e que ganhamos a taça ganhei do flamengo





Athletico pr",há 2 anos,3,
"Tá aí, vitória do mais recente supercentenario do futebol",há 2 anos,1,
"Parabéns, coelho 🐰",há 2 anos,1,
o,há 2 anos,1,
"pihhoihvfh    lj
hbkjjn bhj9o ouookkllpll",há 2 anos,0,
Ta colado no corpo amigp,há 2 anos,0,
" @wilderygomes6433  nada disso, até no ombro andam marcando penalti e o ombro é colado no corpo, ou senão o próprio corpo.",há 2 anos,1,
" @silmara-2932  qm marca pênalti no ombro nem juiz é, precisa voltar a estudar kkkkkkk",há 2 anos,0,
" @wilderygomes6433  Mas marcam né, kkk deveriam ser expulsos da profissão kkkk voltar a estudar só se for pra se especializar em outra profissão. kkkk",há 2 anos,1,
"Retranca vs ataque.
Venceu o melhor.",há 2 anos,0,
"Sensacional Jailson, salvou o América.",há 2 anos,1,
"Defesa do CAP tá uma peneira.
Inadmissível FURACÃO ficar desse jeito.
Mas, CAP não mereceu a derrota. E, o lance do ""possível "" penalty.......não sei, não, hein?",há 2 anos (editado),0,
América mineiro virou um Grêmio de 2 anos atrás time competitivo,há 2 anos,0,
Carille kkkkkkkk,há 2 anos,0,
"Narração muito boa.
Série a com o nível muito elevado, será difícil definir um campeão e os rebaixados.",há 2 anos,3,
Esse Goleiro tem meu respeito,há 2 anos,1,
"Que time chato e inconstante é esse América (MG). Só serve para atrapalhar o caminho dos outros times. O Atlético (MG) tem que ficar de olho para não ser ainda mais atrapalhado por esse time na Libertadores. Ele não vai a lugar nenhum, como já ficou provado nas partidas em BH, mas sabe atrapalhar como nenhum outro. Time chato!!!",há 2 anos,0,
Athetico precisa voltar aos velhos tempos perde pra América não é d costume p furacão,há 2 anos,0,
indio ramirez pouca midia muito futebol,há 2 anos,0,
Qual nome desse narrador ?,há 2 anos,0,
Jogaço!,há 2 anos,1,
"sou torcedor do América-MG, mas esse time é muito fraco e vai lutar p não cair, esse ano. Se não fosse o goleiro seria uns 5 x 1 para o Athlético-PR",há 2 anos,4,2
Clube de bairro torcida pequena atreticopr fonte petralha,há 2 anos,1,
So o flamengo consegue perder pra esses time feio,há 2 anos,0,
Bento é fraco e jailson mostro,há 2 anos,0,
Sem meu sintetico não consigo😢,há 2 anos,1,
"Atlhetico do Paraná, kkkkkk time pequeno",há 2 anos,0,
"Que Fase do Jailson. pegando demais.
encaixou demais nesse time do Mequinha.",há 2 anos,2,
Atlético sacaneou o São Paulo com o Pablo ae São Paulo sacaneia o próprio atlético com Pablo e de brinde Vitor Bueno kkkk,há 2 anos,0,1
"não é americano, vai torcer pro seu time kkkkkkkk americano conheçe os verdaderos americanos",há 2 anos,1,
" @fernandojesus4486  Eu apenas vejo a realidade, o fato de eu achar o time fraco, não significa que eu não torça pelo time.",há 2 anos,2,
"É zé ruela junto que ""TRIO"" de peso em🤣🤣",há 2 anos,0,
MAIS UMA DERROTA DO PATHETICO PR.!,há 2 anos,1,
"Vitor Roche jogou ,e burro mesmo deixou de ser titular do cruzeiro para virar reserva o Atlético paranaense",há 2 anos,0,
Só o Flamengo mesmo pra perder pra esse pathetico,há 2 anos,0,
O ultimo lançe do jogo mostra q o jogador do do athletico pr esta usando sutia com bojo kkk bizarro.,há 2 anos,0,
"O FURACÃONZINHO VIRO REDEMOINHO, FOI DE RALO KKKK",há 2 anos,2,
Pq o estádio do América nunca fica lotado ?,há 2 anos,0,
esse tima do América é arrumadinho vai dar trabalho no campeonato brasileiro..,há 2 anos,1,
Tá vendo flamengo?,há 2 anos,0,
"Até o América mineiro ganha do Atlético paranaense,e o Flamengo não pqp 🤦🏻",há 2 anos,1,
Este ano o CAP não escapa da B.,há 2 anos,2,
Como é que o Bahia perdeu o Índio Ramirez pqp que burrice da Diretoria Baiana,há 2 anos,0,
"BOA O RAMIRES FEZ UM GOLAÇO, MAIS O JAISON É BOA DEMAIS, NÓS AMERICANOS GOSTAMOS DEMAIS DO CAVIQUINOER, MAIS COMO TIRA O JAISON 2 GOLERAÇOS PARABENS COLHÃO 110 ANOS HJ",há 2 anos,1,
🐇🐇🐇🐇🐇,há 2 anos,1,
Dale coelho vamos,há 2 anos,0,
Sou galo....mas..respeiten u america das minas gerais...,há 2 anos,1,
Grande mecinha...parabens para u grande coelho....,há 2 anos,1,
Coelho,há 2 anos,1,
Aprende Flamengo.,há 2 anos,0,
Carille tá se especializando em perder de 1x0.,há 2 anos,0,
Sdds do índio no Bahia😢,há 2 anos,1,
Jailson 1 x  0 Atlhetico Paraguaiense,há 2 anos,1,
Cadê o bicho papão perdendo para o América kkkkkkkkkkkkk isso é para os perdedores que ganha do Flamengo em um pênalti que o árbitro marcou para ajudar o atlético,há 2 anos,4,
Parabéns para o América mineiro,há 2 anos,1,
Parabéns ao campeonato pelos jogos e aos times por jogarem,há 2 anos,0,
Jailson nao decepciona no cartola.,há 2 anos,1,
"Jailson, ex Palmeiras, foi a melhor contratação que o Ameriquinha já fez na vida.... kkkk",há 2 anos,1,
Esse negócio de bola na mão já virou palhaçada. O jogador de costas e a bola bate no braço dele. Compensa mais chutar a bola no braço do adversário do que chutar pro gol. PQP,há 2 anos,0,
Eu disse em um video anterior que ese goleiro do América MG era zika.,há 2 anos,1,
Eu me solidarizo com os torcedores do atlético paranaense ter vitor bueno e pablo no mesmo time é pra matar o torcedor de raiva 🤦‍♂️,há 2 anos,5,
"Uma bela vitória, do time do América Mineiro. O Athlético Paranaense, tentou e fez: uma partida, digna ou boa; infelizmente [...] perdeu à partida.",há 2 anos,5,
"E o Vitor roque ??? Quis fugir da série B ,ano que vem ele tá la cm o furacão 😂😂😂",há 2 anos (editado),0,
"Se o Atletico insistir com essa peraba d técnico 
Vai se dar mal no campeonato",há 2 anos,1,
Esse Jailson cata muito 👏👏👏 muito bom goleiro do Coelhão 🐰,há 2 anos,5,
"esse jailson agarrra muito,mas pula e cai muito feio",há 2 anos,0,
"Esse goleiro sempre mostrou serviço e tem um reflexo de um jovem de 20 anos e uma impulsão incrível, ele só saiu do Palmeiras por conta da idade, apenas por conta disso pois ele é 10x melhor que o Lomba, eterno ídolo palmeirense e muito respeitado",há 2 anos,91,5
Furacão se recupera contra time do kanal   o famoso Ceará kkk..,há 2 anos,0,
Não se animem não por que a briga do América é contra o rebaixamento.,há 2 anos,1,1
GE pelo amor de Deus tira esses malas falando no final.,há 2 anos,0,
Jailson na Massa mais 10 pontos no meu cartola!!,há 2 anos,0,
Vídeo do ge com 4 minutos?,há 2 anos,1,
Sou palmeirense e concordo plenamente com vc sem nenhuma dúvida,há 2 anos,6,
"Conheco Jailson desde 2007 no meu extinto  GUARATINGUETÁ, torcendo sempre por ele onde estiver. O homem é  monstro.",há 2 anos,7,
Lomba e horrível kk,há 2 anos,2,
Deixa o lombinha quieto o jailson foi pra um clube que necessita dele..,há 2 anos,3,
"anderson andi 
concordo plenamente com você eu digo o mesmo também",há 2 anos,1,
"No serie A do ano passado o América ficou em 8 na classificação,  meu time não brigou por rebaixamento não. O senhor está enganado.",há 2 anos,0,
"Parabéns coelho . Olhar pra frente , buscar objetivos .",há 2 anos,7,3
"Atlético PR ta namorando ♥  a Proximidade com a Zona de rebaixamento ja ah alguns anos, será que nesse ano vai ter casamento? 😁",há 2 anos,1,2
"Vamos com garra meu coelho ! Dale coelhão , grande vitória no seu aniversário! Nossa torcida agradece , contra tudo e contra todos .",há 2 anos (editado),25,
Só o Flamengo consegue a proeza de perde para o Atlético PR que não vence ninguém nem segure empata,há 2 anos,9,1
Boa Vitoria America Mineiro,há 2 anos,3,
"Índio joga dms, vai ser um dos melhores do Brasileirão, queria ele de volta no Bahia",há 2 anos,8,
Vai Corinthians,há 2 anos,0,
"Acho engraçado esses times médios, quando jogam contra time grande é um leão, mas quando pega outro do mesmo tamanho vira um gatinho 🤷🏽‍♂️😂",há 2 anos,1,1
"Esse Jailson é BIZARRO de BOM
agarra MUITO!",há 2 anos,3,
Linda Vitória do coelho 🐰🇳🇬😍👏🏽 mais uma temporada de grande sucesso rumo a mais competições sul americana,há 2 anos,14,
Jailson é um monstro,há 2 anos,4,
Jailson monstro sagrado,há 2 anos,3,
O Jailson é o melhor goleiro do campeonato brasileiro.PAREDAO,há 2 anos,3,
"Depois da Carreira manchada, o Ramírez voltou a brilhar",há 2 anos,2,
Bacana...sou coxa....parabens America. Foi  justo.    FURACÃO  quase empata.. mas foi justo.,há 2 anos,22,
"Que vê pensa que é time grande o Coelhão kkkk
Time nãnico",há 2 anos,0,1
Estou impressionado com o América. Parabéns ao time 👏👏👏👏,há 2 anos,20,
"Sem meu campo de plástico e pênalti mandraque, eu não ganho. Bua bua bua",há 2 anos,1,
"Boa Coelho!!!
Jailsão garantiu!!!
🟢⚫",há 2 anos,4,
Santos meteu 3x0 no América MG rsr Patético Paranaense tomou ferro kk,há 2 anos,3,1
Que objetivo?,há 2 anos,0,
" @nateriver2627  objetivos esportivos/futebolísticos que é o alvo do América e de todo clube. Evoluir como instituição ,crescer como outros cresceram e se tornaram grandes clubes . Cada pequeno passos importante mesmo venham tropeços .",há 2 anos,0,
 @maurosilva2801  ta certo,há 2 anos,1,
"Tomara, não aguento ver mais esse time na série A, time de fusão e é Athletico com H💅💅💅.",há 2 anos,2,
