text,time,votes,replies
"Partidaça do Cássio, né?
Já podemos cravar que ele é o maior goleiro da história do Corinthians?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 2 anos,749,155
Corinthians gaviões da fiel,há 1 mês,0,
Golaço do Rodinei,há 1 mês,0,
Do nada o YouTube me recomenda isso kakakaka,há 2 meses,1,
Uma curiosidade: esse time do Corinthians de 2022 conseguiu ganhar do flamengo nesse Brasileirão dos dois turnos no 1 e no 2 turno,há 2 meses,1,
O Flamengo ter sido campeão com um pênalti do Rodnei é a prova cabal de que o mundo gira pra crl,há 3 meses,0,
Sdss do Adson,há 3 meses,0,
"Nos anos pra cá so deu flamengo, com certeza",há 3 meses,1,
Descontamos na final da copa do Brasil 😂,há 3 meses,0,
"Q cruzamento, q gol do Rodinei sabia q ele era corintiano",há 4 meses,0,
Tudo bem com você para de ser assim mesmo que eu não tenho quê fazer isso com a gente se eu não tenho quê fazer isso ☺️ com você para de,há 6 meses,0,
Tudo bem com você para de ser assim mesmo que eu não tenho quê fazer isso com a gente se eu não tenho quê fazer isso com a gente,há 6 meses,0,
Tudo bem com você para de ser assim mesmo que eu não tenho quê fazer isso com a gente se eu não tenho quê fazer isso com a gente se,há 6 meses,0,
Tudo bem com você para de ser assim mesmo que eu não tenho quê fazer isso com a gente se eu não tenho quê fazer isso com a gente se,há 6 meses,0,
Engraçado q aquele chute do Vitinho era gol o Cássio faz milagre o narrador ignora q injustiça,há 6 meses,0,
😅😂😅 1:18 :15 😅😅😂😅😂😂😅😅,há 7 meses,0,
Saudades do Adson 😢,há 7 meses,0,
Kkkkk,há 10 meses,0,
Oi gol contra,há 11 meses,1,
Não rodinei😮,há 11 meses,2,
ESSE MARMIRINTHINS SO GANHA NA SORTE QUERO VER ESSA SORTE NA LIBERTADORES NANICO,há 2 anos,20,
Flaxereca vai cair KKKKKKKKKKKK,há 2 anos,23,
"Gamba vai falir, compraram 10 marmitas e aplicaram o calote",há 2 anos,14,
Não só o maior goleiro como o MAIOR JOGADOR da história,há 2 anos,35,
"Libertadores o flamengo da o troco, flamengo ganha no 1jogo 3x0, 2jogo 4x1",há 2 anos,16,
CASSIO MOSTRO 🏁😎 VAI CORINTHIANS,há 2 anos,8,
 @lilgab5042  KKKKKKKKKKKKKK,há 2 anos,7,
 @BOLSONAROHEROIDOBRASIL   vai chorar esse jogo da libertadores  vai demorar  vamo Cássio,há 2 anos,7,
Com certeza né Cássio tá pegando muito,há 2 anos,10,
ATACANTE FRIEIRA COMO OS DO BOCA E OS DO FLAMENGO FAZ GOLEIRO MAIS OU MENOS VIRA O MELHOR DO MUNDO,há 2 anos,3,
 @BOLSONAROHEROIDOBRASIL  TÁ EM TODO LUGAR AGORA CHEIRINHO? N AGUENTOU SER ROUBADO PELO VAR NÉ? Fez o pix pra ganhar vantagem como sempre mais n foi dessa vez varmengo fraco sem moral 🖕💩🤫 bando de fraco 🙅‍♂️,há 2 anos,1,
"Deu aflição de ver o cotovelo do Cássio bem dodói e continuar no jogo 😬😔☺️, eu teria chorado de dor",há 2 anos (editado),3,
"@Cruzeiro 🇮🇹
Vdd kkkkkk",há 2 anos,7,
 @BOLSONAROHEROIDOBRASIL  chora mais urubu Corinthians jogo muito mais melhor,há 2 anos,2,
 @lilgab5042  flamengo mais perdeu do que ganhou no Brasileirão coitados 😂😂😂,há 2 anos,3,
" Diego Santos  calma ganhar na sorte e fácil 
Nem dei susto direito no fla 
Sorte que rodinei é meio loko e errou o lado que tinha que fazer gol",há 2 anos,1,
"@Cruzeiro 🇮🇹
Cês que vai perdendo pra Guarani kkkkkkk",há 2 anos,2,
Weverton melhor,há 2 anos,2,
 Diego Santos  muralha é claro,há 2 anos,1,
 @cruzeiro5848  seri b,há 2 anos,3,
"@ᴄʟᴇɪᴛöɴ ᴊʀ.
Com certeza",há 2 anos,1,
"@Diego Santos
Vdd a maioria dos caras fala que é o Weverton mais o Cássio tá melhor sem dúvidas",há 2 anos,4,
"Doriva virou Prof: Pardal 
Miserável 👎👎👎👎👎👎👎
Será que só eu quero esse Brasileirão 
👽",há 2 anos,1,
"@Argentino
Fonte:confia",há 2 anos,2,
"Corinthians não perde em casa desde janeiro desse ano, 🤭 eu achei que perderiam hoje",há 2 anos,3,
"@MIGUEL TV GAMES
né",há 2 anos,1,
 @kaykibender7453  você quis dizer ganhando do flamengo,há 2 anos,1,
"O Cássio saiu com os cotovelos todo fodido, quase deu vida nesse jogo",há 2 anos,2,
"@Sidney Grah
pura realidade os 2 times tem atacantes medianos eles tava se achando e tão porque venceram o Tolima mais olha a diferença com a torcida não foi fácil o propio Éverton Ribeiro falou kkk",há 2 anos,2,
"onde ficou aquele Gabigol do ano passado, os momentos dele de brilhar sinto que se acabou",há 2 anos (editado),2,
"@꧁Iara Gutierrez꧂
Vdd que aflição",há 2 anos,1,
"@DAAV1i
Nos sonhos",há 2 anos,1,
"@꧁Iara Gutierrez꧂
Vdd a invencibilidade Ainda está boa 17 jogos sem perder em casa se não me engano",há 2 anos,1,
"@SCCP GOKU
Ss",há 2 anos,1,
"@꧁Iara Gutierrez꧂
Vdd",há 2 anos,1,
 @BOLSONAROHEROIDOBRASIL  Chora Mulambo 😘,há 2 anos,1,
Cadê o estádio e o Mundial do Flamídia??,há 2 anos,1,
 @cruzeiro5848  Chora Maria😘,há 2 anos,0,
 @lilgab5042  Chora Modinha,há 2 anos,0,
Eu nao Sou Torcedor do Corinthians sou Torcedor do Botafogo e do Brasil eu ja acho que Cassio e o Maior Goleiro da História do Corinthians sim,há 2 anos,0,
"Mais o Cássio é um homem de dois metros de altura, não ia pegar bem se chorar por um ralado no cotovelo 😂😂😂",há 2 anos,1,
" @BOLSONAROHEROIDOBRASIL  chora mais, bando de modinhas",há 2 anos,0,
Maior jogador da história do Corinthians!!,há 2 anos,1,
"A torcida do flamengo é esses comentarista puxa saco precisam  entender que o tolima era um time fraquinho, o flamengo tem até tradição, mas já era vai ser bom ver o flamengo com elenco milionário e não disputar a libertadores ano que vem, e lutar esse ano pra não cair.",há 2 anos,0,
" @lilgab5042  iludido do carai, nesse jogo jogamos melhor e o time era o b, na liberta com Yuri e balbuena e a maioria voltando de lesão seis vão toma no cu seus flamodinha",há 2 anos,0,
​ @BOLSONAROHEROIDOBRASIL  Vcs perdem e só tem esses argumentos 😂😂,há 2 anos,0,
​ @cruzeiro5848  seu timinho já subiu? 😊,há 2 anos,0,
 @MariaEduarda0610  sim perder faz parte da vida não se fosse só pra ganhar nem futebol existiria,há 2 anos,0,
Claro,há 2 anos,0,
 @cruzeiro5848  aí p,há 2 anos,0,
"Esse goleiro Cássio garante resultado, ótimo goleiro 👍",há 2 anos,0,
"Pensei que o Flamengo iria golear o Corinthians como o fluminense fez, mas o Flamengo teve falta de sorte 👍🖤❤🖤❤",há 2 anos,0,
 @flamengomengao8599  no próximo jogo o Flamengo vai vir com sangue nos olhos vai botar aquela pressão maior no Corinthians,há 2 anos,0,
 @BOLSONAROHEROIDOBRASIL  e que ele é o everto mal pega numa bola pior goleiro do Brasil,há 2 anos,0,
 @lilgab5042  perdeu pro nosso time reserva agora no brasileirão imagina na liberta,há 2 anos,0,
 @sccpgoku4138  cara nois jogamos com o reservas imagine na libertadores que é com os titulares,há 2 anos,1,
 @davi1silvakk  melhor só se for do pior do brasil,há 2 anos,0,
"​ @cruzeiro5848  Valor do Flamengo de acordo com o Transfermaket : 165,25 mi. € .
Valor da Corinthians no Transfermaket:  103,95 mi. € 
Moral da História : Cala a Boca e vai estudar futebol 👍🏼
 : Valor do Cruzeiro no Transfermaket ?? 20,88 mi. €
Tenho pena de cruzeirenses ...tenho pena de vc 😂😂😢",há 2 anos,0,
Sim,há 2 anos,0,
"Pq vcs colocaram a imagem no Flamengo na capa, não foi o Corinthians que ganhou ? Cadê o respeito 😡😡😡😡😡😡😡😡😡😡😡😡😡",há 2 anos,2,
​ @MariaEduarda0610  BEM DODÓI ? KKkKkkk tá falando de uma criança ou de um cara de quase 2 metros de altura ? 😂,há 2 anos,0,
"Os flamenguistas que sobem esses vídeos para o ge tão mordendo a testa, essa hora!",há 2 anos,0,
 @cruzeiro5848  cala boca,há 2 anos,0,
" @salete316  time reserva? E nós que tava com time misto, relaxa libertadores flamengo passa o trator dps nn chora",há 2 anos,0,
 @acmblipe  xiu Enzo,há 2 anos,0,
Sei que se o Atlético ganhar vai passar o Corinthians mais vai valer a pena pq é muito bom ver os torcedores do São Paulo espumando 🤣😂🤣😂😅,há 2 anos,1,
