text,time,votes,replies
"Fala, galera! O resultado foi justo??",há 2 anos,58,16
Sim,há 1 ano,0,
Huu,há 1 ano,0,
Uuuuy,há 1 ano,0,
Hyyyyyy,há 1 ano,0,
Hhyuyyy,há 1 ano,0,
IMPÉRIO ALVIVERDE,há 1 ano,0,
odeio esses fins de video com esse magno,há 1 ano,0,
Huuu,há 2 anos,0,
Hhu,há 2 anos,0,
Cuidado com a série b olha o fantasminha,há 2 anos,0,
O jogo foi tão ruim que não teve nem 3 minutos de melhores momentoskkkkk,há 2 anos (editado),0,
Jogão⚽️,há 2 anos,0,
Cuiabá.. perdeu de novo bora cuidar jogador  .,há 2 anos,0,
Que jogo merda,há 2 anos,0,
Deve ter sido difícil ter achado algum momento bom pra colocar nesse video,há 2 anos,0,
"Xoxoxoxo que jogo paia viu ,tinha que ser os piores momentos ,não os  melhores kkkk",há 2 anos,0,
CORITIBA 1X0 CUIABÁ,há 2 anos,0,
"Golaço do Manga, o resto do jogo foi um show de horrores de ambos os times...",há 2 anos,0,
Deu coxa.,há 2 anos,0,
Cara eu tava torcendo pro cuiaba ganhar mas contra o fortaleza tem que ganhar,há 2 anos (editado),1,
Foi um golaço  de manga,há 2 anos,3,
E foi um resultado  importantíssimo  para quem torce pra Curitiba,há 2 anos,2,
faltou contabilizar a assistência do igor paixão,há 2 anos,1,
O Resultado foi Justo sim,há 2 anos,5,
Foi justo mas que jogo bosta,há 2 anos,0,
Justo? Vai dormir GE....bando de atléticanos....não representam nada o futebol paranaense... respeita o Coritiba,há 2 anos,0,
Da lhe Coxaaa noix mermao 🤜🏼🤛🏼🙏🏻,há 2 anos,1,
"Justo, golaço do manga. Mas foi o pior jogo do ano. Duas equipes horriveis e fracas",há 2 anos,0,
 @crtubergamerbloxfc6887  vão e perder pra eles,há 2 anos,0,
"Sim o Igor foi bem , deixou manga na porta do quarto com a cama forrada e o ar condicionado ligado...",há 2 anos,0,
Foi sim,há 2 anos,1,
" @gm4147  ​Equipe boa mesmo só vi a do Palmeiras, o restante dos times eu considero medíocre, não vejo grande diferença entre uma equipe ou outra... E olha que nem Palmeirense eu sou, mas tem que ''tirar o chapeu'' para o futebol que eles vem mostrando...",há 2 anos,0,
" @augustofinck  olá Fal! Realmente não posso discordar de você, o Palmeiras está um prazer de acompanhar, descolou muito. Confesso que aprecio muito o Athletico Pr, um time que vinte anos atrás não tinha pra pagar a folha, e agora é bem organizado como companhia e como clube de futebol. O Inter e o Flamengo estão jogando um futebol muito legal de assistir agora também. Só esses mesmo. Abs,",há 2 anos,2,
" @gm4147  Concordo.. Sem clubismo, o Coritiba começou muito bem e deu gosto de assistir, porém, se mostrou medíocre e não manteve a constância, veremos como será o restante do campeonato... Abs",há 2 anos,1,
 @augustofinck  concordo!,há 2 anos,0,
Gente vou deixar em todos os vídeos vou começar a gravar jogos online só posso a partir de 50 seguidores quem puder dar moral seguindo agradeço muito muito mesmo obrigado gente.🙏🤝,há 2 anos,0,
Spillerin  von  first divizie remare în himmel,há 2 anos,0,
Dois times medíocres..    destino deles é a série B...  Onde não deveria nem ter saído de lá..   times que não representa nada no cenário do futebol brasileiro...  👎👎👎👎👎👎👎👎👽👽,há 2 anos,1,
Yyyy,há 2 anos,0,
Huyu,há 2 anos,0,
Huuuu,há 2 anos,0,
Gyyyy,há 2 anos,0,
Coxa coxa doido,há 2 anos,0,
Jogo feio do cara.....,há 2 anos,0,
Só eu q achei o narrador sem muita emoção? Premiere tem uns narradores novos q parece q tão aprendendo a narrar,há 2 anos,1,
"Eu acho essa torcida do Coritiba fantástica demais. Apesar de ser local , tem uma quantidade enorme de torcedores (mais de 1 milhão). São bem fiéis, mesmo o time tendo vencido só 1 jogo nas últimas 10 partidas e com ingresso a 150 reais; tinha mais de 20 mil pessoas no Couto em plena segunda feira",há 2 anos,32,18
Gostei muito Bruno Gomes pia bom de bola raçudo toca bem combate apoia vai ser da boa com Wilian farias Bruno Regis este meio campo tudo pra dar certo só que Regis tem acalma toca bola de boa vamo pra cima segundo turno manga bom jogador gamalho falta chegar munição bolando pé Dale coxa,há 2 anos,0,
Jogo terrível mas pelo menos o gol foi bonito kkkkk,há 2 anos,0,
Ganhou o maior parabéns coxa 🇳🇬😊👏🏽,há 2 anos,1,
Eu acho que o Aleff manga não fica até o fim do ano no Curitiba tá jogando muito,há 2 anos,0,1
melhores momentos? imagino os piores então,há 2 anos,0,
"Vitória muito importante do Coritiba, o time saiu da zona de rebaixamento, e deu uma respirada no campeonato, vamos coxa!",há 2 anos,1,2
Golaço do alef manga.,há 2 anos,0,
sou coxa-branca mas confesso que o jogo taticamente foi muito pobre más eu  prefiro jogar ruim e conseguir os 3 pontos num confronto direto slv 🇳🇬💚✌,há 2 anos,11,
Boa Vitória do Coritiba,há 2 anos,3,
No jogo do coxa x bragantino tinha 44mil pessoas pra apoiar o coxa a subir pra serie A,há 2 anos,2,
Como assim 1 milhão de torcedores ? Não tem nem 100 mil,há 2 anos,0,
" @bdfzin2769  irmão, 100 mil ? O Coritiba possui 42 mil sócios ativos…

Se fosse seguir sua lógica, metade da torcida do Coxa era sócia..

Era pra Flamengo então ter 20 milhões de sócios…

Última pesquisa feita pela Pluri apontou Coritiba com mais de 1.3 milhões. 

Mas enfim, nem vou ficar explicando pra vc pq já percebi que é perda de tempo",há 2 anos,7,
 @joaocarlllo  agora eu entendi,há 2 anos,0,
 @joaocarlllo  muito obrigado pela sua explicação,há 2 anos,0,
 @bdfzin2769  kkkkk sempre tem um que fala oque não sabe,há 2 anos,4,
 @curitibano7340  tinha que ser torcedor do Coritiba,há 2 anos,0,
" @bdfzin2769  capital de curitiba tem 4 milhões de pessoas contando com região metropolitana, e tem só 3 times nessa capital sendo os melhores times o coritiba e o atlhetico paranaense, coritiba criado em 1909 e ja tendo estadio desde lá e o time do coritiba com 113 anos na capital",há 2 anos,4,
"Errado o Coritiba tem 2,2 milhao de torcedores perde pro Cap que tem 3,4 milhões",há 2 anos,0,
 @isamontine2980  valeu amigo,há 2 anos,0,
" @isamontine2980  segundo a média de público, o coxa tem uns 13 mil e pouco, já o athetico tem 12 mil",há 2 anos,0,
