text,time,votes,replies
"O que achou da partida?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,126,40
Jogo que o Beraldo alugou um caminhão na mente do rival. 😅😅😅😅😅,há 9 meses,0,
Arena feia da porra,há 10 meses,0,
🏆🏆💚💚💚🤫🤫🏅,há 11 meses,1,
2:52 esse cara foi expulso 2 vezes no jogo? Kkkkkkkkkkk ou câmera men tá ruim de focar,há 1 ano,0,
Vamos 🤩🤩,há 1 ano,1,
"São Paulo foi o único rival a não ""ceder"" 6 pontos pro Palmeiras nesse brasileiro e não permitir um aproveitamento de 100% do mesmo em clássicos 

1° turno 
Palmeiras 3 x 0 Corinthians 
Santos 0 x 1 Palmeiras
São Paulo 1 x 2 Palmeiras 

2° turno 
Corinthians 0 x 1 Palmeiras 
Palmeiras 1 x 0 Santos
Palmeiras 0 x 0 São Paulo",há 1 ano,1,
ENDRICK kkkkk  🤡🤡🤡🤡,há 1 ano,0,
"Giovani comeu a esposa de alguém, não é possível.",há 1 ano,0,
Vamos pra cima das mini as,há 1 ano,0,
Elas estao discomtroladas,há 1 ano,0,
"2021 e 2022 foram anos mágicos para a rivalidade São Paulo x Palmeiras. Foram 7 confrontos em cada ano, sendo duas finais, uma eliminatória de Copa do Brasil e outra de Libertadores. Sempre com jogos emocionantes e interessantes de se ver. Apesar da diferença técnica ser grande, o SPFC é um dos times que melhor consegue diminuir a diferença e equilibrar os confrontos contra o Palmeiras!

Além de tudo isso, nesse meio tempo ainda teve uma ""final antecipada"" de copinha.",há 1 ano,4,
"O ruim dos melhores momentos de vcs do GE pq é muito resumido, não mostra os lances direito. Principalmente o lance da primeira expulsão, eu não assisti o jogo e fui ver por aqui nos melhores momentos, fiquei na msm, sem ver o lance direito.
Não vou deixar o link.
Enquanto vcs não melhorarem as edições, não terão minhas curtidas.",há 1 ano (editado),0,
