text,time,votes,replies
Vai. São paulo ✌,há 9 meses,0,
"Esse jogo foi histórico pra mim!!!
Foi o primeiro jogo do meu filho de 7 anos no estádio!!! Primeira vez que levei ele!
Não será esquecido nunca por mim e por ele!!!!

VAMOS SPFC!!! 🔴⚪⚫",há 10 meses (editado),1,
Meu Deus! É o pior elenco dos últimos tempos! Que time morto! Sem vontade!,há 10 meses,0,
TRICOLO🎉🎉🎉🎉,há 1 ano,1,
Vamos são Paulo 🇾🇪🇾🇪🇾🇪🇾🇪🇾🇪,há 1 ano,1,
Parabéns amado clube brasileiro vcs são os melhores mais eu tenho respeito por todos os times❤🖤 saibam que não importa oque aconteça eu sempre vou torcer pra vcs,há 1 ano,0,
Aqui e são Paulooooo ❤️🇾🇪💪,há 1 ano,1,
São Paulo vence com golaço do Patrick,há 1 ano,0,
Adiantou tanto assim golear o Avaí e ser vice na sula hahihahi,há 1 ano,0,
Cuidado Avaí vai cai olha série 🅱️👻👻👻😂😂,há 1 ano,0,
"KKKKKKK Legal ver a soberba de time de Tiozão que morreu em 2009 kkkk de lá para cá mais nada !
Chega hoje vi tantos torcedores comemorando um final de um campeonato que é a segunda divisão da libertadores, campeonato tão ridículo e desvalorizado que não tem direito nem a uma transmissão descente kkk mesmo assim perderam! Parabéns 🎈",há 1 ano,0,1
2:08 Pensei em super onze,há 1 ano,0,
Pau no cu dos avaiano kkkkk,há 1 ano,0,
Eu poto é fé no são Paulo,há 1 ano,0,
Vitória sobre o Avaí kkkkkk,há 1 ano,0,
batereram em galinha morta,há 1 ano,0,
Gol do Patrick e do calleri e chute duplo do super campeões kkkkkk,há 1 ano,0,
Gol absurdo do pantera negra que golaço,há 1 ano,0,
Mil vezes do Rony,há 1 ano,0,
"Sou torcedor do Palmeiras mas tenho que admitir...
...Admitir porra nenhuma, São Paulo é ruim memo, vitória cagada da porra kkkkkk",há 1 ano,0,
O campeonato desvalorizado é o segundo mais importante da america do Sul.,há 1 ano,0,
Boa goleada do São Paulo.,há 1 ano,0,
"Espero mto que o Galoppo deslanche no Sao paulo pra gnt n fica dependente de nestor. Torço tb q o Igor Gomes reencontre o bom futebol, a paz com a torcida e regularidade",há 1 ano (editado),0,
Grande Vitória,há 1 ano (editado),0,
Golaço do Patrick 😍🥰❤🤍🖤,há 1 ano,0,
Mano me emociona de ver pessoal de vários times diferentes elogiando o meu São Paulo e torcendo pelo título da Sulamericana. Show,há 1 ano,0,1
"O comentário do Mano do Avai (abaixo), já traduz tudo.",há 1 ano,0,
Vamos São Paulo rumo ão bi da sulamericana,há 1 ano,1,
Dar de 4 no Avai até minha Vó dar,há 1 ano,2,4
Te amo são Paulo fc pra sempre ❤😍,há 1 ano,0,
obrigado sao paulo por subir na tabela pelo meno ficar em 7 lugar e ano que vem destruir ou ate ganhas a sula americana,há 1 ano,0,
Bamo Sampalo!,há 1 ano,0,
não e tirando o mérito do são Paulo mais o goleiro falho nós 4 gol puta merda,há 1 ano,0,
Patrick volta pro Inter  l😥,há 1 ano,0,
Caramba que golaço do Patrick 😳,há 1 ano,1,1
com fé em DEUS vai dar tudo certo vamos ser campeão sp,há 1 ano,0,
Esse Rodrigo Nestor deve  ser filho de alguém muitoooooooo  importante,há 1 ano,0,
ninguém merece esse cara após os vídeos KKKKKKKKKKKKKKKKKKKKK,há 1 ano,0,
Patrick muito desesperado. no primeiro chute se ele levanta a cabeça era só dar um corte seco no zagueiro,há 1 ano,0,
"Melhor trio de times do sudeste

Cruzeiro: Maior de Minas gerais
São Paulo: Maior de são Paulo
Flamengo: Maior do rio de janeiro",há 1 ano,1,1
Diego costa ta jogando muita bola faz tempo ja se acertou na zaga do sp,há 1 ano,0,
Você acredita que é mesmo de outros times?,há 1 ano,0,
Qual é Teu time ?? Ele Deu quanto No Avai ?? 😂😂😂,há 1 ano,1,
" @VitorInvestidorr  Cara eu sou Flamenguista só é o melhor time da América do Sul só isso querido , nosso time não briga pra cair nosso time briga todo ano por título",há 1 ano,0,
 @alecquex34x  Flamento Ganhou so de 2 a 1 do Avai 😂😂😂,há 1 ano (editado),0,
 @VitorInvestidorr  Fora de casa meu querido não foi no MORUMBI,há 1 ano,1,
Foi um golaço eu espero que o São Paulo vença e conquista a sula,há 1 ano,0,
Concordo contigo amigo 👍,há 1 ano,0,
"Esse uniforme tá dando sorte, contra o Bragantino e agora contra o Avaí.",há 1 ano,0,
Será que os torcedores do del vale viu esse jogo,há 1 ano (editado),1,1
Golaço do Patrick e que proteção do Eder no inicio da jogada do quarto gol!!,há 1 ano,1,1
"Só gol 
bonito do São Paulo",há 1 ano,1,1
"0:28 a cara do jogador do Avai do tipo : e fudeo vai ser expulso kkkkkkkkk , só o juizao que nao viu essa porra kkk.",há 1 ano,2,1
🇾🇪🇾🇪🇾🇪🇾🇪🇾🇪❤️❤️❤️❤️❤️🇧🇷🇧🇷🇧🇷🇧🇷,há 1 ano,1,1
o lançamento que o peo lele deu no final do jogo foi putaria,há 1 ano,0,
Sou tricolor de coração ❤️,há 1 ano,1,1
1:58 super onze pros entendedores 👌,há 1 ano,0,
Parabéns sou torcedora nata.sou tricolor ❤,há 1 ano,0,
"DESEJO A VOCÊ QUE ESTÁ LENDO, UM DOMINGO ABENÇOADO E CHEIO DE LUZ PRA VOCÊ E SUA FAMÍLIA!!! ❤🙏🏼✨",há 1 ano,2,1
.,há 1 ano,1,1
Agora que mostre sua grandeza contra o del Valle,há 1 ano,1,1
"Boa pessoal, postei edit do tricolor aqui no canal, corre lá pra ver😉🇾🇪",há 1 ano,0,
Ganhou de time pequeno pq foi em casa mas vai perde na final sp ta horrivel igor gomes patrick reinaldo td uns ruim,há 1 ano (editado),1,1
"Salve Guerreiros.
Convido todos a fazerem parte da revolução 🙏
Esse mundo está se afogando na mentira, orgulho e rancor.
Venho anunciar que ainda há esperança de um mundo justo, basta acreditar.
Convido todos a conhecerem o canal do Bob Navarro aqui no YouTube 🙏
Deus abençoe a todos 🙏",há 1 ano,1,
"Pega este golaço do Patrick truta do Bob esponja 😄, só tapa de qualidade tio.",há 1 ano (editado),1,2
São Paulo tem que vencer todas❤⚽️,há 1 ano,0,
SÁBADO SSE DEUS PERMITIR SAOPAULOFC CAMPEÃO 🏆 DA SULAMERICANA 2022&2023 ⚽️ ⚽️ ⚽️ 5.5 LUCIANO&CALLER9,há 1 ano,1,1
Levaram de 4👅😈,há 1 ano,1,1
Eu acredito que sim,há 1 ano,0,
Verdade amigo,há 1 ano,0,
Só gol bonito mesmo,há 1 ano,0,
Deveria expulsar o jogador do Avaí,há 1 ano,0,
Vamos ser campeão no sábado,há 1 ano,0,
"Eu também por isso estou com uniforme do São Paulo no perfil kkk, sou são Paulino de coração ❤",há 1 ano,0,
Amém 🙏,há 1 ano,0,
São Paulo campeão da sulamericana no sábado,há 1 ano,0,
Vamos São Paulo conquistar essa sulamericana,há 1 ano,0,
"Vai nada os jogadores do São Paulo mostraram que pode ganhar essa sulamericana, pode confiar e se for ao contrário volta aqui e pode zoar comigo 👍😉🖤❤",há 1 ano,0,
Foi lindo esse gol do Patrick,há 1 ano,0,
 @torcedor2737  gol antológico.,há 1 ano,1,
Tomara que suas palavras se realize,há 1 ano,0,
O São Paulo meteu é 4 no Avaí,há 1 ano,0,
"Msm nós na fase ruim, agente não vai cair nunca pra série B. 👽🇮🇶",há 1 ano,1,1
"Arruma esse título ae GE, 28ª rodada e não 27ª",há 1 ano,0,
Depois dessa vitória sobre o avai da pra acreditar no título da sula kkkkk,há 1 ano,0,
FLAMENGO PAI DO SÃO PAULO,há 1 ano,0,
"Está há 50 pontos do Palmeiras, se não ganhasse de um Avaí",há 1 ano,0,
"Mano, que obra do Patrick !! Sou fã dms do estilo de jogo desse cara",há 1 ano,0,
Vitória espetacular!,há 1 ano,0,
vamos sao paulo bra cima,há 1 ano,1,1
Torço para o goias  mas torço  para  o são  Paulo  ganhar a sulamericana,há 1 ano,0,
"São Paulo pega um time pequeno e arrebenta,,,mas com o meu mengao vira thuthuca 🤣🤣🤣🤣",há 1 ano,1,1
Sempre que o São Paulo joga econ essaa 3 camisa se sai bem demais,há 1 ano,1,1
Parabéns são Paulo 2 vitória consecutiva😇😊,há 1 ano,2,1
"28ª rodada estagiário, o ge também erra kkkkk",há 1 ano,0,
vamo são paulo,há 1 ano,1,1
"Vejamos, faltam 10 rodadas para acabar o brasileirão, o Avaí tem 28 pontos e o Palmeiras tem 57, porém, se o Avaí ganhar os próximos 10 jogos e o Palmeiras perder os próximos 10, ainda sim, teremos chance de ser campeões🏆🔵⚪",há 1 ano,1,
"Não queria falar nd não, mas essa camisa do sp ta muito feia.",há 1 ano,0,
"Bolas, pra mim tá de bom tamanho se caírem Avaí, Cuiabá, atlético GO e Juventude. Ótimo até!!",há 1 ano,0,
🇾🇪,há 1 ano,0,
Time do Avaí  muito ruim,há 1 ano,0,
"Sou torcedor do flamengo,mas eu torcendo pro São Paulo vencer essa competição,porq é meredor.",há 1 ano,1,1
Eu acredito também,há 1 ano,1,
Vamos São Paulo ❤🖤,há 1 ano,0,
Mas na Recopa vamos virar esse quadro,há 1 ano,1,
Deu muita sorte para o São Paulo,há 1 ano,0,
Finalmente né,há 1 ano,1,
Vamos São Paulo,há 1 ano,0,
Muito obrigado e o Flamengo também mereceu chegar nas duas finais e merece ser campeão também,há 1 ano,1,
São Paulo tem torcida fiel,há 1 ano,0,
Tricolor. Time gigante não cai!,há 1 ano,1,
Pantera negra 🔥,há 1 ano,0,
Patrick que golaço rumo ao título parabéns  meu tricolor,há 1 ano,0,
Esse manto da muita sorte pro tricolor❤🇾🇪,há 1 ano,1,1
Os dois primeiros gols foram dois frangaços,há 1 ano,0,
Kkkk pintou o campeão heim kkkk,há 1 ano,0,
Time gigante não cai,há 1 ano,0,
Vamooooo São Paulo ser campeão porraaaa,há 1 ano,0,
Queremos esse uniforme na final 🔥🍀🔱,há 1 ano,1,1
Camisa do São Paulo muito bonita.,há 1 ano,1,1
Até o Mac ganha do Avaí,há 1 ano,0,
O gol do patrick pareceu o gol do Super 11,há 1 ano,0,
O 3 gol foi do Calleri ou Patrick 🤔,há 1 ano,2,1
"Agora vao la e representem, to torcendo por vcs na SULA, tragam esse titulo para o Brasil SRN🔴⚫🔴⚫",há 1 ano,0,
Lembrou super 21,há 1 ano,0,
Essa camisa é bonita. SRN.,há 1 ano,0,
"é o trikas, não tem jeito",há 1 ano,0,
Venceu o maior,há 1 ano,1,1
Show de  Bola  Do são Paulo  Pra cima  do Avaí⚽️🥇🥇🥇,há 1 ano,0,
Verdade amigo essa camisa do São Paulo deu sorte hein,há 1 ano,0,
Vamos São Paulo ser campeão,há 1 ano,0,
Verdade,há 1 ano,0,
Patrick,há 1 ano,0,
Venceu o melhor e maior,há 1 ano,0,
JussarA p. Mendana,há 1 ano,0,
Etaaa lisca apelão,há 1 ano,0,
"MINHA NOSSA SENHORA, O IMPOSSÍVEL ACONTECEU MEU DEUS DO CÉU",há 1 ano,0,
Patrik do céu kkkkk tu tá doido que porra é essa meu irmão kkkk,há 1 ano,1,1
"Esse gol de carrinho do Luciano, lembrou muito o super soccer deluxe do super Nintendo.",há 1 ano (editado),0,
Essa camisa 3 faz o sao Paulo jogar bem,há 1 ano,1,1
Eu estava lá nunca vou esquecer desse dia agora e dia 01 vai lá vai lá vai lá vai lá  vai lá de coração vamos  são Paulo vamos são Paulo vamos ser campeão,há 1 ano,0,
Não se emociona não São Paulo chama o pai de vcs o Flamengo,há 1 ano,1,1
Que camisa linda do São Paulo!!!!😍,há 1 ano,1,1
Esse timinho do vento ventania sulista já estava apelando no começo pq sabia que iria tomar um cacete do SAO PAULO PAULADA. O JASON ESTA DE VOLTA SABADO TEM MAIS.,há 1 ano (editado),0,
Melhor contração foi o pantera negra,há 1 ano,0,
Vamo são Paulo vamo são Paulo vamo ser campeão.🔴⚫⚪,há 1 ano,1,1
Golaço do pantera,há 1 ano,1,1
"Que orgulho do meu São Paulo, motivação total para sábado, vamos em busca do título...",há 1 ano,4,
gostei do uniforme,há 1 ano,1,1
Parabéns Lisca vc e o cara é só subir novamente que tudo melhora.,há 1 ano,0,
1:53 me lembrou super 11,há 1 ano,1,1
"Vamos tricolor🔴⚪⚫
Coisa rara de se ver Reinaldo separando a briga😂😂😂 0:34",há 1 ano (editado),2,
São Paulo futebol clube maior Campeão internacional do Brasil sem mimimi kkkkkk,há 1 ano,0,
Camisa feia essa dia Bambys kkkk,há 1 ano,0,
Que golaço do Patrick,há 1 ano,0,
Verdade amigo,há 1 ano,0,
Isso vai acabar na Recopa vamos ver,há 1 ano,0,
Concordo com você,há 1 ano,0,
Vamos São Paulo ser campeão no sábado ❤🖤,há 1 ano,0,
Foi um golaço ❤🖤,há 1 ano,0,
Eu também gostei,há 1 ano,0,
Que golaçooooóooooo,há 1 ano,0,
"Vitória elástica merecida demais, hoje não desperdiçaram as oportunidades! ❤",há 1 ano,4,1
nao sou sao paulo mais torço pra eles ganharem a sula pq so brasil em tudo rapaz,há 1 ano,0,
"Em cima do havai aí e fácil agora esse time de merda não ganha nd de expressão a anos é um time fraco ,p mim São Paulo viro time de 2 divisão. Uma vergonha e tenho quase certeza q vai perder a sul-americana",há 1 ano,0,
BORA GANHAR A PORRA DA SULAMERICANAAAAAAAA POHA,há 1 ano,1,1
BORA TRICOLORRRRR,há 1 ano,1,1
🇾🇪,há 1 ano,0,
"Só os gol dos brabo,patrick,luciano,eder",há 1 ano,2,1
🧡🧡 traz o título da sul-americana pra sermos bicampeão,há 1 ano,2,
"Pegou um coitado! Hahaha
São Paulo é time de PUTA! 

Sou sãopaulino.",há 1 ano,1,1
"Vamos São Paulo agora vamos com tudo para trazer esse título da sudameriacana para o Brasil, vai São Paulo ❤🖤",há 1 ano,2,
São Paulo ❤️👉 ole ole ole,há 1 ano,1,1
Pra ter dado só são paulo no jogo é porque o avaí é um time bem ruim!,há 1 ano,0,
Vamos São Paulo ⚪🔴🔥🔥,há 1 ano,1,1
Time horroroso do Avaí,há 1 ano,0,
Ninguém fala muito mas essebDiego Costa evoluí demais mulk e brabo,há 1 ano,0,
Diego não baixa bola nunca !,há 1 ano,1,1
parece que mala branca rolou hein nesse e no outro em fortaleza hein,há 1 ano,0,
Esse cara no fim do vídeo é muito chato.,há 1 ano,0,
eu tomarei sucos de alegria se ganhar das Barbies da vila Sônia kkk,há 1 ano,1,1
vai del vale,há 1 ano,0,
Tomara que sábado se repita esse placar,há 1 ano,0,
Vamos ganhar sim eu acredito nesse título do São Paulo no sábado ❤🖤,há 1 ano,0,
Vamos São Paulo ❤🖤,há 1 ano,0,
Tomara que esse trio continue sempre assim fazendo gols,há 1 ano,0,
O São Paulo vai ser campeão acredita e confia,há 1 ano,0,
Vamos São Paulo ser campeão ❤🖤,há 1 ano,0,
Vamos São Paulo ser campeão,há 1 ano,0,
São Paulo vai ser campeão ❤🖤,há 1 ano,0,
Sai pra lá corintiano,há 1 ano,0,
"se não golear série b, sp ia acompanhar eles ano que vem kkk",há 1 ano,0,
"VAMOS São Paulo 🇾🇪
Rumo a Córdoba 🇾🇪",há 1 ano,0,
Os caras meteram o chute duplo do super campeões no terceiro gol kkkkkkkkk,há 1 ano,0,
Tira esse palhaço que tá falando no último vídeo,há 1 ano,0,
Estou muito feliz com a vitória do São Paulo. Eu estava lá no estádio assistindo o jogo. Mas vim ver mais detalhado. Vamo São Paulo 🇾🇪❤️,há 1 ano,3,
"Boa vitória, foi ótima para deixar o time de boa!",há 1 ano,0,
A camisa da sorte não perdeu com ela ainda,há 1 ano,0,
