text,time,votes,replies
"E as finalizações do Endrick, hein?! Olho no garoto! 👀

🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,343,68
❤😅❤😅❤😅😅😂😂😅😅😂😅😅😂😂😅😂😅😂😅😂😅😂😅😂😅😂😂 2:16 😂 2:16 2:16 😂 2:16 😂😂 2:16 😂 2:16 😂😂 2:17 😂 2:17 😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😅😂😂😅😅❤😅❤😊,há 7 meses,0,
❤😊❤😊❤😊❤😅❤😅❤😅😅😂😅😂😅😂😅,há 7 meses,0,
❤❤❤ 1:23 😂😅❤😅❤😅❤😊😊❤❤😊,há 7 meses,0,
❤😅😅😅❤😅❤😅❤😅❤😅😂😅😅😂😂😅😂😅❤😅❤😅❤😅❤😅😅😂😂😅😂😅😂😅😂😅😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😅😂😂😅😂😅😂😅😂😅😂😅😅😂😅😂😅❤😅❤😅❤😊❤😊,há 7 meses,0,
Manda esse aprendiz de técnico embora e com ele a maioria desses jogadores sem vontade.,há 9 meses,0,
Jogão 🤩🤩,há 1 ano,1,
Eu estava no Allianz Parque nesse jogo,há 1 ano,0,
"Kkkkkk os cara corrigindo o narrador ""é vanderlan""",há 1 ano,0,
Quem e esse narador?,há 1 ano,0,
Tem de ser o luan tem de trazer o mina,há 1 ano,0,
Alguém falou que foi o Vanderlan.,há 1 ano,0,
Jogo fácil e vitória fácil do Palmeiras poderia ter sido bem maior o placar l,há 1 ano,0,
Eu torço pro fortaleza,há 1 ano,0,
Eu torço pro rancing,há 1 ano,0,
Eu torço pro Sassuolo,há 1 ano,0,
"Que TIMAÇO do karaaaleo, mano.",há 1 ano,0,
"Essa camisa do Palmeiras tá uma coisa muito esquisita. Coisa feia,cara.",há 1 ano,0,
Eu torço pra Fiorentina,há 1 ano,0,
Eu torço pro Empoli,há 1 ano,0,
"Verdão maior do br, ok?",há 1 ano,20,
PALRETRANCA SEMPRE NA RETRANCA QUERO VER ESSA RETRANCA NA SUPERCOPA COPA TIMECO.,há 1 ano,3,
" @SmileForNoCry  não e nem maior de são paulo, imagine do brasil kkk",há 1 ano,2,
Algum rival a altura do Verdão maior das galáxias?,há 1 ano,18,
Bom jogador!,há 1 ano,1,
Esse pé de rato vai ser um novo Wagner Love daqui a pouco troca de lado e vai pros Gambá,há 1 ano,6,
Perder pra um nanico átomo próton desses e ainda sem mundial e bi rebaixadas é complicado. Força Avai!,há 1 ano,4,
Assinar pra quê? Premiere Fora do ar durante o jogo...bem ruinzinho o serviço,há 1 ano,1,
 @joaomarcelo933  CALA A BOCA GAMBÁ NANICO,há 1 ano,0,
" @robertsontunussi42  para que? Ppv é a cota de tv serve para isso, O dinheiro vai para os clubes a maior parte, é o mais importante.",há 1 ano (editado),1,
" @robertsontunussi42  por isso é importante ter a assinatura ativa com o castrado atualizado no app com o seu clube, no final do campeonato o dinheiro do ppv é distribuído, flamengo e Corinthians são o que mais recebem dinheiro, depois vem os outros.",há 1 ano,0,
" @robertsontunussi42  agora sobre o travamentos você entra em contato com eles nas redes sociais, eu uso muito o prime vídeo com premiere então é de boa sem travar muito bom.",há 1 ano,0,
Faxmeiras minúsculo não tem Mundial,há 1 ano,0,
 @joaomarcelo933  vc não tem moral para falar do palmeiras,há 1 ano,2,
Perde pra um timeco sem mundial e triste força avai,há 1 ano,0,
 @corinthians9408  não sabia que o Avaí tem mundial,há 1 ano,0,
 @corinthians9408  vcs nem moral para falar do Palmeiras vcs tem galinhas kkk,há 1 ano,0,
 @SmileForNoCry  sem dúvidas disso não existe outro time nesse país que bata de frente conosco 🐷,há 1 ano,1,
Endrek vai colocar todos os Nanicos no seu devido lugar gê,há 1 ano,3,
Citem algum clubeco maior que o Palmeiras?,há 1 ano,1,
Foi ótima as finalizações do endrick,há 1 ano,0,
 @palzaoterrordananicada2395  Eu sou Palmeiras tbm mas tenho que admitir que o Santos é maior em títulos e hiistória(apesar de hoje ser um time minúsculo brigando pra n cair),há 1 ano,2,
Segui o líder porque o vice tá lá trás kkkkkkk 😉💚💚,há 1 ano,1,
 @flamaquinarumoaotetradaame847  Segui o líder porque o vice tá lá trás kkkkkkk 😉💚💚,há 1 ano,1,
 @flamaquinarumoaotetradaame847  retranqueiro foram vcs na copa do Brasil KKK,há 1 ano,1,
 @joaomarcelo933  Segui o líder porque o vice tá lá trás kkkkkkk 😉💚💚,há 1 ano,1,
